region_id,C11_M_FoodHos_PS_15_19,C11_M_FoodHos_PS_20_24,C11_M_FoodHos_PS_25_34,C11_M_FoodHos_PS_35_44,C11_M_FoodHos_PS_45_54,C11_M_FoodHos_PS_55_64,C11_M_FoodHos_PS_65_74,C11_M_FoodHos_PS_75_84,C11_M_FoodHos_PS_85o,C11_M_Foo_hos_pers_S_Tot,C11_M_MixFld_pr_15_19,C11_M_MixFld_pr_20_24,C11_M_MixFld_pr_25_34,C11_M_MixFld_pr_35_44,C11_M_MixFld_pr_45_54,C11_M_MixFld_pr_55_64,C11_M_MixFld_pr_65_74,C11_M_MixFld_pr_75_84,C11_M_MixFld_pr_85_ov,C11_M_MixFld_pr_Tot,C11_M_FldStu_ID_15_19,C11_M_FldStu_ID_20_24,C11_M_FldStu_ID_25_34,C11_M_FldStu_ID_35_44,C11_M_FldStu_ID_45_54,C11_M_FldStu_ID_55_64,C11_M_FldStu_ID_65_74,C11_M_FldStu_ID_75_84,C11_M_FldStu_ID_85o,C11_M_FldStu_ID_Tot,C11_M_FldStu_NS_15_19,C11_M_FldStu_NS_20_24,C11_M_FldStu_NS_25_34,C11_M_FldStu_NS_35_44,C11_M_FldStu_NS_45_54,C11_M_FldStu_NS_55_64,C11_M_FldStu_NS_65_74,C11_M_FldStu_NS_75_84,C11_M_FldStu_NS_85o,C11_M_FldStu_NS_T,C11_M_Tot_15_19,C11_M_Tot_20_24,C11_M_Tot_25_34,C11_M_Tot_35_44,C11_M_Tot_45_54,C11_M_Tot_55_64,C11_M_Tot_65_74,C11_M_Tot_75_84,C11_M_Tot_85o,C11_M_T_T,C01_F_NatPhy_sci_15_19,C01_F_NatPhy_sci_20_24,C01_F_NatPhy_sci_25_34,C01_F_NatPhy_sci_35_44,C01_F_NatPhy_sci_45_54,C01_F_NatPhy_sci_55_64,C01_F_NatPhy_sci_65_74,C01_F_NatPhy_sci_75_84,C01_F_NatPhy_sci_85O,C01_F_NatPhy_sci_T,C01_F_InfTec_15_19,C01_F_InfTec_20_24,C01_F_InfTec_25_34,C01_F_InfTec_35_44,C01_F_InfTec_45_54,C01_F_InfTec_55_64,C01_F_InfTec_65_74,C01_F_InfTec_75_84,C01_F_InfTec_85O,C01_F_InfTec_T,C01_F_EngRT_15_19,C01_F_EngRT_20_24,C01_F_EngRT_25_34,C01_F_EngRT_35_44,C01_F_EngRT_45_54,C01_F_EngRT_55_64,C01_F_EngRT_65_74,C01_F_EngRT_75_84,C01_F_EngRT_85_ov,C01_F_EngRT_Tot,C01_F_ArchBuild_15_19,C01_F_ArchBuild_20_24,C01_F_ArchBuild_25_34,C01_F_ArchBuild_35_44,C01_F_ArchBuild_45_54,C01_F_ArchBuild_55_64,C01_F_ArchBuild_65_74,C01_F_ArchBuild_75_84,C01_F_ArchBuild_85o,C01_F_Arch_building_Tot,C01_F_AgEnv_RS_15_19,C01_F_AgEnv_RS_20_24,C01_F_AgEnv_RS_25_34,C01_F_AgEnv_RS_35_44,C01_F_AgEnv_RS_45_54,C01_F_AgEnv_RS_55_64,C01_F_AgEnv_RS_65_74,C01_F_AgEnv_RS_75_84,C01_F_AgEnv_RS_85o,C01_F_AgEnv_RS_T,C01_F_Health_15_19,C01_F_Health_20_24,C01_F_Health_25_34,C01_F_Health_35_44,C01_F_Health_45_54,C01_F_Health_55_64,C01_F_Health_65_74,C01_F_Health_75_84,C01_F_Health_85o,C01_F_Healt_T,C01_F_Educ_15_19,C01_F_Educ_20_24,C01_F_Educ_25_34,C01_F_Educ_35_44,C01_F_Educ_45_54,C01_F_Educ_55_64,C01_F_Educ_65_74,C01_F_Educ_75_84,C01_F_Educ_85o,C01_F_Educ_T,C01_F_MngtCom_15_19,C01_F_MngtCom_20_24,C01_F_MngtCom_25_34,C01_F_MngtCom_35_44,C01_F_MngtCom_45_54,C01_F_MngtCom_55_64,C01_F_MngtCom_65_74,C01_F_MngtCom_75_84,C01_F_MngtCom_85o,C01_F_MngtCom_T,C01_F_Soc_cult_15_19,C01_F_Soc_cult_20_24,C01_F_Soc_cult_25_34,C01_F_Soc_cult_35_44,C01_F_Soc_cult_45_54,C01_F_Soc_cult_55_64,C01_F_Soc_cult_65_74,C01_F_Soc_cult_75_84,C01_F_Soc_cult_85o,C01_F_Soc_cult_T,C01_F_Creative_art_15_19,C01_F_Creative_art_20_24,C01_F_Creative_art_25_34,C01_F_Creative_art_35_44,C01_F_Creative_art_45_54,C01_F_Creative_art_55_64,C01_F_Creative_art_65_74,C01_F_Creative_art_75_84,C01_F_Create_art_850,C01_F_Creative_arts_T,C01_F_FoodHos_PS_15_19,C01_F_FoodHos_PS_20_24,C01_F_FoodHos_PS_25_34,C01_F_FoodHos_PS_35_44,C01_F_FoodHos_PS_45_54,C01_F_FoodHos_PS_55_64,C01_F_FoodHos_PS_65_74,C01_F_FoodHos_PS_75_84,C01_F_FoodHos_PS_85o,C01_F_FoodHos_PS_T,C01_F_MixFld_pr_15_19,C01_F_MixFld_pr_20_24,C01_F_MixFld_pr_25_34,C01_F_MixFld_pr_35_44,C01_F_MixFld_pr_45_54,C01_F_MixFld_pr_55_64,C01_F_MixFld_pr_65_74,C01_F_MixFld_pr_75_84,C01_F_MixFld_pr_85o,C01_F_MixFld_pr_T,C01_F_FldStu_ID_15_19,C01_F_FldStu_ID_20_24,C01_F_FldStu_ID_25_34,C01_F_FldStu_ID_35_44,C01_F_FldStu_ID_45_54,C01_F_FldStu_ID_55_64,C01_F_FldStu_ID_65_74,C01_F_FldStu_ID_75_84,C01_F_FldStu_ID_85o,C01_F_FldStu_ID_T,C01_F_FldStu_NS_15_19,C01_F_FldStu_NS_20_24,C01_F_FldStu_NS_25_34,C01_F_FldStu_NS_35_44,C01_F_FldStu_NS_45_54,C01_F_FldStu_NS_55_64,C01_F_FldStu_NS_65_74,C01_F_FldStu_NS_75_84,C01_F_FldStu_NS_85o,C01_F_FldStu_NS_T,C01_F_Tot_15_19,C01_F_Tot_20_24,C01_F_Tot_25_34,C01_F_Tot_35_44,C01_F_Tot_45_54,C01_F_Tot_55_64,C01_F_Tot_65_74,C01_F_Tot_75_84,C01_F_Tot_85o,C01_F_T_T
LGA10050,9,44,112,101,64,35,18,10,3,396,0,0,3,0,0,0,0,0,0,3,0,4,18,18,22,28,5,9,3,107,171,137,218,252,252,224,211,214,103,1782,274,862,2027,2029,2026,1658,915,543,174,10508,3,15,41,33,24,3,0,3,0,122,3,10,23,35,33,8,0,0,0,112,3,15,37,31,17,22,15,16,3,159,0,0,14,6,4,3,0,0,0,27,3,30,34,23,13,5,0,0,0,108,5,62,212,378,346,133,86,46,15,1283,3,31,138,239,259,119,39,25,12,865,46,210,407,413,255,104,49,30,7,1521,6,76,211,186,138,51,14,10,0,692,5,30,52,35,48,17,13,5,6,211,25,88,158,129,75,34,28,9,3,549,0,0,3,4,3,0,0,0,0,10,0,5,15,13,8,5,6,3,0,55,147,94,189,196,219,201,272,334,160,1812,249,666,1534,1721,1442,705,522,481,206,7526
LGA10110,9,23,44,30,29,22,6,6,0,169,0,3,3,0,0,4,0,0,0,10,0,6,8,18,22,6,5,4,3,72,105,93,142,126,128,109,80,58,35,876,180,438,922,918,1128,943,514,249,105,5397,0,19,53,45,36,17,9,8,0,187,3,6,14,14,7,3,0,0,0,47,3,4,9,11,6,5,6,3,4,51,0,3,3,4,3,4,0,0,0,17,3,25,33,27,18,5,0,0,0,111,4,37,104,172,169,95,50,31,7,669,0,32,98,198,220,119,49,13,8,737,23,93,191,257,162,76,30,12,4,848,9,66,136,159,173,80,29,13,3,668,4,16,37,40,25,12,17,3,3,157,19,30,48,43,17,8,6,0,3,174,0,0,0,0,0,0,0,0,0,0,3,7,10,13,17,7,3,3,0,63,91,39,79,90,77,93,105,124,71,769,162,377,815,1073,930,524,304,210,103,4498
LGA10150,3,88,183,77,61,27,15,4,8,466,0,3,0,4,3,3,0,0,3,16,3,11,29,42,35,29,4,3,3,159,111,162,374,253,266,195,173,188,97,1819,139,860,3174,2361,2021,1377,642,444,175,11193,0,45,111,114,45,16,12,3,3,349,3,29,112,50,19,3,0,0,0,216,0,19,86,97,39,27,24,13,6,311,0,5,39,29,11,3,0,0,0,87,0,3,23,7,7,4,0,0,0,44,3,54,233,312,207,98,43,27,17,994,0,29,211,281,243,81,44,24,19,932,19,209,741,499,272,84,47,39,22,1932,5,102,457,418,271,75,30,20,4,1382,5,64,193,162,62,14,13,5,0,518,5,50,103,74,36,19,8,0,4,299,0,0,0,3,0,0,0,0,0,3,3,12,47,32,16,7,3,3,0,123,163,121,261,306,258,215,229,304,211,2068,206,742,2617,2384,1486,646,453,438,286,9258
LGA10200,7,150,308,106,73,44,15,3,5,711,7,10,16,4,12,4,6,0,0,59,0,16,46,55,44,27,4,6,0,198,360,638,1342,874,691,449,232,154,39,4779,446,1881,5835,3578,2715,1776,802,407,102,17542,0,31,114,93,48,15,9,5,3,318,6,45,136,47,14,3,3,0,0,254,3,14,99,94,46,24,22,17,0,319,0,4,11,13,4,0,0,0,0,32,0,4,14,11,3,4,0,0,0,36,4,47,191,205,159,58,39,14,8,725,3,52,160,150,121,65,32,17,7,607,39,291,631,431,234,72,37,19,6,1760,6,90,215,153,108,30,14,7,0,623,5,19,68,51,29,9,7,5,0,193,18,49,99,47,33,11,11,3,0,271,3,0,3,6,3,0,0,0,0,15,3,14,36,20,9,8,4,3,0,97,256,276,513,489,315,204,249,313,150,2765,346,936,2290,1810,1126,503,427,403,174,8015
LGA10250,4,31,90,97,84,42,41,12,3,404,0,4,3,0,0,0,0,0,0,7,0,5,8,10,25,20,11,9,4,92,96,71,113,160,188,184,169,207,94,1282,152,364,1093,1590,1871,1876,1206,743,288,9183,0,3,9,27,16,10,6,4,0,75,3,3,11,13,23,4,3,0,0,60,3,3,6,19,16,23,30,19,6,125,0,0,7,11,7,3,3,0,0,31,0,16,28,39,18,6,0,3,0,110,4,28,178,319,335,174,106,57,18,1219,0,14,119,233,308,151,66,26,9,926,21,95,254,319,319,164,112,61,12,1357,5,34,124,162,160,64,31,9,4,593,0,24,50,42,33,23,12,12,3,199,13,37,96,90,60,28,20,5,3,352,0,0,0,4,0,0,0,3,0,7,0,3,9,8,23,4,5,3,0,55,110,46,92,134,118,152,242,317,95,1306,159,306,983,1420,1436,806,636,519,150,6415
LGA10300,0,3,6,5,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,10,7,8,14,25,27,28,13,4,136,14,31,59,77,93,74,59,16,4,427,0,0,3,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,6,10,15,8,3,3,0,45,0,0,19,18,9,4,3,3,0,56,0,6,13,6,5,0,0,0,0,30,3,3,5,5,4,0,5,0,0,25,0,0,3,3,0,0,0,0,0,6,0,0,4,8,5,0,0,0,0,17,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,6,9,12,9,8,17,11,0,78,12,18,68,65,50,20,28,17,0,278
LGA10350,23,105,302,217,181,130,84,35,11,1088,12,7,11,12,5,14,6,0,3,70,4,30,85,91,88,64,28,19,7,416,744,648,1176,1125,1166,963,745,658,363,7588,1063,2827,7714,7461,6859,4965,2909,1825,735,36358,6,67,254,184,80,31,7,3,0,632,19,84,244,136,53,21,3,0,0,560,3,35,169,232,138,100,127,58,15,877,0,11,44,30,7,7,0,0,0,99,3,11,33,31,23,9,3,0,0,113,8,179,543,496,428,199,126,72,15,2066,5,171,614,578,506,229,101,37,8,2249,155,858,1946,1459,917,370,241,116,18,6080,38,313,660,488,303,114,50,17,3,1986,10,105,227,133,74,30,24,13,3,619,59,219,430,238,167,89,50,23,7,1282,0,3,4,3,4,0,0,0,0,14,5,33,90,51,39,24,12,7,0,261,649,389,965,1040,836,718,1099,1321,440,7457,960,2478,6223,5099,3575,1941,1843,1667,509,24295
LGA10470,8,49,94,86,45,33,29,13,3,360,3,0,0,0,0,0,3,3,0,9,5,4,10,17,23,10,8,7,0,84,183,241,399,343,248,194,170,142,42,1962,275,819,1661,1732,1710,1413,826,416,109,8961,3,5,36,26,13,6,4,0,0,93,5,11,21,29,18,3,0,3,0,90,3,7,28,33,19,8,9,7,0,114,0,3,3,10,4,3,0,0,0,23,0,10,32,29,15,9,3,3,0,101,5,38,212,277,258,95,63,21,5,974,0,33,165,232,253,119,46,18,15,881,30,141,322,313,233,93,54,29,5,1220,13,73,139,135,127,71,18,8,3,587,7,20,45,39,36,24,9,4,3,187,16,53,97,49,52,18,8,5,0,298,0,3,3,3,3,0,0,0,0,12,0,0,13,5,8,3,5,0,3,37,109,59,113,136,114,138,155,173,99,1096,191,456,1229,1316,1153,590,374,271,133,5713
LGA10550,5,26,80,82,82,48,27,13,3,366,3,0,0,0,0,0,3,0,0,6,0,4,6,19,12,26,18,6,3,94,114,44,92,129,151,205,184,176,70,1165,166,255,688,1086,1474,1749,1156,618,193,7385,0,3,19,22,24,8,9,0,0,85,0,5,6,13,15,5,0,3,0,47,0,3,16,22,17,18,25,13,0,114,0,0,5,9,0,3,3,0,0,20,0,7,24,32,13,0,3,0,0,79,0,13,88,252,217,157,106,28,5,866,0,10,51,149,217,114,62,19,4,626,19,60,165,241,185,128,74,36,6,914,4,31,68,119,100,62,26,9,0,419,0,4,36,50,32,22,14,7,0,165,11,31,108,87,49,34,23,8,0,351,0,0,0,0,3,0,3,0,0,6,0,3,8,14,13,7,4,6,0,55,108,41,95,150,115,160,220,243,95,1227,142,211,689,1160,1000,718,572,372,110,4974
LGA10600,6,8,34,22,25,19,11,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,12,0,0,0,35,33,19,19,37,48,58,62,46,20,342,65,87,227,430,628,665,409,209,59,2779,0,3,5,10,13,7,0,0,0,38,0,0,8,7,8,3,0,0,0,26,0,0,3,9,8,11,5,5,3,44,0,3,3,0,6,0,0,0,0,12,0,0,12,17,11,0,3,0,0,43,0,4,38,120,93,63,35,18,3,374,0,0,30,88,110,42,19,6,0,295,5,16,47,100,77,46,23,14,3,331,0,8,32,67,63,24,5,3,0,202,3,4,19,27,27,15,7,3,0,105,8,10,24,29,22,8,10,3,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,0,0,15,42,12,24,33,39,47,83,69,28,377,58,60,245,512,481,272,190,121,37,1976
