region_id,C06_F_NatPhy_sci_15_19,C06_F_NatPhy_sci_20_24,C06_F_NatPhy_sci_25_34,C06_F_NatPhy_sci_35_44,C06_F_NatPhy_sci_45_54,C06_F_NatPhy_sci_55_64,C06_F_NatPhy_sci_65_74,C06_F_NatPhy_sci_75_84,C06_F_NatPhy_sci_85o,C06_F_NatPhy_sci_T,C06_F_InfTec_15_19,C06_F_InfTec_20_24,C06_F_InfTec_25_34,C06_F_InfTec_35_44,C06_F_InfTec_45_54,C06_F_InfTec_55_64,C06_F_InfTec_65_74,C06_F_InfTec_75_84,C06_F_InfTec_85_ov,C06_F_InfTec_Tot,C06_F_EngRT_15_19,C06_F_EngRT_20_24,C06_F_EngRT_25_34,C06_F_EngRT_35_44,C06_F_EngRT_45_54,C06_F_EngRT_55_64,C06_F_EngRT_65_74,C06_F_EngRT_75_84,C06_F_EngRT_85_ov,C06_F_EngRT_Tot,C06_F_ArchBuild_15_19,C06_F_ArchBuild_20_24,C06_F_ArchBuild_25_34,C06_F_ArchBuild_35_44,C06_F_ArchBuild_45_54,C06_F_ArchBuild_55_64,C06_F_ArchBuild_65_74,C06_F_ArchBuild_75_84,C06_F_ArchBuild_85o,C06_F_Arch_building_Tot,C06_F_AgEnv_RS_15_19,C06_F_AgEnv_RS_20_24,C06_F_AgEnv_RS_25_34,C06_F_AgEnv_RS_35_44,C06_F_AgEnv_RS_45_54,C06_F_AgEnv_RS_55_64,C06_F_AgEnv_RS_65_74,C06_F_AgEnv_RS_75_84,C06_F_Agr_env_re_st_85o,C06_F_AgEnv_RS_Tot,C06_F_Health_15_19,C06_F_Health_20_24,C06_F_Health_25_34,C06_F_Health_35_44,C06_F_Health_45_54,C06_F_Health_55_64,C06_F_Health_65_74,C06_F_Health_75_84,C06_F_Health_85o,C06_F_Healt_To,C06_F_Educ_15_19,C06_F_Educ_20_24,C06_F_Educ_25_34,C06_F_Educ_35_44,C06_F_Educ_45_54,C06_F_Educ_55_64,C06_F_Educ_65_74,C06_F_Educ_75_84,C06_F_Educ_85o,C06_F_Educ_Tot,C06_F_MngtCom_15_19,C06_F_MngtCom_20_24,C06_F_MngtCom_25_34,C06_F_MngtCom_35_44,C06_F_MngtCom_45_54,C06_F_MngtCom_55_64,C06_F_MngtCom_65_74,C06_F_MngtCom_75_84,C06_F_MngtCom_85o,C06_F_MngtCom_Tot,C06_F_Soc_cult_15_19,C06_F_Soc_cult_20_24,C06_F_Soc_cult_25_34,C06_F_Soc_cult_35_44,C06_F_Soc_cult_45_54,C06_F_Soc_cult_55_64,C06_F_Soc_cult_65_74,C06_F_Soc_cult_75_84,C06_F_Soc_cult_85o,C06_F_Society_cultur_Tot,C06_F_Creative_art_15_19,C06_F_Creative_art_20_24,C06_F_Creative_art_25_34,C06_F_Creative_art_35_44,C06_F_Creative_art_45_54,C06_F_Creative_art_55_64,C06_F_Creative_art_65_74,C06_F_Creative_art_75_84,C06_F_Create_arts_85ov,C06_F_Creative_arts_Tot,C06_F_FoodHos_PS_15_19,C06_F_FoodHos_PS_20_24,C06_F_FoodHos_PS_25_34,C06_F_FoodHos_PS_35_44,C06_F_FoodHos_PS_45_54,C06_F_FoodHos_PS_55_64,C06_F_FoodHos_PS_65_74,C06_F_FoodHos_PS_75_84,C06_F_FoodHos_PS_85o,C06_F_Foo_hos_pers_S_Tot,C06_F_MixFld_pr_15_19,C06_F_MixFld_pr_20_24,C06_F_MixFld_pr_25_34,C06_F_MixFld_pr_35_44,C06_F_MixFld_pr_45_54,C06_F_MixFld_pr_55_64,C06_F_MixFld_pr_65_74,C06_F_MixFld_pr_75_84,C06_F_MixFld_pr_85_ov,C06_F_MixFld_pr_Tot,C06_F_FldStu_ID_15_19,C06_F_FldStu_ID_20_24,C06_F_FldStu_ID_25_34,C06_F_FldStu_ID_35_44,C06_F_FldStu_ID_45_54,C06_F_FldStu_ID_55_64,C06_F_FldStu_ID_65_74,C06_F_FldStu_ID_75_84,C06_F_FldStu_ID_85o,C06_F_FldStu_ID_Tot,C06_F_FldStu_NS_15_19,C06_F_FldStu_NS_20_24,C06_F_FldStu_NS_25_34,C06_F_FldStu_NS_35_44,C06_F_FldStu_NS_45_54,C06_F_FldStu_NS_55_64,C06_F_FldStu_NS_65_74,C06_F_FldStu_NS_75_84,C06_F_FldStu_NS_85o,C06_F_FldStu_NS_T,C06_F_Tot_15_19,C06_F_Tot_20_24,C06_F_Tot_25_34,C06_F_Tot_35_44,C06_F_Tot_45_54,C06_F_Tot_55_64,C06_F_Tot_65_74,C06_F_Tot_75_84,C06_F_Tot_85o,C06_F_T_T,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85_ov,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_o,C11_F_InfTec_T,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_o,C11_F_EngRT_T,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_ArchBuild_T,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RE_85o,C11_F_AgEnv_RS_T
LGA10050,0,9,44,47,39,13,5,0,0,157,3,12,22,28,31,17,0,0,0,113,9,12,40,45,37,26,12,13,0,194,0,4,8,15,12,7,0,0,0,46,5,28,45,35,22,3,8,0,0,146,3,99,291,315,436,223,95,62,21,1545,0,47,169,207,351,175,57,36,15,1057,43,233,494,439,352,164,70,29,21,1845,17,141,239,224,223,119,21,12,4,1000,7,40,69,47,47,24,11,6,3,254,43,128,190,174,88,54,28,9,0,714,0,3,0,0,0,0,0,0,0,3,0,9,20,23,16,13,11,3,3,98,202,91,204,207,228,197,274,343,146,1892,332,856,1835,1806,1882,1035,592,513,213,9064,0,17,51,52,27,13,5,3,0,168,0,5,15,24,27,21,5,0,0,97,0,10,37,35,30,25,11,6,4,158,0,6,13,17,10,7,0,0,0,53,3,24,41,37,25,13,3,3,0,149
LGA10110,3,14,52,50,38,20,8,11,0,196,5,12,14,9,13,5,0,3,0,61,5,3,9,12,11,10,8,4,0,62,0,0,3,5,6,0,0,0,0,14,7,29,44,25,28,10,5,3,0,151,3,30,100,152,194,127,73,48,14,741,0,28,122,177,260,163,71,28,7,856,25,109,177,233,218,117,50,22,6,957,10,68,158,165,190,127,47,15,5,785,4,25,34,36,34,28,11,9,0,181,37,62,49,50,30,14,5,5,0,252,0,4,0,0,0,0,0,0,0,4,4,8,7,14,18,7,6,3,0,67,83,62,83,96,105,94,103,146,91,863,186,454,852,1024,1145,722,387,297,123,5190,0,24,41,44,41,35,15,11,3,214,0,3,14,12,9,7,0,0,0,45,0,0,9,15,11,6,3,7,3,54,3,0,3,6,5,0,5,0,3,25,33,45,44,24,44,14,3,0,0,207
LGA10150,0,26,117,108,55,36,9,3,0,354,0,50,163,65,29,4,0,0,0,311,0,34,82,93,60,21,27,16,8,341,0,5,52,34,10,10,5,0,0,116,0,7,27,22,8,3,3,0,0,70,3,49,246,296,230,133,58,25,9,1049,0,35,212,255,285,159,51,32,21,1050,19,284,942,641,355,145,42,28,13,2469,3,115,453,456,320,132,34,23,5,1541,9,68,213,177,93,33,12,0,3,608,16,42,99,93,59,29,8,5,5,356,3,6,0,3,3,3,3,3,0,24,3,15,48,42,37,11,5,6,0,167,107,159,321,290,280,224,205,302,327,2215,163,895,2975,2575,1824,943,462,443,391,10671,0,36,150,86,73,41,17,7,3,413,3,13,146,91,35,11,5,0,0,304,0,18,89,74,79,34,26,23,6,349,0,16,48,35,28,13,3,0,0,143,0,3,22,20,12,5,3,3,0,68
LGA10200,3,50,126,99,58,28,12,5,0,381,4,64,176,111,31,12,3,0,0,401,4,18,80,101,62,35,33,18,8,359,3,8,36,16,9,0,0,0,0,72,3,6,14,12,7,3,0,0,0,45,7,116,306,208,221,89,44,16,14,1021,0,51,231,203,157,127,45,23,11,848,30,439,1035,616,308,139,38,26,12,2643,17,136,335,244,188,86,19,3,0,1028,7,58,144,64,38,11,5,6,5,338,23,84,130,86,50,31,6,6,0,416,4,4,9,12,0,4,0,0,0,33,4,26,49,34,23,8,6,3,0,153,375,405,730,649,500,312,232,294,130,3627,484,1465,3401,2455,1652,885,443,400,180,11365,5,61,183,121,83,53,17,5,0,528,0,29,227,147,55,12,3,0,0,473,0,15,116,92,76,51,24,16,3,393,0,15,49,30,11,7,0,0,3,115,3,5,27,14,10,4,3,0,0,66
LGA10250,0,4,31,34,26,19,5,6,0,125,3,3,6,19,22,3,5,0,0,61,0,5,13,16,28,22,34,25,11,154,0,0,6,9,9,6,3,3,0,36,3,7,32,40,30,17,0,0,0,129,3,27,156,310,453,259,139,90,33,1470,0,21,127,226,411,239,114,49,21,1208,21,133,271,377,415,258,119,73,13,1680,5,53,175,228,233,115,46,19,3,877,3,23,69,57,47,27,15,8,3,252,15,64,128,134,93,48,16,16,0,514,0,3,0,0,0,4,0,4,0,11,0,6,12,18,17,10,3,3,0,69,116,50,103,160,181,173,235,364,178,1560,169,399,1129,1628,1965,1200,734,660,262,8146,0,6,19,27,37,28,15,5,0,137,0,0,5,15,27,14,8,0,0,69,0,7,12,16,33,25,15,25,12,145,3,0,8,5,11,8,3,3,0,41,0,7,25,44,48,22,10,0,0,156
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,0,0,0,15,0,4,12,7,13,10,3,4,0,53,0,0,14,11,14,7,3,3,0,52,0,6,14,5,9,0,3,0,0,37,0,0,7,6,16,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,4,0,12,6,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,22,22,8,12,17,7,115,12,23,79,63,78,39,21,24,7,346,0,0,3,0,3,0,0,0,0,6,0,0,0,3,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,4,5,4,0,0,0,0,0,13
LGA10350,3,105,258,221,116,36,11,4,0,754,14,88,292,194,88,29,8,0,0,713,6,31,149,192,157,99,120,100,23,877,3,28,53,37,16,6,3,0,0,146,0,15,41,40,30,14,0,0,0,140,22,195,602,573,508,262,132,78,22,2394,7,178,664,615,671,349,156,69,13,2722,163,909,2136,1684,1138,601,214,160,37,7042,59,402,845,606,426,203,69,15,6,2631,16,135,260,145,93,42,20,15,3,729,103,303,514,329,197,112,38,27,15,1638,8,8,17,17,12,8,0,9,0,79,4,25,85,70,42,31,10,17,3,287,761,570,1131,1289,1083,810,879,1182,402,8107,1169,2992,7047,6012,4577,2602,1660,1676,524,28259,5,105,234,246,195,74,20,10,3,892,6,28,281,208,113,34,9,0,0,679,0,34,131,186,194,113,79,92,35,864,5,37,60,50,26,12,0,0,0,190,7,15,35,35,33,18,4,0,0,147
LGA10470,0,3,29,27,12,15,3,4,0,93,0,6,12,27,27,10,3,0,0,85,0,6,20,28,30,12,11,8,3,118,0,0,9,12,11,0,0,3,0,35,0,11,39,45,21,13,7,0,0,136,9,85,180,237,318,163,85,42,13,1132,0,33,166,204,283,181,62,42,16,987,43,191,360,349,314,178,63,32,8,1538,23,109,179,186,154,108,41,13,6,819,7,38,58,50,27,31,7,6,3,227,32,73,114,86,45,31,9,6,0,396,0,3,0,3,0,3,0,0,0,9,4,3,12,9,10,3,9,3,3,56,127,83,105,149,148,144,174,155,62,1147,245,644,1283,1412,1400,892,474,314,114,6778,0,0,19,31,24,18,4,0,0,96,0,8,8,21,20,14,4,0,0,75,0,8,15,23,32,11,14,11,8,122,0,4,5,12,10,7,0,3,0,41,3,10,40,35,36,17,12,3,0,156
LGA10550,0,8,20,29,23,16,12,0,0,108,0,0,8,13,16,5,3,0,0,45,0,3,12,30,27,19,25,13,3,132,0,0,11,6,6,4,3,0,0,30,6,11,24,37,38,10,4,0,0,130,0,20,98,201,326,214,110,60,21,1050,4,9,51,111,288,199,102,33,11,808,16,70,182,252,283,189,88,55,18,1153,9,31,87,148,171,118,36,14,0,614,0,8,40,50,63,30,17,7,0,215,20,50,100,119,81,52,31,16,5,474,0,0,0,3,0,3,0,0,3,9,0,0,4,14,9,9,3,0,3,42,111,24,72,106,184,154,213,246,87,1197,166,234,709,1119,1515,1022,647,444,151,6007,0,4,17,14,32,44,9,3,0,123,0,3,6,9,17,19,5,0,0,59,0,3,20,25,23,20,11,11,5,118,0,0,9,9,5,5,0,0,0,28,4,8,31,45,43,23,5,0,0,159
LGA10600,0,0,6,12,12,10,0,0,0,40,0,3,3,5,14,3,0,0,0,28,0,0,4,7,3,5,15,5,0,39,0,0,3,3,5,0,3,0,0,14,0,3,10,25,16,6,0,3,0,63,0,6,43,106,145,87,42,24,8,461,0,3,24,88,136,83,38,15,5,392,7,23,60,92,100,72,36,14,0,404,5,11,47,89,104,45,12,7,0,320,3,3,13,39,24,20,15,0,0,117,6,18,29,41,28,15,5,6,0,148,0,0,0,0,3,0,0,0,3,6,3,3,3,12,7,6,3,0,0,37,38,13,29,45,53,57,84,95,59,473,62,86,274,564,650,409,253,169,75,2542,0,0,5,17,10,14,4,0,0,50,0,0,3,11,10,3,5,0,0,32,0,0,3,4,14,7,9,3,5,45,0,0,6,5,3,4,0,0,0,18,3,0,10,29,26,13,3,5,0,89
