region_id,C01_P_FoodHos_PS_15_19,C01_P_FoodHos_PS_20_24,C01_P_FoodHos_PS_25_34,C01_P_FoodHos_PS_35_44,C01_P_FoodHos_PS_45_54,C01_P_FoodHos_PS_55_64,C01_P_FoodHos_PS_65_74,C01_P_FoodHos_PS_75_84,C01_P_FoodHos_PS_85o,C01_P_Foo_hos_pers_S_Tot,C01_P_MixFld_pr_15_19,C01_P_MixFld_pr_20_24,C01_P_MixFld_pr_25_34,C01_P_MixFld_pr_35_44,C01_P_MixFld_pr_45_54,C01_P_MixFld_pr_55_64,C01_P_MixFld_pr_65_74,C01_P_MixFld_pr_75_84,C01_P_MixFld_pr_85_ov,C01_P_MixFld_pr_Tot,C01_P_FldStu_ID_15_19,C01_P_FldStu_ID_20_24,C01_P_FldStu_ID_25_34,C01_P_FldStu_ID_35_44,C01_P_FldStu_ID_45_54,C01_P_FldStu_ID_55_64,C01_P_FldStu_ID_65_74,C01_P_FldStu_ID_75_84,C01_P_FldStu_ID_85o,C01_P_FldStu_ID_Tot,C01_P_FldStu_NS_15_19,C01_P_FldStu_NS_20_24,C01_P_FldStu_NS_25_34,C01_P_FldStu_NS_35_44,C01_P_FldStu_NS_45_54,C01_P_FldStu_NS_55_64,C01_P_FldStu_NS_65_74,C01_P_FldStu_NS_75_84,C01_P_FldStu_NS_85o,C01_P_FldStu_NS_T,C01_P_Tot_15_19,C01_P_Tot_20_24,C01_P_Tot_25_34,C01_P_Tot_35_44,C01_P_Tot_45_54,C01_P_Tot_55_64,C01_P_Tot_65_74,C01_P_Tot_75_84,C01_P_Tot_85o,C01_P_T_T,C06_P_NatPhy_sci_15_19,C06_P_NatPhy_sci_20_24,C06_P_NatPhy_sci_25_34,C06_P_NatPhy_sci_35_44,C06_P_NatPhy_sci_45_54,C06_P_NatPhy_sci_55_64,C06_P_NatPhy_sci_65_74,C06_P_NatPhy_sci_75_84,C06_P_NatPhy_sci_85_ov,C06_P_NatPhy_sci_Tot,C06_P_InfTec_15_19,C06_P_InfTec_20_24,C06_P_InfTec_25_34,C06_P_InfTec_35_44,C06_P_InfTec_45_54,C06_P_InfTec_55_64,C06_P_InfTec_65_74,C06_P_InfTec_75_84,C06_P_InfTec_85_ov,C06_P_InfTec_Tot,C06_P_EngRT_15_19,C06_P_EngRT_20_24,C06_P_EngRT_25_34,C06_P_EngRT_35_44,C06_P_EngRT_45_54,C06_P_EngRT_55_64,C06_P_EngRT_65_74,C06_P_EngRT_75_84,C06_P_EngRT_85_ov,C06_P_EngRT_Tot,C06_P_ArchBuild_15_19,C06_P_ArchBuild_20_24,C06_P_ArchBuild_25_34,C06_P_ArchBuild_35_44,C06_P_ArchBuild_45_54,C06_P_ArchBuild_55_64,C06_P_ArchBuild_65_74,C06_P_ArchBuild_75_84,C06_P_ArchBuild_85o,C06_P_Arch_building_Tot,C06_P_AgEnv_RS_15_19,C06_P_AgEnv_RS_20_24,C06_P_AgEnv_RS_25_34,C06_P_AgEnv_RS_35_44,C06_P_AgEnv_RS_45_54,C06_P_AgEnv_RS_55_64,C06_P_AgEnv_RS_65_74,C06_P_AgEnv_RS_75_84,C06_P_AgEnv_RS_85o,C06_P_AgEnv_RS_Tot,C06_P_Health_15_19,C06_P_Health_20_24,C06_P_Health_25_34,C06_P_Health_35_44,C06_P_Health_45_54,C06_P_Health_55_64,C06_P_Health_65_74,C06_P_Health_75_84,C06_P_Health_85o,C06_P_Healt_To,C06_P_Educ_15_19,C06_P_Educ_20_24,C06_P_Educ_25_34,C06_P_Educ_35_44,C06_P_Educ_45_54,C06_P_Educ_55_64,C06_P_Educ_65_74,C06_P_Educ_75_84,C06_P_Educ_85o,C06_P_Educ_Tot,C06_P_MngtCom_15_19,C06_P_MngtCom_20_24,C06_P_MngtCom_25_34,C06_P_MngtCom_35_44,C06_P_MngtCom_45_54,C06_P_MngtCom_55_64,C06_P_MngtCom_65_74,C06_P_MngtCom_75_84,C06_P_MngtCom_85o,C06_P_MngtCom_T,C06_P_Soc_cult_15_19,C06_P_Soc_cult_20_24,C06_P_Soc_cult_25_34,C06_P_Soc_cult_35_44,C06_P_Soc_cult_45_54,C06_P_Soc_cult_55_64,C06_P_Soc_cult_65_74,C06_P_Soc_cult_75_84,C06_P_Soc_cult_85o,C06_P_Soc_cult_T,C06_P_Creative_art_15_19,C06_P_Creative_art_20_24,C06_P_Creative_art_25_34,C06_P_Creative_art_35_44,C06_P_Creative_art_45_54,C06_P_Creative_art_55_64,C06_P_Creative_art_65_74,C06_P_Creative_art_75_84,C06_P_Creative_arts_85o,C06_P_Creative_arts_Tot,C06_P_FoodHos_PS_15_19,C06_P_FoodHos_PS_20_24,C06_P_FoodHos_PS_25_34,C06_P_FoodHos_PS_35_44,C06_P_FoodHos_PS_45_54,C06_P_FoodHos_PS_55_64,C06_P_FoodHos_PS_65_74,C06_P_FoodHos_PS_75_84,C06_P_FoodHos_PS_85o,C06_P_FoodHos_PS_Tot,C06_P_MixFld_pr_15_19,C06_P_MixFld_pr_20_24,C06_P_MixFld_pr_25_34,C06_P_MixFld_pr_35_44,C06_P_MixFld_pr_45_54,C06_P_MixFld_pr_55_64,C06_P_MixFld_pr_65_74,C06_P_MixFld_pr_75_84,C06_P_MixFld_pr_85_ov,C06_P_MixFld_pr_Tot,C06_P_FldStu_ID_15_19,C06_P_FldStu_ID_20_24,C06_P_FldStu_ID_25_34,C06_P_FldStu_ID_35_44,C06_P_FldStu_ID_45_54,C06_P_FldStu_ID_55_64,C06_P_FldStu_ID_65_74,C06_P_FldStu_ID_75_84,C06_P_FldStu_ID_85o,C06_P_FldStu_ID_T,C06_P_FldStu_NS_15_19,C06_P_FldStu_NS_20_24,C06_P_FldStu_NS_25_34,C06_P_FldStu_NS_35_44,C06_P_FldStu_NS_45_54,C06_P_FldStu_NS_55_64,C06_P_FldStu_NS_65_74,C06_P_FldStu_NS_75_84,C06_P_FldStu_NS_85o,C06_P_FldStu_NS_T,C06_P_Tot_15_19,C06_P_Tot_20_24,C06_P_Tot_25_34,C06_P_Tot_35_44,C06_P_Tot_45_54,C06_P_Tot_55_64,C06_P_Tot_65_74,C06_P_Tot_75_84,C06_P_Tot_85o,C06_P_T_T
LGA10050,40,144,256,198,120,59,48,18,6,889,0,0,3,4,3,0,0,0,0,10,0,8,38,32,29,21,9,6,0,143,300,184,402,432,442,386,483,511,232,3372,498,1276,3211,3641,3221,1705,1140,835,318,15845,0,16,75,76,82,39,10,3,3,304,18,60,130,82,57,31,3,0,0,381,34,214,597,721,709,481,251,124,24,3155,17,112,220,237,316,159,82,53,6,1202,10,65,146,114,98,69,35,15,3,555,7,121,369,401,533,286,115,77,24,1933,0,54,210,274,485,257,96,53,15,1444,58,328,706,699,628,334,146,66,26,2991,21,170,332,314,329,191,44,20,7,1428,12,73,114,74,72,39,17,9,6,416,54,191,290,254,154,90,58,17,4,1112,0,3,0,0,0,0,0,3,0,6,0,16,39,44,42,31,19,6,7,204,430,242,454,504,492,445,496,576,204,3843,661,1665,3682,3794,3997,2452,1372,1022,329,18974
LGA10110,31,58,88,77,39,18,12,3,3,329,0,0,0,0,0,0,0,0,0,0,3,13,18,22,25,15,7,8,3,114,178,93,153,168,162,153,174,184,104,1369,305,714,1606,2085,1926,1102,612,391,162,8903,3,33,106,108,117,81,42,34,4,528,17,59,52,37,35,11,0,3,0,214,21,56,142,196,206,157,90,58,10,936,6,24,82,116,121,83,44,19,0,495,17,68,109,117,89,70,43,14,4,531,7,38,119,196,250,149,99,60,18,936,13,40,161,227,364,232,97,40,10,1184,32,174,266,344,328,194,89,38,11,1476,13,115,237,294,339,249,91,34,8,1380,8,41,65,57,64,44,15,12,0,306,48,89,90,82,58,25,10,5,0,407,0,10,0,0,0,0,0,0,0,10,4,12,18,36,29,17,6,7,3,132,197,138,199,208,237,194,195,222,120,1710,386,897,1646,2018,2237,1506,821,546,188,10245
LGA10150,10,82,198,130,88,43,20,11,7,589,0,0,0,3,0,0,0,0,0,3,3,20,80,54,40,17,11,8,0,233,338,244,570,613,516,413,451,469,276,3890,437,1399,5139,4741,3124,1451,1045,757,409,18502,3,55,224,242,130,70,31,9,3,767,6,197,637,271,100,20,3,0,0,1234,11,105,485,535,443,294,170,91,25,2159,0,36,197,176,133,104,56,22,15,739,0,13,52,46,31,13,3,0,0,158,6,63,327,399,314,169,87,38,15,1418,0,42,276,334,395,228,82,40,26,1423,35,541,1532,1082,609,290,94,45,22,4250,6,172,674,731,568,268,75,48,14,2556,14,117,361,284,164,63,25,5,6,1039,19,79,204,178,107,54,27,10,8,686,6,11,3,9,6,6,3,6,0,50,3,24,86,86,61,26,10,9,4,309,290,381,725,596,599,473,406,486,435,4391,399,1836,5783,4969,3660,2078,1072,809,573,21179
LGA10200,25,73,159,103,74,29,22,7,0,492,3,0,3,10,3,0,3,0,0,22,3,27,70,67,31,19,7,6,0,230,582,782,1603,1321,846,497,497,520,221,6869,741,2099,5293,4543,2968,1417,1056,800,275,19192,3,76,219,209,147,63,27,8,3,755,21,295,752,344,110,23,10,0,0,1555,23,178,641,754,672,410,218,124,36,3056,11,79,217,151,130,104,62,23,6,783,8,12,44,34,27,16,10,3,0,154,7,139,469,309,285,119,63,26,17,1434,3,65,296,303,245,185,83,31,14,1225,56,749,1745,1030,590,279,76,49,15,4589,28,189,522,414,322,171,41,14,4,1705,10,88,238,115,71,31,10,10,5,578,28,125,215,147,103,56,22,9,0,705,10,11,14,19,8,7,3,0,0,72,7,34,98,75,49,33,20,7,0,323,860,1176,2254,1812,1215,765,479,491,194,9246,1075,3216,7724,5716,3974,2262,1124,795,294,26180
LGA10250,23,69,169,165,105,58,34,12,6,641,0,3,0,4,0,0,0,3,0,10,0,8,21,19,37,18,11,11,0,125,228,112,220,280,262,241,421,525,146,2435,318,679,1977,2919,3139,1866,1480,1120,263,13761,0,9,67,66,76,56,22,17,4,317,13,18,28,55,45,15,5,0,0,179,12,82,240,408,521,467,351,248,57,2386,4,46,158,280,306,209,119,65,11,1198,15,46,122,128,117,88,30,14,6,566,3,37,212,417,593,328,186,127,41,1944,0,27,179,311,603,401,198,81,27,1827,28,188,387,531,607,440,224,138,25,2568,8,71,236,336,358,216,95,41,11,1372,3,38,110,87,96,58,19,13,7,431,24,97,233,225,151,84,47,32,5,898,0,3,0,0,3,4,0,4,0,14,3,10,28,28,32,29,10,9,0,149,242,115,217,325,375,356,407,595,249,2881,355,787,2217,3197,3883,2751,1713,1384,443,16730
LGA10300,3,5,9,13,8,4,0,0,0,42,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,12,20,20,26,29,19,31,21,0,178,24,53,150,158,122,58,57,31,0,653,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,6,20,26,21,20,4,3,4,104,3,0,3,5,8,3,3,3,0,28,0,12,23,19,16,9,3,3,0,85,0,4,15,7,13,13,3,4,0,59,0,0,18,17,19,7,6,3,0,70,0,6,19,10,13,0,3,0,0,51,0,0,12,6,16,8,0,0,0,42,0,0,0,0,0,0,0,0,0,0,4,5,19,9,5,6,3,3,0,54,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,7,29,18,29,40,42,26,30,25,7,246,36,51,158,149,153,96,58,44,11,756
LGA10350,87,329,642,398,302,201,106,49,13,2127,0,3,7,6,7,0,0,0,0,23,13,54,169,117,98,69,29,19,3,571,1337,874,1998,2171,1807,1422,1876,2107,657,14249,1923,4812,13124,11957,8906,5448,4402,3323,851,54746,7,147,405,402,287,135,45,16,3,1447,40,357,833,583,242,59,8,3,0,2125,92,542,1998,2572,2359,1681,1101,803,127,11275,71,324,827,756,545,411,281,194,29,3438,5,48,129,135,105,58,19,10,7,516,22,241,858,774,648,341,181,103,27,3195,10,203,786,791,922,497,236,105,24,3574,216,1297,3151,2613,1885,1057,373,264,55,10911,77,537,1198,944,736,415,142,49,15,4113,28,226,411,244,180,94,51,33,3,1270,125,427,745,521,335,241,94,63,18,2569,13,16,27,28,25,12,5,12,3,141,7,55,164,160,129,74,30,35,8,662,1632,1270,2339,2577,2332,1720,1614,1963,626,16073,2345,5690,13871,13100,10730,6795,4180,3653,945,61309
LGA10470,30,96,174,84,85,44,20,8,0,541,0,6,3,3,3,0,0,0,0,15,3,3,21,13,19,14,10,0,6,89,272,233,479,418,308,261,271,264,136,2642,456,1020,2662,2904,2605,1423,820,498,198,12586,0,6,50,59,54,48,14,4,0,235,15,54,59,64,55,23,6,0,0,276,28,161,422,529,596,368,190,84,14,2392,20,70,174,178,189,141,62,34,3,871,8,35,104,123,92,70,35,18,8,493,12,102,216,280,388,198,97,55,16,1364,3,44,216,278,402,260,89,52,20,1364,53,273,476,486,479,309,114,45,13,2248,32,150,248,276,234,197,69,33,9,1248,13,65,84,74,62,53,13,14,6,384,46,113,192,161,87,61,20,15,4,699,0,8,0,6,0,3,0,0,0,17,4,12,28,28,29,17,14,6,6,144,287,302,532,487,362,328,302,258,92,2950,521,1395,2801,3029,3029,2076,1025,618,191,14685
LGA10550,22,61,174,148,97,67,38,19,3,629,0,0,0,0,3,0,3,0,0,6,0,3,12,25,30,23,13,10,0,116,225,104,192,292,245,302,402,413,136,2311,302,442,1429,2353,2310,1727,1375,850,196,10984,0,11,34,54,56,53,35,13,0,256,3,0,15,29,41,13,6,0,0,107,12,71,188,424,520,470,379,198,31,2293,9,40,119,186,266,172,137,49,7,985,9,27,99,128,132,61,33,12,3,504,3,23,129,242,409,263,138,80,24,1311,7,12,72,149,419,301,155,49,14,1178,20,85,219,325,399,318,150,101,27,1644,12,36,114,212,234,210,75,37,4,934,0,15,54,64,90,59,31,11,0,324,23,82,178,190,151,112,58,27,12,833,0,0,0,6,3,3,0,0,3,15,3,3,17,27,33,25,15,15,6,144,236,77,165,223,367,293,388,440,136,2325,337,482,1403,2259,3120,2353,1600,1032,267,12853
LGA10600,11,18,49,49,37,16,13,6,0,199,0,0,0,0,0,0,0,0,0,0,0,0,3,12,14,10,4,3,0,46,96,31,55,100,102,92,144,122,39,781,125,114,484,1038,1057,611,465,258,56,4208,0,4,10,28,24,25,12,4,0,107,0,7,8,15,27,7,0,0,0,64,0,23,63,135,200,158,131,60,14,784,0,6,32,83,121,72,38,21,7,380,4,15,29,55,48,26,16,12,0,205,0,9,53,125,178,104,49,33,8,559,0,3,35,109,184,125,67,18,5,546,10,26,72,122,141,106,64,27,4,572,5,15,61,117,155,86,28,10,0,477,3,3,25,58,50,33,23,3,0,198,16,28,48,72,51,25,12,9,0,261,0,0,0,0,3,0,0,0,3,6,6,3,7,21,17,14,7,3,0,78,88,29,62,95,107,133,149,166,92,921,132,171,505,1035,1306,914,596,366,133,5158
