region_id,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85_ov,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85_ov,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85_ov,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85o,C11_P_Arch_building_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85o,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85o,C11_P_Healt_To,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85o,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85o,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85o,C11_P_Society_cultur_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85o,C11_P_Creative_arts_Tot,C11_P_FoodHos_PS_15_19,C11_P_FoodHos_PS_20_24,C11_P_FoodHos_PS_25_34,C11_P_FoodHos_PS_35_44,C11_P_FoodHos_PS_45_54,C11_P_FoodHos_PS_55_64,C11_P_FoodHos_PS_65_74,C11_P_FoodHos_PS_75_84,C11_P_FoodHos_PS_85o,C11_P_Foo_hos_pers_S_Tot,C11_P_MixFld_pr_15_19,C11_P_MixFld_pr_20_24,C11_P_MixFld_pr_25_34,C11_P_MixFld_pr_35_44,C11_P_MixFld_pr_45_54,C11_P_MixFld_pr_55_64,C11_P_MixFld_pr_65_74,C11_P_MixFld_pr_75_84,C11_P_MixFld_pr_85_ov,C11_P_MixFld_pr_Tot,C11_P_FldStu_ID_15_19,C11_P_FldStu_ID_20_24,C11_P_FldStu_ID_25_34,C11_P_FldStu_ID_35_44,C11_P_FldStu_ID_45_54,C11_P_FldStu_ID_55_64,C11_P_FldStu_ID_65_74,C11_P_FldStu_ID_75_84,C11_P_FldStu_ID_85o,C11_P_FldStu_ID_Tot,C11_P_FldStu_NS_15_19,C11_P_FldStu_NS_20_24,C11_P_FldStu_NS_25_34,C11_P_FldStu_NS_35_44,C11_P_FldStu_NS_45_54,C11_P_FldStu_NS_55_64,C11_P_FldStu_NS_65_74,C11_P_FldStu_NS_75_84,C11_P_FldStu_NS_85o,C11_P_FldStu_NS_T,C11_P_Tot_15_19,C11_P_Tot_20_24,C11_P_Tot_25_34,C11_P_Tot_35_44,C11_P_Tot_45_54,C11_P_Tot_55_64,C11_P_Tot_65_74,C11_P_Tot_75_84,C11_P_Tot_85o,C11_P_T_T
LGA10050,0,25,80,81,59,55,18,8,4,330,8,49,106,95,66,39,11,4,0,378,24,262,593,582,699,534,296,147,35,3172,33,152,272,261,262,181,96,61,15,1333,8,45,136,135,117,86,52,21,0,600,14,150,487,422,535,414,156,88,29,2295,3,61,305,325,425,377,178,55,18,1747,65,352,875,838,742,468,185,82,24,3631,24,183,449,463,373,306,88,16,9,1911,9,62,144,98,63,58,28,8,3,473,72,175,334,318,184,108,54,33,6,1284,3,0,9,0,0,0,0,0,0,12,0,11,37,33,41,39,11,12,6,190,311,243,384,447,465,443,475,526,351,3645,574,1770,4211,4098,4031,3108,1648,1061,500,21001
LGA10110,0,34,87,97,106,101,63,28,13,529,12,24,74,41,37,19,0,0,0,207,11,68,134,165,220,176,101,65,17,957,14,37,88,96,147,89,48,16,6,541,43,79,126,101,151,74,47,22,10,653,17,54,152,168,267,189,117,56,33,1053,0,36,190,217,282,274,135,53,15,1202,32,180,308,343,361,249,141,48,20,1682,40,131,260,314,340,329,148,45,21,1628,14,50,66,75,75,47,24,19,0,370,28,73,109,87,63,46,15,9,3,433,5,14,3,0,0,4,0,0,0,26,0,9,18,28,40,16,15,4,6,136,215,219,247,251,247,200,200,180,101,1860,431,1008,1862,1983,2336,1813,1054,545,245,11277
LGA10150,0,61,280,190,166,78,38,19,3,835,3,76,571,327,137,51,8,3,0,1176,5,92,470,432,504,344,189,117,31,2184,3,42,170,197,176,121,59,38,10,816,0,10,53,54,34,18,7,3,4,183,3,106,426,358,358,254,91,51,19,1666,5,39,288,311,342,286,122,40,21,1454,21,530,1838,1259,847,448,120,59,32,5154,8,186,838,744,623,449,128,47,19,3042,5,176,484,366,239,94,24,13,6,1407,7,141,345,181,138,66,28,10,8,924,0,7,3,8,7,6,3,0,3,37,3,24,86,87,86,48,10,8,3,355,212,300,674,490,473,371,340,436,382,3678,275,1790,6526,5004,4130,2634,1167,844,541,22911
LGA10200,10,95,296,237,185,109,50,11,0,993,16,143,1060,551,212,44,6,0,0,2032,15,193,817,720,775,540,270,141,37,3508,8,88,294,208,153,121,54,34,8,968,3,15,61,36,49,16,9,6,0,195,8,229,740,454,296,230,73,33,9,2072,4,85,413,297,279,261,123,49,18,1529,58,914,3168,1549,859,468,163,57,20,7256,35,277,864,627,441,287,88,23,10,2652,13,128,340,179,102,75,19,14,0,870,21,301,580,255,158,79,28,7,5,1434,13,25,25,14,25,10,11,0,0,123,0,41,128,100,67,36,9,9,0,390,621,996,2059,1415,1208,738,450,311,138,7936,825,3530,10845,6642,4809,3014,1353,695,245,31958
LGA10250,0,9,42,73,72,75,42,17,6,336,8,16,36,54,51,41,16,0,0,222,11,80,252,343,519,517,386,227,103,2438,14,61,160,255,324,256,151,83,20,1324,5,29,103,147,144,97,65,21,9,620,6,44,243,425,575,494,245,150,57,2239,3,35,190,353,444,598,293,125,31,2072,28,124,435,651,629,549,302,158,66,2942,16,64,258,393,409,386,145,66,15,1752,6,44,117,118,117,76,36,14,7,535,27,99,229,251,188,113,75,29,7,1018,3,4,6,0,3,0,3,0,0,19,3,8,21,28,35,36,14,15,7,167,194,109,205,302,329,358,377,503,300,2677,324,726,2297,3393,3839,3596,2150,1408,628,18361
LGA10300,0,0,3,3,3,3,0,0,0,12,0,0,0,3,0,0,3,0,0,6,4,9,14,20,22,21,18,0,0,108,0,3,5,7,10,6,10,0,0,41,0,7,21,21,14,3,3,0,0,69,0,0,7,13,19,17,5,3,3,67,0,3,12,12,13,14,0,3,0,57,0,6,26,17,16,12,6,0,0,83,0,6,9,13,20,13,3,0,0,64,0,0,6,3,0,0,0,3,0,12,4,8,13,9,12,5,0,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,17,13,16,24,47,41,41,24,11,234,25,55,132,148,179,135,89,36,14,813
LGA10350,5,167,379,409,387,207,71,30,6,1661,27,204,1109,769,422,103,15,0,0,2649,63,527,1767,2396,2584,1882,1190,765,239,11413,59,344,870,862,661,452,307,189,70,3814,11,54,153,128,119,79,24,13,7,588,47,399,1090,941,788,511,234,121,32,4163,24,259,1011,918,854,724,285,141,41,4257,226,1403,3964,3318,2476,1465,549,269,89,13759,110,707,1710,1365,1056,661,201,73,18,5901,36,277,541,337,224,137,62,31,14,1659,120,425,958,715,461,276,145,62,16,3178,17,18,18,28,21,24,10,9,3,148,9,70,195,180,149,90,42,28,12,775,1419,1167,2178,2260,2191,1836,1509,1625,1075,15260,2173,6021,15943,14626,12393,8447,4644,3356,1622,69225
LGA10470,0,3,37,59,65,52,19,8,3,246,11,53,86,66,56,37,9,0,0,318,22,178,447,525,617,475,263,105,36,2668,11,101,176,185,196,178,88,38,8,981,6,45,104,116,123,76,56,27,12,565,19,122,274,310,393,332,123,84,24,1681,3,56,232,327,371,341,169,82,23,1604,44,207,563,565,538,407,177,77,29,2607,26,145,346,354,291,216,103,39,11,1531,19,75,111,93,70,70,44,8,4,494,38,126,221,207,102,75,47,21,3,840,3,0,5,0,0,0,6,3,0,17,5,11,20,30,40,17,11,10,0,144,330,333,532,503,417,365,353,340,157,3330,537,1455,3154,3340,3279,2641,1468,842,310,17026
LGA10550,0,4,28,45,64,98,47,17,6,309,3,10,15,21,42,39,11,4,0,145,13,76,225,341,500,526,400,211,59,2351,9,54,113,167,228,250,146,58,22,1047,12,21,81,134,128,118,42,15,0,551,3,23,128,224,406,339,223,90,27,1463,5,6,95,170,306,431,208,71,17,1309,21,78,182,353,410,425,248,108,33,1858,9,62,156,257,349,323,141,51,16,1364,3,9,59,62,88,105,56,23,5,410,23,75,198,203,183,112,68,27,6,895,3,3,0,0,3,0,3,0,3,15,0,7,10,32,35,44,24,9,3,164,222,80,179,241,311,385,386,416,243,2463,326,508,1469,2250,3053,3195,2003,1100,440,14344
LGA10600,0,0,10,28,26,33,19,8,0,124,4,3,16,19,23,6,9,0,0,80,4,19,56,115,207,192,140,81,19,833,8,10,38,76,118,93,45,20,7,415,8,16,28,57,69,53,14,9,5,259,4,11,46,125,177,154,78,30,14,639,0,7,43,96,161,183,85,35,10,620,10,26,77,126,167,143,85,39,11,684,0,16,44,151,190,146,64,16,0,627,0,18,30,48,65,51,29,7,6,254,12,27,63,65,55,41,21,11,0,295,0,0,3,0,0,0,0,0,0,3,0,0,7,21,18,25,3,3,0,77,70,24,43,64,96,108,126,115,63,709,120,177,504,991,1372,1228,718,374,135,5619
