region_id,C06_M_25_29_Tot_LF,C06_M_25_29_Notin_LF,C06_M_25_29_LF_NS,C06_M_25_29_Tot,C06_M_30_34_Em_FT,C06_M_30_34_Em_PT,C06_M_30_34_Em_AFW,C06_M_30_34_Em_Hrs_NS,C06_M_30_34_Em_Tot,C06_M_30_34_Unem_Look_FT,C06_M_30_34_Unem_Look_PT,C06_M_30_34_Unem_Tot,C06_M_30_34_Tot_LF,C06_M_30_34_Notin_LF,C06_M_30_34_LF_NS,C06_M_30_34_Tot,C06_M_35_39_Em_FT,C06_M_35_39_Em_PT,C06_M_35_39_Em_AFW,C06_M_35_39_Em_Hrs_NS,C06_M_35_39_Em_Tot,C06_M_35_39_Unem_Look_FT,C06_M_35_39_Unem_Look_PT,C06_M_35_39_Unem_Tot,C06_M_35_39_Tot_LF,C06_M_35_39_Notin_LF,C06_M_35_39_LF_NS,C06_M_35_39_Tot,C06_M_40_44_Em_FT,C06_M_40_44_Em_PT,C06_M_40_44_Em_AFW,C06_M_40_44_Em_Hrs_NS,C06_M_40_44_Em_Tot,C06_M_40_44_Unem_Look_FT,C06_M_40_44_Unem_Look_PT,C06_M_40_44_Unem_Tot,C06_M_40_44_Tot_LF,C06_M_40_44_Notin_LF,C06_M_40_44_LF_NS,C06_M_40_44_Tot,C06_M_45_49_Em_FT,C06_M_45_49_Em_PT,C06_M_45_49_Em_AFW,C06_M_45_49_Em_Hrs_NS,C06_M_45_49_Em_Tot,C06_M_45_49_Unem_Look_FT,C06_M_45_49_Unem_Look_PT,C06_M_45_49_Unem_Tot,C06_M_45_49_Tot_LF,C06_M_45_49_Notin_LF,C06_M_45_49_LF_NS,C06_M_45_49_Tot,C06_M_50_54_Em_FT,C06_M_50_54_Em_PT,C06_M_50_54_Em_AFW,C06_M_50_54_Em_Hrs_NS,C06_M_50_54_Em_Tot,C06_M_50_54_Unem_Look_FT,C06_M_50_54_Unem_Look_PT,C06_M_50_54_Unem_Tot,C06_M_50_54_Tot_LF,C06_M_50_54_Notin_LF,C06_M_50_54_LF_NS,C06_M_50_54_Tot,C06_M_55_59_Em_FT,C06_M_55_59_Em_PT,C06_M_55_59_Em_AFW,C06_M_55_59_Em_Hrs_NS,C06_M_55_59_Em_Tot,C06_M_55_59_Unem_Look_FT,C06_M_55_59_Unem_Look_PT,C06_M_55_59_Unem_Tot,C06_M_55_59_Tot_LF,C06_M_55_59_Notin_LF,C06_M_55_59_LF_NS,C06_M_55_59_Tot,C06_M_60_64_Em_FT,C06_M_60_64_Em_PT,C06_M_60_64_Em_AFW,C06_M_60_64_Em_Hrs_NS,C06_M_60_64_Em_Tot,C06_M_60_64_Unem_Look_FT,C06_M_60_64_Unem_Look_PT,C06_M_60_64_Unem_Tot,C06_M_60_64_Tot_LF,C06_M_60_64_Notin_LF,C06_M_60_64_LF_NS,C06_M_60_64_Tot,C06_M_65_69_Em_FT,C06_M_65_69_Em_PT,C06_M_65_69_Em_AFW,C06_M_65_69_Em_Hrs_NS,C06_M_65_69_Em_Tot,C06_M_65_69_Unem_Look_FT,C06_M_65_69_Unem_Look_PT,C06_M_65_69_Unem_Tot,C06_M_65_69_Tot_LF,C06_M_65_69_Notin_LF,C06_M_65_69_LF_NS,C06_M_65_69_Tot,C06_M_70_74_Em_FT,C06_M_70_74_Em_PT,C06_M_70_74_Em_AFW,C06_M_70_74_Em_Hrs_NS,C06_M_70_74_Em_Tot,C06_M_70_74_Unem_Look_FT,C06_M_70_74_Unem_Look_PT,C06_M_70_74_Unem_Tot,C06_M_70_74_Tot_LF,C06_M_70_74_Notin_LF,C06_M_70_74_LF_NS,C06_M_70_74_Tot,C06_M_75ov_Em_FT,C06_M_75ov_Em_PT,C06_M_75ov_Em_AFW,C06_M_75ov_Em_Hrs_NS,C06_M_75over_Em_Tot,C06_M_75ov_Unem_Lo_ft_wor,C06_M_75ov_Unem_Lo_pt_wor,C06_M_75ov_Unempl_Tot,C06_M_75ov_Tot_LF,C06_M_75ov_Notin_LF,C06_M_75ov_LF_NS,C06_M_75ov_Tot,C06_M_Tot_Em_FT,C06_M_Tot_Em_PT,C06_M_Tot_Em_AFW,C06_M_Tot_Em_Hrs_NS,C06_M_Tot_Em_Tot,C06_M_Tot_Unem_Look_FT,C06_M_Tot_Unem_Look_PT,C06_M_Tot_Unem_Tot,C06_M_T_T_labo_for,C06_M_Tot_Notin_LF,C06_M_Tot_LF_NS,C06_M_T_T,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Notin_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Notin_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Notin_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Notin_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Notin_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS
LGA10050,1289,105,88,1482,1006,119,25,38,1188,62,7,69,1257,98,79,1434,1076,112,34,47,1269,50,9,59,1328,140,86,1554,1113,105,44,24,1286,44,9,53,1339,143,93,1575,1220,122,38,30,1410,40,8,48,1458,135,85,1678,1117,144,39,36,1336,38,11,49,1385,172,76,1633,775,164,41,16,996,32,16,48,1044,321,78,1443,378,132,21,12,543,18,5,23,566,389,59,1014,106,79,10,3,198,3,3,6,204,537,53,794,24,33,3,5,65,0,3,3,68,471,61,600,20,17,5,0,42,4,0,4,46,986,162,1194,9127,1867,346,320,11660,538,193,731,12391,4334,1114,17839,302,359,26,33,720,83,76,159,879,811,72,1762,904,258,34,41,1237,89,27,116,1353,218,95,1666,1016,149,39,32,1236,74,14,88,1324,131,77,1532,994,139,29,32,1194,48,9,57,1251,119,77,1447,1002,118,46,23,1189,46,10,56,1245,155,65,1465,1066,126,39,24
LGA10110,427,104,36,567,338,59,12,10,419,25,12,37,456,73,55,584,412,64,9,15,500,17,7,24,524,72,40,636,502,92,16,10,620,18,6,24,644,86,41,771,502,83,15,19,619,13,9,22,641,80,33,754,502,77,17,11,607,24,11,35,642,83,40,765,375,80,15,13,483,21,3,24,507,121,36,664,181,69,12,3,265,8,9,17,282,196,22,500,75,66,3,6,150,0,0,0,150,254,23,427,29,18,7,0,54,0,0,0,54,226,21,301,14,17,0,7,38,0,0,0,38,440,67,545,3621,1193,175,142,5131,273,202,475,5606,2980,512,9098,110,230,28,24,392,33,64,97,489,662,59,1210,323,241,31,8,603,45,68,113,716,485,72,1273,350,108,15,7,480,42,15,57,537,124,60,721,323,81,7,9,420,29,9,38,458,85,50,593,351,55,11,7,424,24,9,33,457,75,44,576,421,81,8,12
LGA10150,1412,175,165,1752,1177,182,33,38,1430,56,18,74,1504,111,152,1767,1055,158,25,30,1268,42,10,52,1320,122,117,1559,1082,167,46,29,1324,34,9,43,1367,116,110,1593,859,157,21,46,1083,48,7,55,1138,140,120,1398,746,138,31,27,942,31,8,39,981,128,108,1217,562,130,25,12,729,33,8,41,770,209,97,1076,279,86,15,11,391,17,5,22,413,283,66,762,76,51,10,4,141,3,3,6,147,407,54,608,27,23,4,3,57,0,3,3,60,517,69,646,14,21,0,3,38,0,0,0,38,959,165,1162,7377,2007,284,291,9959,411,208,619,10578,4135,1504,16217,40,180,13,10,243,11,53,64,307,633,46,986,437,475,25,32,969,71,59,130,1099,372,129,1600,1079,427,35,44,1585,74,40,114,1699,206,168,2073,1213,238,40,29,1520,48,15,63,1583,121,131,1835,1119,195,27,27,1368,57,16,73,1441,103,100,1644,933,156,32,23
LGA10200,2153,749,386,3288,1458,295,53,71,1877,148,21,169,2046,643,289,2978,1277,285,38,78,1678,102,30,132,1810,579,282,2671,1274,292,29,85,1680,125,25,150,1830,515,229,2574,1210,247,27,65,1549,75,16,91,1640,458,206,2304,964,222,21,48,1255,63,12,75,1330,401,154,1885,656,143,41,29,869,58,36,94,963,443,133,1539,322,121,15,10,468,40,21,61,529,555,123,1207,81,38,5,7,131,3,3,6,137,654,78,869,21,17,0,3,41,0,3,3,44,554,63,661,12,15,3,3,33,3,0,3,36,906,154,1096,9828,2859,345,651,13683,983,391,1374,15057,9122,2666,26845,127,258,18,36,439,44,97,141,580,1703,187,2470,925,788,44,128,1885,160,157,317,2202,1092,394,3688,1938,806,49,116,2909,171,85,256,3165,784,460,4409,1955,513,62,99,2629,162,24,186,2815,632,279,3726,1548,365,36,65,2014,118,24,142,2156,538,206,2900,1343,307,35,65
LGA10250,682,91,33,806,556,140,21,20,737,54,11,65,802,77,43,922,664,158,30,17,869,43,11,54,923,119,38,1080,795,182,34,23,1034,45,16,61,1095,131,50,1276,859,203,43,22,1127,51,10,61,1188,183,43,1414,825,216,32,21,1094,51,14,65,1159,202,51,1412,648,224,32,19,923,41,16,57,980,369,55,1404,281,153,25,6,465,33,12,45,510,517,41,1068,100,84,15,11,210,0,4,4,214,692,36,942,33,38,7,0,78,0,0,0,78,674,37,789,24,31,0,4,59,0,0,0,59,1491,165,1715,5842,2072,300,219,8433,514,158,672,9105,5194,688,14987,137,320,21,17,495,47,49,96,591,565,36,1192,361,178,15,18,572,61,26,87,659,120,40,819,409,126,18,15,568,55,11,66,634,77,41,752,503,120,26,20,669,30,11,41,710,106,36,852,646,157,28,16,847,48,12,60,907,106,54,1067,733,167,30,19
LGA10300,77,4,8,89,52,5,4,0,61,3,3,6,67,4,6,77,59,10,4,0,73,0,0,0,73,4,8,85,73,10,3,0,86,3,0,3,89,6,0,95,87,6,3,0,96,3,0,3,99,11,8,118,75,10,0,9,94,0,0,0,94,6,8,108,64,6,4,0,74,0,0,0,74,12,7,93,24,3,3,5,35,0,0,0,35,25,0,60,21,3,0,0,24,0,0,0,24,24,3,51,3,3,0,0,6,0,0,0,6,40,7,53,3,5,0,0,8,0,0,0,8,49,11,68,581,88,26,25,720,21,3,24,744,238,84,1066,18,12,0,4,34,3,0,3,37,33,7,77,32,4,0,3,39,0,0,0,39,7,7,53,39,5,0,0,44,3,0,3,47,4,3,54,46,7,0,0,53,0,0,0,53,3,5,61,51,7,3,3,64,0,0,0,64,8,7,79,56,3,3,5
LGA10350,4528,561,404,5493,3504,550,119,179,4352,253,54,307,4659,570,382,5611,3495,536,94,209,4334,260,52,312,4646,636,351,5633,3646,636,117,191,4590,243,63,306,4896,733,374,6003,3592,663,104,181,4540,197,57,254,4794,792,374,5960,2941,487,105,150,3683,181,46,227,3910,888,255,5053,2270,473,108,84,2935,146,41,187,3122,1284,276,4682,1295,375,67,50,1787,77,44,121,1908,1582,203,3693,327,184,25,16,552,7,4,11,563,2101,193,2857,64,67,14,5,150,4,3,7,157,2086,212,2455,35,48,10,9,102,0,5,5,107,4389,546,5042,27710,6361,1068,1763,36902,2354,700,3054,39956,20080,4400,64436,600,937,70,94,1701,186,283,469,2170,4114,392,6676,2343,1237,112,219,3911,425,178,603,4514,1417,374,6305,3377,715,119,202,4413,318,61,379,4792,805,381,5978,3576,668,131,163,4538,293,54,347,4885,710,350,5945,3727,643,114,173,4657,205,42,247,4904,677,356,5937,3486,677,98,179
LGA10470,800,241,28,1069,720,84,24,19,847,44,5,49,896,219,46,1161,772,65,26,29,892,34,4,38,930,191,44,1165,790,98,24,26,938,24,8,32,970,182,34,1186,866,103,13,25,1007,24,11,35,1042,167,47,1256,835,91,38,21,985,26,5,31,1016,148,32,1196,598,111,25,12,746,15,8,23,769,257,36,1062,297,99,27,15,438,10,10,20,458,337,30,825,96,60,4,0,160,4,0,4,164,385,32,581,32,24,3,0,59,0,0,0,59,377,25,461,20,24,7,5,56,0,0,0,56,665,77,798,6496,1492,297,231,8516,377,183,560,9076,4525,542,14143,238,295,45,16,594,42,78,120,714,860,69,1643,719,302,43,18,1082,78,61,139,1221,433,97,1751,757,101,18,20,896,54,12,66,962,241,47,1250,689,87,22,16,814,23,11,34,848,205,61,1114,799,92,22,23,936,23,7,30,966,170,47,1183,829,80,29,25
LGA10550,390,37,31,458,387,101,28,29,545,41,6,47,592,66,27,685,559,127,26,23,735,38,7,45,780,80,21,881,614,143,32,20,809,38,11,49,858,103,31,992,725,224,24,23,996,43,6,49,1045,159,36,1240,665,192,46,21,924,68,19,87,1011,211,57,1279,524,203,40,19,786,26,14,40,826,330,44,1200,263,167,33,4,467,26,14,40,507,550,23,1080,100,86,15,4,205,4,5,9,214,723,36,973,36,25,7,6,74,0,3,3,77,620,44,741,23,28,7,3,61,0,0,0,61,1108,119,1288,4616,1635,302,209,6762,431,119,550,7312,4569,542,12423,166,226,18,12,422,37,30,67,489,502,44,1035,296,77,18,9,400,49,7,56,456,69,25,550,312,77,15,7,411,34,4,38,449,51,36,536,351,58,16,8,433,29,4,33,466,62,28,556,429,104,21,17,571,27,0,27,598,100,36,734,562,145,23,21
LGA10600,115,26,9,150,120,44,3,6,173,16,3,19,192,35,9,236,156,57,13,9,235,27,0,27,262,40,11,313,224,76,13,8,321,19,7,26,347,62,18,427,231,100,16,12,359,29,11,40,399,87,16,502,228,102,13,11,354,29,7,36,390,111,16,517,160,57,9,4,230,32,5,37,267,178,19,464,86,53,12,5,156,10,6,16,172,221,25,418,39,22,4,0,65,3,3,6,71,269,18,358,13,12,3,0,28,0,0,0,28,247,12,287,13,9,0,5,27,0,0,0,27,404,57,488,1469,645,97,82,2293,226,56,282,2575,1944,235,4754,44,78,0,3,125,18,9,27,152,229,10,391,72,32,4,9,117,14,8,22,139,51,16,206,95,26,10,0,131,26,4,30,161,29,6,196,98,30,3,6,137,13,7,20,157,34,4,195,150,47,8,11,216,11,3,14,230,52,9,291,176,72,5,4
