region_id,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Notin_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Notin_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Notin_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Notin_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Notin_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Notin_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Notin_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75ov_Em_FT,C11_M_75ov_Em_PT,C11_M_75ov_Em_AFW,C11_M_75ov_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Lo_ft_wor,C11_M_75ov_Unem_Lo_pt_wor,C11_M_75ov_Unempl_Tot,C11_M_75ov_Tot_LF,C11_M_75over_N_lab_forc,C11_M_75ov_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_T_T_labo_for,C11_M_Tot_Notin_LF,C11_M_Tot_LF_NS,C11_M_T_T,C01_F_15_19_Em_FT,C01_F_15_19_Em_PT,C01_F_15_19_Em_AFW,C01_F_15_19_Em_Hrs_NS,C01_F_15_19_Em_Tot,C01_F_15_19_Unem_Look_FT,C01_F_15_19_Unem_Look_PT,C01_F_15_19_Unem_Tot,C01_F_15_19_Tot_LF,C01_F_15_19_Notin_LF,C01_F_15_19_LF_NS,C01_F_15_19_Tot,C01_F_20_24_Em_FT,C01_F_20_24_Em_PT,C01_F_20_24_Em_AFW,C01_F_20_24_Em_Hrs_NS,C01_F_20_24_Em_Tot,C01_F_20_24_Unem_Look_FT,C01_F_20_24_Unem_Look_PT,C01_F_20_24_Unem_Tot,C01_F_20_24_Tot_LF,C01_F_20_24_Notin_LF,C01_F_20_24_LF_NS,C01_F_20_24_Tot,C01_F_25_29_Em_FT,C01_F_25_29_Em_PT,C01_F_25_29_Em_AFW,C01_F_25_29_Em_Hrs_NS,C01_F_25_29_Em_Tot,C01_F_25_29_Unem_Look_FT,C01_F_25_29_Unem_Look_PT,C01_F_25_29_Unem_Tot,C01_F_25_29_Tot_LF,C01_F_25_29_Notin_LF,C01_F_25_29_LF_NS,C01_F_25_29_Tot,C01_F_30_34_Em_FT,C01_F_30_34_Em_PT,C01_F_30_34_Em_AFW,C01_F_30_34_Em_Hrs_NS,C01_F_30_34_Em_Tot,C01_F_30_34_Unem_Look_FT,C01_F_30_34_Unem_Look_PT,C01_F_30_34_Unem_Tot,C01_F_30_34_Tot_LF,C01_F_30_34_Notin_LF,C01_F_30_34_LF_NS,C01_F_30_34_Tot,C01_F_35_39_Em_FT,C01_F_35_39_Em_PT,C01_F_35_39_Em_AFW,C01_F_35_39_Em_Hrs_NS,C01_F_35_39_Em_Tot,C01_F_35_39_Unem_Look_FT,C01_F_35_39_Unem_Look_PT,C01_F_35_39_Unem_Tot,C01_F_35_39_Tot_LF,C01_F_35_39_Notin_LF,C01_F_35_39_LF_NS,C01_F_35_39_Tot,C01_F_40_44_Em_FT,C01_F_40_44_Em_PT,C01_F_40_44_Em_AFW,C01_F_40_44_Em_Hrs_NS,C01_F_40_44_Em_Tot,C01_F_40_44_Unem_Look_FT,C01_F_40_44_Unem_Look_PT,C01_F_40_44_Unem_Tot,C01_F_40_44_Tot_LF,C01_F_40_44_Notin_LF,C01_F_40_44_LF_NS,C01_F_40_44_Tot,C01_F_45_49_Em_FT,C01_F_45_49_Em_PT,C01_F_45_49_Em_AFW,C01_F_45_49_Em_Hrs_NS,C01_F_45_49_Em_Tot,C01_F_45_49_Unem_Look_FT,C01_F_45_49_Unem_Look_PT,C01_F_45_49_Unem_Tot,C01_F_45_49_Tot_LF,C01_F_45_49_Notin_LF,C01_F_45_49_LF_NS,C01_F_45_49_Tot,C01_F_50_54_Em_FT,C01_F_50_54_Em_PT,C01_F_50_54_Em_AFW,C01_F_50_54_Em_Hrs_NS,C01_F_50_54_Em_Tot,C01_F_50_54_Unem_Look_FT,C01_F_50_54_Unem_Look_PT,C01_F_50_54_Unem_Tot,C01_F_50_54_Tot_LF,C01_F_50_54_Notin_LF,C01_F_50_54_LF_NS,C01_F_50_54_Tot
LGA10050,1255,54,16,70,1325,153,87,1565,1059,106,35,16,1216,37,9,46,1262,162,74,1498,1086,129,47,28,1290,49,15,64,1354,177,83,1614,845,172,44,17,1078,34,9,43,1121,251,66,1438,512,194,41,11,758,34,15,49,807,439,51,1297,147,108,15,5,275,0,0,0,275,570,55,900,28,65,4,3,100,0,0,0,100,591,46,737,12,28,4,4,48,0,0,0,48,1178,117,1343,8973,1951,403,269,11596,548,200,748,12344,4955,965,18264,138,629,26,34,827,74,121,195,1022,733,40,1795,490,457,22,17,986,101,57,158,1144,427,51,1622,538,322,33,15,908,48,37,85,993,368,55,1416,455,445,53,16,969,39,20,59,1028,457,44,1529,433,564,32,15,1044,33,31,64,1108,440,47,1595,609,616,37,26,1288,40,31,71,1359,362,34,1755,642,486,44,30,1202,33,17,50,1252,324,55,1631,491,385,38,17,931,28,10,38,969,376,42,1387
LGA10110,522,18,0,18,540,83,54,677,516,71,24,11,622,20,3,23,645,109,41,795,491,80,18,12,601,20,9,29,630,91,40,761,435,91,21,16,563,14,9,23,586,97,36,719,239,97,6,5,347,8,9,17,364,200,37,601,75,57,9,3,144,0,3,3,147,263,29,439,30,37,6,0,73,3,3,6,79,281,16,376,27,18,3,0,48,0,0,0,48,500,52,600,3691,1247,187,114,5239,256,201,457,5696,3055,590,9341,68,291,34,13,406,30,106,136,542,965,23,1530,195,321,33,5,554,43,55,98,652,569,13,1234,208,172,22,5,407,25,22,47,454,228,18,700,193,220,23,10,446,19,13,32,478,211,16,705,241,267,23,10,541,10,16,26,567,226,18,811,336,289,16,13,654,13,13,26,680,212,18,910,368,224,17,15,624,9,8,17,641,151,13,805,313,173,25,8,519,14,5,19,538,181,15,734
LGA10150,1144,41,13,54,1198,114,87,1399,969,153,20,32,1174,48,11,59,1233,119,81,1433,756,160,27,30,973,45,10,55,1028,150,83,1261,616,138,21,26,801,38,9,47,848,179,62,1089,354,142,25,11,532,28,16,44,576,317,55,948,112,87,12,3,214,0,7,7,221,390,50,661,28,27,4,3,62,4,0,4,66,444,43,553,14,15,4,7,40,0,0,0,40,1144,160,1344,7670,2393,285,277,10625,465,249,714,11339,4292,1195,16826,73,234,18,35,360,11,24,35,395,524,92,1011,509,333,22,43,907,46,42,88,995,293,73,1361,941,280,47,21,1289,46,31,77,1366,320,85,1771,813,336,57,38,1244,47,24,71,1315,403,95,1813,761,446,52,32,1291,33,25,58,1349,375,108,1832,689,379,36,30,1134,32,20,52,1186,335,88,1609,637,310,31,29,1007,29,13,42,1049,262,93,1404,466,211,23,26,726,17,10,27,753,328,66,1147
LGA10200,1750,97,21,118,1868,531,195,2594,1303,295,58,68,1724,72,23,95,1819,498,195,2512,1197,293,34,60,1584,68,19,87,1671,483,197,2351,907,207,42,41,1197,50,22,72,1269,488,138,1895,462,177,24,18,681,44,19,63,744,639,100,1483,140,80,15,11,246,5,5,10,256,673,70,999,24,26,3,3,56,0,0,0,56,650,57,763,11,17,5,0,33,0,4,4,37,1067,101,1205,11880,4132,425,710,17147,991,500,1491,18638,9778,2579,30995,112,302,11,48,473,63,65,128,601,1365,86,2052,630,334,40,72,1076,107,57,164,1240,783,89,2112,712,218,55,37,1022,89,37,126,1148,848,111,2107,647,246,45,37,975,84,41,125,1100,1001,106,2207,621,325,37,49,1032,59,38,97,1129,987,105,2221,682,297,31,47,1057,60,43,103,1160,785,84,2029,602,255,31,39,927,57,23,80,1007,657,82,1746,432,181,24,28,665,49,24,73,738,653,59,1450
LGA10250,949,40,15,55,1004,154,53,1211,795,183,31,26,1035,43,0,43,1078,189,46,1313,813,210,58,18,1099,33,17,50,1149,204,61,1414,700,223,54,18,995,34,19,53,1048,298,56,1402,432,225,29,11,697,26,21,47,744,604,63,1411,132,131,22,7,292,5,0,5,297,786,49,1132,38,54,0,0,92,0,0,0,92,730,48,870,19,38,6,11,74,0,0,0,74,1628,143,1845,5718,2132,338,196,8384,422,181,603,8987,5567,726,15280,109,386,23,27,545,44,62,106,651,541,24,1216,229,185,19,9,442,54,22,76,518,206,30,754,273,228,30,8,539,33,17,50,589,255,24,868,238,342,26,17,623,39,23,62,685,360,26,1071,295,423,25,22,765,38,38,76,841,366,27,1234,463,525,34,22,1044,41,40,81,1125,358,30,1513,577,486,53,18,1134,37,30,67,1201,299,20,1520,438,369,42,16,865,26,17,43,908,404,16,1328
LGA10300,67,3,3,6,73,5,5,83,56,8,0,3,67,3,0,3,70,7,7,84,76,5,3,3,87,3,3,6,93,8,11,112,53,17,4,0,74,0,3,3,77,9,9,95,44,11,0,4,59,3,0,3,62,33,8,103,15,10,4,0,29,0,0,0,29,31,8,68,7,6,0,3,16,0,0,0,16,37,11,64,0,0,0,0,0,0,0,0,0,58,15,73,493,95,17,28,633,18,9,27,660,243,103,1006,3,14,0,3,20,0,3,3,23,34,3,60,29,16,3,0,48,3,0,3,51,16,3,70,27,24,0,0,51,0,0,0,51,35,0,86,24,20,5,5,54,0,0,0,54,37,3,94,31,30,0,4,65,3,3,6,71,25,0,96,52,35,3,4,94,3,3,6,100,18,4,122,43,22,3,0,68,3,3,6,74,22,3,99,24,14,0,3,41,0,0,0,41,30,0,71
LGA10350,4440,218,59,277,4717,767,334,5818,3550,686,116,149,4501,216,53,269,4770,916,343,6029,3383,693,117,137,4330,208,43,251,4581,1042,342,5965,2511,534,110,89,3244,151,78,229,3473,1271,335,5079,1549,508,73,53,2183,107,51,158,2341,1844,246,4431,540,267,42,25,874,5,23,28,902,2282,218,3402,110,101,11,9,231,0,3,3,234,2197,175,2606,25,45,4,7,81,0,5,5,86,4627,507,5220,28777,7711,1117,1499,39104,2332,933,3265,42369,22669,4353,69391,600,1199,63,163,2025,157,184,341,2366,3057,196,5619,2375,1014,120,137,3646,256,120,376,4022,1390,173,5585,2611,774,185,118,3688,159,88,247,3935,1949,214,6098,1911,1101,149,81,3242,137,99,236,3478,2276,220,5974,1777,1318,142,98,3335,124,120,244,3579,2294,250,6123,1913,1334,102,95,3444,107,111,218,3662,2017,213,5892,1851,1128,86,107,3172,126,59,185,3357,1811,173,5341,1522,1032,121,63,2738,81,52,133,2871,1982,148,5001
LGA10470,963,34,0,34,997,179,60,1236,833,114,25,26,998,22,8,30,1028,160,46,1234,850,118,37,17,1022,20,7,27,1049,166,51,1266,747,117,35,9,908,21,8,29,937,191,52,1180,391,139,21,8,559,15,8,23,582,406,49,1037,142,111,11,7,271,0,7,7,278,506,56,840,44,57,0,6,107,0,0,0,107,441,30,578,23,35,7,5,70,0,0,0,70,761,88,919,7061,1648,315,196,9220,332,207,539,9759,4719,753,15231,105,483,53,26,667,56,138,194,861,867,30,1758,328,410,56,7,801,62,81,143,944,408,25,1377,412,220,40,17,689,27,19,46,735,289,27,1051,321,325,46,12,704,27,19,46,750,345,30,1125,367,408,41,11,827,23,18,41,868,338,31,1237,500,380,30,31,941,36,32,68,1009,243,15,1267,494,361,30,13,898,23,7,30,928,200,26,1154,401,281,39,20,741,9,14,23,764,270,28,1062
LGA10550,751,30,13,43,794,101,47,942,633,136,29,18,816,32,13,45,861,167,30,1058,711,222,38,17,988,35,14,49,1037,211,52,1300,574,246,55,17,892,36,15,51,943,355,55,1353,381,215,30,7,633,31,21,52,685,636,60,1381,103,118,19,13,253,4,5,9,262,784,40,1086,47,58,7,6,118,0,3,3,121,744,68,933,18,37,6,6,67,0,3,3,70,1228,116,1414,4583,1719,295,158,6755,344,132,476,7231,5010,637,12878,69,218,24,20,331,40,35,75,406,466,34,906,154,101,11,9,275,32,13,45,320,140,25,485,149,164,18,7,338,20,11,31,369,216,38,623,163,271,19,12,465,29,25,54,519,301,30,850,224,361,40,12,637,35,18,53,690,319,39,1048,381,487,36,13,917,40,26,66,983,288,26,1297,367,380,47,17,811,31,22,53,864,283,19,1166,278,291,43,16,628,26,10,36,664,362,23,1049
LGA10600,257,18,6,24,281,54,9,344,225,76,12,9,322,13,3,16,338,74,9,421,225,107,16,7,355,22,9,31,386,97,21,504,192,126,17,3,338,15,6,21,359,152,14,525,121,72,9,4,206,6,8,14,220,259,15,494,51,38,3,3,95,3,3,6,101,311,13,425,16,13,3,0,32,0,3,3,35,233,12,280,11,14,0,4,29,0,0,0,29,473,20,522,1476,731,90,63,2360,159,69,228,2588,2048,158,4794,16,103,7,10,136,16,17,33,169,195,7,371,23,28,4,3,58,17,5,22,80,66,6,152,37,49,9,3,98,7,3,10,108,105,3,216,63,95,10,3,171,13,11,24,195,130,9,334,89,138,13,7,247,18,20,38,285,157,9,451,129,211,14,7,361,29,23,52,413,142,7,562,139,159,12,7,317,16,10,26,343,140,7,490,119,107,11,7,244,15,7,22,266,147,10,423
