region_id,C06_F_65_69_Tot_LF,C06_F_65_69_Notin_LF,C06_F_65_69_LF_NS,C06_F_65_69_Tot,C06_F_70_74_Em_FT,C06_F_70_74_Em_PT,C06_F_70_74_Em_AFW,C06_F_70_74_Em_Hrs_NS,C06_F_70_74_Em_Tot,C06_F_70_74_Unem_Look_FT,C06_F_70_74_Unem_Look_PT,C06_F_70_74_Unem_Tot,C06_F_70_74_Tot_LF,C06_F_70_74_Notin_LF,C06_F_70_74_LF_NS,C06_F_70_74_Tot,C06_F_75ov_Em_FT,C06_F_75ov_Em_PT,C06_F_75ov_Emp_A_fr_wo,C06_F_75ov_Em_Hou_wor_ns,C06_F_75over_Em_Tot,C06_F_75ov_Unem_Lo_ft_wor,C06_F_75ov_Unem_Lo_pt_wor,C06_F_75over_Unem_Tot,C06_F_75ov_Tot_LF,C06_F_75over_N_lab_forc,C06_F_75ov_LF_NS,C06_F_75andOver_Tot,C06_F_Tot_Em_FT,C06_F_Tot_Em_PT,C06_F_Tot_Em_AFW,C06_F_Tot_Em_Hrs_NS,C06_F_Tot_Em_Tot,C06_F_Tot_Unem_Look_FT,C06_F_Tot_Unem_Look_PT,C06_F_Tot_Unem_Tot,C06_F_T_T_labo_for,C06_F_Tot_Notin_LF,C06_F_Tot_LF_NS,C06_F_T_T,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Notin_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Notin_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Notin_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Notin_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Notin_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Notin_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Notin_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Notin_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot,C11_F_55_59_Em_FT,C11_F_55_59_Em_PT,C11_F_55_59_Em_AFW,C11_F_55_59_Em_Hrs_NS,C11_F_55_59_Em_Tot,C11_F_55_59_Unem_Look_FT,C11_F_55_59_Unem_Look_PT,C11_F_55_59_Unem_Tot,C11_F_55_59_Tot_LF,C11_F_55_59_Notin_LF,C11_F_55_59_LF_NS,C11_F_55_59_Tot,C11_F_60_64_Em_FT,C11_F_60_64_Em_PT,C11_F_60_64_Em_AFW,C11_F_60_64_Em_Hrs_NS,C11_F_60_64_Em_Tot,C11_F_60_64_Unem_Look_FT,C11_F_60_64_Unem_Look_PT,C11_F_60_64_Unem_Tot,C11_F_60_64_Tot_LF,C11_F_60_64_Notin_LF,C11_F_60_64_LF_NS,C11_F_60_64_Tot,C11_F_65_69_Em_FT,C11_F_65_69_Em_PT,C11_F_65_69_Em_AFW,C11_F_65_69_Em_Hrs_NS,C11_F_65_69_Em_Tot,C11_F_65_69_Unem_Look_FT,C11_F_65_69_Unem_Look_PT,C11_F_65_69_Unem_Tot,C11_F_65_69_Tot_LF,C11_F_65_69_Notin_LF,C11_F_65_69_LF_NS,C11_F_65_69_Tot,C11_F_70_74_Em_FT,C11_F_70_74_Em_PT,C11_F_70_74_Em_AFW,C11_F_70_74_Em_Hrs_NS,C11_F_70_74_Em_Tot,C11_F_70_74_Unem_Look_FT,C11_F_70_74_Unem_Look_PT,C11_F_70_74_Unem_Tot,C11_F_70_74_Tot_LF,C11_F_70_74_Notin_LF,C11_F_70_74_LF_NS,C11_F_70_74_Tot,C11_F_75ov_Em_FT,C11_F_75ov_Em_PT,C11_F_75ov_Emp_Aw_fr_w,C11_F_75ov_Emp_Hou_w_ns,C11_F_75over_Em_Tot,C11_F_75ov_Unem_Lo_ft_wor,C11_F_75ov_Unem_Lo_pt_wor,C11_F_75ov_Unemp_Tot,C11_F_75ov_Tot_lab_for,C11_F_75ov_N_lab_forc,C11_F_75ov_LF_NS,C11_F_75ov_yr_Tot,C11_F_Tot_Em_FT,C11_F_Tot_Em_PT,C11_F_Tot_Em_AFW,C11_F_Tot_Em_Hrs_NS
LGA10050,91,705,48,844,5,17,6,4,32,0,0,0,32,627,72,731,3,10,4,5,22,0,0,0,22,1676,255,1953,4585,4963,447,207,10202,344,339,683,10885,7268,953,19106,169,653,44,30,896,45,108,153,1049,720,61,1830,568,559,68,28,1223,58,62,120,1343,440,78,1861,665,374,74,15,1128,38,31,69,1197,333,57,1587,429,451,67,15,962,34,28,62,1024,380,59,1463,447,581,59,19,1106,27,29,56,1162,346,47,1555,577,575,42,23,1217,22,25,47,1264,281,72,1617,651,553,23,19,1246,16,27,43,1289,265,53,1607,692,568,47,18,1325,25,21,46,1371,304,56,1731,442,472,40,12,966,12,23,35,1001,439,60,1500,211,326,34,13,584,5,13,18,602,690,48,1340,39,103,11,0,153,0,3,3,156,788,49,993,11,34,3,3,51,0,0,0,51,769,67,887,3,8,8,4,23,0,3,3,26,1894,203,2123,4904,5257,520,199
LGA10110,78,346,22,446,13,14,4,4,35,0,0,0,35,302,21,358,3,12,3,3,21,0,0,0,21,705,135,861,2255,2337,248,92,4932,163,283,446,5378,4342,482,10202,72,334,51,17,474,21,106,127,601,767,65,1433,236,339,50,10,635,15,80,95,730,596,100,1426,231,153,28,10,422,14,13,27,449,193,41,683,185,161,26,3,375,9,24,33,408,166,41,615,215,216,16,4,451,22,12,34,485,164,46,695,281,238,17,6,542,11,10,21,563,155,47,765,327,296,21,8,652,7,11,18,670,128,34,832,395,216,23,7,641,7,14,21,662,137,43,842,282,212,17,4,515,6,4,10,525,167,28,720,138,134,13,6,291,3,5,8,299,278,26,603,43,63,5,0,111,0,0,0,111,387,26,524,14,23,3,0,40,0,0,0,40,365,34,439,3,15,4,0,22,0,0,0,22,796,134,952,2422,2400,274,75
LGA10150,65,564,59,688,9,15,0,0,24,0,0,0,24,592,54,670,4,12,0,5,21,0,0,0,21,1590,332,1943,5452,3098,353,216,9119,240,263,503,9622,6252,1396,17270,43,222,15,13,293,10,39,49,342,542,51,935,412,532,26,19,989,43,79,122,1111,381,99,1591,997,419,69,37,1522,46,53,99,1621,318,138,2077,812,385,80,11,1288,45,32,77,1365,380,103,1848,674,449,82,14,1219,25,32,57,1276,325,91,1692,680,433,48,14,1175,30,20,50,1225,281,76,1582,675,449,22,18,1164,31,28,59,1223,232,76,1531,610,325,32,20,987,30,24,54,1041,264,60,1365,424,242,24,14,704,18,27,45,749,320,57,1126,254,158,14,4,430,8,11,19,449,459,51,959,52,70,3,6,131,0,3,3,134,507,38,679,7,23,0,3,33,0,0,0,33,576,67,676,3,13,0,3,19,0,0,0,19,1741,250,2010,5643,3720,415,176
LGA10200,57,674,79,810,6,7,0,0,13,0,0,0,13,599,72,684,9,5,0,3,17,0,0,0,17,1472,230,1719,5693,3028,342,370,9433,468,470,938,10371,11848,2275,24494,51,281,22,23,377,31,89,120,497,1602,123,2222,705,698,50,70,1523,92,133,225,1748,1154,239,3141,1324,607,94,69,2094,108,83,191,2285,1275,280,3840,1024,469,90,35,1618,76,54,130,1748,1230,190,3168,764,408,63,29,1264,59,69,128,1392,1025,155,2572,758,440,35,39,1272,53,62,115,1387,929,182,2498,769,426,22,38,1255,61,51,112,1367,823,145,2335,777,337,20,29,1163,56,44,100,1263,821,168,2252,529,245,37,25,836,41,27,68,904,843,117,1864,229,158,27,13,427,7,20,27,454,860,64,1378,54,47,0,6,107,0,3,3,110,732,74,916,8,10,3,3,24,0,6,6,30,687,54,771,0,6,4,7,17,0,3,3,20,1506,127,1653,6992,4132,467,386
LGA10250,93,879,56,1028,7,21,3,5,36,3,3,6,42,799,49,890,5,8,5,7,25,4,0,4,29,2073,323,2425,3286,4000,346,171,7803,249,343,592,8395,7310,833,16538,68,458,28,10,564,30,65,95,659,442,39,1140,216,269,21,13,519,25,31,56,575,178,30,783,243,224,32,14,513,24,18,42,555,196,35,786,231,294,49,11,585,19,17,36,621,256,35,912,337,451,53,11,852,23,26,49,901,277,42,1220,461,534,39,14,1048,30,29,59,1107,278,45,1430,512,536,30,12,1090,18,35,53,1143,244,37,1424,572,545,48,28,1193,31,21,52,1245,307,34,1586,413,475,48,11,947,18,21,39,986,508,53,1547,196,312,34,11,553,3,16,19,572,822,39,1433,47,136,10,3,196,0,5,5,201,949,42,1192,16,29,9,3,57,0,0,0,57,909,53,1019,6,18,3,6,33,0,0,0,33,2289,247,2569,3318,4281,404,147
LGA10300,11,45,3,59,5,0,0,0,5,0,0,0,5,31,7,43,3,0,0,0,3,0,0,0,3,76,15,94,258,210,21,23,512,17,16,33,545,362,64,971,4,10,0,0,14,0,3,3,17,42,0,59,18,25,0,0,43,0,3,3,46,9,5,60,22,10,0,0,32,0,0,0,32,20,0,52,14,18,0,3,35,3,3,6,41,19,3,63,20,24,3,0,47,0,0,0,47,22,6,75,25,21,3,3,52,0,3,3,55,18,5,78,34,26,3,3,66,3,0,3,69,20,7,96,36,23,3,3,65,0,0,0,65,21,6,92,34,24,3,3,64,0,0,0,64,32,3,99,13,5,3,3,24,0,0,0,24,32,3,59,7,0,3,0,10,0,0,0,10,38,5,53,3,3,0,0,6,0,0,0,6,41,5,52,0,0,0,3,3,0,0,0,3,74,10,87,230,189,21,21
LGA10350,253,2551,220,3024,18,51,7,3,79,0,3,3,82,2579,243,2904,14,25,9,13,61,6,0,6,67,6415,813,7295,15356,10897,1114,996,28363,1134,1072,2206,30569,32979,4562,68110,310,1227,97,85,1719,120,255,375,2094,3913,291,6298,1791,1478,137,153,3559,243,191,434,3993,1866,335,6194,2381,957,232,89,3659,133,114,247,3906,2150,358,6414,1851,1164,229,69,3313,131,119,250,3563,2372,359,6294,1755,1441,171,67,3434,94,158,252,3686,2408,381,6475,1851,1507,105,88,3551,96,150,246,3797,2030,333,6160,2129,1442,103,84,3758,122,131,253,4011,1900,327,6238,1910,1278,122,69,3379,108,99,207,3586,2101,304,5991,1341,945,75,52,2413,76,73,149,2562,2244,271,5077,667,661,70,33,1431,30,33,63,1494,2710,231,4435,140,234,24,12,410,0,3,3,413,2596,206,3215,16,79,3,5,103,0,3,3,106,2488,194,2788,14,31,3,10,58,0,0,0,58,6648,841,7547,16156,12444,1371,816
LGA10470,94,463,32,589,12,21,3,4,40,0,0,0,40,504,45,589,8,14,3,3,28,0,0,0,28,1109,121,1258,3478,3712,401,160,7751,219,324,543,8294,5617,568,14479,100,543,46,13,702,31,97,128,830,723,63,1616,391,546,57,14,1008,52,63,115,1123,463,74,1660,410,261,39,8,718,19,25,44,762,261,48,1071,291,320,67,11,689,27,23,50,739,284,44,1067,388,403,52,9,852,22,21,43,895,258,59,1212,456,448,25,18,947,18,23,41,988,222,37,1247,548,382,30,9,969,10,26,36,1005,211,41,1257,555,383,33,14,985,6,9,15,1000,219,43,1262,395,334,27,6,762,10,9,19,781,294,47,1122,208,240,19,16,483,4,6,10,493,477,51,1021,54,85,11,0,150,0,3,3,153,640,48,841,10,42,0,3,55,0,0,0,55,478,51,584,11,17,0,5,33,0,0,0,33,1300,136,1469,3817,4004,406,126
LGA10550,87,803,39,929,10,23,0,3,36,0,0,0,36,676,58,770,0,10,4,6,20,0,4,4,24,1366,155,1545,2241,3201,281,129,5852,201,190,391,6243,6273,574,13090,63,325,30,22,440,18,24,42,482,474,39,995,142,172,18,3,335,19,8,27,362,112,31,505,151,156,31,3,341,4,5,9,350,188,34,572,153,207,32,8,400,11,14,25,425,211,33,669,205,298,33,12,548,15,14,29,577,209,31,817,309,400,35,12,756,13,22,35,791,192,36,1019,400,434,37,11,882,20,20,40,922,197,40,1159,439,546,62,12,1059,28,23,51,1110,327,52,1489,319,397,50,10,776,10,31,41,817,498,54,1369,135,299,39,7,480,15,15,30,510,789,58,1357,53,97,8,3,161,0,3,3,164,889,39,1092,12,28,0,0,40,0,3,3,43,750,59,852,6,13,0,5,24,0,0,0,24,1478,208,1710,2387,3372,375,108
LGA10600,41,313,13,367,6,3,3,0,12,0,0,0,12,248,22,282,4,0,0,4,8,0,0,0,8,470,98,576,814,1192,79,54,2139,113,122,235,2374,2468,269,5111,17,106,4,0,127,13,22,35,162,225,7,394,38,60,3,4,105,12,9,21,126,82,3,211,39,54,6,6,105,7,5,12,117,81,5,203,46,69,10,4,129,3,6,9,138,95,8,241,71,134,13,3,221,3,11,14,235,127,6,368,107,184,9,3,303,11,18,29,332,98,6,436,148,202,7,0,357,9,11,20,377,113,13,503,175,234,15,6,430,9,14,23,453,120,10,583,135,162,23,6,326,7,7,14,340,178,11,529,60,101,13,4,178,0,0,0,178,279,16,473,17,25,6,3,51,3,0,3,54,324,15,393,9,11,3,3,26,0,0,0,26,273,11,310,3,8,0,0,11,0,0,0,11,560,43,614,865,1350,112,42
