region_id,C11_F_Tot_Em_Tot,C11_F_Tot_Unem_Look_FT,C11_F_Tot_Unem_Look_PT,C11_F_Tot_Unem_Tot,C11_F_T_T_labo_for,C11_F_Tot_Notin_LF,C11_F_Tot_LF_NS,C11_F_T_T,C01_P_15_19_Em_FT,C01_P_15_19_Em_PT,C01_P_15_19_Em_AFW,C01_P_15_19_Em_Hrs_NS,C01_P_15_19_Em_Tot,C01_P_15_19_Unem_Look_FT,C01_P_15_19_Unem_Look_PT,C01_P_15_19_Unem_Tot,C01_P_15_19_Tot_LF,C01_P_15_19_Notin_LF,C01_P_15_19_LF_NS,C01_P_15_19_Tot,C01_P_20_24_Em_FT,C01_P_20_24_Em_PT,C01_P_20_24_Em_AFW,C01_P_20_24_Em_Hrs_NS,C01_P_20_24_Em_Tot,C01_P_20_24_Unem_Look_FT,C01_P_20_24_Unem_Look_PT,C01_P_20_24_Unem_Tot,C01_P_20_24_Tot_LF,C01_P_20_24_Notin_LF,C01_P_20_24_LF_NS,C01_P_20_24_Tot,C01_P_25_29_Em_FT,C01_P_25_29_Em_PT,C01_P_25_29_Em_AFW,C01_P_25_29_Em_Hrs_NS,C01_P_25_29_Em_Tot,C01_P_25_29_Unem_Look_FT,C01_P_25_29_Unem_Look_PT,C01_P_25_29_Unem_Tot,C01_P_25_29_Tot_LF,C01_P_25_29_Notin_LF,C01_P_25_29_LF_NS,C01_P_25_29_Tot,C01_P_30_34_Em_FT,C01_P_30_34_Em_PT,C01_P_30_34_Em_AFW,C01_P_30_34_Em_Hrs_NS,C01_P_30_34_Em_Tot,C01_P_30_34_Unem_Look_FT,C01_P_30_34_Unem_Look_PT,C01_P_30_34_Unem_Tot,C01_P_30_34_Tot_LF,C01_P_30_34_Notin_LF,C01_P_30_34_LF_NS,C01_P_30_34_Tot,C01_P_35_39_Em_FT,C01_P_35_39_Em_PT,C01_P_35_39_Em_AFW,C01_P_35_39_Em_Hrs_NS,C01_P_35_39_Em_Tot,C01_P_35_39_Unem_Look_FT,C01_P_35_39_Unem_Look_PT,C01_P_35_39_Unem_Tot,C01_P_35_39_Tot_LF,C01_P_35_39_Notin_LF,C01_P_35_39_LF_NS,C01_P_35_39_Tot,C01_P_40_44_Em_FT,C01_P_40_44_Em_PT,C01_P_40_44_Em_AFW,C01_P_40_44_Em_Hrs_NS,C01_P_40_44_Em_Tot,C01_P_40_44_Unem_Look_FT,C01_P_40_44_Unem_Look_PT,C01_P_40_44_Unem_Tot,C01_P_40_44_Tot_LF,C01_P_40_44_Notin_LF,C01_P_40_44_LF_NS,C01_P_40_44_Tot,C01_P_45_49_Em_FT,C01_P_45_49_Em_PT,C01_P_45_49_Em_AFW,C01_P_45_49_Em_Hrs_NS,C01_P_45_49_Em_Tot,C01_P_45_49_Unem_Look_FT,C01_P_45_49_Unem_Look_PT,C01_P_45_49_Unem_Tot,C01_P_45_49_Tot_LF,C01_P_45_49_Notin_LF,C01_P_45_49_LF_NS,C01_P_45_49_Tot,C01_P_50_54_Em_FT,C01_P_50_54_Em_PT,C01_P_50_54_Em_AFW,C01_P_50_54_Em_Hrs_NS,C01_P_50_54_Em_Tot,C01_P_50_54_Unem_Look_FT,C01_P_50_54_Unem_Look_PT,C01_P_50_54_Unem_Tot,C01_P_50_54_Tot_LF,C01_P_50_54_Notin_LF,C01_P_50_54_LF_NS,C01_P_50_54_Tot,C01_P_55_59_Em_FT,C01_P_55_59_Em_PT,C01_P_55_59_Em_AFW,C01_P_55_59_Em_Hrs_NS,C01_P_55_59_Em_Tot,C01_P_55_59_Unem_Look_FT,C01_P_55_59_Unem_Look_PT,C01_P_55_59_Unem_Tot,C01_P_55_59_Tot_LF,C01_P_55_59_Notin_LF,C01_P_55_59_LF_NS,C01_P_55_59_Tot,C01_P_60_64_Em_FT,C01_P_60_64_Em_PT,C01_P_60_64_Em_AFW,C01_P_60_64_Em_Hrs_NS,C01_P_60_64_Em_Tot,C01_P_60_64_Unem_Look_FT,C01_P_60_64_Unem_Look_PT,C01_P_60_64_Unem_Tot,C01_P_60_64_Tot_LF,C01_P_60_64_Notin_LF,C01_P_60_64_LF_NS,C01_P_60_64_Tot,C01_P_65_69_Em_FT,C01_P_65_69_Em_PT,C01_P_65_69_Em_AFW,C01_P_65_69_Em_Hrs_NS,C01_P_65_69_Em_Tot,C01_P_65_69_Unem_Look_FT,C01_P_65_69_Unem_Look_PT,C01_P_65_69_Unem_Tot,C01_P_65_69_Tot_LF,C01_P_65_69_Notin_LF,C01_P_65_69_LF_NS,C01_P_65_69_Tot,C01_P_70_74_Em_FT,C01_P_70_74_Em_PT,C01_P_70_74_Em_AFW,C01_P_70_74_Em_Hrs_NS,C01_P_70_74_Em_Tot,C01_P_70_74_Unem_Look_FT,C01_P_70_74_Unem_Look_PT,C01_P_70_74_Unem_Tot,C01_P_70_74_Tot_LF,C01_P_70_74_Notin_LF,C01_P_70_74_LF_NS,C01_P_70_74_Tot,C01_P_75ov_Em_FT,C01_P_75ov_Em_PT,C01_P_75ov_Em_Aw_fr_w,C01_P_75ov_Emp_H_wor_ns,C01_P_75ov_Em_Tot,C01_P_75ov_Unem_Lo_ft_wor,C01_P_75ov_Unem_Lo_pt_wor,C01_P_75ov_Unemp_Tot,C01_P_75ov_Tot_lab_for,C01_P_75over_N_lab_forc,C01_P_75over_LF_NS,C01_P_75over_Tot,C01_P_Tot_Em_FT,C01_P_Tot_Em_PT,C01_P_Tot_Em_AFW,C01_P_Tot_Em_Hrs_NS,C01_P_Tot_Em_Tot,C01_P_Tot_Unem_Look_FT,C01_P_Tot_Unem_Look_PT,C01_P_Tot_Unem_Tot,C01_P_T_T_labo_for,C01_P_Tot_Notin_LF,C01_P_Tot_LF_NS,C01_P_T_T,C06_P_15_19_Em_FT,C06_P_15_19_Em_PT,C06_P_15_19_Em_AFW,C06_P_15_19_Em_Hrs_NS,C06_P_15_19_Em_Tot,C06_P_15_19_Unem_Look_FT,C06_P_15_19_Unem_Look_PT,C06_P_15_19_Unem_Tot,C06_P_15_19_Tot_LF,C06_P_15_19_Notin_LF,C06_P_15_19_LF_NS,C06_P_15_19_Tot,C06_P_20_24_Em_FT,C06_P_20_24_Em_PT,C06_P_20_24_Em_AFW,C06_P_20_24_Em_Hrs_NS,C06_P_20_24_Em_Tot,C06_P_20_24_Unem_Look_FT,C06_P_20_24_Unem_Look_PT,C06_P_20_24_Unem_Tot,C06_P_20_24_Tot_LF,C06_P_20_24_Notin_LF,C06_P_20_24_LF_NS,C06_P_20_24_Tot
LGA10050,10880,282,373,655,11535,7649,910,20094,453,1030,56,67,1606,168,200,368,1974,1467,94,3535,1275,673,55,51,2054,269,88,357,2411,621,88,3120,1401,463,72,46,1982,155,49,204,2186,500,105,2791,1496,557,84,48,2185,125,24,149,2334,594,94,3022,1462,662,69,46,2239,94,38,132,2371,593,95,3059,1839,728,72,60,2699,105,37,142,2841,519,77,3437,1769,594,78,62,2503,100,30,130,2633,456,109,3198,1454,511,76,41,2082,73,20,93,2175,573,74,2822,834,346,57,34,1271,43,18,61,1332,727,75,2134,334,197,30,23,584,16,14,30,614,1017,89,1720,91,103,17,6,217,0,3,3,220,1136,89,1445,35,46,5,7,93,0,3,3,96,1222,117,1435,26,18,7,13,64,3,0,3,67,2355,309,2731,12469,5928,678,504,19579,1151,524,1675,21254,11780,1415,34449,506,1126,55,85,1772,158,162,320,2092,1383,167,3642,1573,798,106,59,2536,148,84,232,2768,565,160,3493
LGA10110,5171,115,279,394,5565,4299,665,10529,202,519,48,32,801,71,188,259,1060,1736,50,2846,472,522,64,18,1076,127,102,229,1305,1034,35,2374,527,267,35,23,852,82,41,123,975,354,33,1362,604,299,41,23,967,57,27,84,1051,325,32,1408,724,349,41,18,1132,57,22,79,1211,331,32,1574,861,366,35,27,1289,40,20,60,1349,298,35,1682,898,285,32,32,1247,29,16,45,1292,244,32,1568,780,243,48,20,1091,39,8,47,1138,267,25,1430,463,199,25,16,703,26,6,32,735,327,28,1090,233,108,20,8,369,4,0,4,373,492,30,895,78,46,3,8,135,0,3,3,138,507,42,687,33,26,0,4,63,0,0,0,63,511,42,616,17,13,3,9,42,0,0,0,42,1091,112,1245,5892,3242,395,238,9767,532,433,965,10732,7517,528,18777,191,554,80,28,853,61,176,237,1090,1591,87,2768,519,641,76,37,1273,91,151,242,1515,1142,100,2757
LGA10150,9954,286,348,634,10588,6326,1157,18071,175,439,33,61,708,35,66,101,809,1125,180,2114,1090,602,48,86,1826,111,89,200,2026,562,154,2742,2022,559,91,64,2736,127,47,174,2910,506,175,3591,1951,517,99,73,2640,121,41,162,2802,554,195,3551,1954,611,105,75,2745,101,35,136,2881,525,212,3618,1707,537,70,75,2389,97,29,126,2515,471,163,3149,1524,435,70,58,2087,83,23,106,2193,388,180,2761,1194,324,56,39,1613,71,14,85,1698,505,129,2332,618,217,41,22,898,40,13,53,951,602,113,1666,291,118,21,16,446,19,15,34,480,933,86,1499,93,77,10,11,191,4,3,7,198,1182,134,1514,31,39,3,7,80,0,0,0,80,1181,122,1383,26,26,8,13,73,3,6,9,82,2610,305,2997,12676,4501,655,600,18432,812,381,1193,19625,11144,2148,32917,121,428,38,39,626,38,84,122,748,1116,167,2031,903,853,55,65,1876,95,114,209,2085,689,286,3060
LGA10200,11977,584,644,1228,13205,13487,1918,28610,326,523,33,106,988,146,155,301,1289,2742,203,4234,1451,685,81,166,2383,308,113,421,2804,1564,208,4576,1811,463,94,105,2473,290,71,361,2834,1513,213,4560,1844,467,79,114,2504,285,74,359,2863,1645,232,4740,1907,579,94,124,2704,253,64,317,3021,1558,211,4790,1911,508,84,139,2642,197,62,259,2901,1273,192,4366,1647,439,67,106,2259,159,39,198,2457,1084,178,3719,1210,327,45,71,1653,150,39,189,1842,1120,146,3108,648,188,31,47,914,89,26,115,1029,1037,126,2192,261,112,16,20,409,30,14,44,453,1251,103,1807,78,46,10,11,145,10,9,19,164,1259,135,1558,27,17,3,11,58,3,0,3,61,1306,151,1518,17,21,6,15,59,6,3,9,68,2291,378,2737,13138,4375,643,1035,19191,1926,669,2595,21786,19643,2476,43905,269,623,52,87,1031,111,148,259,1290,3077,420,4787,1621,1049,86,178,2934,223,202,425,3359,2059,620,6038
LGA10250,8150,221,284,505,8655,7655,731,17041,254,670,53,48,1025,134,124,258,1283,1202,54,2539,583,346,39,26,994,172,49,221,1215,317,57,1589,667,383,50,23,1123,126,32,158,1281,354,56,1691,778,472,45,36,1331,118,35,153,1484,457,50,1991,956,583,55,41,1635,135,52,187,1822,504,59,2385,1207,702,64,55,2028,143,51,194,2222,547,55,2824,1412,654,87,49,2202,125,40,165,2367,485,52,2904,1214,547,75,39,1875,91,27,118,1993,639,46,2678,638,339,67,18,1062,65,24,89,1151,852,49,2052,282,181,31,25,519,29,11,40,559,1194,42,1795,88,82,10,11,191,3,0,3,194,1448,86,1728,37,51,3,10,101,0,3,3,104,1683,115,1902,27,23,11,20,81,0,3,3,84,3109,329,3522,8143,5033,590,401,14167,1141,451,1592,15759,12791,1050,29600,289,731,60,66,1146,95,105,200,1346,968,91,2405,653,462,49,33,1197,123,51,174,1371,299,84,1754
LGA10300,461,6,12,18,479,388,58,925,46,25,3,6,80,3,6,9,89,68,7,164,88,26,6,3,123,11,0,11,134,23,12,169,92,31,0,4,127,3,0,3,130,42,3,175,101,26,5,11,143,8,0,8,151,44,8,203,122,34,3,9,168,7,3,10,178,31,4,213,168,38,6,11,223,3,3,6,229,24,7,260,133,28,7,3,171,6,3,9,180,32,7,219,83,21,5,6,115,0,3,3,118,41,3,162,48,15,6,3,72,3,0,3,75,49,6,130,31,12,6,3,52,0,0,0,52,66,5,123,14,6,3,3,26,0,0,0,26,68,12,106,9,3,0,0,12,0,0,0,12,69,7,88,5,4,0,0,9,0,0,0,9,98,18,125,940,269,50,62,1321,44,18,62,1383,655,99,2137,34,19,8,6,67,3,5,8,75,87,13,175,55,18,3,0,76,10,0,10,86,12,14,112
LGA10350,30787,1153,1329,2482,33269,35426,4431,73126,1576,2095,137,315,4123,483,329,812,4935,6336,378,11649,5178,1781,242,335,7536,729,218,947,8483,2377,378,11238,6238,1279,323,325,8165,539,139,678,8843,2598,407,11848,5683,1671,292,273,7919,525,136,661,8580,2915,426,11921,5642,1880,287,268,8077,484,155,639,8716,3035,455,12206,5771,1876,251,281,8179,392,147,539,8718,2799,445,11962,5106,1594,206,268,7174,387,95,482,7656,2617,395,10668,4434,1426,244,181,6285,278,89,367,6652,2948,317,9917,2800,1060,151,111,4122,196,63,259,4381,3192,289,7862,1262,587,83,40,1972,77,40,117,2089,4164,301,6554,315,251,21,36,623,15,12,27,650,4988,373,6011,88,109,17,34,248,6,6,12,260,5714,529,6503,65,59,20,44,188,11,7,18,206,9092,1517,10815,44158,15668,2274,2511,64611,4122,1436,5558,70169,52775,6210,129154,1285,2173,168,280,3906,374,358,732,4638,6778,701,12117,4662,2042,236,480,7420,599,242,841,8261,2612,817,11690
LGA10470,8353,199,305,504,8857,5830,742,15429,354,763,82,52,1251,162,242,404,1655,1806,60,3521,845,665,105,28,1643,172,127,299,1942,757,55,2754,1046,313,63,42,1464,106,26,132,1596,523,57,2176,1030,417,80,37,1564,92,25,117,1681,547,61,2289,1135,480,88,40,1743,74,27,101,1844,509,58,2411,1390,491,66,52,1999,90,37,127,2126,402,50,2578,1351,458,66,34,1909,53,12,65,1974,338,54,2366,1129,360,70,36,1595,42,14,56,1651,444,59,2154,683,274,44,21,1022,38,17,55,1077,547,47,1671,300,165,23,18,506,11,4,15,521,703,42,1266,89,91,9,6,195,0,0,0,195,778,66,1039,34,24,9,5,72,0,6,6,78,839,78,995,40,27,3,12,82,0,0,0,82,1527,189,1798,9426,4528,708,383,15045,840,537,1377,16422,9720,876,27018,369,913,82,57,1421,98,186,284,1705,1726,95,3526,1022,807,120,44,1993,122,115,237,2230,877,112,3219
LGA10550,6242,153,182,335,6577,6314,714,13605,223,375,39,47,684,90,61,151,835,950,78,1863,385,174,25,26,610,111,18,129,739,188,59,986,480,247,45,19,791,81,20,101,892,274,66,1232,624,366,50,26,1066,91,35,126,1192,361,56,1609,720,476,66,28,1290,116,21,137,1427,424,73,1924,1050,664,69,43,1826,118,36,154,1980,442,58,2480,1015,543,88,39,1685,93,37,130,1815,465,46,2326,877,437,88,36,1438,90,23,113,1551,554,49,2154,561,334,48,25,968,60,13,73,1041,847,59,1947,247,182,36,18,483,26,9,35,518,1217,58,1793,78,76,15,15,184,0,6,6,190,1341,67,1598,42,50,14,9,115,0,0,0,115,1403,105,1623,33,39,8,12,92,0,0,0,92,2057,304,2453,6335,3963,591,343,11232,876,279,1155,12387,10523,1078,23988,235,481,27,37,780,80,44,124,904,1021,90,2015,429,237,43,30,739,91,19,110,849,188,48,1085
LGA10600,2369,77,103,180,2549,2555,154,5258,65,150,11,15,241,45,31,76,317,471,20,808,79,60,4,3,146,58,9,67,213,106,11,330,120,72,17,9,218,36,9,45,263,136,13,412,186,121,17,9,333,49,17,66,399,169,18,586,277,204,23,19,523,66,23,89,612,220,24,856,366,298,26,16,706,89,37,126,832,227,21,1080,410,239,24,17,690,63,16,79,769,225,20,1014,315,156,22,16,509,54,18,72,581,256,20,857,198,109,21,11,339,33,10,43,382,315,16,713,80,67,7,7,161,7,11,18,179,454,16,649,29,27,3,7,66,0,3,3,69,508,20,597,19,23,3,3,48,3,0,3,51,502,39,592,10,4,4,7,25,0,0,0,25,768,100,893,2154,1530,182,139,4005,503,184,687,4692,4357,338,9387,65,146,10,13,234,36,26,62,296,442,34,772,125,81,15,12,233,38,10,48,281,81,13,375
