region_id,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_Indig_M,VfDif_SA2_T_Indig_F,VfDif_SA2_T_Indig_P,VfDif_SA2_T_NonInd_M,VfDif_SA2_T_NonInd_F,VfDif_SA2_T_NonInd_P,VfDif_SA2_T_IndSt_nsM,VfDif_SA2_T_IndSt_nsF,VfDif_SA2_T_IndSt_nsP,VfDif_SA2_T_TotM,VfDif_SA2_T_TotF,VfDif_SA2_T_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LSaH_Eng_onl_Indig_M,LSaH_Eng_onl_Indig_F,LSaH_Eng_onl_Indig_P,LSaH_Eng_onl_NonInd_M,LSaH_Eng_onl_NonInd_F,LSaH_Eng_onl_NonInd_P,LSaH_Eng_on_Ind_sta_nsM,LSaH_Eng_on_Ind_sta_nsF,LSaH_Eng_on_Ind_sta_nsP,LSaH_Eng_only_TotM,LSaH_Eng_only_TotF,LSaH_Eng_only_TotP,LSaH_Aus_Ind_Lang_Ind_M,LSaH_Aus_Ind_Lang_Ind_F,LSaH_Aus_Ind_Lang_Ind_P,LSaH_Aus_Ind_Lan_No_Ind_M,LSaH_Aus_Ind_Lan_No_Ind_F,LSaH_Aus_Ind_Lan_No_Ind_P,Lsh_Aus_Ind_Lan_IndSt_nsM,Lsh_Aus_Ind_Lan_IndSt_nsF,Lsh_Aus_Ind_Lan_IndSt_nsP,Lsh_Austn_Indig_Lang_TotM,Lsh_Austn_Indig_Lang_TotF,Lsh_Austn_Indig_Lang_TotP,SAIndL_SE_Nw_Na_In_M,SAIndL_SE_Nw_Na_In_F,SAIndL_SE_Nw_Na_In_P,SAIndL_SE_Nw_Na_No_In_M,SAIndL_SE_Nw_Na_No_In_F,SAIndL_SE_Nw_Na_No_In_P,SAIndL_SE_Nw_Na_In_st_nsM,SAIndL_SE_Nw_Na_In_st_nsF,SAIndL_SE_Nw_Na_In_st_nsP,SAIndL_SE_Nw_Na_TotM,SAIndL_SE_Nw_Na_TotF,SAIndL_SE_Nw_Na_TotP,SAIndL_SE_Vw_wel_In_M,SAIndL_SE_Vw_wel_In_F,SAIndL_SE_Vw_wel_In_P,SAIndL_SE_Vw_we_No_In_M,SAIndL_SE_Vw_we_No_In_F,SAIndL_SE_Vw_we_No_In_P,SAIndL_SE_Vw_we_I_st_nsM,SAIndL_SE_Vw_we_I_st_nsF,SAIndL_SE_Vw_we_I_st_nsP,SAIndL_SE_Vw_we_TotM,SAIndL_SE_Vw_we_TotF,SAIndL_SE_Vw_we_TotP,AuAbrigTrRl_Indig_M,AuAbrigTrRl_Indig_F,AuAbrigTrRl_Indig_P,AuAbrigTrRl_No_Ind_M,AuAbrigTrRl_No_Ind_F,AuAbrigTrRl_No_Ind_P,AuAbrigTrRl_IndSt_nsM,AuAbrigTrRl_IndSt_nsF,AuAbrigTrRl_IndSt_nsP,AuAbrigTrRl_TotM,AuAbrigTrRl_TotF,AuAbrigTrRl_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M
IARE101001,0,0,0,0,0,0,0,4,4,8,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,173,65,238,24,4,28,210,79,289,16,10,26,178,65,243,24,4,28,218,79,297,192,213,405,1133,1082,2215,22,23,45,1347,1318,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,8,4,12,19,20,39,0,3,3,27,27,54,46,51,97,157,133,290,5,0,5,208,184,392,13,11,24,49,29,78,0,0,0,62,40,102,0,4,4,4,19,23,0,0,0,4,23,27,3,6,9,15,30,45,3,0,3,21,36,57,11,28,39,229,326,555,4,4,8,244,358,602,12,17,29,71,66,137,3,0,3,86,83,169,46,48,94,354
IARE101002,0,0,0,0,0,3,3,11,5,16,3,0,3,14,8,22,0,0,0,0,0,0,0,0,0,0,0,0,171,149,320,1245,954,2199,240,137,377,1656,1240,2896,175,152,327,1270,982,2252,240,137,377,1685,1271,2956,2318,2560,4878,14854,15988,30842,208,258,466,17380,18806,36186,8,8,16,0,0,0,0,0,0,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,7,8,15,0,0,0,0,0,0,7,8,15,14,12,26,0,0,0,0,0,0,14,12,26,76,67,143,257,237,494,8,6,14,341,310,651,527,494,1021,1960,1963,3923,41,39,80,2528,2496,5024,142,164,306,779,746,1525,12,16,28,933,926,1859,21,36,57,165,265,430,3,0,3,189,301,490,44,96,140,373,701,1074,3,6,9,420,803,1223,287,352,639,4184,5561,9745,28,54,82,4499,5967,10466,124,172,296,858,971,1829,15,10,25,997,1153,2150,468,548,1016,4492
IARE101003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30,100,104,204,14,9,23,126,131,257,19,21,40,111,104,215,14,12,26,144,137,281,251,252,503,1640,1796,3436,19,26,45,1910,2074,3984,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,36,22,58,0,0,0,40,25,65,60,54,114,187,203,390,3,5,8,250,262,512,12,15,27,70,74,144,0,4,4,82,93,175,3,4,7,4,28,32,0,0,0,7,32,39,3,8,11,29,70,99,3,0,3,35,78,113,22,24,46,318,523,841,3,5,8,343,552,895,11,16,27,81,88,169,3,3,6,95,107,202,50,59,109,555
IARE101004,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,49,116,94,210,9,7,16,150,125,275,28,28,56,123,98,221,9,7,16,160,133,293,586,670,1256,2517,2434,4951,42,34,76,3145,3138,6283,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,3,3,20,17,37,43,35,78,0,0,0,63,52,115,145,140,285,329,298,627,6,0,6,480,438,918,43,29,72,83,103,186,3,0,3,129,132,261,0,5,5,19,31,50,0,0,0,19,36,55,11,20,31,30,87,117,0,4,4,41,111,152,48,101,149,618,764,1382,7,8,15,673,873,1546,25,34,59,132,153,285,0,0,0,157,187,344,116,134,250,771
IARE101005,0,4,0,4,0,0,0,9,8,17,0,0,0,9,8,17,0,0,0,0,0,0,0,0,0,0,0,0,24,17,41,401,240,641,50,29,79,475,286,761,29,27,56,418,263,681,53,32,85,500,322,822,558,581,1139,5843,6025,11868,67,78,145,6468,6684,13152,7,3,10,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,5,4,9,3,3,6,0,0,0,0,0,0,3,3,6,21,21,42,107,79,186,0,3,3,128,103,231,136,113,249,793,800,1593,16,8,24,945,921,1866,46,53,99,262,282,544,3,3,6,311,338,649,3,9,12,65,62,127,3,3,6,71,74,145,3,27,30,93,226,319,0,0,0,96,253,349,61,75,136,1350,1603,2953,7,15,22,1418,1693,3111,29,54,83,329,375,704,3,3,6,361,432,793,113,130,243,1779
IARE101006,0,3,0,3,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,101,71,172,13,3,16,124,77,201,10,3,13,104,75,179,13,3,16,127,81,208,148,206,354,1113,1071,2184,20,18,38,1281,1295,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,3,4,7,5,0,5,16,23,39,0,0,0,21,23,44,25,50,75,97,130,227,0,6,6,122,186,308,6,6,12,40,33,73,0,0,0,46,39,85,0,4,4,9,11,20,3,0,3,12,15,27,3,12,15,15,36,51,0,0,0,18,48,66,12,34,46,325,381,706,4,0,4,341,415,756,3,15,18,62,48,110,0,0,0,65,63,128,25,32,57,344
IARE101007,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,15,31,219,184,403,28,12,40,263,211,474,24,24,48,245,197,442,28,12,40,297,233,530,374,381,755,3356,3360,6716,58,47,105,3788,3788,7576,5,3,8,0,3,3,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,3,3,0,0,0,7,6,13,3,0,3,3,0,3,0,0,0,6,0,6,7,16,23,74,45,119,0,3,3,81,64,145,104,75,179,431,388,819,4,5,9,539,468,1007,24,27,51,141,138,279,4,0,4,169,165,334,5,5,10,19,30,49,0,0,0,24,35,59,14,19,33,66,163,229,0,4,4,80,186,266,37,50,87,742,975,1717,11,5,16,790,1030,1820,12,30,42,153,204,357,0,0,0,165,234,399,72,68,140,1015
IARE101008,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,12,36,132,121,253,8,5,13,164,138,302,28,19,47,148,134,282,8,8,16,184,161,345,730,697,1427,3091,3178,6269,62,64,126,3883,3939,7822,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,8,3,3,6,0,0,0,0,0,0,3,3,6,26,18,44,42,46,88,0,0,0,68,64,132,176,137,313,390,381,771,7,6,13,573,524,1097,40,42,82,110,104,214,4,0,4,154,146,300,3,8,11,25,34,59,0,0,0,28,42,70,9,18,27,51,100,151,0,5,5,60,123,183,55,102,157,743,928,1671,6,8,14,804,1038,1842,28,42,70,145,164,309,0,4,4,173,210,383,168,144,312,927
IARE102001,0,0,6,6,0,0,0,9,15,24,3,0,3,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,47,60,107,759,827,1586,131,87,218,937,974,1911,50,60,110,792,850,1642,131,87,218,973,997,1970,680,782,1462,9410,10299,19709,109,110,219,10199,11191,21390,3,5,8,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,3,4,7,0,4,4,0,0,0,0,0,0,0,4,4,26,29,55,166,163,329,3,4,7,195,196,391,149,153,302,1320,1226,2546,25,16,41,1494,1395,2889,45,69,114,763,891,1654,8,3,11,816,963,1779,11,31,42,607,770,1377,3,6,9,621,807,1428,21,44,65,602,743,1345,7,3,10,630,790,1420,97,155,252,4518,5329,9847,19,30,49,4634,5514,10148,39,49,88,488,532,1020,5,6,11,532,587,1119,110,146,256,2008
IARE102002,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,12,27,216,154,370,17,8,25,248,174,422,15,15,30,232,166,398,17,8,25,264,189,453,210,225,435,3670,3862,7532,39,44,83,3919,4131,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0,3,3,0,0,0,7,6,13,5,5,10,62,38,100,0,3,3,67,46,113,41,53,94,433,406,839,6,7,13,480,466,946,14,16,30,149,170,319,0,3,3,163,189,352,6,3,9,28,31,59,0,0,0,34,34,68,6,11,17,88,194,282,0,3,3,94,208,302,21,26,47,853,1030,1883,3,7,10,877,1063,1940,17,15,32,199,202,401,4,3,7,220,220,440,44,48,92,1132
