region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
IARE101001,305,659,5,5,10,405,358,763,19,17,36,108,95,203,0,0,0,127,112,239,22,8,30,95,58,153,3,5,8,120,71,191,0,0,0,8,5,13,0,0,0,8,5,13,181,203,384,1015,973,1988,75,84,159,1271,1260,2531,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,44,44,88,10,3,13,57,54,111,184,210,394,1059,1017,2076,85,87,172,1328,1314,2642,6,0,6,18,20,38,3,0,3,27,20,47
IARE101002,4322,8814,53,70,123,5013,4940,9953,222,257,479,1194,1229,2423,15,22,37,1431,1508,2939,168,149,317,932,827,1759,20,22,42,1120,998,2118,12,15,27,45,42,87,3,3,6,60,60,120,1923,2229,4152,13065,14049,27114,578,600,1178,15566,16878,32444,0,0,0,0,3,3,0,0,0,0,3,3,237,248,485,1194,1434,2628,101,90,191,1532,1772,3304,2160,2477,4637,14259,15486,29745,679,690,1369,17098,18653,35751,46,14,60,271,373,644,46,33,79,363,420,783
IARE101003,517,1072,5,12,17,610,588,1198,33,35,68,194,164,358,4,4,8,231,203,434,27,15,42,163,137,300,3,0,3,193,152,345,0,4,4,6,9,15,0,0,0,6,13,19,231,221,452,1434,1570,3004,76,101,177,1741,1892,3633,0,0,0,0,0,0,0,0,0,0,0,0,11,19,30,97,117,214,10,3,13,118,139,257,242,240,482,1531,1687,3218,86,104,190,1859,2031,3890,4,4,8,36,52,88,12,4,16,52,60,112
IARE101004,652,1423,4,7,11,891,793,1684,54,61,115,232,205,437,5,3,8,291,269,560,58,47,105,187,141,328,3,5,8,248,193,441,3,0,3,7,6,13,4,0,4,14,6,20,525,621,1146,2292,2236,4528,128,109,237,2945,2966,5911,0,0,0,0,0,0,0,0,0,0,0,0,31,34,65,89,76,165,10,5,15,130,115,245,556,655,1211,2381,2312,4693,138,114,252,3075,3081,6156,0,0,0,29,39,68,0,4,4,29,43,72
IARE101005,1759,3538,15,16,31,1907,1905,3812,51,53,104,560,547,1107,6,13,19,617,613,1230,50,32,82,485,412,897,3,4,7,538,448,986,7,0,7,17,19,36,0,0,0,24,19,43,518,542,1060,5328,5530,10858,331,320,651,6177,6392,12569,0,0,0,0,0,0,0,0,0,0,0,0,26,17,43,266,313,579,26,24,50,318,354,672,544,559,1103,5594,5843,11437,357,344,701,6495,6746,13241,3,3,6,71,117,188,3,4,7,77,124,201
IARE101006,276,620,0,4,4,369,312,681,15,27,42,98,61,159,0,0,0,113,88,201,27,18,45,99,58,157,4,4,8,130,80,210,3,0,3,3,0,3,0,0,0,6,0,6,124,178,302,983,972,1955,44,35,79,1151,1185,2336,0,0,0,0,0,0,0,0,0,0,0,0,15,23,38,67,46,113,4,5,9,86,74,160,139,201,340,1050,1018,2068,48,40,88,1237,1259,2496,0,0,0,15,15,30,3,0,3,18,15,33
IARE101007,972,1987,12,12,24,1099,1052,2151,33,42,75,357,324,681,6,8,14,396,374,770,32,30,62,346,240,586,11,13,24,389,283,672,3,0,3,22,7,29,0,0,0,25,7,32,346,345,691,3043,3019,6062,164,146,310,3553,3510,7063,3,0,3,19,8,27,0,0,0,22,8,30,11,15,26,104,113,217,12,10,22,127,138,265,360,360,720,3166,3140,6306,176,156,332,3702,3656,7358,5,4,9,26,76,102,3,8,11,34,88,122
IARE101008,913,1840,19,12,31,1114,1069,2183,70,90,160,333,315,648,7,6,13,410,411,821,81,62,143,285,218,503,5,12,17,371,292,663,3,3,6,14,6,20,0,0,0,17,9,26,667,652,1319,2826,2955,5781,181,154,335,3674,3761,7435,0,0,0,5,3,8,0,0,0,5,3,8,35,29,64,111,117,228,9,17,26,155,163,318,702,681,1383,2942,3075,6017,190,171,361,3834,3927,7761,248,23,271,215,86,301,6,16,22,469,125,594
IARE102001,2037,4045,17,22,39,2135,2205,4340,81,91,172,584,603,1187,15,4,19,680,698,1378,59,44,103,389,400,789,5,8,13,453,452,905,3,3,6,37,36,73,3,0,3,43,39,82,545,624,1169,7881,8511,16392,322,436,758,8748,9571,18319,0,0,0,0,0,0,0,0,0,0,0,0,82,95,177,1044,1181,2225,141,161,302,1267,1437,2704,627,719,1346,8925,9692,18617,463,597,1060,10015,11008,21023,23,41,64,688,740,1428,52,43,95,763,824,1587
IARE102002,1214,2346,8,15,23,1184,1277,2461,25,24,49,388,365,753,5,3,8,418,392,810,20,18,38,365,303,668,7,5,12,392,326,718,4,3,7,15,15,30,0,0,0,19,18,37,187,206,393,3365,3520,6885,141,122,263,3693,3848,7541,0,0,0,3,0,3,3,0,3,6,0,6,15,9,24,109,124,233,17,9,26,141,142,283,202,215,417,3477,3644,7121,161,131,292,3840,3990,7830,38,0,38,118,93,211,0,4,4,156,97,253
