region_id,Age_0_Indig_M,Age_0_Indig_F,Age_0_Indig_P,Age_0_NonInd_M,Age_0_NonInd_F,Age_0_NonInd_P,Age_0_IndigStat_nsM,Age_0_IndigStat_nsF,Age_0_IndigStat_nsP,Age_0_TotM,Age_0_TotF,Age_0_TotP,Age_1_Indig_M,Age_1_Indig_F,Age_1_Indig_P,Age_1_NonInd_M,Age_1_NonInd_F,Age_1_NonInd_P,Age_1_IndigStat_nsM,Age_1_IndigStat_nsF,Age_1_IndigStat_nsP,Age_1_TotM,Age_1_TotF,Age_1_TotP,Age_2_Indig_M,Age_2_Indig_F,Age_2_Indig_P,Age_2_NonInd_M,Age_2_NonInd_F,Age_2_NonInd_P,Age_2_IndigStat_nsM,Age_2_IndigStat_nsF,Age_2_IndigStat_nsP,Age_2_TotM,Age_2_TotF,Age_2_TotP,Age_3_Indig_M,Age_3_Indig_F,Age_3_Indig_P,Age_3_NonInd_M,Age_3_NonInd_F,Age_3_NonInd_P,Age_3_IndigStat_nsM,Age_3_IndigStat_nsF,Age_3_IndigStat_nsP,Age_3_TotM,Age_3_TotF,Age_3_TotP,Age_4_Indig_M,Age_4_Indig_F,Age_4_Indig_P,Age_4_NonInd_M,Age_4_NonInd_F,Age_4_NonInd_P,Age_4_IndigStat_nsM,Age_4_IndigStat_nsF,Age_4_IndigStat_nsP,Age_4_TotM,Age_4_TotF,Age_4_TotP,Age_0_4_Indig_M,Age_0_4_Indig_F,Age_0_4_Indig_P,Age_0_4_NonInd_M,Age_0_4_NonInd_F,Age_0_4_NonInd_P,Age_0_4_Indig_st_nsM,Age_0_4_Indig_st_nsF,Age_0_4_Indig_st_nsP,Age_0_4_TotM,Age_0_4_TotF,Age_0_4_TotP,Age_5_Indig_M,Age_5_Indig_F,Age_5_Indig_P,Age_5_NonInd_M,Age_5_NonInd_F,Age_5_NonInd_P,Age_5_IndigStat_nsM,Age_5_IndigStat_nsF,Age_5_IndigStat_nsP,Age_5_TotM,Age_5_TotF,Age_5_TotP,Age_6_Indig_M,Age_6_Indig_F,Age_6_Indig_P,Age_6_NonInd_M,Age_6_NonInd_F,Age_6_NonInd_P,Age_6_IndigStat_nsM,Age_6_IndigStat_nsF,Age_6_IndigStat_nsP,Age_6_TotM,Age_6_TotF,Age_6_TotP,Age_7_Indig_M,Age_7_Indig_F,Age_7_Indig_P,Age_7_NonInd_M,Age_7_NonInd_F,Age_7_NonInd_P,Age_7_IndigStat_nsM,Age_7_IndigStat_nsF,Age_7_IndigStat_nsP,Age_7_TotM,Age_7_TotF,Age_7_TotP,Age_8_Indig_M,Age_8_Indig_F,Age_8_Indig_P,Age_8_NonInd_M,Age_8_NonInd_F,Age_8_NonInd_P,Age_8_IndigStat_nsM,Age_8_IndigStat_nsF,Age_8_IndigStat_nsP,Age_8_TotM,Age_8_TotF,Age_8_TotP,Age_9_Indig_M,Age_9_Indig_F,Age_9_Indig_P,Age_9_NonInd_M,Age_9_NonInd_F,Age_9_NonInd_P,Age_9_IndigStat_nsM,Age_9_IndigStat_nsF,Age_9_IndigStat_nsP,Age_9_TotM,Age_9_TotF,Age_9_TotP,Age_5_9_Indig_M,Age_5_9_Indig_F,Age_5_9_Indig_P,Age_5_9_NonInd_M,Age_5_9_NonInd_F,Age_5_9_NonInd_P,Age_5_9_Ind_status_nsM,Age_5_9_Ind_status_nsF,Age_5_9_Ind_status_nsP,Age_5_9_TotM,Age_5_9_TotF,Age_5_9_TotP,Age_10_Indig_M,Age_10_Indig_F,Age_10_Indig_P,Age_10_NonInd_M,Age_10_NonInd_F,Age_10_NonInd_P,Age_10_Indig_st_nsM,Age_10_Indig_st_nsF,Age_10_Indig_st_nsP,Age_10_TotM,Age_10_TotF,Age_10_TotP,Age_11_Indig_M,Age_11_Indig_F,Age_11_Indig_P,Age_11_NonInd_M,Age_11_NonInd_F,Age_11_NonInd_P,Age_11_Indig_st_nsM,Age_11_Indig_st_nsF,Age_11_Indig_st_nsP,Age_11_TotM,Age_11_TotF,Age_11_TotP,Age_12_Indig_M,Age_12_Indig_F,Age_12_Indig_P,Age_12_NonInd_M,Age_12_NonInd_F,Age_12_NonInd_P,Age_12_IndigStat_nsM,Age_12_IndigStat_nsF,Age_12_IndigStat_nsP,Age_12_TotM,Age_12_TotF,Age_12_TotP,Age_13_Indig_M,Age_13_Indig_F,Age_13_Indig_P,Age_13_NonInd_M,Age_13_NonInd_F,Age_13_NonInd_P,Age_13_IndSt_nsM,Age_13_IndSt_nsF,Age_13_IndSt_nsP,Age_13_TotM,Age_13_TotF,Age_13_TotP,Age_14_Indig_M,Age_14_Indig_F,Age_14_Indig_P,Age_14_NonInd_M,Age_14_NonInd_F,Age_14_NonInd_P,Age_14_IndSt_nsM,Age_14_IndSt_nsF
IARE101001,10,6,16,15,18,33,4,0,4,29,24,53,3,7,10,18,20,38,0,3,3,21,30,51,6,10,16,24,8,32,0,0,0,30,18,48,0,5,5,16,16,32,0,4,4,16,25,41,8,4,12,15,13,28,0,3,3,23,20,43,27,32,59,88,75,163,4,10,14,119,117,236,3,6,9,22,20,42,0,4,4,25,30,55,3,9,12,20,9,29,0,5,5,23,23,46,4,5,9,20,17,37,6,0,6,30,22,52,6,4,10,19,12,31,0,0,0,25,16,41,7,4,11,15,16,31,3,0,3,25,20,45,23,28,51,96,74,170,9,9,18,128,111,239,7,6,13,17,19,36,4,0,4,28,25,53,6,5,11,17,15,32,0,0,0,23,20,43,9,5,14,4,12,16,4,0,4,17,17,34,3,8,11,22,14,36,0,0,0,25,22,47,3,5,8,15,10,25,0,6
IARE101002,69,77,146,227,202,429,19,6,25,315,285,600,71,84,155,239,200,439,6,7,13,316,291,607,79,75,154,247,235,482,13,12,25,339,322,661,72,72,144,226,208,434,16,10,26,314,290,604,75,70,145,253,197,450,15,14,29,343,281,624,366,378,744,1192,1042,2234,69,49,118,1627,1469,3096,54,65,119,219,208,427,14,6,20,287,279,566,81,57,138,176,186,362,10,16,26,267,259,526,60,50,110,192,204,396,9,9,18,261,263,524,67,68,135,222,217,439,19,9,28,308,294,602,53,47,100,186,188,374,15,13,28,254,248,502,315,287,602,995,1003,1998,67,53,120,1377,1343,2720,57,58,115,244,200,444,16,8,24,317,266,583,58,62,120,202,223,425,14,11,25,274,296,570,63,63,126,197,221,418,14,12,26,274,296,570,60,56,116,249,199,448,13,18,31,322,273,595,71,66,137,208,222,430,22,13
IARE101003,8,10,18,20,20,40,0,0,0,28,30,58,6,4,10,21,27,48,4,0,4,31,31,62,12,7,19,14,27,41,0,0,0,26,34,60,5,3,8,19,17,36,0,0,0,24,20,44,3,3,6,34,20,54,0,3,3,37,26,63,34,27,61,108,111,219,4,3,7,146,141,287,5,8,13,18,21,39,0,0,0,23,29,52,8,7,15,23,23,46,0,0,0,31,30,61,5,6,11,16,16,32,0,4,4,21,26,47,11,7,18,23,25,48,0,0,0,34,32,66,5,4,9,15,25,40,0,0,0,20,29,49,34,32,66,95,110,205,0,4,4,129,146,275,9,7,16,21,17,38,3,0,3,33,24,57,9,5,14,21,27,48,0,0,0,30,32,62,10,10,20,22,31,53,3,0,3,35,41,76,10,4,14,18,10,28,3,4,7,31,18,49,5,3,8,20,22,42,0,5
IARE101004,14,19,33,32,16,48,8,3,11,54,38,92,20,30,50,29,28,57,5,0,5,54,58,112,20,23,43,43,31,74,4,3,7,67,57,124,22,27,49,37,24,61,3,0,3,62,51,113,26,22,48,34,38,72,5,0,5,65,60,125,102,121,223,175,137,312,25,6,31,302,264,566,19,12,31,36,35,71,0,4,4,55,51,106,15,8,23,40,32,72,3,3,6,58,43,101,16,17,33,39,40,79,0,3,3,55,60,115,19,9,28,34,36,70,3,0,3,56,45,101,19,20,39,41,38,79,0,4,4,60,62,122,88,66,154,190,181,371,6,14,20,284,261,545,17,28,45,39,35,74,3,0,3,59,63,122,17,21,38,37,28,65,3,0,3,57,49,106,11,14,25,26,33,59,3,3,6,40,50,90,16,14,30,30,19,49,3,0,3,49,33,82,15,19,34,27,23,50,3,0
IARE101005,19,11,30,71,79,150,5,4,9,95,94,189,18,14,32,70,98,168,5,9,14,93,121,214,14,14,28,69,75,144,3,4,7,86,93,179,20,16,36,95,77,172,8,7,15,123,100,223,16,25,41,93,69,162,3,4,7,112,98,210,87,80,167,398,398,796,24,28,52,509,506,1015,14,10,24,85,88,173,5,6,11,104,104,208,17,13,30,81,74,155,6,6,12,104,93,197,14,10,24,85,89,174,5,7,12,104,106,210,19,12,31,85,85,170,8,0,8,112,97,209,10,13,23,83,92,175,8,3,11,101,108,209,74,58,132,419,428,847,32,22,54,525,508,1033,14,17,31,99,93,192,10,4,14,123,114,237,13,14,27,83,98,181,8,14,22,104,126,230,23,15,38,97,103,200,6,3,9,126,121,247,16,19,35,106,81,187,4,3,7,126,103,229,18,23,41,83,94,177,9,5
IARE101006,4,3,7,18,13,31,4,6,10,26,22,48,3,5,8,10,17,27,0,0,0,13,22,35,3,3,6,9,25,34,0,0,0,12,28,40,3,0,3,14,16,30,3,0,3,20,16,36,8,3,11,10,20,30,0,0,0,18,23,41,21,14,35,61,91,152,7,6,13,89,111,200,0,3,3,17,22,39,4,3,7,21,28,49,6,10,16,11,19,30,0,0,0,17,29,46,4,7,11,11,7,18,0,0,0,15,14,29,0,6,6,11,19,30,0,0,0,11,25,36,4,0,4,7,12,19,0,0,0,11,12,23,14,26,40,57,79,136,4,3,7,75,108,183,7,7,14,17,14,31,0,0,0,24,21,45,6,6,12,10,20,30,0,3,3,16,29,45,4,7,11,13,8,21,0,0,0,17,15,32,0,7,7,7,8,15,0,0,0,7,15,22,3,5,8,5,16,21,0,0
IARE101007,16,10,26,31,35,66,3,4,7,50,49,99,6,11,17,26,41,67,3,0,3,35,52,87,16,19,35,37,34,71,3,3,6,56,56,112,10,8,18,51,34,85,6,3,9,67,45,112,10,13,23,53,37,90,0,4,4,63,54,117,58,61,119,198,181,379,15,14,29,271,256,527,12,14,26,44,34,78,0,3,3,56,51,107,18,11,29,36,42,78,3,3,6,57,56,113,12,8,20,50,42,92,0,5,5,62,55,117,7,10,17,50,40,90,4,3,7,61,53,114,13,6,19,57,29,86,4,0,4,74,35,109,62,49,111,237,187,424,11,14,25,310,250,560,11,9,20,52,43,95,4,0,4,67,52,119,15,5,20,52,39,91,3,3,6,70,47,117,10,14,24,36,50,86,5,0,5,51,64,115,11,10,21,46,35,81,3,0,3,60,45,105,12,4,16,46,48,94,0,3
IARE101008,14,11,25,33,42,75,0,3,3,47,56,103,27,13,40,45,36,81,0,4,4,72,53,125,23,11,34,37,43,80,5,0,5,65,54,119,17,20,37,33,29,62,3,5,8,53,54,107,25,20,45,41,41,82,3,3,6,69,64,133,106,75,181,189,191,380,11,15,26,306,281,587,24,17,41,39,38,77,6,3,9,69,58,127,20,9,29,44,36,80,0,3,3,64,48,112,23,16,39,37,52,89,3,7,10,63,75,138,18,14,32,32,38,70,4,0,4,54,52,106,20,15,35,44,42,86,4,3,7,68,60,128,105,71,176,196,206,402,17,16,33,318,293,611,27,20,47,42,46,88,3,3,6,72,69,141,10,18,28,54,46,100,3,0,3,67,64,131,22,16,38,30,40,70,3,0,3,55,56,111,26,10,36,42,31,73,5,0,5,73,41,114,22,27,49,41,44,85,3,0
IARE102001,29,15,44,101,106,207,8,9,17,138,130,268,14,22,36,103,93,196,8,14,22,125,129,254,13,22,35,119,105,224,6,19,25,138,146,284,18,24,42,113,126,239,6,9,15,137,159,296,28,16,44,129,114,243,9,10,19,166,140,306,102,99,201,565,544,1109,37,61,98,704,704,1408,23,23,46,113,111,224,9,15,24,145,149,294,15,18,33,125,120,245,7,11,18,147,149,296,19,14,33,138,120,258,8,9,17,165,143,308,19,13,32,111,119,230,8,8,16,138,140,278,21,10,31,154,142,296,14,8,22,189,160,349,97,78,175,641,612,1253,46,51,97,784,741,1525,10,24,34,138,119,257,15,11,26,163,154,317,13,12,25,153,127,280,9,3,12,175,142,317,22,20,42,143,123,266,9,12,21,174,155,329,15,25,40,161,156,317,5,13,18,181,194,375,24,15,39,146,153,299,6,10
IARE102002,0,5,5,32,44,76,3,0,3,35,49,84,5,4,9,49,51,100,0,0,0,54,55,109,9,4,13,37,49,86,3,0,3,49,53,102,9,4,13,45,36,81,3,5,8,57,45,102,8,8,16,43,40,83,3,0,3,54,48,102,31,25,56,206,220,426,12,5,17,249,250,499,0,3,3,55,47,102,3,0,3,58,50,108,5,9,14,42,41,83,0,0,0,47,50,97,6,0,6,52,52,104,4,5,9,62,57,119,3,9,12,42,52,94,4,6,10,49,67,116,3,7,10,40,44,84,3,0,3,46,51,97,17,28,45,231,236,467,14,11,25,262,275,537,3,8,11,45,47,92,4,0,4,52,55,107,9,3,12,41,55,96,0,0,0,50,58,108,6,6,12,41,39,80,6,0,6,53,45,98,3,12,15,51,41,92,0,3,3,54,56,110,4,5,9,58,31,89,3,3
