region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE101001,89,181,9,11,20,108,118,226,12,8,20,89,67,156,9,8,17,110,83,193,10,6,16,73,76,149,8,7,15,91,89,180,6,3,9,59,56,115,3,7,10,68,66,134,3,4,7,73,64,137,11,6,17,87,74,161,11,15,26,214,245,459,18,15,33,243,275,518,203,218,421,1179,1117,2296,98,94,192,1480,1429,2909
IARE101002,1182,2218,68,60,128,1227,1402,2629,112,120,232,1092,1179,2271,57,64,121,1261,1363,2624,93,129,222,1108,1257,2365,67,55,122,1268,1441,2709,77,81,158,986,1062,2048,51,44,95,1114,1187,2301,57,51,108,954,933,1887,40,44,84,1051,1028,2079,73,110,183,2257,2810,5067,112,159,271,2442,3079,5521,2372,2614,4986,15535,16702,32237,894,820,1714,18801,20136,38937
IARE101003,110,213,11,7,18,131,134,265,8,14,22,129,132,261,7,10,17,144,156,300,15,18,33,133,149,282,14,11,25,162,178,340,13,16,29,129,118,247,6,9,15,148,143,291,17,13,30,112,126,238,8,5,13,137,144,281,16,9,25,376,427,803,25,42,67,417,478,895,266,264,530,1693,1851,3544,107,116,223,2066,2231,4297
IARE101004,156,312,8,11,19,195,210,405,20,38,58,175,169,344,12,7,19,207,214,421,33,26,59,204,189,393,9,5,14,246,220,466,25,33,58,184,185,369,11,9,20,220,227,447,25,19,44,211,180,391,6,8,14,242,207,449,23,32,55,493,521,1014,38,25,63,554,578,1132,609,695,1304,2577,2503,5080,162,134,296,3348,3332,6680
IARE101005,408,824,18,16,34,463,458,921,28,24,52,432,419,851,23,22,45,483,465,948,25,30,55,450,434,884,24,22,46,499,486,985,23,27,50,401,398,799,23,19,42,447,444,891,15,15,30,374,350,724,25,23,48,414,388,802,23,29,52,1064,1270,2334,79,91,170,1166,1390,2556,588,606,1194,6044,6286,12330,424,388,812,7056,7280,14336
IARE101006,69,143,5,5,10,86,89,175,6,13,19,93,92,185,3,0,3,102,105,207,15,5,20,104,97,201,4,5,9,123,107,230,7,10,17,87,63,150,4,4,8,98,77,175,7,6,13,94,72,166,3,3,6,104,81,185,5,10,15,225,221,446,9,7,16,239,238,477,151,207,358,1139,1104,2243,62,45,107,1352,1356,2708
IARE101007,201,388,20,8,28,228,233,461,23,23,46,228,239,467,12,14,26,263,276,539,20,21,41,263,237,500,20,15,35,303,273,576,17,15,32,270,286,556,25,18,43,312,319,631,5,17,22,299,279,578,8,3,11,312,299,611,26,24,50,776,845,1621,50,50,100,852,919,1771,401,405,806,3465,3475,6940,233,194,427,4099,4074,8173
IARE101008,200,401,15,12,27,278,254,532,46,42,88,229,220,449,13,6,19,288,268,556,27,39,66,292,243,535,17,14,31,336,296,632,36,33,69,229,228,457,18,12,30,283,273,556,31,24,55,247,260,507,12,10,22,290,294,584,19,39,58,748,779,1527,48,71,119,815,889,1704,998,746,1744,3367,3315,6682,220,205,425,4585,4266,8851
IARE102001,661,1263,42,44,86,678,762,1440,41,37,78,733,762,1495,30,39,69,804,838,1642,31,28,59,691,795,1486,41,36,77,763,859,1622,25,35,60,678,683,1361,27,22,49,730,740,1470,18,18,36,578,605,1183,39,21,60,635,644,1279,28,28,56,1396,1826,3222,68,121,189,1492,1975,3467,706,814,1520,10276,11132,21408,619,712,1331,11601,12658,24259
IARE102002,236,434,10,11,21,222,264,486,13,18,31,248,282,530,9,13,22,270,313,583,10,12,22,335,294,629,18,10,28,363,316,679,8,7,15,296,282,578,15,11,26,319,300,619,7,6,13,322,330,652,17,16,33,346,352,698,10,14,24,840,968,1808,37,36,73,887,1018,1905,253,235,488,3840,3982,7822,192,153,345,4285,4370,8655
