region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
IARE101001,5,16,6,27,6,12,0,18,0,17,0,17,0,16,6,22,0,16,4,20,0,9,0,9,0,11,0,11,11,97,16,124,0,16,0,16,0,19,0,19,4,19,4,27,4,22,4,30,5,13,0,18,0,7,0,7,0,10,3,13,13,106,11,130,5,32,6,43,6,31,0,37,4,36,4,44,4,38,10,52,5,29,4,38,0,16,0,16,0,21,3,24,24,203,27,254
IARE101002,16,220,35,271,18,174,14,206,31,227,12,270,31,175,20,226,24,170,13,207,10,115,6,131,3,54,16,73,133,1135,116,1384,29,225,46,300,35,169,15,219,49,250,16,315,62,231,21,314,48,184,16,248,24,103,9,136,7,73,30,110,254,1235,153,1642,45,445,81,571,53,343,29,425,80,477,28,585,93,406,41,540,72,354,29,455,34,218,15,267,10,127,46,183,387,2370,269,3026
IARE101003,0,26,3,29,0,11,0,11,0,15,3,18,3,26,3,32,4,22,0,26,3,22,3,28,3,11,3,17,13,133,15,161,0,28,6,34,0,12,0,12,5,19,3,27,11,25,0,36,6,22,0,28,4,19,6,29,0,9,0,9,26,134,15,175,0,54,9,63,0,23,0,23,5,34,6,45,14,51,3,68,10,44,0,54,7,41,9,57,3,20,3,26,39,267,30,336
IARE101004,7,62,13,82,3,22,4,29,6,39,5,50,7,43,4,54,3,45,3,51,4,39,5,48,3,17,4,24,33,267,38,338,0,33,15,48,8,45,3,56,9,66,3,78,16,57,8,81,19,44,3,66,7,44,4,55,4,22,4,30,63,311,40,414,7,95,28,130,11,67,7,85,15,105,8,128,23,100,12,135,22,89,6,117,11,83,9,103,7,39,8,54,96,578,78,752
IARE101005,0,60,13,73,4,30,0,34,5,47,9,61,14,44,4,62,8,36,6,50,5,28,3,36,0,19,5,24,36,264,40,340,6,64,9,79,7,28,3,38,13,54,0,67,15,52,4,71,15,39,0,54,4,32,6,42,5,15,9,29,65,284,31,380,6,124,22,152,11,58,3,72,18,101,9,128,29,96,8,133,23,75,6,104,9,60,9,78,5,34,14,53,101,548,71,720
IARE101006,0,10,4,14,3,3,3,9,3,11,0,14,4,12,0,16,3,15,3,21,0,15,3,18,0,5,0,5,13,71,13,97,0,17,0,17,3,12,0,15,4,18,0,22,5,21,8,34,4,16,3,23,3,12,0,15,0,7,3,10,19,103,14,136,0,27,4,31,6,15,3,24,7,29,0,36,9,33,8,50,7,31,6,44,3,27,3,33,0,12,3,15,32,174,27,233
IARE101007,3,30,5,38,3,22,4,29,3,23,4,30,4,29,0,33,4,34,6,44,3,18,3,24,3,18,3,24,23,174,25,222,3,31,4,38,3,23,0,26,6,31,3,40,11,30,8,49,12,27,5,44,9,17,3,29,3,20,3,26,47,179,26,252,6,61,9,76,6,45,4,55,9,54,7,70,15,59,8,82,16,61,11,88,12,35,6,53,6,38,6,50,70,353,51,474
IARE101008,4,76,33,113,3,33,65,101,10,60,107,177,7,64,58,129,10,54,10,74,0,61,6,67,3,16,0,19,37,364,279,680,5,55,15,75,9,47,5,61,11,67,13,91,20,70,16,106,11,62,7,80,17,37,3,57,6,23,10,39,79,361,69,509,9,131,48,188,12,80,70,162,21,127,120,268,27,134,74,235,21,116,17,154,17,98,9,124,9,39,10,58,116,725,348,1189
IARE102001,7,71,8,86,6,52,0,58,6,57,6,69,9,47,11,67,16,55,5,76,5,30,4,39,5,19,5,29,54,331,39,424,14,81,15,110,9,72,4,85,22,71,7,100,23,64,11,98,18,43,3,64,12,40,4,56,4,15,7,26,102,386,51,539,21,152,23,196,15,124,4,143,28,128,13,169,32,111,22,165,34,98,8,140,17,70,8,95,9,34,12,55,156,717,90,963
IARE102002,3,25,4,32,4,15,12,31,3,17,17,37,5,20,11,36,4,15,7,26,3,8,0,11,0,7,3,10,22,107,54,183,5,16,5,26,0,13,0,13,4,16,7,27,0,21,0,21,5,24,3,32,4,11,0,15,0,8,7,15,18,109,22,149,8,41,9,58,4,28,12,44,7,33,24,64,5,41,11,57,9,39,10,58,7,19,0,26,0,15,10,25,40,216,76,332
