region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
IARE101001,3,4,0,0,4,0,43,820,23,22,9,0,7,16,0,881,426,0,0,0,0,0,0,0,426,233,0,0,3,0,0,3,0,236,50,3,0,0,0,7,7,0,60,50,4,6,0,0,0,0,0,60,76,4,7,5,0,0,5,0,92,13,0,3,0,0,0,0,0,16,59,12,12,0,0,0,0,0,83,23,0,0,0,0,0,0,0,23,271,23,28,5,0,7,12,0,334,7,0,0,0,0,0,0,0,7,41,3,3,4,0,0,4,0,51,978,26,31,12,0,7,19,0,1054
IARE101002,51,21,0,0,21,0,286,10409,657,1030,52,0,44,96,0,12192,3992,104,126,15,0,6,21,3,4246,4938,90,53,3,0,9,12,0,5093,1448,400,559,0,0,15,15,0,2422,473,77,197,0,0,0,0,0,747,627,51,69,0,0,14,14,0,761,47,13,32,0,0,0,0,0,92,83,8,17,13,0,8,21,0,129,77,8,6,3,0,0,3,0,94,2755,557,880,16,0,37,53,0,4245,55,12,83,0,0,0,0,0,150,233,33,60,24,0,0,24,0,350,11973,796,1202,58,0,52,110,3,14084
IARE101003,4,8,0,0,8,0,48,1287,3,93,14,3,6,23,0,1406,671,0,14,3,3,0,6,0,691,403,0,16,0,0,0,0,0,419,79,0,56,0,0,0,0,0,135,60,0,0,0,0,0,0,0,60,131,3,9,0,0,6,6,0,149,23,0,0,0,0,0,0,0,23,30,0,7,7,0,0,7,0,44,21,0,3,0,0,0,0,0,24,344,3,75,7,0,6,13,0,435,20,0,0,0,0,0,0,0,20,42,0,4,8,0,0,8,0,54,1480,3,109,18,3,6,27,0,1619
IARE101004,5,0,0,0,0,0,59,1871,26,55,13,3,15,31,0,1983,933,4,5,4,3,3,10,0,952,698,0,0,3,0,3,6,0,704,186,23,31,0,0,3,3,0,243,108,4,10,0,0,0,0,0,122,169,5,9,0,0,3,3,0,186,18,3,7,0,0,0,0,0,28,71,3,6,3,0,3,6,0,86,43,0,7,3,0,0,3,0,53,595,38,70,6,0,9,15,0,718,25,0,0,0,0,0,0,0,25,74,0,5,0,0,0,0,0,79,2325,42,80,13,3,15,31,0,2478
IARE101005,13,9,0,0,9,0,147,4380,169,179,33,3,15,51,6,4785,1902,37,6,11,3,3,17,3,1965,1561,4,11,3,0,4,7,0,1583,488,70,79,0,0,5,5,0,642,201,7,42,0,0,0,0,3,253,374,17,14,0,0,3,3,0,408,45,17,13,0,0,0,0,0,75,78,3,8,10,0,0,10,0,99,45,0,4,0,0,0,0,0,49,1231,114,160,10,0,8,18,3,1526,38,15,0,0,0,0,0,0,53,134,12,13,9,0,0,9,0,168,4866,182,190,33,3,15,51,6,5295
IARE101006,3,0,0,3,3,0,33,860,26,33,8,0,9,17,0,936,439,5,0,7,0,3,10,0,454,222,4,0,0,0,0,0,0,226,20,5,5,0,0,0,0,0,30,52,0,0,0,0,0,0,0,52,107,8,11,5,0,3,8,0,134,12,0,14,0,0,0,0,0,26,67,6,0,4,0,0,4,0,77,39,0,0,0,0,0,0,0,39,297,19,30,9,0,3,12,0,358,6,3,0,0,0,0,0,0,9,31,0,7,0,0,3,3,0,41,995,31,37,16,0,9,25,0,1088
IARE101007,9,6,0,0,6,0,91,2664,17,100,20,12,27,59,13,2853,1432,4,16,8,12,15,35,3,1490,711,3,0,3,0,4,7,4,725,130,3,32,0,0,0,0,3,168,73,0,9,0,0,0,0,0,82,302,7,18,3,0,3,6,0,333,12,0,14,0,0,0,0,0,26,97,0,8,0,0,5,5,3,113,61,0,0,0,0,0,0,0,61,675,10,81,3,0,8,11,6,783,29,0,8,0,0,0,0,0,37,94,0,12,6,0,0,6,0,112,2941,17,117,20,12,27,59,13,3147
IARE101008,5,5,0,0,5,0,79,2469,42,92,14,7,13,34,0,2637,1286,10,10,5,7,3,15,0,1321,823,7,3,0,0,4,4,0,837,292,6,29,4,0,3,7,0,334,103,9,16,0,0,0,0,0,128,223,6,11,0,0,3,3,0,243,38,12,23,0,0,0,0,0,73,66,8,10,0,0,0,0,0,84,44,0,3,0,0,3,3,0,50,766,41,92,4,0,9,13,0,912,31,0,0,0,0,0,0,0,31,77,8,5,5,0,0,5,0,95,2983,66,110,14,7,16,37,0,3196
IARE102001,28,3,0,0,3,0,198,6694,456,887,30,0,14,44,12,8093,2766,74,63,10,0,6,16,3,2922,2254,36,52,4,0,0,4,5,2351,1021,205,575,0,0,0,0,0,1801,282,62,106,0,0,0,0,0,450,403,37,80,0,0,0,0,4,524,42,35,26,0,0,0,0,0,103,81,7,13,16,0,8,24,0,125,61,6,7,0,0,0,0,0,74,1890,352,807,16,0,8,24,4,3077,50,12,3,0,0,0,0,0,65,178,18,32,6,0,0,6,0,234,7138,492,957,36,0,14,50,12,8649
IARE102002,3,0,0,0,0,0,104,3068,113,59,9,6,4,19,6,3265,1517,15,7,9,3,0,12,3,1554,874,5,0,0,0,4,4,3,886,331,57,48,0,0,0,0,0,436,73,6,5,0,0,0,0,0,84,199,8,6,0,0,0,0,0,213,30,16,0,0,0,0,0,0,46,60,0,0,0,0,0,0,0,60,33,3,0,0,3,0,3,0,39,726,90,59,0,3,0,3,0,878,36,6,0,0,0,0,0,0,42,100,4,3,0,0,0,0,0,107,3253,120,69,9,6,4,19,6,3467
