region_id,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
IARE101001,0,24,4,3,0,0,31,0,0,18,20,12,8,58,0,21,8,9,8,0,46,0,0,0,0,0,0,0,0,45,30,32,20,8,135,0,0,0,0,3,3,6,0,45,30,32,23,11,141,29,0,0,0,0,0,29,0,0,0,0,0,0,0,29,45,30,32,23,11,170,0,226,5,3,0,0,234,0,0,81,96,53,27,257,0,40,18,10,3,0,71,0,7,3,0,0,0,10,0,273,107,109,56,27,572,0,0,0,0,0,5,5,0,273,107,109,56,32,577,286,0,0,0,0,0,286,0,17,3,0,0,0,20,286,290,110,109,56,32,883
IARE101002,0,227,23,3,3,0,256,0,0,140,207,117,115,579,0,173,193,132,53,54,605,0,15,8,3,0,0,26,0,415,364,345,173,169,1466,0,0,0,15,24,41,80,0,415,364,360,197,210,1546,269,0,0,0,0,0,269,0,63,10,0,0,3,76,269,478,374,360,197,213,1891,0,3322,96,8,0,0,3426,0,0,1217,1413,735,250,3615,0,581,389,145,47,22,1184,0,102,19,3,3,0,127,0,4005,1721,1569,785,272,8352,0,0,0,45,34,56,135,0,4005,1721,1614,819,328,8487,3340,0,0,0,0,0,3340,0,310,40,11,3,3,367,3340,4315,1761,1625,822,331,12194
IARE101003,0,30,3,3,0,0,36,0,0,11,24,15,4,54,0,16,27,18,3,4,68,0,3,5,0,0,0,8,0,49,46,45,18,8,166,0,0,0,0,5,3,8,0,49,46,45,23,11,174,36,0,0,0,0,0,36,0,5,0,0,0,0,5,36,54,46,45,23,11,215,0,464,9,0,0,0,473,0,0,130,129,82,29,370,0,57,34,19,3,0,113,0,8,0,0,0,0,8,0,529,173,148,85,29,964,0,0,0,0,4,6,10,0,529,173,148,89,35,974,411,0,0,0,0,0,411,0,20,3,0,0,0,23,411,549,176,148,89,35,1408
IARE101004,0,72,5,0,0,0,77,0,0,34,48,32,22,136,0,43,49,33,13,20,158,0,8,0,0,0,0,8,0,123,88,81,45,42,379,0,0,0,3,6,9,18,0,123,88,84,51,51,397,81,0,0,0,0,0,81,0,18,0,0,0,0,18,81,141,88,84,51,51,496,0,599,7,0,0,0,606,0,0,172,183,112,59,526,0,84,59,16,5,0,164,0,15,3,3,0,0,21,0,698,241,202,117,59,1317,0,0,0,10,4,7,21,0,698,241,212,121,66,1338,612,0,0,0,0,0,612,0,30,4,0,0,0,34,612,728,245,212,121,66,1984
IARE101005,0,63,8,0,0,0,71,0,0,46,44,30,33,153,0,51,58,32,14,8,163,0,7,0,0,0,0,7,0,121,112,76,44,41,394,0,0,0,4,3,10,17,0,121,112,80,47,51,411,79,0,0,0,0,0,79,0,17,4,0,0,0,21,79,138,116,80,47,51,511,0,1357,24,0,0,0,1381,0,0,428,422,313,157,1320,0,246,142,63,15,11,477,0,29,4,0,0,0,33,0,1632,598,485,328,168,3211,0,0,0,18,13,11,42,0,1632,598,503,341,179,3253,1450,0,0,0,0,0,1450,0,65,16,3,0,0,84,1450,1697,614,506,341,179,4787
IARE101006,0,21,0,0,0,0,21,0,0,15,9,5,4,33,0,19,14,12,6,4,55,0,4,0,0,0,0,4,0,44,29,21,11,8,113,0,0,0,3,0,3,6,0,44,29,24,11,11,119,32,0,0,0,0,0,32,0,4,0,0,0,0,4,32,48,29,24,11,11,155,0,288,6,3,0,0,297,0,0,88,92,51,16,247,0,26,16,3,7,0,52,0,6,0,0,0,0,6,0,320,110,98,58,16,602,0,0,0,4,0,0,4,0,320,110,102,58,16,606,312,0,0,0,0,0,312,0,14,3,0,0,0,17,312,334,113,102,58,16,935
IARE101007,0,40,4,0,0,0,44,0,0,25,35,19,26,105,0,16,16,22,10,3,67,0,9,3,0,0,0,12,0,65,48,57,29,29,228,0,0,0,0,3,10,13,0,65,48,57,32,39,241,35,0,0,0,0,0,35,0,13,4,0,0,0,17,35,78,52,57,32,39,293,0,907,19,3,0,0,929,0,0,194,261,143,61,659,0,125,79,26,10,5,245,0,23,3,0,0,0,26,0,1055,295,290,153,66,1859,0,0,0,6,5,5,16,0,1055,295,296,158,71,1875,913,0,0,0,0,0,913,0,65,0,0,0,0,65,913,1120,295,296,158,71,2853
IARE101008,0,69,11,3,0,0,83,0,0,47,51,38,29,165,0,58,56,32,19,14,179,0,11,6,0,0,0,17,0,138,120,86,57,43,444,0,0,0,4,8,7,19,0,138,120,90,65,50,463,80,0,0,0,0,0,80,0,15,0,0,0,0,15,80,153,120,90,65,50,558,0,781,20,3,0,0,804,0,0,207,239,134,60,640,0,121,73,28,9,3,234,0,25,3,0,0,0,28,0,927,303,270,143,63,1706,0,0,0,5,4,9,18,0,927,303,275,147,72,1724,860,0,0,0,0,0,860,0,51,0,0,0,0,51,860,978,303,275,147,72,2635
IARE102001,0,53,8,0,0,0,61,0,0,37,47,33,21,138,0,44,59,32,28,19,182,0,11,5,3,0,0,19,0,108,109,82,61,40,400,0,0,0,8,4,13,25,0,108,109,90,65,53,425,101,0,0,0,0,0,101,0,26,6,0,0,0,32,101,134,115,90,65,53,558,0,2155,74,7,0,0,2236,0,0,694,880,419,153,2146,0,431,245,96,32,8,812,0,42,16,5,0,3,66,0,2628,1029,988,451,164,5260,0,0,0,16,12,9,37,0,2628,1029,1004,463,173,5297,2391,0,0,0,0,0,2391,0,287,76,27,12,3,405,2391,2915,1105,1031,475,176,8093
IARE102002,0,31,3,3,0,0,37,0,0,9,17,6,10,42,0,22,18,15,10,4,69,0,6,0,0,0,0,6,0,59,30,35,16,14,154,0,0,0,3,3,0,6,0,59,30,38,19,14,160,25,0,0,0,0,0,25,0,10,8,0,0,0,18,25,69,38,38,19,14,203,0,1042,34,3,0,0,1079,0,0,251,252,161,46,710,0,148,87,41,14,7,297,0,36,0,0,0,0,36,0,1226,372,296,175,53,2122,0,0,0,10,7,4,21,0,1226,372,306,182,57,2143,1044,0,0,0,0,0,1044,0,74,0,0,0,0,74,1044,1300,372,306,182,57,3261
IARE102003,0,63,4,0,0,3,70,0,0,40,55,40,28,163,0,51,59,27,15,8,160,0,7,3,0,0,0,10,0,121,106,82,55,39,403,0,0,0,3,6,10,19,0,121,106,85,61,49,422,87,0,0,0,0,0,87,0,15,7,3,0,0,25,87,136,113,88,61,49,534,0,1152,35,0,0,0,1187,0,0,368,457,216,87,1128,0,163,110,50,12,3,338,0,28,4,0,3,0,35,0,1343,517,507,231,90,2688,0,0,0,7,9,10,26,0,1343,517,514,240,100,2714,1146,0,0,0,0,0,1146,0,86,7,0,0,0,93,1146,1429,524,514,240,100,3953
IARE102004,0,10,0,0,0,0,10,0,0,9,13,8,19,49,0,12,11,7,6,9,45,0,4,0,0,0,0,4,0,26,20,20,14,28,108,0,0,0,3,0,4,7,0,26,20,23,14,32,115,21,0,0,0,0,0,21,0,4,0,0,0,0,4,21,30,20,23,14,32,140,0,481,17,3,0,0,501,0,0,147,158,94,49,448,0,74,30,21,11,0,136,0,7,5,0,0,0,12,0,562,199,182,105,49,1097,0,0,0,3,6,6,15,0,562,199,185,111,55,1112,443,0,0,0,0,0,443,0,31,0,0,0,0,31,443,593,199,185,111,55,1586
