region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE101001,4,21,25,3,20,23,11,31,42,11,86,97,24,100,124,12,87,99,6,64,70,15,62,77,14,59,73,21,87,108,8,50,58,7,50,57,6,38,44,15,85,100,14,44,58,171,884,1055
IARE101002,10,111,121,37,159,196,87,333,420,122,872,994,212,1212,1424,196,1127,1323,168,1064,1232,154,1017,1171,122,941,1063,204,1438,1642,118,1026,1144,59,677,736,82,780,862,232,1061,1293,88,376,464,1891,12194,14085
IARE101003,0,21,21,5,25,30,14,62,76,21,148,169,38,183,221,26,169,195,12,147,159,11,104,115,19,82,101,17,112,129,6,58,64,3,47,50,0,44,44,28,146,174,15,59,74,215,1407,1622
IARE101004,3,43,46,21,33,54,25,77,102,39,211,250,74,231,305,64,200,264,41,180,221,46,146,192,28,155,183,44,188,232,20,120,140,6,77,83,9,81,90,48,174,222,28,68,96,496,1984,2480
IARE101005,8,58,66,12,108,120,26,182,208,56,520,576,79,581,660,54,477,531,43,384,427,42,397,439,33,319,352,25,477,502,25,295,320,15,231,246,21,239,260,48,366,414,23,153,176,510,4787,5297
IARE101006,0,23,23,7,19,26,7,27,34,17,101,118,23,89,112,23,96,119,8,91,99,14,87,101,11,68,79,9,97,106,6,58,64,3,34,37,0,31,31,15,73,88,9,43,52,152,937,1089
IARE101007,3,53,56,7,79,86,12,127,139,21,376,397,54,453,507,47,329,376,26,237,263,25,200,225,24,150,174,21,204,225,7,110,117,4,70,74,3,73,76,28,258,286,14,134,148,296,2853,3149
IARE101008,4,35,39,15,43,58,29,116,145,52,361,413,80,364,444,64,301,365,56,249,305,52,198,250,33,159,192,30,189,219,24,147,171,6,81,87,13,86,99,75,206,281,26,99,125,559,2634,3193
IARE102001,5,95,100,17,154,171,30,282,312,41,620,661,76,886,962,86,834,920,52,719,771,44,700,744,26,583,609,55,883,938,25,581,606,15,430,445,10,503,513,38,621,659,34,201,235,554,8092,8646
IARE102002,3,55,58,5,97,102,9,152,161,15,375,390,28,524,552,23,386,409,24,330,354,17,251,268,11,205,216,12,261,273,10,136,146,5,68,73,3,73,76,25,225,250,13,125,138,203,3263,3466
IARE102003,4,43,47,11,69,80,28,128,156,44,364,408,76,506,582,69,387,456,51,329,380,37,274,311,44,300,344,40,424,464,20,242,262,15,230,245,19,226,245,39,283,322,35,150,185,532,3955,4487
IARE102004,4,27,31,3,31,34,3,71,74,10,160,170,15,223,238,24,185,209,18,161,179,14,151,165,8,130,138,6,132,138,5,64,69,3,36,39,0,30,30,18,121,139,6,66,72,137,1588,1725
IARE102005,9,143,152,18,183,201,27,284,311,35,758,793,59,1161,1220,80,921,1001,48,782,830,38,602,640,36,495,531,21,629,650,16,360,376,5,179,184,7,225,232,47,561,608,29,311,340,475,7594,8069
IARE102006,0,37,37,6,56,62,11,123,134,25,258,283,58,378,436,53,299,352,45,231,276,33,195,228,29,172,201,26,229,255,5,124,129,3,115,118,9,88,97,30,204,234,12,96,108,345,2605,2950
IARE102007,4,21,25,24,47,71,59,55,114,54,144,198,68,198,266,82,178,260,49,181,230,49,195,244,34,203,237,31,244,275,28,183,211,12,120,132,7,147,154,63,152,215,60,88,148,624,2156,2780
IARE102008,7,46,53,4,27,31,18,32,50,19,94,113,36,144,180,24,148,172,26,161,187,30,138,168,14,142,156,25,183,208,14,95,109,6,74,80,3,132,135,29,148,177,11,75,86,266,1639,1905
IARE102009,5,47,52,7,71,78,12,135,147,22,307,329,35,428,463,35,406,441,16,350,366,24,355,379,25,359,384,41,555,596,37,366,403,30,635,665,34,645,679,24,367,391,10,151,161,357,5177,5534
IARE102010,11,66,77,16,64,80,25,135,160,48,349,397,71,466,537,76,387,463,34,360,394,42,335,377,26,335,361,49,434,483,27,306,333,18,230,248,8,222,230,56,340,396,39,207,246,546,4236,4782
IARE102011,19,196,215,48,262,310,100,590,690,118,1610,1728,231,2393,2624,257,2049,2306,184,1716,1900,178,1646,1824,167,1457,1624,178,1995,2173,100,1378,1478,48,840,888,42,972,1014,168,1397,1565,79,649,728,1917,19150,21067
IARE102012,0,47,47,7,86,93,19,120,139,19,308,327,28,403,431,30,304,334,18,233,251,17,191,208,6,152,158,8,186,194,3,88,91,3,58,61,0,48,48,10,191,201,7,94,101,175,2509,2684
IARE102013,0,63,63,3,78,81,3,131,134,10,417,427,28,537,565,27,522,549,14,379,393,21,364,385,14,331,345,32,564,596,16,322,338,13,368,381,16,377,393,26,394,420,7,167,174,230,5014,5244
IARE102014,3,48,51,4,59,63,13,92,105,27,244,271,28,397,425,34,336,370,15,288,303,25,272,297,21,215,236,14,324,338,7,192,199,4,106,110,3,131,134,34,259,293,16,101,117,248,3064,3312
IARE103001,0,11,11,5,11,16,9,16,25,20,49,69,24,56,80,35,43,78,28,44,72,22,64,86,17,46,63,28,71,99,16,48,64,7,40,47,8,35,43,50,61,111,32,43,75,301,638,939
IARE103002,5,8,13,14,7,21,19,6,25,32,25,57,38,21,59,54,12,66,26,23,49,36,15,51,10,16,26,21,28,49,17,14,31,8,14,22,0,16,16,31,33,64,10,12,22,321,250,571
IARE103003,6,18,24,3,25,28,17,40,57,11,119,130,30,133,163,21,103,124,17,88,105,22,104,126,13,93,106,26,150,176,14,90,104,26,172,198,23,150,173,25,124,149,6,59,65,260,1468,1728
IARE103004,3,19,22,4,21,25,32,45,77,35,124,159,69,136,205,53,110,163,43,102,145,39,85,124,24,80,104,30,73,103,11,64,75,13,32,45,9,44,53,38,106,144,25,56,81,428,1097,1525
IARE103005,8,77,85,16,132,148,41,334,375,65,1005,1070,117,1023,1140,109,820,929,64,655,719,73,542,615,46,455,501,57,654,711,29,395,424,22,315,337,19,345,364,75,529,604,47,358,405,788,7639,8427
IARE103006,5,59,64,31,37,68,44,108,152,61,300,361,66,239,305,64,186,250,47,141,188,53,134,187,32,111,143,41,127,168,25,79,104,8,69,77,17,74,91,62,128,190,54,102,156,610,1894,2504
IARE104001,3,168,171,9,192,201,20,428,448,40,1281,1321,73,1931,2004,68,1719,1787,53,1540,1593,43,1272,1315,33,1135,1168,53,1515,1568,23,935,958,15,618,633,18,761,779,51,1140,1191,29,401,430,531,15036,15567
IARE104002,3,149,152,5,182,187,6,473,479,31,917,948,26,1370,1396,31,1234,1265,28,1132,1160,23,912,935,15,783,798,22,970,992,20,574,594,5,441,446,7,495,502,42,1063,1105,9,238,247,273,10933,11206
IARE104003,5,187,192,12,248,260,21,544,565,53,1508,1561,114,1980,2094,114,1697,1811,88,1333,1421,97,1330,1427,78,1175,1253,96,1851,1947,74,1186,1260,67,1197,1264,54,1195,1249,102,1253,1355,48,588,636,1023,17272,18295
IARE104004,15,190,205,35,374,409,57,759,816,80,1860,1940,171,3005,3176,139,2289,2428,115,1861,1976,110,1498,1608,80,1156,1236,72,1489,1561,44,813,857,19,473,492,18,471,489,117,1288,1405,51,607,658,1123,18133,19256
IARE104005,18,378,396,45,613,658,89,1480,1569,128,3503,3631,286,5445,5731,234,4403,4637,191,3706,3897,177,3152,3329,128,2466,2594,178,3357,3535,80,2056,2136,40,1226,1266,25,1322,1347,178,2654,2832,73,1068,1141,1870,36829,38699
IARE104006,0,57,57,4,91,95,5,153,158,15,464,479,28,642,670,30,523,553,25,436,461,21,374,395,24,324,348,25,470,495,9,286,295,8,265,273,8,264,272,26,366,392,7,158,165,235,4873,5108
IARE104007,15,586,601,37,868,905,61,1703,1764,97,4700,4797,159,6660,6819,180,5515,5695,154,4917,5071,137,4688,4825,142,4147,4289,181,6603,6784,137,4437,4574,94,3875,3969,112,4538,4650,169,4521,4690,67,1796,1863,1742,59554,61296
