region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE101001,3,29,62,91,0,4,4,6,16,22,0,0,0,6,20,26,23,18,41,207,84,291,0,0,0,230,102,332,141,153,294,1003,935,1938,19,15,34,1163,1103,2266,45,58,103,140,151,291,4,0,4,189,209,398,101,94,195,743,680,1423,13,9,22,857,783,1640,64,85,149,324,337,661,6,5,11,394,427,821
IARE101002,11,647,1122,1769,18,48,66,141,336,477,0,7,7,159,391,550,267,187,454,3637,1812,5449,30,20,50,3934,2019,5953,1749,1936,3685,12882,13732,26614,175,230,405,14806,15898,30704,498,551,1049,2249,2594,4843,31,27,58,2778,3172,5950,904,955,1859,8375,8936,17311,124,165,289,9403,10056,19459,985,1171,2156,5688,6459,12147,62,66,128,6735,7696,14431
IARE101003,3,53,112,165,0,7,7,12,24,36,0,0,0,12,31,43,25,16,41,351,159,510,0,0,0,376,175,551,211,207,418,1494,1590,3084,20,29,49,1725,1826,3551,41,36,77,149,212,361,3,0,3,193,248,441,135,127,262,1118,1167,2285,18,23,41,1271,1317,2588,88,92,180,435,540,975,0,7,7,523,639,1162
IARE101004,3,106,182,288,3,13,16,16,28,44,0,0,0,19,41,60,45,46,91,499,220,719,3,3,6,547,269,816,456,522,978,2192,2142,4334,38,30,68,2686,2694,5380,121,137,258,316,314,630,6,0,6,443,451,894,282,289,571,1608,1556,3164,30,26,56,1920,1871,3791,200,261,461,742,766,1508,4,7,11,946,1034,1980
IARE101005,3,187,384,571,3,14,17,56,92,148,0,0,0,59,106,165,64,47,111,1316,607,1923,8,9,17,1388,663,2051,437,467,904,5131,5283,10414,59,63,122,5627,5813,11440,113,108,221,764,820,1584,6,12,18,883,940,1823,268,269,537,3567,3667,7234,39,49,88,3874,3985,7859,207,225,432,1944,2067,4011,15,21,36,2166,2313,4479
IARE101006,0,39,78,117,0,5,5,9,20,29,0,0,0,9,25,34,9,9,18,202,60,262,3,0,3,214,69,283,104,169,273,964,935,1899,15,12,27,1083,1116,2199,35,34,69,153,144,297,5,0,5,193,178,371,66,107,173,725,680,1405,5,9,14,796,796,1592,62,81,143,334,322,656,7,3,10,403,406,809
IARE101007,0,130,239,369,5,4,9,27,65,92,0,0,0,32,69,101,19,30,49,655,299,954,6,0,6,680,329,1009,317,313,630,3012,2992,6004,48,47,95,3377,3352,6729,63,68,131,378,405,783,4,10,14,445,483,928,193,188,381,2257,2200,4457,34,31,65,2484,2419,4903,133,130,263,944,1020,1964,15,15,30,1092,1165,2257
IARE101008,5,146,246,392,8,7,15,22,42,64,0,0,0,30,49,79,70,54,124,647,305,952,10,4,14,727,363,1090,567,542,1109,2760,2827,5587,58,60,118,3385,3429,6814,155,142,297,343,375,718,9,7,16,507,524,1031,346,338,684,2002,2012,4014,35,42,77,2383,2392,4775,265,263,528,922,1013,1935,15,17,32,1202,1293,2495
IARE102001,6,504,839,1343,9,21,30,93,167,260,0,4,4,102,192,294,57,54,111,1738,829,2567,6,7,13,1801,890,2691,482,575,1057,8086,8591,16677,85,95,180,8653,9261,17914,170,205,375,1995,2336,4331,27,31,58,2192,2572,4764,260,322,582,5111,5472,10583,53,60,113,5424,5854,11278,293,358,651,4425,4952,9377,44,42,86,4762,5352,10114
IARE102002,3,154,266,420,4,4,8,27,57,84,0,0,0,31,61,92,11,16,27,759,385,1144,4,4,8,774,405,1179,153,170,323,3173,3296,6469,34,41,75,3360,3507,6867,52,50,102,518,578,1096,7,6,13,577,634,1211,90,118,208,2254,2328,4582,23,34,57,2367,2480,4847,89,77,166,1232,1341,2573,13,10,23,1334,1428,2762
IARE102003,3,178,327,505,3,13,16,48,100,148,0,0,0,51,113,164,69,56,125,1049,498,1547,7,4,11,1125,558,1683,532,517,1049,4188,4182,8370,49,68,117,4769,4767,9536,110,120,230,705,712,1417,12,7,19,827,839,1666,314,290,604,2938,2854,5792,32,41,73,3284,3185,6469,243,271,514,1641,1716,3357,18,27,45,1902,2014,3916
IARE102004,3,66,125,191,0,3,3,13,33,46,0,0,0,13,36,49,21,8,29,353,180,533,0,0,0,374,188,562,170,177,347,1758,1760,3518,29,16,45,1957,1953,3910,38,39,77,217,226,443,3,7,10,258,272,530,116,117,233,1297,1264,2561,23,18,41,1436,1399,2835,73,72,145,554,599,1153,4,8,12,631,679,1310
