region_id,M_Ind_15_19_PD_GD_GCL,M_Ind_15_19_BDL,M_Ind_15_19_ADip_DipL,M_Ind_15_19_CL_nfd,M_Ind_15_19_Ct_III_IV,M_Ind_15_19_Ct_I_II,M_Ind_15_19_LoE_NS,M_Ind_15_19_Tot,M_Ind_20_24_PD_GD_GCL,M_Ind_20_24_BDL,M_Ind_20_24_ADip_DipL,M_Ind_20_24_CL_nfd,M_Ind_20_24_Ct_III_IV,M_Ind_20_24_Ct_I_II,M_Ind_20_24_LoE_NS,M_Ind_20_24_Tot,M_Ind_25_34_PD_GD_GCL,M_Ind_25_34_BDL,M_Ind_25_34_ADip_DipL,M_Ind_25_34_CL_nfd,M_Ind_25_34_Ct_III_IV,M_Ind_25_34_Ct_I_II,M_Ind_25_34_LoE_NS,M_Ind_25_34_Tot,M_Ind_35_44_PD_GD_GCL,M_Ind_35_44_BDL,M_Ind_35_44_ADip_DipL,M_Ind_35_44_CL_nfd,M_Ind_35_44_Ct_III_IV,M_Ind_35_44_Ct_I_II,M_Ind_35_44_LoE_NS,M_Ind_35_44_Tot,M_Ind_45_54_PD_GD_GCL,M_Ind_45_54_BDL,M_Ind_45_54_ADip_DipL,M_Ind_45_54_CL_nfd,M_Ind_45_54_Ct_III_IV,M_Ind_45_54_Ct_I_II,M_Ind_45_54_LoE_NS,M_Ind_45_54_Tot,M_Ind_55_64_PD_GD_GCL,M_Ind_55_64_BDL,M_Ind_55_64_ADip_DipL,M_Ind_55_64_CL_nfd,M_Ind_55_64_Ct_III_IV,M_Ind_55_64_Ct_I_II,M_Ind_55_64_LoE_NS,M_Ind_55_64_Tot,M_Ind_65ov_PtgdDe_GdDp_GdCt,M_Ind_65ov_BDL,M_Ind_65ov_ADip_DipL,M_Ind_65ov_CL_nfd,M_Ind_65ov_Ct_III_IV,M_Ind_65ov_Ct_I_II,M_Ind_65ov_LoE_NS,M_Ind_65ov_Tot,M_Ind_Tot_PD_GD_GCL,M_Ind_Tot_BDL,M_Ind_Tot_ADip_DipL,M_Ind_Tot_CL_nfd,M_Ind_Tot_Ct_III_IV,M_Ind_Tot_Ct_I_II,M_Ind_Tot_LoE_NS,M_Ind_Tot_Tot,M_NonI_15_19_PD_GD_GCL,M_NonI_15_19_BDL,M_NonI_15_19_ADip_DipL,M_NonI_15_19_CL_nfd,M_NonI_15_19_Ct_III_IV,M_NonI_15_19_Ct_I_II,M_NonI_15_19_LoE_NS,M_NonI_15_19_Tot,M_NonI_20_24_PD_GD_GCL,M_NonI_20_24_BDL,M_NonI_20_24_ADip_DipL,M_NonI_20_24_CL_nfd,M_NonI_20_24_Ct_III_IV,M_NonI_20_24_Ct_I_II,M_NonI_20_24_LoE_NS,M_NonI_20_24_Tot,M_NonI_25_34_PD_GD_GCL,M_NonI_25_34_BDL,M_NonI_25_34_ADip_DipL,M_NonI_25_34_CL_nfd,M_NonI_25_34_Ct_III_IV,M_NonI_25_34_Ct_I_II,M_NonI_25_34_LoE_NS,M_NonI_25_34_Tot,M_NonI_35_44_PD_GD_GCL,M_NonI_35_44_BDL,M_NonI_35_44_ADip_DipL,M_NonI_35_44_CL_nfd,M_NonI_35_44_Ct_III_IV,M_NonI_35_44_Ct_I_II,M_NonI_35_44_LoE_NS,M_NonI_35_44_Tot,M_NonI_45_54_PD_GD_GCL,M_NonI_45_54_BDL,M_NonI_45_54_ADip_DipL,M_NonI_45_54_CL_nfd,M_NonI_45_54_Ct_III_IV,M_NonI_45_54_Ct_I_II,M_NonI_45_54_LoE_NS,M_NonI_45_54_Tot,M_NonI_55_64_PD_GD_GCL,M_NonI_55_64_BDL,M_NonI_55_64_ADip_DipL,M_NonI_55_64_CL_nfd,M_NonI_55_64_Ct_III_IV,M_NonI_55_64_Ct_I_II,M_NonI_55_64_LoE_NS,M_NonI_55_64_Tot,M_NonI_65ov_PtgdDe_GdDp_GdCt,M_NonI_65ov_BDL,M_NonI_65ov_ADip_DipL,M_NonI_65ov_CL_nfd,M_NonI_65ov_Ct_III_IV,M_NonI_65ov_Ct_I_II,M_NonI_65ov_LoE_NS,M_NonI_65ov_Tot,M_NonI_TotPdDe_GdDp_GdCt,M_NonI_Tot_BDL,M_NonI_Tot_ADip_DipL,M_NonI_Tot_CL_nfd,M_NonI_Tot_Ct_III_IV,M_NonI_Tot_Ct_I_II,M_NonI_Tot_LoE_NS,M_NonI_Tot_Tot,M_IS_NS_15_19_PD_GD_GCLL,M_IS_NS_15_19_BDL,M_IS_NS_15_19_ADip_DipL,M_IS_NS_15_19_CL_nfd,M_IS_NS_15_19_Ct_III_IV_L,M_IS_NS_15_19_Ct_I_II,M_IS_NS_15_19_LoE_NS,M_IS_NS_15_19_Tot,M_IS_NS_20_24_PD_GD_GCLL,M_IS_NS_20_24_BDL,M_IS_NS_20_24_AdDip_and_DipL,M_IS_NS_20_24_CL_nfd,M_IS_NS_20_24_Ct_III_IV_L,M_IS_NS_20_24_Ct_I_II,M_IS_NS_20_24_LoE_NS,M_IS_NS_20_24_Tot,M_IS_NS_25_34_PD_GD_GCLL,M_IS_NS_25_34_BDL,M_IS_NS_25_34_AdDip_and_DipL,M_IS_NS_25_34_CL_nfd,M_IS_NS_25_34_Ct_III_IV_L,M_IS_NS_25_34_Ct_I_II_L,M_IS_NS_25_34_LoE_NS,M_IS_NS_25_34_Tot,M_IS_NS_35_44_PD_GD_GCLL,M_IS_NS_35_44_BDL,M_IS_NS_35_44_ADip_DipL,M_IS_NS_35_44_CL_nfd,M_IS_NS_35_44_Ct_III_IV_L,M_IS_NS_35_44_Ct_I_II_L,M_IS_NS_35_44_LoE_NS,M_IS_NS_35_44_Tot,M_IS_NS_45_54_PdDe_GdDp_GdC,M_IS_NS_45_54_BDL,M_IS_NS_45_54_ADip_DipL,M_IS_NS_45_54_CL_nfd,M_IS_NS_45_54_Ct_III_IV_L,M_IS_NS_45_54_Ct_I_II_L,M_IS_NS_45_54_LoE_NS,M_IS_NS_45_54_Tot,M_IS_NS_55_64_PD_GD_GCL,M_IS_NS_55_64_BDL,M_IS_NS_55_64_ADip_DipL,M_IS_NS_55_64_CL_nfd,M_IS_NS_55_64_Ct_III_IV_L,M_IS_NS_55_64_Ct_I_II_L,M_IS_NS_55_64_LoE_NS,M_IS_NS_55_64_Tot,M_IS_NS_65ov_PD_GD_GCL,M_IS_NS_65ov_BDL,M_IS_NS_65ov_ADip_DipL,M_IS_NS_65ov_CL_nfd,M_IS_NS_65ov_Ct_III_IV_L,M_IS_NS_65ov_Ct_I_II,M_IS_NS_65ov_LoE_NS,M_IS_NS_65ov_Tot,M_IS_NS_TotPdDe_GdDp_GdCt,M_IS_NS_Tot_BDL,M_IS_NS_Tot_ADip_DipL,M_IS_NS_Tot_CL_nfd,M_IS_NS_Tot_Ct_III_IV_L,M_IS_NS_Tot_Ct_I_II,M_IS_NS_Tot_LoE_NS,M_IS_NS_Tot_Tot,M_T_15_19_PD_GD_GCL,M_T_15_19_BDL,M_T_15_19_ADip_DipL,M_T_15_19_CL_nfd,M_T_15_19_Ct_III_IV,M_T_15_19_Ct_I_II,M_T_15_19_LoE_NS,M_T_15_19_Tot
IARE101001,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,0,0,0,0,9,0,0,9,0,0,0,0,5,0,5,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,35,0,0,0,0,0,0,7,7,0,0,0,3,23,4,3,33,4,18,4,0,32,0,0,58,4,21,4,3,44,0,7,83,0,7,12,0,49,0,11,79,6,3,3,4,25,0,11,52,0,0,3,3,37,0,37,80,14,49,26,13,210,4,76,392,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,6,9,0,0,0,0,0,0,11,11,0,0,0,0,0,0,14,14,0,0,0,0,0,0,14,14,0,0,3,0,0,0,12,15,0,3,3,0,0,0,65,71,0,0,0,0,0,0,12,12
IARE101002,0,0,0,0,12,7,31,50,0,3,0,4,47,5,17,76,3,6,8,4,80,3,18,122,3,4,8,0,50,0,25,90,0,11,6,3,48,0,20,88,3,3,3,0,24,0,8,41,0,0,3,0,8,0,10,21,9,27,28,11,269,15,129,488,0,0,0,5,57,13,80,155,0,34,24,14,308,26,44,450,50,221,77,27,711,48,81,1215,79,246,137,30,743,33,75,1343,89,194,152,23,760,25,119,1362,65,187,127,23,587,11,94,1094,32,73,99,23,470,5,280,982,315,955,616,145,3636,161,773,6601,0,0,0,0,0,0,57,57,0,0,0,3,5,0,49,57,0,3,0,0,3,0,87,93,0,0,3,0,7,0,97,107,0,0,0,3,4,0,106,113,0,0,0,0,5,0,73,78,0,0,0,0,5,0,83,88,0,3,3,6,29,0,552,593,0,0,0,5,69,20,168,262
IARE101003,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,4,0,4,8,0,0,0,0,7,0,4,11,0,3,0,0,4,0,0,7,0,0,0,0,0,0,4,4,0,0,0,0,3,0,4,7,0,3,0,0,26,0,16,45,0,0,0,0,6,3,11,20,0,3,0,0,28,0,6,37,0,7,12,0,58,4,5,86,3,12,8,3,63,3,10,102,5,13,14,6,76,3,21,138,3,10,7,4,57,0,20,101,0,7,7,7,62,0,44,127,11,52,48,20,350,13,117,611,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,12,12,0,0,3,0,0,0,14,17,0,0,0,0,3,0,14,17,0,0,0,0,0,0,20,20,0,0,3,0,3,0,72,78,0,0,0,0,9,3,16,28
IARE101004,0,0,0,0,3,3,14,20,0,0,0,0,8,0,0,8,0,0,0,3,14,0,6,23,0,0,0,0,9,0,4,13,0,0,0,0,7,0,0,7,0,0,3,0,5,0,10,18,0,0,0,0,0,0,0,0,0,0,3,3,46,3,34,89,0,0,0,0,4,0,8,12,0,7,0,0,37,3,3,50,7,29,12,0,78,3,7,136,11,26,26,5,102,6,9,185,7,14,23,5,115,3,20,187,6,20,21,8,77,7,23,162,3,6,17,7,85,0,68,186,34,102,99,25,498,22,138,918,0,0,0,0,0,0,7,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,10,0,0,3,0,0,0,15,18,0,0,0,0,0,0,18,18,0,0,0,0,0,0,14,14,0,0,0,0,3,0,24,27,0,0,3,0,3,0,92,98,0,0,0,0,7,3,29,39
IARE101005,0,0,0,5,3,0,9,17,0,0,0,0,13,0,0,13,0,3,0,0,17,0,9,29,0,3,0,0,16,0,8,27,0,0,3,0,9,0,7,19,3,0,0,0,6,0,4,13,0,0,0,0,0,0,9,9,3,6,3,5,64,0,46,127,0,0,0,0,15,12,36,63,0,17,6,0,96,9,13,141,13,52,29,12,207,9,26,348,19,69,37,10,273,9,42,459,26,46,47,11,320,9,49,508,20,39,38,8,207,11,52,375,7,19,24,16,198,3,119,386,85,242,181,57,1316,62,337,2280,0,0,0,0,0,0,20,20,0,0,0,0,0,0,35,35,0,0,0,0,3,0,49,52,0,0,0,0,3,0,43,46,0,0,0,0,0,0,45,45,0,0,3,0,0,0,38,41,0,0,0,0,3,0,70,73,0,0,3,0,9,0,300,312,0,0,0,5,18,12,65,100
IARE101006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,20,0,0,0,0,7,0,5,12,0,4,4,0,16,0,0,24,0,18,4,0,30,3,6,61,0,10,10,4,25,3,4,56,5,9,10,6,52,3,6,91,0,8,4,0,37,0,12,61,0,3,6,0,37,0,29,75,5,52,38,10,204,9,62,380,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,6,0,0,0,0,0,0,37,37,0,0,0,0,7,0,13,20
IARE101007,0,0,0,0,0,0,9,9,0,0,0,0,0,3,6,9,0,0,0,0,3,3,3,9,0,0,0,0,3,0,7,10,0,0,3,0,7,0,10,20,0,0,3,0,3,0,0,6,0,0,0,0,3,0,9,12,0,0,6,0,19,6,44,75,0,0,0,3,7,3,16,29,0,5,4,0,20,3,5,37,6,17,13,8,76,4,12,136,4,31,29,5,131,7,10,217,7,27,34,5,136,8,27,244,8,35,28,9,132,6,42,260,14,17,16,8,151,3,93,302,39,132,124,38,653,34,205,1225,0,0,0,0,0,0,19,19,0,0,0,0,0,0,9,9,0,0,0,0,0,0,14,14,0,0,0,0,0,0,27,27,0,0,0,0,3,0,24,27,0,0,0,0,3,0,26,29,0,3,0,0,0,0,39,42,0,3,0,0,6,0,158,167,0,0,0,3,7,3,44,57
IARE101008,0,0,0,0,6,0,33,39,0,0,0,0,8,3,65,76,0,0,0,0,14,3,107,124,0,3,0,0,18,0,59,80,0,3,0,0,9,3,16,31,0,0,3,0,9,3,4,19,0,0,0,0,4,0,0,4,0,6,3,0,68,12,284,373,0,0,0,0,12,3,16,31,0,0,0,5,34,4,31,74,3,26,14,3,73,6,89,214,5,28,32,7,104,6,61,243,14,24,42,8,152,3,64,307,11,26,28,9,123,0,44,241,6,26,26,13,151,3,97,322,39,130,142,45,649,25,402,1432,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,14,14,0,0,0,0,3,0,22,25,0,0,0,0,0,0,25,25,0,0,0,0,6,0,23,29,0,0,0,0,0,0,41,41,0,0,0,0,9,0,140,149,0,0,0,0,18,3,57,78
IARE102001,0,0,0,0,3,3,9,15,0,0,3,0,3,4,4,14,0,4,4,3,16,0,3,30,0,3,0,0,16,4,12,35,0,0,3,3,13,0,17,36,0,3,3,0,4,0,9,19,0,0,3,0,0,0,3,6,0,10,16,6,55,11,57,155,0,0,3,3,39,18,44,107,0,75,45,6,161,19,29,335,96,259,63,9,293,28,48,796,159,212,82,16,275,15,44,803,211,212,107,24,406,9,63,1032,209,203,100,18,310,5,59,904,184,126,87,28,255,3,172,855,859,1087,487,104,1739,97,459,4832,0,0,0,0,0,0,44,44,0,3,0,0,0,0,57,60,0,3,3,0,0,0,92,98,0,0,0,0,0,0,78,78,0,3,0,0,6,0,59,68,0,0,0,0,0,0,55,55,0,3,0,0,3,0,56,62,0,12,3,0,9,0,441,465,0,0,3,3,42,21,97,166
IARE102002,0,0,0,0,0,0,4,4,0,0,0,0,3,0,12,15,3,0,0,0,0,3,19,25,0,0,0,0,4,0,8,12,0,3,0,0,4,3,7,17,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3,3,3,0,0,11,6,58,81,4,0,0,0,17,4,18,43,0,3,0,0,37,4,17,61,3,17,15,12,107,7,33,194,5,37,22,9,120,3,37,233,3,28,30,11,180,6,42,300,16,49,44,6,144,3,43,305,19,22,39,10,154,4,101,349,50,156,150,48,759,31,291,1485,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,0,0,0,0,0,0,16,16,0,0,0,0,0,0,21,21,0,0,0,0,0,0,24,24,0,0,0,0,5,0,25,30,0,0,0,0,0,0,34,34,0,0,0,0,5,0,134,139,4,0,0,0,17,4,29,54
