region_id,M_T_20_24_PD_GD_GCL,M_T_20_24_BDL,M_T_20_24_ADip_DipL,M_T_20_24_CL_nfd,M_T_20_24_Ct_III_IV,M_T_20_24_Ct_I_II,M_T_20_24_LoE_NS,M_T_20_24_Tot,M_T_25_34_PD_GD_GCL,M_T_25_34_BDL,M_T_25_34_ADip_DipL,M_T_25_34_CL_nfd,M_T_25_34_Ct_III_IV,M_T_25_34_Ct_I_II,M_T_25_34_LoE_NS,M_T_25_34_Tot,M_T_35_44_PD_GD_GCL,M_T_35_44_BDL,M_T_35_44_ADip_DipL,M_T_35_44_CL_nfd,M_T_35_44_Ct_III_IV,M_T_35_44_Ct_I_II,M_T_35_44_LoE_NS,M_T_35_44_Tot,M_T_45_54_PD_GD_GCL,M_T_45_54_BDL,M_T_45_54_ADip_DipL,M_T_45_54_CL_nfd,M_T_45_54_Ct_III_IV,M_T_45_54_Ct_I_II,M_T_45_54_LoE_NS,M_T_45_54_Tot,M_T_55_64_PD_GD_GCL,M_T_55_64_BDL,M_T_55_64_ADip_DipL,M_T_55_64_CL_nfd,M_T_55_64_Ct_III_IV,M_T_55_64_Ct_I_II,M_T_55_64_LoE_NS,M_T_55_64_Tot,M_T_65ov_PtgdDe_GdDp_GdCt,M_T_65ov_BDL,M_T_65ov_ADip_DipL,M_T_65ov_CL_nfd,M_T_65ov_Ct_III_IV,M_T_65ov_Ct_I_II,M_T_65ov_LoE_NS,M_T_65ov_Tot,M_T_Tot_PD_GD_GCL,M_T_Tot_BDL,M_T_Tot_ADip_DipL,M_T_Tot_CL_nfd,M_T_Tot_Ct_III_IV,M_T_Tot_Ct_I_II,M_T_Tot_LoE_NS,M_T_Tot_Tot,F_Ind_15_19_PD_GD_GCL,F_Ind_15_19_BDL,F_Ind_15_19_ADip_DipL,F_Ind_15_19_CL_nfd,F_Ind_15_19_Ct_III_IV,F_Ind_15_19_Ct_I_II,F_Ind_15_19_LoE_NS,F_Ind_15_19_Tot,F_Ind_20_24_PD_GD_GCL,F_Ind_20_24_BDL,F_Ind_20_24_ADip_DipL,F_Ind_20_24_CL_nfd,F_Ind_20_24_Ct_III_IV,F_Ind_20_24_Ct_I_II,F_Ind_20_24_LoE_NS,F_Ind_20_24_Tot,F_Ind_25_34_PD_GD_GCL,F_Ind_25_34_BDL,F_Ind_25_34_ADip_DipL,F_Ind_25_34_CL_nfd,F_Ind_25_34_Ct_III_IV,F_Ind_25_34_Ct_I_II,F_Ind_25_34_LoE_NS,F_Ind_25_34_Tot,F_Ind_35_44_PD_GD_GCL,F_Ind_35_44_BDL,F_Ind_35_44_ADip_DipL,F_Ind_35_44_CL_nfd,F_Ind_35_44_Ct_III_IV,F_Ind_35_44_Ct_I_II,F_Ind_35_44_LoE_NS,F_Ind_35_44_Tot,F_Ind_45_54_PD_GD_GCL,F_Ind_45_54_BDL,F_Ind_45_54_ADip_DipL,F_Ind_45_54_CL_nfd,F_Ind_45_54_Ct_III_IV,F_Ind_45_54_Ct_I_II,F_Ind_45_54_LoE_NS,F_Ind_45_54_Tot,F_Ind_55_64_PD_GD_GCL,F_Ind_55_64_BDL,F_Ind_55_64_ADip_DipL,F_Ind_55_64_CL_nfd,F_Ind_55_64_Ct_III_IV,F_Ind_55_64_Ct_I_II,F_Ind_55_64_LoE_NS,F_Ind_55_64_Tot,F_Ind_65ov_PtgdDe_GdDp_GdCt,F_Ind_65ov_BDL,F_Ind_65ov_ADip_DipL,F_Ind_65ov_CL_nfd,F_Ind_65ov_Ct_III_IV,F_Ind_65ov_Ct_I_II,F_Ind_65ov_LoE_NS,F_Ind_65ov_Tot,F_Ind_TotPdDe_GdDp_GdCt,F_Ind_Tot_BDL,F_Ind_Tot_ADip_DipL,F_Ind_Tot_CL_nfd,F_Ind_Tot_Ct_III_IV,F_Ind_Tot_Ct_I_II,F_Ind_Tot_LoE_NS,F_Ind_Tot_Tot,F_NonI_15_19_PD_GD_GCL,F_NonI_15_19_BDL,F_NonI_15_19_ADip_DipL,F_NonI_15_19_CL_nfd,F_NonI_15_19_Ct_III_IV,F_NonI_15_19_Ct_I_II,F_NonI_15_19_LoE_NS,F_NonI_15_19_Tot,F_NonI_20_24_PD_GD_GCL,F_NonI_20_24_BDL,F_NonI_20_24_ADip_DipL,F_NonI_20_24_CL_nfd,F_NonI_20_24_Ct_III_IV,F_NonI_20_24_Ct_I_II,F_NonI_20_24_LoE_NS,F_NonI_20_24_Tot,F_NonI_25_34_PD_GD_GCL,F_NonI_25_34_BDL,F_NonI_25_34_ADip_DipL,F_NonI_25_34_CL_nfd,F_NonI_25_34_Ct_III_IV,F_NonI_25_34_Ct_I_II,F_NonI_25_34_LoE_NS,F_NonI_25_34_Tot,F_NonI_35_44_PD_GD_GCL,F_NonI_35_44_BDL,F_NonI_35_44_ADip_DipL,F_NonI_35_44_CL_nfd,F_NonI_35_44_Ct_III_IV,F_NonI_35_44_Ct_I_II,F_NonI_35_44_LoE_NS,F_NonI_35_44_Tot,F_NonI_45_54_PD_GD_GCL,F_NonI_45_54_BDL,F_NonI_45_54_ADip_DipL,F_NonI_45_54_CL_nfd,F_NonI_45_54_Ct_III_IV,F_NonI_45_54_Ct_I_II,F_NonI_45_54_LoE_NS,F_NonI_45_54_Tot,F_NonI_55_64_PD_GD_GCL,F_NonI_55_64_BDL,F_NonI_55_64_ADip_DipL,F_NonI_55_64_CL_nfd,F_NonI_55_64_Ct_III_IV,F_NonI_55_64_Ct_I_II,F_NonI_55_64_LoE_NS,F_NonI_55_64_Tot,F_NonI_65ov_PtgdDe_GdDp_GdCt,F_NonI_65ov_BDL,F_NonI_65ov_ADip_DipL,F_NonI_65ov_CL_nfd,F_NonI_65ov_Ct_III_IV,F_NonI_65ov_Ct_I_II,F_NonI_65ov_LoE_NS,F_NonI_65ov_Tot,F_NonI_Tot_PD_GD_GCL,F_NonI_Tot_BDL,F_NonI_Tot_ADip_DipL,F_NonI_Tot_CL_nfd,F_NonI_Tot_Ct_III_IV,F_NonI_Tot_Ct_I_II,F_NonI_Tot_LoE_NS,F_NonI_Tot_Tot,F_IS_NS_15_19_PD_GD_GCL,F_IS_NS_15_19_BDL,F_IS_NS_15_19_ADip_DipL,F_IS_NS_15_19_CL_nfd,F_IS_NS_15_19_Crt_III_an_IV_L,F_IS_NS_15_19_Ct_I_II,F_IS_NS_15_19_LoE_NS,F_IS_NS_15_19_Tot,F_IS_NS_20_24_PD_GD_GCL,F_IS_NS_20_24_BDL,F_IS_NS_20_24_ADip_DipL,F_IS_NS_20_24_CL_nfd,F_IS_NS_20_24_Crt_III_an_IV_L,F_IS_NS_20_24_Ct_I_II,F_IS_NS_20_24_LoE_NS,F_IS_NS_20_24_Tot
IARE101001,0,0,0,3,28,4,10,45,4,21,4,0,41,0,6,76,4,21,4,3,49,0,23,104,0,7,12,0,49,0,29,97,6,3,3,4,25,0,28,69,0,0,6,3,37,0,49,95,14,52,29,13,229,4,157,498,0,0,0,0,4,0,3,7,0,0,3,0,3,0,3,9,0,0,0,0,8,0,3,11,0,0,0,0,4,3,3,10,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,3,19,3,16,44,0,0,0,0,0,0,8,8,0,6,3,0,3,0,0,12,4,34,9,3,14,5,6,75,5,32,12,4,25,7,8,93,4,9,23,6,19,0,13,74,5,6,8,0,15,5,10,49,0,10,5,5,6,0,44,70,18,97,60,18,82,17,89,381,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
IARE101002,0,37,24,21,360,31,110,583,53,230,85,31,794,51,186,1430,82,250,148,30,800,33,197,1540,89,205,158,29,812,25,245,1563,68,190,130,23,616,11,175,1213,32,73,102,23,483,5,373,1091,324,985,647,162,3934,176,1454,7682,0,0,0,0,15,7,38,60,0,3,7,3,31,11,22,77,3,31,9,7,51,19,30,150,3,20,23,18,52,10,28,154,7,19,19,10,30,3,25,113,0,8,6,0,7,0,22,43,3,0,0,0,0,0,29,32,16,81,64,38,186,50,194,629,0,0,0,5,54,27,72,158,6,133,64,35,248,57,41,584,92,602,184,38,460,91,62,1529,115,423,226,81,412,65,128,1450,121,316,248,95,390,64,185,1419,95,208,187,71,182,39,214,996,30,121,141,51,67,16,463,889,459,1803,1050,376,1813,359,1165,7025,0,0,0,0,0,0,42,42,0,0,0,0,5,0,44,49
IARE101003,0,3,0,0,33,0,6,42,0,7,12,0,62,4,16,101,3,12,8,3,70,3,26,125,5,16,17,6,80,3,35,162,3,10,7,4,60,0,38,122,0,7,7,7,65,0,68,154,11,55,51,20,379,13,205,734,0,0,0,0,0,3,3,6,0,0,0,0,3,0,3,6,0,3,0,3,3,0,0,9,0,0,3,3,4,3,3,16,0,3,0,0,3,0,3,9,0,3,3,0,0,3,3,12,0,0,0,0,0,0,3,3,0,9,6,6,13,9,18,61,0,3,0,0,3,0,9,15,0,8,4,7,15,0,3,37,8,39,7,0,25,10,8,97,8,33,26,5,42,4,13,131,6,28,26,12,42,3,28,145,9,18,20,9,20,3,28,107,5,12,23,4,14,4,66,128,36,141,106,37,161,24,155,660,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3
IARE101004,0,7,0,0,45,3,7,62,7,29,12,3,92,3,23,169,11,26,29,5,111,6,28,216,7,14,23,5,122,3,38,212,6,20,24,8,82,7,47,194,3,6,17,7,88,0,92,213,34,102,105,28,547,25,264,1105,0,0,0,3,3,0,10,16,0,5,0,3,4,3,0,15,0,0,0,3,10,3,9,25,0,9,6,3,12,3,7,40,0,3,6,3,12,3,7,34,0,0,0,0,3,3,4,10,0,0,0,0,0,0,9,9,0,17,12,15,44,15,46,149,0,0,0,0,7,3,11,21,0,10,3,0,21,3,6,43,8,63,27,4,50,4,11,167,14,69,35,11,52,5,9,195,10,35,38,12,47,3,28,173,14,33,37,19,35,5,36,179,0,21,28,4,7,4,112,176,46,231,168,50,219,27,213,954,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0
IARE101005,0,17,6,0,109,9,48,189,13,55,29,12,227,9,84,429,19,72,37,10,292,9,93,532,26,46,50,11,329,9,101,572,23,39,41,8,213,11,94,429,7,19,24,16,201,3,198,468,88,248,187,62,1389,62,683,2719,0,0,0,0,3,5,11,19,0,0,0,0,10,3,6,19,3,3,4,0,12,7,5,34,4,0,6,3,10,0,12,35,0,4,7,3,6,0,4,24,0,4,4,0,4,0,0,12,0,0,0,0,3,0,4,7,7,11,21,6,48,15,42,150,0,0,3,3,17,3,29,55,0,23,21,8,52,16,15,135,20,145,59,10,153,20,27,434,23,121,71,18,156,22,43,454,25,67,82,30,131,23,76,434,10,63,74,28,72,8,87,342,6,42,53,24,26,11,204,366,84,461,363,121,607,103,481,2220,0,0,0,0,0,0,28,28,0,0,0,0,0,0,19,19
IARE101006,0,4,4,0,16,0,6,30,0,18,4,0,30,3,18,73,0,10,10,4,25,3,11,63,5,9,10,6,56,3,12,101,0,8,4,0,40,0,17,69,0,3,6,0,37,0,35,81,5,52,38,10,211,9,112,437,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,4,0,0,0,4,8,0,0,0,0,0,0,3,3,0,0,0,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,4,0,11,3,15,33,0,0,0,0,0,0,3,3,3,10,3,0,5,7,3,31,4,31,8,6,10,5,4,68,0,24,18,6,16,3,7,74,7,23,23,4,20,4,10,91,4,8,12,3,5,3,9,44,3,11,11,3,5,0,31,64,21,107,75,22,61,22,67,375,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3
IARE101007,0,5,4,0,20,6,20,55,6,17,13,8,79,7,29,159,4,31,29,5,134,7,44,254,7,27,37,5,146,8,61,291,8,35,31,9,138,6,68,295,14,20,16,8,154,3,141,356,39,135,130,38,678,40,407,1467,0,0,0,0,4,0,4,8,0,0,0,0,7,0,4,11,0,0,0,3,6,0,8,17,0,0,6,0,4,0,9,19,0,0,0,0,7,4,5,16,0,0,0,0,4,0,5,9,0,0,3,0,0,0,3,6,0,0,9,3,32,4,38,86,0,0,0,0,9,10,11,30,0,16,5,0,20,10,5,56,10,72,25,8,63,8,8,194,17,57,44,12,65,13,21,229,22,51,60,16,60,16,37,262,26,45,50,21,61,12,51,266,8,38,47,5,21,6,140,265,83,279,231,62,299,75,273,1302,0,0,0,0,0,0,15,15,0,0,0,0,0,0,10,10
IARE101008,0,0,0,5,42,7,103,157,3,26,14,3,87,9,210,352,5,31,32,7,125,6,142,348,14,27,42,8,161,6,105,363,11,26,31,9,138,3,71,289,6,26,26,13,155,3,138,367,39,136,145,45,726,37,826,1954,0,0,0,0,3,3,14,20,0,0,0,0,13,3,6,22,0,3,5,0,13,3,21,45,0,5,10,3,8,3,19,48,0,3,4,0,10,0,10,27,0,0,6,0,4,0,8,18,0,0,0,0,3,0,5,8,0,11,25,3,54,12,83,188,0,0,3,0,3,3,26,35,0,11,7,0,23,6,6,53,9,64,16,6,56,13,14,178,22,66,39,10,80,4,31,252,17,47,51,11,70,7,37,240,18,51,49,13,40,7,53,231,9,33,50,14,32,3,137,278,75,272,215,54,304,43,304,1267,0,0,0,0,0,0,13,13,0,0,0,0,0,0,3,3
IARE102001,0,78,48,6,164,23,90,409,96,266,70,12,309,28,143,924,159,215,82,16,291,19,134,916,211,215,110,27,425,9,139,1136,209,206,103,18,314,5,123,978,184,129,90,28,258,3,231,923,859,1109,506,110,1803,108,957,5452,0,0,0,4,3,3,15,25,0,0,0,0,15,8,6,29,0,0,10,3,18,6,12,49,5,4,10,3,14,4,11,51,0,5,13,0,5,0,12,35,0,3,9,3,0,3,6,24,0,0,0,0,0,0,7,7,5,12,42,13,55,24,69,220,0,0,3,9,52,27,38,129,13,131,66,29,128,33,39,439,117,366,78,17,192,25,29,824,193,314,160,38,160,20,49,934,256,318,194,45,158,36,102,1109,199,237,135,52,98,28,105,854,100,196,161,51,43,13,323,887,878,1562,797,241,831,182,685,5176,0,0,0,0,0,0,55,55,0,0,0,0,0,0,85,85
IARE102002,0,3,0,0,40,4,36,83,6,17,15,12,107,10,68,235,5,37,22,9,124,3,66,266,3,31,30,11,184,9,73,341,16,49,44,6,149,3,73,340,19,22,39,10,154,4,138,386,53,159,150,48,775,37,483,1705,0,0,0,0,0,0,3,3,0,0,3,0,3,3,0,9,0,0,0,0,0,0,6,6,0,0,3,0,3,3,3,12,0,3,6,0,6,0,4,19,0,0,0,0,4,0,4,8,0,0,0,0,0,0,3,3,0,3,12,0,16,6,23,60,0,0,3,0,18,0,25,46,0,16,9,4,22,9,9,69,8,58,32,5,83,13,10,209,18,58,38,22,81,12,24,253,16,65,62,16,103,12,41,315,20,72,60,14,58,6,50,280,13,42,46,11,21,7,167,307,75,311,250,72,386,59,326,1479,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
