region_id,F_IS_NS_25_34_PD_GD_GCL,F_IS_NS_25_34_BDL,F_IS_NS_25_34_ADip_DipL,F_IS_NS_25_34_CL_nfd,F_IS_NS_25_34_Crt_III_an_IV_L,F_IS_NS_25_34_Ct_I_II,F_IS_NS_25_34_LoE_NS,F_IS_NS_25_34_Tot,F_IS_NS_35_44_PD_GD_GCL,F_IS_NS_35_44_BDL,F_IS_NS_35_44_ADip_DipL,F_IS_NS_35_44_CL_nfd,F_IS_NS_35_44_Crt_III_an_IV_L,F_IS_NS_35_44_Ct_I_II,F_IS_NS_35_44_LoE_NS,F_IS_NS_35_44_Tot,F_IS_NS_45_54_PD_GD_GCL,F_IS_NS_45_54_BDL,F_IS_NS_45_54_ADip_DipL,F_IS_NS_45_54_CL_nfd,F_IS_NS_45_54_Crt_III_an_IV_L,F_IS_NS_45_54_Ct_I_II,F_IS_NS_45_54_Lev_of_ed_NS,F_IS_NS_45_54_Tot,F_IS_NS_55_64_PgDe_GdDp_GdC,F_IS_NS_55_64_BachelDegre_L,F_IS_NS_55_64_ADip_DipL,F_IS_NS_55_64_Certi_Level_nfd,F_IS_NS_55_64_Crt_III_and_IV,F_IS_NS_55_64_Crt_I_and_II,F_IS_NS_55_64_Lev_of_ed_NS,F_IS_NS_55_64_Tot,F_IS_NS_65ov_PtgDe_GdDp_GdCt,F_IS_NS_65ov_BDL,F_IS_NS_65ov_AdDip_and_DipL,F_IS_NS_65ov_CL_nfd,F_IS_NS_65ov_Ct_III_IV,F_IS_NS_65ov_Ct_I_II,F_IS_NS_65ov_Lev_of_ed_NS,F_IS_NS_65ov_Tot,F_IS_NS_Tot_PgDe_GdDp_GdCtL,F_IS_NS_Tot_BDL,F_IS_NS_Tot_ADip_DipL,F_IS_NS_Tot_CL_nfd,F_IS_NS_Tot_Ct_III_and_IV_L,F_IS_NS_Tot_Ct_I_and_II_L,F_IS_NS_Tot_Lev_of_ed_NS,F_IS_NS_Tot_Tot,F_T_15_19_PD_GD_GCL,F_T_15_19_BDL,F_T_15_19_ADip_DipL,F_T_15_19_CL_nfd,F_T_15_19_Ct_III_IV,F_T_15_19_Ct_I_II,F_T_15_19_LoE_NS,F_T_15_19_Tot,F_T_20_24_PD_GD_GCL,F_T_20_24_BDL,F_T_20_24_ADip_DipL,F_T_20_24_CL_nfd,F_T_20_24_Ct_III_IV,F_T_20_24_Ct_I_II,F_T_20_24_LoE_NS,F_T_20_24_Tot,F_T_25_34_PD_GD_GCL,F_T_25_34_BDL,F_T_25_34_ADip_DipL,F_T_25_34_CL_nfd,F_T_25_34_Ct_III_IV,F_T_25_34_Ct_I_II,F_T_25_34_LoE_NS,F_T_25_34_Tot,F_T_35_44_PD_GD_GCL,F_T_35_44_BDL,F_T_35_44_ADip_DipL,F_T_35_44_CL_nfd,F_T_35_44_Ct_III_IV,F_T_35_44_Ct_I_II,F_T_35_44_LoE_NS,F_T_35_44_Tot,F_T_45_54_PD_GD_GCL,F_T_45_54_BDL,F_T_45_54_ADip_DipL,F_T_45_54_CL_nfd,F_T_45_54_Ct_III_IV,F_T_45_54_Ct_I_II,F_T_45_54_LoE_NS,F_T_45_54_Tot,F_T_55_64_PD_GD_GCL,F_T_55_64_BDL,F_T_55_64_ADip_DipL,F_T_55_64_CL_nfd,F_T_55_64_Ct_III_IV,F_T_55_64_Ct_I_II,F_T_55_64_LoE_NS,F_T_55_64_Tot,F_T_65ov_PtgdDe_GdDp_GdCt,F_T_65ov_BDL,F_T_65ov_ADip_DipL,F_T_65ov_CL_nfd,F_T_65ov_Ct_III_IV,F_T_65ov_Ct_I_II,F_T_65ov_LoE_NS,F_T_65ov_Tot,F_T_Tot_PD_GD_GCL,F_T_Tot_BDL,F_T_Tot_ADip_DipL,F_T_Tot_CL_nfd,F_T_Tot_Ct_III_IV,F_T_Tot_Ct_I_II,F_T_Tot_LoE_NS,F_T_Tot_Tot,P_Ind_15_19_PD_GD_GCL,P_Ind_15_19_BDL,P_Ind_15_19_ADip_DipL,P_Ind_15_19_CL_nfd,P_Ind_15_19_Ct_III_IV,P_Ind_15_19_Ct_I_II,P_Ind_15_19_LoE_NS,P_Ind_15_19_Tot,P_Ind_20_24_PD_GD_GCL,P_Ind_20_24_BDL,P_Ind_20_24_ADip_DipL,P_Ind_20_24_CL_nfd,P_Ind_20_24_Ct_III_IV,P_Ind_20_24_Ct_I_II,P_Ind_20_24_LoE_NS,P_Ind_20_24_Tot,P_Ind_25_34_PD_GD_GCL,P_Ind_25_34_BDL,P_Ind_25_34_ADip_DipL,P_Ind_25_34_CL_nfd,P_Ind_25_34_Ct_III_IV,P_Ind_25_34_Ct_I_II,P_Ind_25_34_LoE_NS,P_Ind_25_34_Tot,P_Ind_35_44_PD_GD_GCL,P_Ind_35_44_BDL,P_Ind_35_44_ADip_DipL,P_Ind_35_44_CL_nfd,P_Ind_35_44_Ct_III_IV,P_Ind_35_44_Ct_I_II,P_Ind_35_44_LoE_NS,P_Ind_35_44_Tot,P_Ind_45_54_PD_GD_GCL,P_Ind_45_54_BDL,P_Ind_45_54_ADip_DipL,P_Ind_45_54_CL_nfd,P_Ind_45_54_Ct_III_IV,P_Ind_45_54_Ct_I_II,P_Ind_45_54_LoE_NS,P_Ind_45_54_Tot,P_Ind_55_64_PD_GD_GCL,P_Ind_55_64_BDL,P_Ind_55_64_ADip_DipL,P_Ind_55_64_CL_nfd,P_Ind_55_64_Ct_III_IV,P_Ind_55_64_Ct_I_II,P_Ind_55_64_LoE_NS,P_Ind_55_64_Tot,P_Ind_65ov_PtgdDe_GdDp_GdCt,P_Ind_65ov_BDL,P_Ind_65ov_ADip_DipL,P_Ind_65ov_CL_nfd,P_Ind_65ov_Ct_III_IV,P_Ind_65ov_Ct_I_II,P_Ind_65ov_LoE_NS,P_Ind_65ov_Tot,P_Ind_Tot_PD_GD_GCL,P_Ind_Tot_BDL,P_Ind_Tot_ADip_DipL,P_Ind_Tot_CL_nfd,P_Ind_Tot_Ct_III_IV,P_Ind_Tot_Ct_I_II,P_Ind_Tot_LoE_NS,P_Ind_Tot_Tot,P_NonI_15_19_PtgdDe_GdDp_GdCt,P_NonI_15_19_BDL,P_NonI_15_19_ADip_DipL,P_NonI_15_19_CL_nfd,P_NonI_15_19_Ct_III_IV,P_NonI_15_19_Ct_I_II,P_NonI_15_19_LoE_NS,P_NonI_15_19_Tot,P_NonI_20_24_PtgdDe_GdDp_GdCt,P_NonI_20_24_BDL,P_NonI_20_24_ADip_DipL,P_NonI_20_24_CL_nfd,P_NonI_20_24_Ct_III_IV,P_NonI_20_24_Ct_I_II,P_NonI_20_24_LoE_NS,P_NonI_20_24_Tot,P_NonI_25_34_PtgdDe_GdDp_GdCt,P_NonI_25_34_BDL,P_NonI_25_34_ADip_DipL,P_NonI_25_34_CL_nfd,P_NonI_25_34_Ct_III_IV,P_NonI_25_34_Ct_I_II,P_NonI_25_34_LoE_NS,P_NonI_25_34_Tot
IARE101001,0,0,0,0,0,0,4,4,0,0,0,0,0,0,10,10,0,0,0,0,0,0,12,12,0,0,0,0,0,0,11,11,0,0,0,0,0,0,12,12,0,0,0,0,0,0,55,55,0,0,0,0,4,0,14,18,0,6,6,0,6,0,6,24,4,34,9,3,22,5,13,90,5,32,12,4,29,10,21,113,4,9,23,9,19,0,25,89,5,6,8,0,15,5,21,60,0,10,5,5,6,0,60,86,18,97,63,21,101,20,160,480,0,0,0,0,4,0,3,7,0,0,3,0,8,0,7,18,0,0,0,0,17,0,3,20,0,0,0,0,9,3,8,20,0,0,0,3,0,0,4,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,3,3,38,3,32,79,0,0,0,0,0,0,15,15,0,6,3,3,26,4,3,45,8,52,13,3,46,5,6,133
IARE101002,0,0,3,0,4,3,67,77,0,0,0,0,0,3,76,79,3,3,3,0,3,3,92,107,0,0,3,0,7,0,62,72,0,3,0,0,0,0,121,124,3,6,9,0,19,9,504,550,0,0,0,5,69,34,152,260,6,136,71,38,284,68,107,710,95,633,196,45,515,113,159,1756,118,443,249,99,464,78,232,1683,131,338,270,105,423,70,302,1639,95,216,196,71,196,39,298,1111,33,124,141,51,67,16,613,1045,478,1890,1123,414,2018,418,1863,8204,0,0,0,0,27,14,69,110,0,6,7,7,78,16,39,153,6,37,17,11,131,22,48,272,6,24,31,18,102,10,53,244,7,30,25,13,78,3,45,201,3,11,9,0,31,0,30,84,3,0,3,0,8,0,39,53,25,108,92,49,455,65,323,1117,0,0,0,10,111,40,152,313,6,167,88,49,556,83,85,1034,142,823,261,65,1171,139,143,2744
IARE101003,0,0,0,0,0,0,7,7,0,0,0,0,0,0,8,8,0,0,0,0,0,0,14,14,0,0,0,0,0,0,10,10,0,0,0,0,0,0,35,35,0,0,0,0,0,0,80,80,0,3,0,0,3,3,15,24,0,8,4,7,18,0,9,46,8,42,7,3,28,10,15,113,8,33,29,8,46,7,24,155,6,31,26,12,45,3,45,168,9,21,23,9,20,6,41,129,5,12,23,4,14,4,104,166,36,150,112,43,174,33,253,801,0,0,0,0,3,3,3,9,0,0,0,0,8,0,3,11,0,3,0,3,7,0,4,17,0,0,3,3,11,3,7,27,0,6,0,0,7,0,3,16,0,3,3,0,0,3,7,16,0,0,0,0,3,0,7,10,0,12,6,6,39,9,34,106,0,3,0,0,9,3,20,35,0,11,4,7,43,0,9,74,8,46,19,0,83,14,13,183
IARE101004,0,0,0,0,0,0,17,17,0,0,0,0,0,0,16,16,0,3,0,0,0,0,9,12,0,0,0,0,3,0,16,19,0,3,0,0,3,0,16,22,0,6,0,0,6,0,87,99,0,0,0,3,10,3,34,50,0,15,3,3,25,6,6,58,8,63,27,7,60,7,37,209,14,78,41,14,64,8,32,251,10,41,44,15,59,6,44,219,14,33,37,19,41,8,56,208,0,24,28,4,10,4,137,207,46,254,180,65,269,42,346,1202,0,0,0,3,6,3,24,36,0,5,0,3,12,3,0,23,0,0,0,6,24,3,15,48,0,9,6,3,21,3,11,53,0,3,6,3,19,3,7,41,0,0,3,0,8,3,14,28,0,0,0,0,0,0,9,9,0,17,15,18,90,18,80,238,0,0,0,0,11,3,19,33,0,17,3,0,58,6,9,93,15,92,39,4,128,7,18,303
IARE101005,0,0,0,0,4,0,27,31,0,3,0,0,0,0,33,36,0,0,0,0,0,0,39,39,0,0,0,0,3,0,38,41,0,0,0,0,0,0,74,74,0,3,0,0,7,0,258,268,0,0,3,3,20,8,68,102,0,23,21,8,62,19,40,173,23,148,63,10,169,27,59,499,27,124,77,21,166,22,88,525,25,71,89,33,137,23,119,497,10,67,78,28,79,8,125,395,6,42,53,24,29,11,282,447,91,475,384,127,662,118,781,2638,0,0,0,5,6,5,20,36,0,0,0,0,23,3,6,32,3,6,4,0,29,7,14,63,4,3,6,3,26,0,20,62,0,4,10,3,15,0,11,43,3,4,4,0,10,0,4,25,0,0,0,0,3,0,13,16,10,17,24,11,112,15,88,277,0,0,3,3,32,15,65,118,0,40,27,8,148,25,28,276,33,197,88,22,360,29,53,782
IARE101006,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,0,3,0,0,0,0,24,27,0,0,0,0,6,0,6,12,3,13,3,0,5,7,6,37,4,31,8,6,10,8,11,78,0,24,22,6,16,3,14,85,7,23,23,4,20,4,16,97,4,8,12,3,10,3,17,57,3,11,11,3,5,0,36,69,21,110,79,22,72,25,106,435,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,3,7,10,0,0,4,0,0,0,4,8,0,0,0,0,4,0,6,10,0,0,0,0,8,0,5,13,0,0,0,0,0,0,0,0,0,0,4,0,18,3,28,53,0,0,0,0,7,0,8,15,3,14,7,0,21,7,3,55,4,49,12,6,40,8,10,129
IARE101007,0,0,0,0,0,0,9,9,0,0,0,0,0,0,19,19,0,0,0,0,0,0,21,21,0,3,0,0,0,0,17,20,0,0,0,0,0,0,35,35,0,3,0,0,0,0,126,129,0,0,0,0,13,10,30,53,0,16,5,0,27,10,19,77,10,72,25,11,69,8,25,220,17,57,50,12,69,13,49,267,22,51,60,16,67,20,63,299,26,48,50,21,65,12,73,295,8,38,50,5,21,6,178,306,83,282,240,65,331,79,437,1517,0,0,0,0,4,0,13,17,0,0,0,0,7,3,10,20,0,0,0,3,9,3,11,26,0,0,6,0,7,0,16,29,0,0,3,0,14,4,15,36,0,0,3,0,7,0,5,15,0,0,3,0,3,0,12,18,0,0,15,3,51,10,82,161,0,0,0,3,16,13,27,59,0,21,9,0,40,13,10,93,16,89,38,16,139,12,20,330
IARE101008,0,0,0,0,0,0,12,12,0,0,3,0,3,0,25,31,0,0,3,0,3,0,17,23,0,0,0,0,0,0,14,14,0,0,0,0,0,0,48,48,0,0,6,0,6,0,132,144,0,0,3,0,6,6,53,68,0,11,7,0,36,9,15,78,9,67,21,6,69,16,47,235,22,71,52,13,91,7,75,331,17,50,58,11,83,7,64,290,18,51,55,13,44,7,75,263,9,33,50,14,35,3,190,334,75,283,246,57,364,55,519,1599,0,0,0,0,9,3,47,59,0,0,0,0,21,6,71,98,0,3,5,0,27,6,128,169,0,8,10,3,26,3,78,128,0,6,4,0,19,3,26,58,0,0,9,0,13,3,12,37,0,0,0,0,7,0,5,12,0,17,28,3,122,24,367,561,0,0,3,0,15,6,42,66,0,11,7,5,57,10,37,127,12,90,30,9,129,19,103,392
IARE102001,0,3,0,0,0,0,67,70,0,3,0,0,0,0,77,80,4,3,0,0,0,0,59,66,0,0,0,0,0,0,43,43,3,3,0,3,3,0,89,101,7,12,0,3,3,0,475,500,0,0,3,13,55,30,108,209,13,131,66,29,143,41,130,553,117,369,88,20,210,31,108,943,198,321,170,41,174,24,137,1065,260,326,207,45,163,36,173,1210,199,240,144,55,98,31,154,921,103,199,161,54,46,13,419,995,890,1586,839,257,889,206,1229,5896,0,0,0,4,6,6,24,40,0,0,3,0,18,12,10,43,0,4,14,6,34,6,15,79,5,7,10,3,30,8,23,86,0,5,16,3,18,0,29,71,0,6,12,3,4,3,15,43,0,0,3,0,0,0,10,13,5,22,58,19,110,35,126,375,0,0,6,12,91,45,82,236,13,206,111,35,289,52,68,774,213,625,141,26,485,53,77,1620
IARE102002,0,0,3,0,0,0,7,10,3,0,0,0,0,0,20,23,0,0,0,0,0,0,20,20,0,0,0,4,0,0,15,19,0,0,3,0,0,0,25,28,3,0,6,4,0,0,95,108,0,0,3,0,18,0,36,57,0,16,12,4,25,12,9,78,8,58,35,5,83,13,23,225,21,58,41,22,84,15,47,288,16,68,68,16,109,12,65,354,20,72,60,18,62,6,69,307,13,42,49,11,21,7,195,338,78,314,268,76,402,65,444,1647,0,0,0,0,0,0,7,7,0,0,3,0,6,3,12,24,3,0,0,0,0,3,25,31,0,0,3,0,7,3,11,24,0,6,6,0,10,3,11,36,0,0,0,0,4,0,9,13,0,0,0,0,0,0,6,6,3,6,12,0,27,12,81,141,4,0,3,0,35,4,43,89,0,19,9,4,59,13,26,130,11,75,47,17,190,20,43,403
