region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
ILOC10100101,21,41,39,376,500,478,933,893,897,1040,1042,1040,155,135,140,1.2,1.1,1.1,3.2,2.4,2.5,4.7,1.7,2.2
ILOC10100201,18,37,34,406,613,587,1024,1223,1194,1517,1538,1521,194,230,220,1.2,1.0,1.1,3.5,2.5,2.7,7.3,0.9,1.9
ILOC10100202,27,42,40,397,500,488,854,855,855,1391,1300,1300,180,180,180,1.2,1.1,1.1,2.7,2.1,2.2,12.4,2.6,4.1
ILOC10100203,21,38,36,393,595,581,775,985,968,1326,1493,1463,170,180,180,1.2,1.1,1.1,2.8,2.3,2.3,11.2,1.3,2.3
ILOC10100204,17,41,40,503,615,610,1402,1330,1334,1867,1550,1612,168,155,160,1.2,1.1,1.1,3.6,2.8,2.8,10.0,1.1,1.6
ILOC10100205,19,38,34,375,610,567,829,1124,1058,1300,1421,1408,180,195,190,1.2,1.1,1.1,3.3,2.5,2.7,10.8,1.2,3.0
ILOC10100301,21,46,44,333,432,416,654,793,775,1300,921,1000,135,120,130,1.2,1.1,1.1,3.0,2.3,2.4,11.2,1.6,2.9
ILOC10100401,17,45,38,391,485,466,753,828,807,1300,1083,1112,165,170,170,1.2,1.0,1.1,3.1,2.3,2.5,7.0,0.9,2.4
ILOC10100402,19,43,41,450,580,570,1018,1044,1040,1950,1100,1200,0,50,10,1.1,1.1,1.1,3.2,2.6,2.7,0,1.5,1.4
ILOC10100403,22,50,42,453,427,433,713,757,741,650,650,650,125,100,115,1.2,1.1,1.1,2.9,2.1,2.3,3.6,2.4,2.7
