region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10100101,151,137,133,270,81,86,167,295,278,573,83,75,158,459,439,898
ILOC10100201,323,397,425,822,402,504,906,1387,1581,2968,193,179,372,1982,2264,4246
ILOC10100202,176,160,147,307,76,85,161,266,350,616,99,91,190,441,526,967
ILOC10100203,231,254,244,498,157,141,298,789,908,1697,144,111,255,1090,1160,2250
ILOC10100204,351,288,242,530,88,79,167,875,848,1723,200,174,374,1163,1101,2264
ILOC10100205,160,219,226,445,270,257,527,686,725,1411,98,87,185,1054,1069,2123
ILOC10100301,174,163,177,340,111,106,217,371,464,835,91,98,189,573,668,1241
ILOC10100401,110,110,143,253,192,166,358,275,357,632,62,57,119,529,580,1109
ILOC10100402,82,65,61,126,34,45,79,216,209,425,47,38,85,297,292,589
ILOC10100403,21,36,41,77,42,48,90,61,89,150,14,7,21,117,144,261
ILOC10100501,449,426,435,861,175,167,342,1074,1202,2276,250,221,471,1499,1590,3089
ILOC10100502,183,161,158,319,42,52,94,420,448,868,106,90,196,568,590,1158
ILOC10100503,25,40,25,65,41,47,88,54,70,124,16,9,25,111,126,237
ILOC10100601,69,100,92,192,54,91,145,220,281,501,47,30,77,321,402,723
ILOC10100701,127,128,115,243,103,90,193,230,263,493,72,64,136,405,417,822
ILOC10100702,201,242,190,432,91,80,171,651,626,1277,120,94,214,862,800,1662
ILOC10100801,194,204,217,421,249,212,461,327,348,675,104,97,201,680,657,1337
ILOC10100802,114,541,149,690,314,91,405,568,457,1025,70,56,126,952,604,1556
ILOC10200101,1074,821,938,1759,313,377,690,3722,4104,7826,544,606,1150,4579,5087,9666
ILOC10200201,256,404,281,685,125,108,233,960,995,1955,158,123,281,1243,1226,2469
ILOC10200301,300,334,342,676,229,218,447,679,812,1491,169,151,320,1077,1181,2258
ILOC10200302,163,149,137,286,54,45,99,478,493,971,99,81,180,631,619,1250
ILOC10200401,149,147,151,298,53,60,113,447,468,915,94,77,171,594,605,1199
ILOC10200402,12,20,13,33,39,35,74,33,33,66,9,3,12,81,71,152
ILOC10200501,64,127,114,241,39,43,82,497,494,991,45,33,78,581,570,1151
ILOC10200502,399,543,581,1124,225,212,437,1793,2018,3811,272,186,458,2290,2416,4706
ILOC10200601,142,159,129,288,26,33,59,363,398,761,88,68,156,477,499,976
