region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC10100101,12,227,5,244,10,56,3,69,43,345,5,393,16,100,0,116,21,97,0,118,0,7,0,7,13,48,66,127,115,880,79,1074,28,318,4,350,12,56,0,68,46,302,4,352,17,87,0,104,8,57,5,70,0,5,0,5,10,50,54,114,121,875,67,1063,40,545,9,594,22,112,3,137,89,647,9,745,33,187,0,220,29,154,5,188,0,12,0,12,23,98,120,241,236,1755,146,2137
ILOC10100201,121,1442,4,1567,48,265,4,317,183,1496,13,1692,83,310,5,398,62,262,3,327,0,14,0,14,32,177,139,348,529,3966,168,4663,138,1990,14,2142,59,304,5,368,231,1497,12,1740,94,393,4,491,55,251,9,315,3,16,3,22,51,256,127,434,631,4707,174,5512,259,3432,18,3709,107,569,9,685,414,2993,25,3432,177,703,9,889,117,513,12,642,3,30,3,36,83,433,266,782,1160,8673,342,10175
ILOC10100202,21,326,3,350,11,65,3,79,41,346,9,396,20,82,3,105,20,146,5,171,0,6,3,9,12,51,84,147,125,1022,110,1257,36,443,6,485,16,44,0,60,49,341,17,407,24,108,3,135,21,145,7,173,3,5,0,8,14,70,69,153,163,1156,102,1421,57,769,9,835,27,109,3,139,90,687,26,803,44,190,6,240,41,291,12,344,3,11,3,17,26,121,153,300,288,2178,212,2678
ILOC10100203,46,982,6,1034,11,145,0,156,62,814,13,889,31,204,0,235,28,139,0,167,6,10,3,19,11,103,113,227,195,2397,135,2727,57,1262,13,1332,23,154,0,177,72,850,18,940,33,215,4,252,19,168,5,192,7,5,0,12,26,127,82,235,237,2781,122,3140,103,2244,19,2366,34,299,0,333,134,1664,31,1829,64,419,4,487,47,307,5,359,13,15,3,31,37,230,195,462,432,5178,257,5867
ILOC10100204,14,761,7,782,8,130,0,138,50,979,9,1038,9,232,3,244,11,181,7,199,0,10,0,10,3,67,145,215,95,2360,171,2626,27,1039,10,1076,8,155,0,163,31,775,10,816,10,183,3,196,7,91,3,101,0,6,0,6,3,52,131,186,86,2301,157,2544,41,1800,17,1858,16,285,0,301,81,1754,19,1854,19,415,6,440,18,272,10,300,0,16,0,16,6,119,276,401,181,4661,328,5170
ILOC10100205,73,629,5,707,24,121,4,149,98,714,6,818,55,175,0,230,36,161,3,200,3,3,0,6,39,90,66,195,328,1893,84,2305,87,781,13,881,35,149,3,187,125,720,9,854,65,186,5,256,45,121,0,166,5,9,0,14,34,100,63,197,396,2066,93,2555,160,1410,18,1588,59,270,7,336,223,1434,15,1672,120,361,5,486,81,282,3,366,8,12,0,20,73,190,129,392,724,3959,177,4860
ILOC10100301,21,318,3,342,10,62,3,75,43,538,4,585,28,179,4,211,27,162,3,192,0,6,0,6,19,65,74,158,148,1330,91,1569,25,515,3,543,15,76,0,91,55,503,9,567,29,150,6,185,16,131,0,147,4,9,0,13,17,79,78,174,161,1463,96,1720,46,833,6,885,25,138,3,166,98,1041,13,1152,57,329,10,396,43,293,3,339,4,15,0,19,36,144,152,332,309,2793,187,3289
ILOC10100401,31,291,4,326,9,62,0,71,77,379,0,456,29,118,0,147,36,98,5,139,4,5,0,9,18,60,49,127,204,1013,58,1275,59,369,4,432,23,88,0,111,86,356,0,442,38,123,6,167,37,96,0,133,0,6,0,6,24,87,49,160,267,1125,59,1451,90,660,8,758,32,150,0,182,163,735,0,898,67,241,6,314,73,194,5,272,4,11,0,15,42,147,98,287,471,2138,117,2726
ILOC10100402,3,268,3,274,5,42,0,47,16,283,0,299,5,62,0,67,9,48,0,57,0,3,0,3,3,16,37,56,41,722,40,803,22,312,6,340,7,32,0,39,15,197,3,215,7,36,0,43,6,19,0,25,0,0,0,0,0,10,31,41,57,606,40,703,25,580,9,614,12,74,0,86,31,480,3,514,12,98,0,110,15,67,0,82,0,3,0,3,3,26,68,97,98,1328,80,1506
ILOC10100403,11,49,0,60,0,9,0,9,19,86,3,108,13,36,0,49,9,36,0,45,0,3,3,6,7,24,13,44,59,243,19,321,19,70,0,89,0,15,0,15,19,79,3,101,12,22,0,34,7,17,0,24,0,0,0,0,4,25,8,37,61,228,11,300,30,119,0,149,0,24,0,24,38,165,6,209,25,58,0,83,16,53,0,69,0,3,3,6,11,49,21,81,120,471,30,621
ILOC10100501,31,967,7,1005,17,217,0,234,65,1133,9,1207,26,335,6,367,29,314,3,346,3,10,0,13,18,171,202,391,189,3147,227,3563,41,1111,12,1164,30,221,0,251,78,1211,11,1300,23,353,12,388,16,307,3,326,3,13,0,16,17,207,175,399,208,3423,213,3844,72,2078,19,2169,47,438,0,485,143,2344,20,2507,49,688,18,755,45,621,6,672,6,23,0,29,35,378,377,790,397,6570,440,7407
ILOC10100502,18,311,0,329,3,58,3,64,16,505,7,528,10,142,0,152,15,127,0,142,0,6,0,6,5,38,77,120,67,1187,87,1341,12,413,3,428,8,78,0,86,26,410,5,441,4,98,3,105,7,70,0,77,3,4,0,7,6,43,69,118,66,1116,80,1262,30,724,3,757,11,136,3,150,42,915,12,969,14,240,3,257,22,197,0,219,3,10,0,13,11,81,146,238,133,2303,167,2603
ILOC10100503,7,52,0,59,5,8,0,13,21,86,0,107,8,27,0,35,6,27,0,33,0,0,0,0,3,13,17,33,50,213,17,280,19,58,0,77,6,11,0,17,13,76,0,89,13,34,0,47,10,25,0,35,0,0,0,0,3,12,13,28,64,216,13,293,26,110,0,136,11,19,0,30,34,162,0,196,21,61,0,82,16,52,0,68,0,0,0,0,6,25,30,61,114,429,30,573
ILOC10100601,11,322,3,336,3,55,0,58,22,336,3,361,17,89,0,106,23,101,6,130,3,3,0,6,13,40,36,89,92,946,48,1086,32,378,0,410,14,44,0,58,30,265,3,298,25,54,0,79,20,57,3,80,0,0,0,0,10,42,23,75,131,840,29,1000,43,700,3,746,17,99,0,116,52,601,6,659,42,143,0,185,43,158,9,210,3,3,0,6,23,82,59,164,223,1786,77,2086
