region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10100101,11,11,22,8,14,22,21,21,42,12,19,31,15,23,38,13,17,30,6,5,11,17,7,24,21,11,32,124,128,252
ILOC10100201,54,51,105,66,86,152,71,95,166,50,96,146,66,116,182,71,68,139,51,41,92,101,75,176,48,52,100,578,680,1258
ILOC10100202,5,11,16,11,16,27,21,29,50,16,26,42,14,26,40,20,18,38,5,9,14,24,18,42,11,18,29,127,171,298
ILOC10100203,20,18,38,29,25,54,25,41,66,26,41,67,21,37,58,24,32,56,17,15,32,37,28,65,16,22,38,215,259,474
ILOC10100204,11,14,25,14,5,19,8,13,21,8,9,17,15,12,27,12,12,24,9,10,19,22,19,41,8,9,17,107,103,210
ILOC10100205,44,37,81,27,50,77,58,55,113,47,58,105,30,87,117,38,45,83,29,21,50,46,34,80,37,38,75,356,425,781
ILOC10100301,20,13,33,16,22,38,29,31,60,21,27,48,16,33,49,19,14,33,12,8,20,12,11,23,15,17,32,160,176,336
ILOC10100401,22,27,49,29,31,60,36,38,74,18,40,58,31,52,83,30,34,64,18,18,36,21,25,46,23,17,40,228,282,510
ILOC10100402,6,4,10,0,7,7,6,8,14,6,3,9,4,12,16,4,6,10,9,3,12,6,9,15,4,9,13,45,61,106
ILOC10100403,7,3,10,0,3,3,13,9,22,8,7,15,10,15,25,7,10,17,4,3,7,10,4,14,7,13,20,66,67,133
ILOC10100501,14,24,38,22,26,48,28,31,59,26,53,79,28,35,63,18,20,38,16,15,31,37,12,49,23,21,44,212,237,449
ILOC10100502,6,7,13,5,4,9,9,10,19,15,13,28,4,11,15,6,3,9,4,4,8,16,12,28,6,3,9,71,67,138
ILOC10100503,8,8,16,14,11,25,7,9,16,14,18,32,3,15,18,3,4,7,0,3,3,3,4,7,6,3,9,58,75,133
ILOC10100601,5,8,13,13,15,28,12,25,37,25,33,58,11,24,35,10,12,22,3,5,8,6,3,9,13,11,24,98,136,234
ILOC10100701,9,7,16,13,18,31,34,37,71,18,26,44,17,21,38,12,10,22,6,3,9,7,7,14,10,9,19,126,138,264
ILOC10100702,12,9,21,11,7,18,20,16,36,10,29,39,12,24,36,4,7,11,4,3,7,13,6,19,6,14,20,92,115,207
ILOC10100801,34,24,58,38,36,74,58,64,122,46,72,118,39,59,98,26,40,66,14,18,32,39,23,62,29,37,66,323,373,696
ILOC10100802,8,15,23,17,11,28,25,21,46,17,14,31,5,19,24,12,7,19,4,10,14,10,11,21,258,28,286,356,136,492
ILOC10200101,35,39,74,40,66,106,94,112,206,65,88,153,47,87,134,35,51,86,24,21,45,39,36,75,44,41,85,423,541,964
ILOC10200201,7,6,13,29,18,47,27,29,56,18,29,47,17,22,39,12,9,21,6,6,12,13,14,27,53,18,71,182,151,333
ILOC10200301,22,19,41,41,36,77,58,63,121,31,68,99,29,66,95,38,33,71,23,15,38,38,17,55,29,35,64,309,352,661
ILOC10200302,5,14,19,7,10,17,8,8,16,12,16,28,7,13,20,12,15,27,8,4,12,16,5,21,9,3,12,84,88,172
ILOC10200401,9,4,13,8,10,18,15,9,24,10,12,22,18,11,29,8,10,18,5,11,16,7,3,10,11,9,20,91,79,170
ILOC10200402,3,0,3,8,0,8,16,13,29,13,16,29,4,11,15,0,3,3,0,0,0,0,4,4,3,0,3,47,47,94
ILOC10200501,13,3,16,15,7,22,3,7,10,7,9,16,9,10,19,5,3,8,7,0,7,5,0,5,4,3,7,68,42,110
ILOC10200502,32,26,58,47,43,90,65,66,131,48,50,98,34,42,76,28,34,62,12,6,18,26,16,42,39,35,74,331,318,649
ILOC10200601,4,7,11,6,7,13,7,5,12,3,11,14,4,5,9,7,7,14,3,0,3,5,0,5,6,3,9,45,45,90
ILOC10200602,11,7,18,4,13,17,13,15,28,14,21,35,12,31,43,16,12,28,11,3,14,12,4,16,10,10,20,103,116,219
ILOC10200603,0,0,0,0,0,0,14,6,20,6,8,14,4,4,8,0,5,5,4,0,4,0,3,3,0,0,0,28,26,54
ILOC10200604,5,7,12,13,12,25,18,18,36,7,17,24,8,16,24,17,0,17,9,4,13,8,0,8,7,6,13,92,80,172
ILOC10200701,12,5,17,4,8,12,24,13,37,17,25,42,11,19,30,12,13,25,8,4,12,9,11,20,19,26,45,116,124,240
ILOC10200702,25,27,52,38,43,81,60,69,129,27,60,87,35,55,90,29,32,61,13,15,28,18,17,35,53,48,101,298,366,664
ILOC10200703,10,7,17,14,8,22,22,19,41,6,11,17,0,10,10,4,3,7,3,3,6,9,6,15,4,3,7,72,70,142
ILOC10200704,11,10,21,16,8,24,34,21,55,3,27,30,3,13,16,6,14,20,9,6,15,5,6,11,11,4,15,98,109,207
ILOC10200801,11,9,20,26,19,45,29,32,61,9,24,33,7,18,25,7,5,12,3,5,8,3,3,6,3,7,10,98,122,220
