region_id,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FUA,H_w_In_ps_OO_DS_OD_CCH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FUA,H_w_In_ps_M_DS_OD_CCH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FUA,H_w_In_ps_RREA_DS_OD_CCH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FUA,H_w_In_ps_RHA_DS_OD_CCH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FUA,H_w_In_ps_R_PSH_DS_OD_CCH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FUA,H_w_In_ps_R_HCC_DS_OD_CCH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FUA,H_w_In_ps_R_OLT_DS_OD_CCH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FUA,H_w_In_ps_R_LNS_DS_OD_CCH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FUA,H_w_In_ps_R_Tot_DS_OD_CCH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FUA,H_w_In_ps_OTT_DS_OD_CCH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FUA,H_w_In_ps_T_NS_DS_OD_CCH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FUA,H_w_In_ps_Tot_DS_OD_CCH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FUA,OH_OO_DS_OD_CCH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FUA,OH_M_DS_OD_CCH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FUA,OH_RREA_DS_OD_CCH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FUA,OH_RHA_DS_OD_CCH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FUA,OH_R_PSH_DS_OD_CCH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FUA,OH_R_HCC_DS_OD_CCH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FUA,OH_R_OLT_DS_OD_CCH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FUA,OH_R_LNS_DS_OD_CCH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FUA,OH_R_Tot_DS_OD_CCH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FUA,OH_OTT_DS_OD_CCH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT
ILOC10100101,34,0,0,0,0,0,0,0,34,39,0,0,3,0,0,3,0,42,14,0,0,0,0,0,0,0,14,26,0,0,0,0,0,0,0,26,18,0,3,0,0,0,0,0,21,8,0,3,0,0,0,0,0,11,11,3,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,77,3,9,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,158,3,9,3,0,0,3,0,173,393,0,0,0,0,0,0,0,393,194,0,0,0,0,0,0,0,194,36,3,0,0,0,6,6,0,45,24,4,6,0,0,0,0,0,34,58,5,4,5,0,0,5,0,72,4,0,0,0,0,0,0,0,4,49,8,10,0,0,0,0,0,67,22,0,0,0,0,0,0,0,22,193,20,20,5,0,6,11,0,244,7,0,0,0,0,0,0,0,7,33,3
ILOC10100201,49,3,3,0,0,0,0,0,55,199,3,0,0,0,0,0,0,202,141,34,22,0,0,0,0,0,197,190,5,0,0,0,0,0,0,195,39,8,3,0,0,0,0,0,50,23,0,3,0,0,0,0,0,26,5,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,4,402,47,28,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,17,664,56,31,0,0,0,0,0,751,1178,55,88,3,0,0,3,0,1324,1484,44,19,0,0,0,0,0,1547,468,163,105,0,0,5,5,0,741,65,10,0,0,0,0,0,0,75,177,19,23,0,0,3,3,0,222,0,0,20,0,0,0,0,0,20,15,0,7,0,0,0,0,0,22,9,3,4,0,0,0,0,0,16,734,195,159,0,0,8,8,0,1096,10,3,79,0,0,0,0,0,92,57,8
ILOC10100202,21,0,0,0,0,0,0,0,21,46,0,0,0,0,0,0,0,46,37,3,17,0,0,3,3,0,60,7,5,25,0,0,0,0,0,37,17,3,3,0,0,0,0,0,23,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,61,17,45,0,0,3,3,0,126,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,9,131,17,48,3,0,3,6,0,202,258,3,11,6,0,3,9,0,281,279,9,5,0,0,0,0,0,293,126,23,110,0,0,5,5,0,264,3,0,61,0,0,0,0,0,64,59,7,7,0,0,4,4,0,77,0,3,8,0,0,0,0,0,11,7,3,5,12,0,3,15,0,30,10,3,0,3,0,0,3,0,16,205,39,191,15,0,12,27,0,462,0,5,0,0,0,0,0,0,5,16,3
ILOC10100203,23,0,0,0,0,0,0,0,23,77,3,0,0,0,0,0,0,80,52,24,28,0,0,0,0,0,104,38,15,18,0,0,0,0,0,71,21,0,6,0,0,0,0,0,27,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,42,52,0,0,0,0,0,208,3,0,0,0,0,0,0,0,3,6,4,4,0,0,0,0,0,14,223,49,56,0,0,0,0,0,328,899,23,20,0,0,5,5,0,947,836,16,19,0,0,3,3,0,874,274,105,200,0,0,0,0,0,579,58,37,71,0,0,0,0,0,166,103,9,21,0,0,0,0,0,133,3,5,3,0,0,0,0,0,11,7,0,4,0,0,6,6,0,17,8,0,4,0,0,0,0,0,12,453,156,303,0,0,6,6,0,918,9,0,0,0,0,0,0,0,9,39,10
ILOC10100204,28,0,0,3,0,0,3,3,34,81,0,0,0,0,0,0,0,81,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,3,0,0,3,3,141,887,3,0,3,0,0,3,0,893,1019,0,0,3,0,0,3,0,1022,48,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,81,0,3,0,0,0,0,0,84,3,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,23,34,0,0,0,0,0,0,0,34,189,0,3,0,0,0,0,0,192,25,0,0,0,0,0,0,0,25,31,0
ILOC10100205,40,3,0,0,0,0,0,0,43,142,3,0,0,0,0,0,0,145,104,13,18,0,0,0,0,0,135,77,0,9,0,0,0,0,0,86,15,0,4,0,0,4,4,0,23,9,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,16,31,0,0,4,4,0,256,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,25,409,22,34,0,0,4,4,0,469,606,19,6,0,0,0,0,0,631,775,14,8,0,0,3,3,0,800,196,38,53,0,0,0,0,0,287,37,0,13,0,0,0,0,0,50,101,4,4,0,0,3,3,0,112,0,4,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,22,9,0,3,0,0,0,0,0,12,365,46,73,0,0,3,3,0,487,8,3,0,0,0,0,0,0,11,39,6
ILOC10100301,31,0,0,0,0,0,0,0,31,47,0,0,0,0,0,0,0,47,29,0,13,0,0,0,0,0,42,32,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,13,7,0,3,4,0,0,4,0,14,3,0,0,0,0,0,0,0,3,107,0,16,4,0,0,4,0,127,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,193,0,16,4,0,0,4,0,213,640,0,14,3,3,0,6,0,660,356,0,17,0,0,0,0,0,373,50,3,43,0,0,0,0,0,96,28,0,0,0,0,0,0,0,28,109,3,8,0,0,5,5,0,125,10,0,0,0,0,0,0,0,10,24,0,3,3,0,0,3,0,30,17,0,4,0,0,0,0,0,21,238,6,58,3,0,5,8,0,310,17,0,0,0,0,0,0,0,17,36,0
ILOC10100401,46,0,0,0,0,0,0,0,46,89,0,0,0,0,0,0,0,89,69,5,12,0,0,0,0,0,86,50,3,3,0,0,0,0,0,56,24,0,0,0,0,0,0,0,24,9,3,0,0,0,0,0,0,12,4,3,3,0,0,0,0,0,10,0,0,3,0,0,0,0,0,3,156,14,21,0,0,0,0,0,191,3,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,13,307,14,21,0,0,0,0,0,342,438,5,0,3,3,3,9,0,452,321,0,0,0,0,3,3,0,324,84,14,16,0,0,0,0,0,114,35,0,4,0,0,0,0,0,39,61,5,5,0,0,3,3,0,74,6,0,0,0,0,0,0,0,6,10,0,0,0,0,3,3,0,13,7,0,0,0,0,0,0,0,7,203,19,25,0,0,6,6,0,253,6,0,0,0,0,0,0,0,6,30,0
ILOC10100402,15,0,0,0,0,0,0,0,15,24,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,5,74,0,0,0,0,0,0,0,74,309,0,3,3,0,0,3,0,315,190,0,0,3,0,0,3,0,193,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,39,26,0,0,3,0,0,3,0,29,127,0,0,3,0,0,3,0,130,14,0,0,0,0,0,0,0,14,10,0
ILOC10100403,14,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,20,7,0,4,0,0,0,0,0,11,14,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,41,0,4,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,79,0,4,0,0,0,0,0,83,109,0,3,0,0,0,0,0,112,55,3,0,0,0,0,0,0,58,12,3,3,0,0,3,3,0,21,5,0,6,0,0,0,0,0,11,16,0,0,0,0,0,0,0,16,4,0,6,0,0,0,0,0,10,4,0,4,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,41,3,19,4,0,3,7,0,70,3,0,0,0,0,0,0,0,3,10,0
