region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
ILOC10100101,3,4,0,0,4,0,43,820,23,23,9,0,6,15,0,881,427,0,0,0,0,0,0,0,427,233,0,0,3,0,0,3,0,236,50,3,0,0,0,6,6,0,59,50,4,6,0,0,0,0,0,60,76,5,7,5,0,0,5,0,93,12,0,3,0,0,0,0,0,15,60,11,13,0,0,0,0,0,84,22,0,0,0,0,0,0,0,22,270,23,29,5,0,6,11,0,333,7,0,0,0,0,0,0,0,7,41,3,3,4,0,0,4,0,51,978,26,32,12,0,6,18,0,1054
ILOC10100201,21,0,0,0,0,0,86,3463,305,366,3,0,8,11,0,4145,1227,58,91,3,0,0,3,0,1379,1683,47,19,0,0,0,0,0,1749,609,197,127,0,0,5,5,0,938,255,15,0,0,0,0,0,0,270,216,27,26,0,0,3,3,0,272,23,0,23,0,0,0,0,0,46,20,0,7,0,0,0,0,0,27,13,3,4,0,0,0,0,0,20,1136,242,187,0,0,8,8,0,1573,10,3,79,0,0,0,0,0,92,71,11,21,0,0,0,0,0,103,4127,361,397,3,0,8,11,0,4896
ILOC10100202,14,8,0,0,8,0,41,758,59,221,29,0,15,44,0,1082,279,3,11,6,0,3,9,0,302,325,9,5,0,0,0,0,0,339,163,26,127,0,0,8,8,0,324,10,5,86,0,0,0,0,0,101,76,10,10,0,0,4,4,0,100,0,6,8,0,0,0,0,0,14,7,3,5,12,0,3,15,0,30,10,6,0,3,0,0,3,0,19,266,56,236,15,0,15,30,0,588,0,5,0,0,0,0,0,0,5,19,3,17,11,0,0,11,0,50,889,76,269,32,0,18,50,0,1284
ILOC10100203,14,0,0,0,0,0,63,2236,205,356,0,0,14,14,0,2811,922,23,20,0,0,5,5,0,970,913,19,19,0,0,3,3,0,954,326,129,228,0,0,0,0,0,683,96,52,89,0,0,0,0,0,237,124,9,27,0,0,0,0,0,160,6,8,3,0,0,0,0,0,17,7,0,4,0,0,6,6,0,17,8,0,4,0,0,0,0,0,12,567,198,355,0,0,6,6,0,1126,12,0,0,0,0,0,0,0,12,45,14,18,0,0,0,0,0,77,2459,254,412,0,0,14,14,0,3139
ILOC10100204,0,7,0,0,7,0,38,2151,3,3,13,0,0,13,0,2170,915,3,0,6,0,0,6,3,927,1100,0,0,3,0,0,3,0,1103,51,0,0,0,0,0,0,0,51,5,0,0,0,0,0,0,0,5,93,0,3,0,0,0,0,0,96,6,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,23,37,0,0,0,0,0,0,0,37,215,0,3,0,0,0,0,0,218,25,0,0,0,0,0,0,0,25,31,0,0,7,0,0,7,0,38,2286,3,3,16,0,0,16,3,2311
ILOC10100205,3,5,0,0,5,0,53,1793,88,90,5,0,6,11,0,1982,646,22,6,0,0,0,0,0,674,917,17,8,0,0,3,3,0,945,300,51,71,0,0,0,0,0,422,114,0,22,0,0,0,0,0,136,116,4,8,0,0,7,7,0,135,9,7,0,0,0,0,0,0,16,22,0,0,0,0,0,0,0,22,9,0,3,0,0,0,0,0,12,570,62,104,0,0,7,7,0,743,8,3,0,0,0,0,0,0,11,61,6,6,5,0,0,5,0,78,2202,110,124,5,0,10,15,0,2451
ILOC10100301,4,8,0,0,8,0,48,1287,6,93,14,3,5,22,0,1408,671,0,14,3,3,0,6,0,691,403,0,17,0,0,0,0,0,420,79,3,56,0,0,0,0,0,138,60,0,0,0,0,0,0,0,60,132,3,8,0,0,5,5,0,148,23,0,0,0,0,0,0,0,23,31,0,6,7,0,0,7,0,44,20,0,4,0,0,0,0,0,24,345,6,74,7,0,5,12,0,437,20,0,0,0,0,0,0,0,20,41,0,4,8,0,0,8,0,53,1480,6,109,18,3,5,26,0,1621
ILOC10100401,6,0,0,0,0,0,36,998,24,31,3,3,12,18,0,1071,484,5,0,3,3,3,9,0,498,410,0,0,0,0,3,3,0,413,153,19,28,0,0,0,0,0,200,85,3,7,0,0,0,0,0,95,85,5,5,0,0,3,3,0,98,15,3,0,0,0,0,0,0,18,14,3,3,0,0,3,3,0,23,7,0,3,0,0,0,0,0,10,359,33,46,0,0,6,6,0,444,9,0,0,0,0,0,0,0,9,43,0,6,0,0,0,0,0,49,1305,38,52,3,3,12,18,0,1413
ILOC10100402,0,0,0,0,0,0,10,650,0,3,9,0,0,9,0,662,324,0,3,3,0,0,3,0,330,214,0,0,3,0,0,3,0,217,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,48,32,0,0,3,0,0,3,0,35,153,0,0,3,0,0,3,0,156,18,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,15,724,0,3,9,0,0,9,0,736
ILOC10100403,0,0,0,0,0,0,10,218,6,22,4,0,3,7,0,253,123,0,3,0,0,0,0,0,126,75,3,0,0,0,0,0,0,78,19,3,7,0,0,3,3,0,32,19,0,6,0,0,0,0,0,25,27,0,0,0,0,0,0,0,27,4,0,6,0,0,0,0,0,10,10,0,4,4,0,0,4,0,18,3,0,0,0,0,0,0,0,3,82,3,23,4,0,3,7,0,115,3,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,14,297,6,26,4,0,3,7,0,336
