region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC10100101,59,297,356,82,502,584,6,17,23,11,21,32,99,540,639,15,45,60,173,882,1055
ILOC10100201,242,884,1126,408,2796,3204,21,152,173,50,179,229,479,3127,3606,29,135,164,750,4146,4896
ILOC10100202,71,349,420,103,603,706,3,24,27,15,53,68,121,680,801,10,54,64,202,1083,1285
ILOC10100203,114,779,893,167,1739,1906,7,84,91,20,122,142,194,1945,2139,20,89,109,328,2813,3141
ILOC10100204,31,394,425,93,1514,1607,6,98,104,8,92,100,107,1704,1811,0,74,74,138,2172,2310
ILOC10100205,168,454,622,228,1311,1539,8,58,66,32,65,97,268,1434,1702,34,92,126,470,1980,2450
ILOC10100301,109,481,590,77,765,842,6,62,68,14,32,46,97,859,956,9,68,77,215,1408,1623
ILOC10100401,131,360,491,152,606,758,9,33,42,24,29,53,185,668,853,25,43,68,341,1071,1412
ILOC10100402,17,150,167,40,441,481,7,29,36,3,26,29,50,496,546,8,15,23,75,661,736
ILOC10100403,40,122,162,35,103,138,3,10,13,3,3,6,41,116,157,3,14,17,84,252,336
ILOC10100501,97,1099,1196,190,1970,2160,12,109,121,20,120,140,222,2199,2421,19,130,149,338,3428,3766
ILOC10100502,42,305,347,42,684,726,4,65,69,0,36,36,46,785,831,5,32,37,93,1122,1215
ILOC10100503,41,110,151,28,94,122,3,13,16,8,10,18,39,117,156,4,8,12,84,235,319
ILOC10100601,82,333,415,48,508,556,0,25,25,11,21,32,59,554,613,12,49,61,153,936,1089
ILOC10100701,67,299,366,50,447,497,6,21,27,10,32,42,66,500,566,10,31,41,143,830,973
ILOC10100702,48,653,701,72,1149,1221,6,87,93,6,59,65,84,1295,1379,16,75,91,148,2023,2171
ILOC10100801,204,555,759,167,659,826,7,36,43,26,37,63,200,732,932,16,58,74,420,1345,1765
ILOC10100802,52,375,427,71,779,850,8,56,64,6,32,38,85,867,952,6,47,53,143,1289,1432
ILOC10200101,179,1692,1871,257,5447,5704,30,321,351,53,361,414,340,6129,6469,38,271,309,557,8092,8649
ILOC10200201,78,1134,1212,96,1763,1859,3,129,132,15,112,127,114,2004,2118,10,127,137,202,3265,3467
ILOC10200301,170,931,1101,194,1420,1614,13,65,78,32,109,141,239,1594,1833,21,110,131,430,2635,3065
ILOC10200302,39,316,355,49,851,900,3,56,59,3,48,51,55,955,1010,10,49,59,104,1320,1424
ILOC10200401,38,487,525,34,803,837,3,56,59,6,44,50,43,903,946,9,63,72,90,1453,1543
ILOC10200402,23,62,85,14,58,72,3,3,6,4,5,9,21,66,87,5,6,11,49,134,183
ILOC10200501,21,735,756,42,974,1016,4,67,71,3,50,53,49,1091,1140,7,79,86,77,1905,1982
ILOC10200502,164,1902,2066,168,3168,3336,9,204,213,28,193,221,205,3565,3770,27,223,250,396,5690,6086
ILOC10200601,22,298,320,26,801,827,0,44,44,5,36,41,31,881,912,6,42,48,59,1221,1280
ILOC10200602,65,331,396,62,454,516,3,25,28,10,28,38,75,507,582,6,46,52,146,884,1030
ILOC10200603,17,0,17,5,0,5,4,0,4,4,0,4,13,0,13,0,0,0,30,0,30
ILOC10200604,46,225,271,45,237,282,3,14,17,8,14,22,56,265,321,6,15,21,108,505,613
ILOC10200701,65,257,322,44,533,577,0,23,23,8,50,58,52,606,658,12,35,47,129,898,1027
ILOC10200702,195,263,458,100,434,534,3,18,21,25,33,58,128,485,613,36,39,75,359,787,1146
ILOC10200703,31,76,107,18,318,336,0,16,16,7,13,20,25,347,372,3,15,18,59,438,497
ILOC10200704,58,15,73,16,10,26,3,0,3,3,3,6,22,13,35,3,5,8,83,33,116
ILOC10200801,50,39,89,14,46,60,0,5,5,11,3,14,25,54,79,3,10,13,78,103,181
ILOC10200802,27,321,348,60,865,925,0,40,40,3,80,83,63,985,1048,5,46,51,95,1352,1447
ILOC10200803,20,49,69,16,79,95,0,4,4,3,4,7,19,87,106,3,7,10,42,143,185
ILOC10200804,35,6,41,8,28,36,0,3,3,3,0,3,11,31,42,3,0,3,49,37,86
ILOC10200901,85,871,956,165,2414,2579,7,105,112,24,160,184,196,2679,2875,16,152,168,297,3702,3999
ILOC10200902,10,344,354,44,944,988,0,68,68,4,53,57,48,1065,1113,3,63,66,61,1472,1533
ILOC10201001,118,577,695,100,983,1083,3,43,46,16,75,91,119,1101,1220,20,79,99,257,1757,2014
ILOC10201002,50,553,603,78,1196,1274,8,78,86,12,76,88,98,1350,1448,9,92,101,157,1995,2152
ILOC10201003,57,164,221,52,260,312,0,14,14,17,26,43,69,300,369,9,19,28,135,483,618
ILOC10201101,545,3520,4065,693,8110,8803,57,423,480,115,494,609,865,9027,9892,81,557,638,1491,13104,14595
ILOC10201102,123,1711,1834,262,3728,3990,14,222,236,15,157,172,291,4107,4398,11,228,239,425,6046,6471
ILOC10201201,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,44
ILOC10201202,59,853,912,60,1400,1460,8,106,114,3,66,69,71,1572,1643,4,84,88,134,2509,2643
ILOC10201301,54,1436,1490,151,3038,3189,9,168,177,8,178,186,168,3384,3552,7,195,202,229,5015,5244
ILOC10201401,43,461,504,84,1246,1330,9,69,78,8,52,60,101,1367,1468,8,50,58,152,1878,2030
ILOC10201402,37,383,420,36,688,724,4,34,38,5,39,44,45,761,806,9,47,56,91,1191,1282
ILOC10300101,119,116,235,94,230,324,3,12,15,13,22,35,110,264,374,26,29,55,255,409,664
ILOC10300102,23,58,81,18,138,156,0,6,6,0,13,13,18,157,175,0,16,16,41,231,272
ILOC10300201,125,43,168,42,64,106,4,0,4,3,6,9,49,70,119,9,0,9,183,113,296
ILOC10300202,35,31,66,40,78,118,0,4,4,6,6,12,46,88,134,6,6,12,87,125,212
ILOC10300203,35,0,35,8,8,16,0,0,0,3,4,7,11,12,23,5,0,5,51,12,63
ILOC10300301,74,418,492,124,906,1030,4,40,44,19,56,75,147,1002,1149,10,49,59,231,1469,1700
ILOC10300302,18,0,18,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,24,0,24
ILOC10300401,156,251,407,128,265,393,3,23,26,19,25,44,150,313,463,18,32,50,324,596,920
ILOC10300402,15,104,119,19,278,297,0,22,22,3,9,12,22,309,331,0,13,13,37,426,463
ILOC10300403,43,40,83,16,32,48,0,0,0,0,3,3,16,35,51,4,4,8,63,79,142
ILOC10300501,186,2331,2517,256,3731,3987,13,235,248,38,247,285,307,4213,4520,53,346,399,546,6890,7436
ILOC10300502,29,138,167,17,368,385,3,10,13,3,12,15,23,390,413,4,31,35,56,559,615
ILOC10300503,33,35,68,19,63,82,4,0,4,6,4,10,29,67,96,8,16,24,70,118,188
ILOC10300504,86,21,107,22,38,60,3,3,6,3,5,8,28,46,74,3,3,6,117,70,187
ILOC10300601,39,33,72,18,42,60,0,3,3,3,4,7,21,49,70,3,3,6,63,85,148
ILOC10300602,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,15,0,15
ILOC10300603,76,149,225,62,218,280,6,18,24,9,15,24,77,251,328,14,34,48,167,434,601
ILOC10300604,21,0,21,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,27,0,27
ILOC10300605,144,74,218,59,168,227,8,6,14,5,16,21,72,190,262,20,19,39,236,283,519
ILOC10300606,57,416,473,38,534,572,0,29,29,7,58,65,45,621,666,3,59,62,105,1096,1201
ILOC10400101,26,102,128,19,325,344,0,13,13,6,13,19,25,351,376,7,21,28,58,474,532
ILOC10400102,90,2002,2092,144,3972,4116,8,223,231,16,257,273,168,4452,4620,24,251,275,282,6705,6987
ILOC10400103,25,1328,1353,139,5812,5951,3,270,273,13,239,252,155,6321,6476,6,213,219,186,7862,8048
ILOC10400201,55,1859,1914,187,7857,8044,9,382,391,10,443,453,206,8682,8888,12,392,404,273,10933,11206
ILOC10400301,104,2054,2158,250,3771,4021,10,183,193,23,232,255,283,4186,4469,22,255,277,409,6495,6904
ILOC10400302,47,1185,1232,216,4330,4546,13,248,261,12,193,205,241,4771,5012,16,212,228,304,6168,6472
ILOC10400303,76,1434,1510,188,2651,2839,14,133,147,17,169,186,219,2953,3172,17,224,241,312,4611,4923
ILOC10400401,19,41,60,7,78,85,0,0,0,3,9,12,10,87,97,5,4,9,34,132,166
ILOC10400402,39,437,476,67,1141,1208,3,93,96,4,49,53,74,1283,1357,3,62,65,116,1782,1898
ILOC10400403,195,2415,2610,311,4884,5195,24,325,349,50,261,311,385,5470,5855,46,321,367,626,8206,8832
ILOC10400404,48,673,721,46,1526,1572,0,93,93,8,68,76,54,1687,1741,5,87,92,107,2447,2554
ILOC10400405,115,1554,1669,107,3433,3540,3,259,262,14,145,159,124,3837,3961,6,173,179,245,5564,5809
ILOC10400501,61,1163,1224,101,3189,3290,3,171,174,8,157,165,112,3517,3629,6,152,158,179,4832,5011
ILOC10400502,41,118,159,30,200,230,0,8,8,7,4,11,37,212,249,3,9,12,81,339,420
ILOC10400503,255,4264,4519,518,13023,13541,22,646,668,50,659,709,590,14328,14918,36,704,740,881,19296,20177
ILOC10400504,29,365,394,26,585,611,6,39,45,4,33,37,36,657,693,7,39,46,72,1061,1133
ILOC10400505,32,703,735,83,2184,2267,9,153,162,8,69,77,100,2406,2506,6,122,128,138,3231,3369
ILOC10400506,86,928,1014,91,1268,1359,12,93,105,6,60,66,109,1421,1530,14,133,147,209,2482,2691
ILOC10400507,91,1349,1440,183,3670,3853,3,184,187,18,180,198,204,4034,4238,15,203,218,310,5586,5896
ILOC10400601,39,791,830,74,1901,1975,0,119,119,9,76,85,83,2096,2179,7,101,108,129,2988,3117
ILOC10400602,37,586,623,64,1114,1178,0,61,61,4,63,67,68,1238,1306,8,60,68,113,1884,1997
ILOC10400701,75,4487,4562,388,17319,17707,16,774,790,30,735,765,434,18828,19262,17,795,812,526,24110,24636
ILOC10400702,260,8127,8387,796,23546,24342,33,1146,1179,73,1323,1396,902,26015,26917,51,1303,1354,1213,35445,36658
ILOC10400801,83,1547,1630,163,3820,3983,8,213,221,16,178,194,187,4211,4398,9,204,213,279,5962,6241
ILOC10400802,95,1613,1708,117,2943,3060,6,163,169,12,191,203,135,3297,3432,14,183,197,244,5093,5337
ILOC10400803,38,1052,1090,55,1257,1312,3,99,102,8,52,60,66,1408,1474,10,129,139,114,2589,2703
ILOC10400901,237,956,1193,125,1094,1219,10,61,71,41,88,129,176,1243,1419,29,94,123,442,2293,2735
ILOC10400902,85,1225,1310,156,2653,2809,8,220,228,18,129,147,182,3002,3184,9,146,155,276,4373,4649
ILOC10400903,30,77,107,15,175,190,0,13,13,0,9,9,15,197,212,5,11,16,50,285,335
ILOC10400904,90,191,281,59,431,490,4,42,46,13,25,38,76,498,574,3,23,26,169,712,881
ILOC10400905,27,598,625,60,1152,1212,0,60,60,9,51,60,69,1263,1332,5,70,75,101,1931,2032
ILOC10401001,56,981,1037,67,1870,1937,8,154,162,4,84,88,79,2108,2187,4,114,118,139,3203,3342
ILOC10401002,26,58,84,12,92,104,0,10,10,13,9,22,25,111,136,3,6,9,54,175,229
ILOC10401101,220,5538,5758,482,14732,15214,24,677,701,49,572,621,555,15981,16536,41,819,860,816,22338,23154
ILOC10401102,190,5692,5882,626,18799,19425,29,809,838,59,789,848,714,20397,21111,41,808,849,945,26897,27842
ILOC10401103,192,4214,4406,497,12722,13219,29,600,629,44,558,602,570,13880,14450,42,696,738,804,18790,19594
ILOC10401201,91,1083,1174,159,3091,3250,12,146,158,23,144,167,194,3381,3575,8,128,136,293,4592,4885
ILOC10401202,57,877,934,84,2273,2357,5,123,128,18,128,146,107,2524,2631,10,136,146,174,3537,3711
ILOC10401203,53,822,875,87,1968,2055,3,103,106,13,120,133,103,2191,2294,13,140,153,169,3153,3322
ILOC10401204,32,837,869,98,2999,3097,6,211,217,8,129,137,112,3339,3451,4,118,122,148,4294,4442
ILOC10401301,241,4896,5137,679,15918,16597,27,690,717,59,730,789,765,17338,18103,50,756,806,1056,22990,24046
ILOC10401401,166,4329,4495,410,13579,13989,19,510,529,50,971,1021,479,15060,15539,29,710,739,674,20099,20773
ILOC10401402,156,3896,4052,417,10206,10623,23,405,428,42,482,524,482,11093,11575,31,600,631,669,15589,16258
ILOC10401403,152,4968,5120,405,13725,14130,14,500,514,36,676,712,455,14901,15356,52,851,903,659,20720,21379
ILOC10401501,81,2390,2471,223,5859,6082,8,402,410,18,242,260,249,6503,6752,9,333,342,339,9226,9565
ILOC10401502,169,4075,4244,356,10805,11161,17,539,556,36,506,542,409,11850,12259,24,584,608,602,16509,17111
ILOC10401503,61,732,793,98,1263,1361,0,73,73,7,73,80,105,1409,1514,12,71,83,178,2212,2390
ILOC10401601,25,158,183,30,192,222,0,11,11,7,10,17,37,213,250,3,17,20,65,388,453
ILOC10401602,3,301,304,90,2234,2324,3,80,83,3,71,74,96,2385,2481,10,83,93,109,2769,2878
