region_id,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
ILOC10100101,0,23,4,3,0,0,30,0,0,17,20,12,8,57,0,21,9,9,8,0,47,0,0,0,0,0,0,0,0,44,30,32,20,8,134,0,0,0,0,4,3,7,0,44,30,32,24,11,141,30,0,0,0,0,0,30,0,0,0,0,0,0,0,30,44,30,32,24,11,171,0,225,5,3,0,0,233,0,0,82,97,52,27,258,0,41,17,10,3,0,71,0,7,3,0,0,0,10,0,273,107,110,55,27,572,0,0,0,0,0,4,4,0,273,107,110,55,31,576,286,0,0,0,0,0,286,0,18,3,0,0,0,21,286,291,110,110,55,31,883
ILOC10100201,0,74,16,3,0,0,93,0,0,58,89,58,55,260,0,74,72,62,29,18,255,0,6,6,0,0,0,12,0,154,152,154,87,73,620,0,0,0,4,11,15,30,0,154,152,158,98,88,650,72,0,0,0,0,0,72,0,24,3,0,0,0,27,72,178,155,158,98,88,749,0,1093,29,0,0,0,1122,0,0,455,520,244,84,1303,0,198,141,62,26,9,436,0,33,9,3,3,0,48,0,1324,634,585,273,93,2909,0,0,0,20,8,18,46,0,1324,634,605,281,111,2955,1061,0,0,0,0,0,1061,0,103,19,5,3,0,130,1061,1427,653,610,284,111,4146
ILOC10100202,0,33,0,0,0,0,33,0,0,12,21,6,6,45,0,26,20,9,3,4,62,0,3,0,0,0,0,3,0,62,32,30,9,10,143,0,0,0,3,0,6,9,0,62,32,33,9,16,152,39,0,0,0,0,0,39,0,11,0,0,0,0,11,39,73,32,33,9,16,202,0,224,10,0,0,0,234,0,0,83,79,28,19,209,0,67,41,8,3,3,122,0,14,0,0,0,0,14,0,305,134,87,31,22,579,0,0,0,0,3,5,8,0,305,134,87,34,27,587,437,0,0,0,0,0,437,0,52,5,3,0,0,60,437,357,139,90,34,27,1084
ILOC10100203,0,43,3,0,0,0,46,0,0,16,29,12,20,77,0,27,34,14,5,8,88,0,4,0,0,0,0,4,0,74,53,43,17,28,215,0,0,0,5,3,3,11,0,74,53,48,20,31,226,84,0,0,0,0,0,84,0,18,0,0,0,0,18,84,92,53,48,20,31,328,0,706,20,0,0,0,726,0,0,229,240,152,56,677,0,140,91,39,5,3,278,0,27,3,0,0,0,30,0,873,343,279,157,59,1711,0,0,0,3,3,7,13,0,873,343,282,160,66,1724,1003,0,0,0,0,0,1003,0,70,6,6,0,3,85,1003,943,349,288,160,69,2812
ILOC10100204,0,23,0,0,0,0,23,0,0,19,21,14,6,60,0,4,10,8,3,0,25,0,3,0,0,0,0,3,0,30,29,29,17,6,111,0,0,0,0,0,12,12,0,30,29,29,17,18,123,13,0,0,0,0,0,13,0,3,3,0,0,0,6,13,33,32,29,17,18,142,0,723,20,3,0,0,746,0,0,278,330,183,58,849,0,65,47,19,4,0,135,0,13,3,0,0,0,16,0,801,348,352,187,58,1746,0,0,0,17,17,13,47,0,801,348,369,204,71,1793,342,0,0,0,0,0,342,0,31,4,0,0,0,35,342,832,352,369,204,71,2170
ILOC10100205,0,53,4,0,3,0,60,0,0,39,47,26,34,146,0,38,62,38,17,15,170,0,3,0,0,0,0,3,0,94,105,85,46,49,379,0,0,0,4,7,8,19,0,94,105,89,53,57,398,58,0,0,0,0,0,58,0,12,0,3,0,0,15,58,106,105,92,53,57,471,0,577,21,0,0,0,598,0,0,172,243,122,37,574,0,112,61,21,12,9,215,0,19,4,0,0,0,23,0,708,258,264,134,46,1410,0,0,0,5,7,7,19,0,708,258,269,141,53,1429,496,0,0,0,0,0,496,0,46,8,0,0,0,54,496,754,266,269,141,53,1979
ILOC10100301,0,29,3,3,0,0,35,0,0,11,24,14,5,54,0,17,27,18,4,3,69,0,3,5,0,0,0,8,0,49,46,45,18,8,166,0,0,0,0,5,0,5,0,49,46,45,23,8,171,36,0,0,0,0,0,36,0,4,0,0,0,0,4,36,53,46,45,23,8,211,0,465,9,0,0,0,474,0,0,131,130,82,28,371,0,57,34,18,3,0,112,0,7,0,0,0,0,7,0,529,174,148,85,28,964,0,0,0,0,4,6,10,0,529,174,148,89,34,974,411,0,0,0,0,0,411,0,21,3,0,0,0,24,411,550,177,148,89,34,1409
ILOC10100401,0,41,3,0,0,0,44,0,0,18,37,20,13,88,0,30,34,25,13,13,115,0,11,0,0,0,0,11,0,82,55,62,33,26,258,0,0,0,3,5,7,15,0,82,55,65,38,33,273,56,0,0,0,0,0,56,0,14,0,0,0,0,14,56,96,55,65,38,33,343,0,308,3,0,0,0,311,0,0,93,97,45,24,259,0,60,34,11,0,3,108,0,4,3,0,0,0,7,0,372,133,108,45,27,685,0,0,0,5,0,4,9,0,372,133,113,45,31,694,354,0,0,0,0,0,354,0,15,6,0,0,0,21,354,387,139,113,45,31,1069
ILOC10100402,0,15,3,0,0,0,18,0,0,8,11,6,3,28,0,7,3,0,0,3,13,0,0,0,0,0,0,0,0,22,14,11,6,6,59,0,0,0,0,0,0,0,0,22,14,11,6,6,59,9,0,0,0,0,0,9,0,3,3,0,0,0,6,9,25,17,11,6,6,74,0,220,5,0,0,0,225,0,0,70,72,64,27,233,0,16,9,4,0,0,29,0,4,0,0,0,0,4,0,240,84,76,64,27,491,0,0,0,3,0,3,6,0,240,84,79,64,30,497,155,0,0,0,0,0,155,0,9,0,0,0,0,9,155,249,84,79,64,30,661
ILOC10100403,0,13,0,0,0,0,13,0,0,4,3,5,3,15,0,11,12,6,0,4,33,0,0,0,0,0,0,0,0,24,16,9,5,7,61,0,0,0,0,0,0,0,0,24,16,9,5,7,61,19,0,0,0,0,0,19,0,3,0,0,0,0,3,19,27,16,9,5,7,83,0,72,0,0,0,0,72,0,0,13,9,10,4,36,0,9,13,5,0,0,27,0,5,0,3,0,0,8,0,86,26,17,10,4,143,0,0,0,0,3,3,6,0,86,26,17,13,7,149,101,0,0,0,0,0,101,0,3,0,0,0,0,3,101,89,26,17,13,7,253
ILOC10100501,0,43,4,0,0,0,47,0,0,34,34,19,22,109,0,33,40,21,8,6,108,0,0,0,0,0,0,0,0,76,78,55,27,28,264,0,0,0,0,0,7,7,0,76,78,55,27,35,271,52,0,0,0,0,0,52,0,12,3,0,0,0,15,52,88,81,55,27,35,338,0,913,18,0,0,0,931,0,0,309,287,213,95,904,0,188,115,53,14,9,379,0,29,5,0,0,0,34,0,1130,447,340,227,104,2248,0,0,0,10,7,8,25,0,1130,447,350,234,112,2273,1086,0,0,0,0,0,1086,0,50,14,5,0,0,69,1086,1180,461,355,234,112,3428
ILOC10100502,0,13,3,0,0,0,16,0,0,8,8,8,11,35,0,8,6,3,3,0,20,0,0,0,0,0,0,0,0,21,17,11,11,11,71,0,0,0,3,3,0,6,0,21,17,14,14,11,77,12,0,0,0,0,0,12,0,0,3,0,0,0,3,12,21,20,14,14,11,92,0,371,4,0,0,0,375,0,0,109,125,92,54,380,0,41,24,10,0,3,78,0,3,0,0,0,0,3,0,415,137,135,92,57,836,0,0,0,4,4,4,12,0,415,137,139,96,61,848,255,0,0,0,0,0,255,0,14,3,0,0,0,17,255,429,140,139,96,61,1120
