region_id,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,CDEP_participants_Ind_M,CDEP_participants_Ind_F,CDEP_participants_Ind_P,CDEP_participants_NonInd_M,CDEP_participants_NonInd_F,CDEP_participants_NonInd_P,CDEP_participants_IndSt_nsM,CDEP_participants_IndSt_nsF,CDEP_participants_IndSt_nsP,CDEP_participants_TotM,CDEP_participants_TotF,CDEP_participants_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,NsQ_PgDL_Ind_M,NsQ_PgDL_Ind_F,NsQ_PgDL_Ind_P,NsQ_PgDL_No_Ind_M,NsQ_PgDL_No_Ind_F,NsQ_PgDL_No_Ind_P,NsQ_PgDL_IndSt_nsM,NsQ_PgDL_IndSt_nsF,NsQ_PgDL_IndSt_nsP,NsQ_PgDL_TotM,NsQ_PgDL_TotF,NsQ_PgDL_TotP,NsQ_GD_GCL_Ind_M,NsQ_GD_GCL_Ind_F,NsQ_GD_GCL_Ind_P,NsQ_GD_GCL_No_In_M,NsQ_GD_GCL_No_In_F,NsQ_GD_GCL_No_In_P,NsQ_GD_GCL_In_st_nsM,NsQ_GD_GCL_In_st_nsF,NsQ_GD_GCL_In_st_nsP,NsQ_GD_GCL_TotM,NsQ_GD_GCL_TotF,NsQ_GD_GCL_TotP,NsQ_BDL_Ind_M,NsQ_BDL_Ind_F,NsQ_BDL_Ind_P,NsQ_BDL_No_Ind_M,NsQ_BDL_No_Ind_F,NsQ_BDL_No_Ind_P,NsQ_BDL_IndSt_nsM,NsQ_BDL_IndSt_nsF,NsQ_BDL_IndSt_nsP,NsQ_BDL_TotM,NsQ_BDL_TotF,NsQ_BDL_TotP,NsQ_AD_DL_Ind_M,NsQ_AD_DL_Ind_F,NsQ_AD_DL_Ind_P,NsQ_AD_DL_No_In_M,NsQ_AD_DL_No_In_F,NsQ_AD_DL_No_In_P,NsQ_AD_DL_In_st_nsM,NsQ_AD_DL_In_st_nsF
ILOC10100101,124,129,253,920,904,1824,81,64,145,1125,1097,2222,57,51,108,640,489,1129,7,6,13,704,546,1250,16,13,29,27,20,47,0,0,0,43,33,76,73,64,137,667,509,1176,7,6,13,747,579,1326,41,59,100,231,377,608,8,7,15,280,443,723,10,6,16,22,17,39,65,52,117,97,75,172,21.9,20.3,21.2,4.0,3.9,4.0,0,0,0,5.8,5.7,5.7,58.9,49.6,54.2,72.5,56.4,64.5,8.8,9.2,9.0,66.5,52.8,59.7,46.0,39.5,42.7,69.6,54.2,61.9,8.8,9.2,9.0,62.6,49.8,56.3,6,15,21,69,102,171,3,0,3,78,117,195,49,38,87,561,375,936,5,7,12,615,420,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,36,119,3,0,3,86,36,122,0,0,0,7,5,12,0,0,0,7,5,12,0,0,0,6,12,18,0,0,0,6,12,18,0,0,0,49,97,146,3,0,3,52,97,149,0,0,0,26,61,87,3,0
ILOC10100201,579,680,1259,4185,4922,9107,175,177,352,4939,5779,10718,315,269,584,3028,3060,6088,19,30,49,3362,3359,6721,72,66,138,101,91,192,6,0,6,179,157,336,387,335,722,3129,3151,6280,25,30,55,3541,3516,7057,178,325,503,1001,1698,2699,14,29,43,1193,2052,3245,14,22,36,54,71,125,137,118,255,205,211,416,18.6,19.7,19.1,3.2,2.9,3.1,24.0,0,10.9,5.1,4.5,4.8,66.8,49.1,57.3,74.8,64.0,69.0,14.2,16.9,15.6,71.7,60.8,65.8,54.4,39.4,46.3,72.4,62.2,66.9,10.8,16.9,13.9,68.1,58.1,62.7,69,76,145,448,692,1140,3,3,6,520,771,1291,234,191,425,2567,2348,4915,18,21,39,2819,2560,5379,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,191,108,299,0,0,0,199,114,313,3,3,6,63,68,131,0,0,0,66,71,137,0,4,4,38,77,115,0,0,0,38,81,119,13,36,49,307,634,941,0,0,0,320,670,990,11,29,40,216,346,562,3,3
ILOC10100202,128,169,297,1054,1193,2247,110,102,212,1292,1464,2756,68,75,143,659,630,1289,13,9,22,740,714,1454,13,6,19,35,16,51,0,5,5,48,27,75,81,81,162,694,646,1340,13,14,27,788,741,1529,46,79,125,340,525,865,10,17,27,396,621,1017,0,11,11,21,21,42,86,71,157,107,103,210,16.0,7.4,11.7,5.0,2.5,3.8,0,35.7,18.5,6.1,3.6,4.9,63.8,47.4,54.4,65.8,54.2,59.6,11.9,13.7,12.8,61.0,50.6,55.5,53.5,43.9,48.0,62.5,52.9,57.4,11.9,8.8,10.4,57.3,48.7,52.8,14,23,37,81,127,208,0,0,0,95,150,245,52,50,102,575,500,1075,11,7,18,638,557,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,75,0,0,0,48,27,75,3,0,3,17,21,38,0,0,0,20,21,41,0,0,0,11,22,33,0,0,0,11,22,33,0,9,9,83,144,227,0,0,0,83,153,236,3,5,8,40,81,121,0,3
ILOC10100203,214,260,474,2510,2896,5406,137,124,261,2861,3280,6141,109,105,214,1740,1711,3451,16,18,34,1865,1834,3699,25,22,47,74,71,145,0,0,0,99,93,192,134,127,261,1814,1782,3596,16,18,34,1964,1927,3891,73,125,198,664,1073,1737,13,25,38,750,1223,1973,7,9,16,34,40,74,107,81,188,148,130,278,18.7,17.3,18.0,4.1,4.0,4.0,0,0,0,5.0,4.8,4.9,62.6,48.7,54.9,72.2,61.6,66.5,11.8,14.5,13.1,68.6,58.8,63.4,50.9,40.2,45.1,69.3,59.1,63.8,11.8,14.5,13.1,65.2,55.9,60.2,21,30,51,274,403,677,0,0,0,295,433,728,83,75,158,1440,1289,2729,17,17,34,1540,1381,2921,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,124,80,204,0,0,0,130,83,213,0,0,0,51,56,107,0,0,0,51,56,107,6,0,6,30,66,96,0,3,3,36,69,105,0,14,14,226,469,695,0,3,3,226,486,712,10,13,23,135,217,352,0,0
ILOC10100204,107,102,209,2511,2438,4949,171,161,332,2789,2701,5490,67,56,123,1869,1609,3478,11,18,29,1947,1683,3630,5,6,11,49,60,109,3,0,3,57,66,123,72,62,134,1918,1669,3587,14,18,32,2004,1749,3753,32,34,66,555,746,1301,12,15,27,599,795,1394,0,6,6,38,24,62,145,128,273,183,158,341,6.9,9.7,8.2,2.6,3.6,3.0,21.4,0,9.4,2.8,3.8,3.3,69.2,60.8,65.0,76.4,68.4,72.5,8.2,11.2,9.6,71.9,64.7,68.4,64.4,54.9,59.7,74.4,66.0,70.3,6.4,11.2,8.7,69.9,62.3,66.1,16,17,33,253,382,635,0,0,0,269,399,668,48,40,88,1596,1220,2816,12,15,27,1656,1275,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,249,102,351,4,3,7,253,108,361,0,3,3,35,40,75,0,0,0,35,43,78,0,3,3,17,57,74,0,0,0,17,60,77,0,6,6,207,330,537,0,0,0,207,336,543,0,8,8,117,248,365,0,0
ILOC10100205,356,426,782,1987,2147,4134,86,91,177,2429,2664,5093,148,150,298,1337,1302,2639,17,19,36,1502,1471,2973,52,42,94,63,57,120,0,0,0,115,99,214,200,192,392,1400,1359,2759,17,19,36,1617,1570,3187,137,218,355,539,760,1299,7,12,19,683,990,1673,19,16,35,47,28,75,63,60,123,129,104,233,26.0,21.9,24.0,4.5,4.2,4.3,0,0,0,7.1,6.3,6.7,56.2,45.1,50.1,70.5,63.3,66.8,19.5,20.9,20.2,66.6,58.9,62.6,41.6,35.2,38.1,67.3,60.6,63.9,19.5,20.9,20.2,61.8,55.2,58.4,26,42,68,151,246,397,0,5,5,177,293,470,118,105,223,1176,1045,2221,14,15,29,1308,1165,2473,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,79,34,113,0,0,0,82,34,116,3,0,3,29,35,64,0,0,0,32,35,67,0,4,4,19,17,36,0,0,0,19,21,40,11,12,23,135,231,366,3,3,6,149,246,395,5,9,14,109,153,262,0,0
ILOC10100301,160,175,335,1389,1520,2909,93,101,194,1642,1796,3438,61,55,116,877,779,1656,7,6,13,945,840,1785,24,20,44,38,38,76,0,0,0,62,58,120,85,75,160,915,817,1732,7,6,13,1007,898,1905,71,95,166,451,671,1122,9,15,24,531,781,1312,4,6,10,23,32,55,77,78,155,104,116,220,28.2,26.7,27.5,4.2,4.7,4.4,0,0,0,6.2,6.5,6.3,53.1,42.6,47.6,65.9,53.8,59.5,7.5,6.1,6.8,61.3,50.0,55.4,38.1,31.3,34.5,63.1,51.2,56.9,7.5,6.1,6.8,57.6,46.8,51.9,24,22,46,107,191,298,0,0,0,131,213,344,40,29,69,760,583,1343,6,5,11,806,617,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,66,237,3,0,3,174,66,240,0,0,0,10,11,21,0,0,0,10,11,21,0,0,0,4,23,27,0,0,0,4,23,27,3,7,10,50,144,194,0,0,0,53,151,204,3,4,7,47,108,155,3,0
ILOC10100401,228,281,509,1055,1180,2235,60,60,120,1343,1521,2864,105,95,200,697,570,1267,7,6,13,809,671,1480,27,31,58,31,32,63,0,0,0,58,63,121,132,126,258,728,602,1330,7,6,13,867,734,1601,86,144,230,311,552,863,8,9,17,405,705,1110,11,12,23,15,26,41,46,44,90,72,82,154,20.5,24.6,22.5,4.3,5.3,4.7,0,0,0,6.7,8.6,7.6,57.6,44.7,50.5,69.1,51.0,59.5,11.5,10.2,10.8,64.5,48.3,55.9,45.9,33.7,39.1,66.1,48.3,56.7,11.5,10.2,10.8,60.2,44.1,51.7,17,25,42,87,130,217,0,3,3,104,158,262,82,68,150,599,430,1029,5,5,10,686,503,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,77,44,121,3,0,3,80,47,127,0,0,0,12,6,18,0,0,0,12,6,18,0,0,0,7,14,21,0,0,0,7,14,21,3,11,14,46,107,153,0,3,3,49,121,170,0,9,9,54,82,136,0,0
ILOC10100402,45,62,107,748,633,1381,40,40,80,833,735,1568,28,40,68,609,440,1049,3,3,6,640,483,1123,4,4,8,17,7,24,0,0,0,21,11,32,32,44,76,626,447,1073,3,3,6,661,494,1155,9,17,26,119,178,297,3,5,8,131,200,331,3,0,3,3,8,11,35,32,67,41,40,81,12.5,9.1,10.5,2.7,1.6,2.2,0,0,0,3.2,2.2,2.8,72.7,72.1,72.4,83.7,70.6,77.7,7.3,7.5,7.4,79.4,67.3,73.7,63.6,65.6,64.8,81.4,69.5,76.0,7.3,7.5,7.4,76.8,65.8,71.7,3,7,10,22,86,108,0,0,0,25,93,118,25,31,56,583,354,937,5,0,5,613,385,998,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,111,43,154,0,0,0,114,43,157,0,0,0,13,8,21,0,0,0,13,8,21,0,0,0,3,17,20,0,0,0,3,17,20,0,6,6,47,108,155,0,3,3,47,117,164,0,3,3,36,69,105,0,0
ILOC10100403,66,67,133,253,233,486,18,13,31,337,313,650,25,26,51,125,91,216,3,3,6,153,120,273,8,3,11,5,6,11,3,0,3,16,9,25,33,29,62,130,97,227,6,3,9,169,129,298,28,38,66,117,123,240,0,3,3,145,164,309,5,0,5,6,13,19,11,8,19,22,21,43,24.2,10.3,17.7,3.8,6.2,4.8,50.0,0,33.3,9.5,7.0,8.4,50.0,43.3,46.6,51.4,41.6,46.7,35.3,21.4,29.0,50.3,41.1,45.8,37.9,38.8,38.3,49.4,39.1,44.4,17.6,21.4,19.4,45.5,38.2,42.0,3,8,11,13,24,37,0,0,0,16,32,48,24,16,40,109,65,174,3,3,6,136,84,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,17,0,3,3,14,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,23,0,0,0,7,16,23,3,0,3,8,18,26,3,0
