region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10100101,3,29,61,90,0,4,4,5,17,22,0,0,0,5,21,26,22,18,40,208,83,291,0,0,0,230,101,331,140,154,294,1003,935,1938,19,15,34,1162,1104,2266,45,57,102,140,151,291,4,0,4,189,208,397,100,95,195,743,680,1423,13,8,21,856,783,1639,64,84,148,325,337,662,6,6,12,395,427,822
ILOC10100201,6,230,378,608,6,22,28,56,123,179,0,3,3,62,148,210,117,79,196,1224,686,1910,7,8,15,1348,773,2121,741,878,1619,4346,4956,9302,48,71,119,5135,5905,11040,197,225,422,839,983,1822,12,11,23,1048,1219,2267,364,417,781,2724,3096,5820,38,48,86,3126,3561,6687,421,508,929,2108,2495,4603,15,25,40,2544,3028,5572
ILOC10100202,3,43,89,132,3,4,7,14,28,42,0,3,3,17,35,52,23,23,46,280,143,423,5,0,5,308,166,474,148,188,336,971,1063,2034,25,37,62,1144,1288,2432,38,52,90,227,287,514,4,5,9,269,344,613,77,83,160,647,679,1326,13,27,40,737,789,1526,81,127,208,482,610,1092,13,10,23,576,747,1323
ILOC10100203,0,145,230,375,3,12,15,21,62,83,0,0,0,24,74,98,46,23,69,743,340,1083,8,3,11,797,366,1163,254,259,513,2595,2888,5483,37,54,91,2886,3201,6087,95,85,180,482,558,1040,7,4,11,584,647,1231,121,135,256,1662,1911,3573,27,33,60,1810,2079,3889,180,170,350,1177,1333,2510,12,18,30,1369,1521,2890
ILOC10100204,0,117,256,373,4,0,4,19,69,88,0,0,0,23,69,92,26,15,41,830,340,1170,7,6,13,863,361,1224,141,120,261,2859,2642,5501,33,35,68,3033,2797,5830,42,39,81,291,319,610,3,3,6,336,361,697,85,65,150,2073,1918,3991,25,30,55,2183,2013,4196,66,79,145,868,894,1762,8,7,15,942,980,1922
ILOC10100205,0,114,162,276,5,8,13,28,61,89,0,3,3,33,72,105,50,47,97,562,300,862,4,3,7,616,350,966,462,488,950,2113,2185,4298,33,32,65,2608,2705,5313,128,152,280,412,445,857,6,4,10,546,601,1147,256,255,511,1270,1332,2602,21,24,45,1547,1611,3158,234,288,522,1052,1127,2179,14,6,20,1300,1421,2721
ILOC10100301,3,53,112,165,0,8,8,12,23,35,0,0,0,12,31,43,25,16,41,351,160,511,3,0,3,379,176,555,211,207,418,1494,1590,3084,21,29,50,1726,1826,3552,43,35,78,149,214,363,0,0,0,192,249,441,135,128,263,1118,1166,2284,18,23,41,1271,1317,2588,88,91,179,435,539,974,0,8,8,523,638,1161
ILOC10100401,0,54,91,145,3,7,10,11,12,23,0,0,0,14,19,33,37,28,65,267,133,400,0,3,3,304,164,468,317,365,682,1087,1173,2260,19,21,40,1423,1559,2982,92,99,191,187,210,397,6,0,6,285,309,594,182,190,372,770,829,1599,15,14,29,967,1033,2000,154,188,342,422,474,896,4,8,12,580,670,1250
ILOC10100402,0,36,72,108,0,7,7,5,8,13,0,0,0,5,15,20,4,8,12,183,65,248,0,0,0,187,73,260,59,70,129,858,729,1587,10,6,16,927,805,1732,13,20,33,87,67,154,0,0,0,100,87,187,40,51,91,658,565,1223,6,6,12,704,622,1326,22,28,50,227,191,418,0,0,0,249,219,468
ILOC10100403,3,14,18,32,0,3,3,0,5,5,0,0,0,0,8,8,5,8,13,51,17,68,0,3,3,56,28,84,81,87,168,247,242,489,9,4,13,337,333,670,16,18,34,41,36,77,0,0,0,57,54,111,59,47,106,181,160,341,8,6,14,248,213,461,28,43,71,92,104,196,0,0,0,120,147,267
ILOC10100501,3,137,248,385,0,12,12,33,74,107,0,0,0,33,86,119,38,30,68,905,421,1326,6,5,11,949,456,1405,279,286,565,3452,3703,7155,34,46,80,3765,4035,7800,84,71,155,615,665,1280,9,7,16,708,743,1451,160,155,315,2316,2474,4790,20,37,57,2496,2666,5162,145,154,299,1482,1612,3094,15,14,29,1642,1780,3422
ILOC10100502,0,41,121,162,0,0,0,21,15,36,0,0,0,21,15,36,14,10,24,363,157,520,3,3,6,380,170,550,86,93,179,1465,1353,2818,23,15,38,1574,1461,3035,11,18,29,115,121,236,0,4,4,126,143,269,62,58,120,1102,1016,2118,13,15,28,1177,1089,2266,29,35,64,375,383,758,3,3,6,407,421,828
ILOC10100503,0,6,20,26,0,3,3,3,4,7,0,0,0,3,7,10,11,10,21,52,24,76,0,0,0,63,34,97,74,86,160,214,230,444,0,0,0,288,316,604,17,21,38,33,35,68,0,0,0,50,56,106,50,57,107,153,173,326,0,4,4,203,234,437,31,34,65,86,75,161,0,0,0,117,109,226
ILOC10100601,0,39,78,117,0,6,6,9,20,29,0,0,0,9,26,35,8,9,17,202,60,262,0,0,0,210,69,279,104,169,273,964,935,1899,15,12,27,1083,1116,2199,35,34,69,154,144,298,4,0,4,193,178,371,67,106,173,725,679,1404,4,11,15,796,796,1592,62,81,143,334,322,656,7,3,10,403,406,809
ILOC10100701,0,27,75,102,6,5,11,10,21,31,0,0,0,16,26,42,11,14,25,186,91,277,3,0,3,200,105,305,163,178,341,775,892,1667,17,16,33,955,1086,2041,40,24,64,111,166,277,0,5,5,151,195,346,96,113,209,544,620,1164,12,7,19,652,740,1392,82,58,140,302,393,695,4,6,10,388,457,845
ILOC10100702,0,103,164,267,0,0,0,18,43,61,0,0,0,18,43,61,8,18,26,469,203,672,3,0,3,480,221,701,155,135,290,2234,2101,4335,32,31,63,2421,2267,4688,25,45,70,268,238,506,6,3,9,299,286,585,94,78,172,1712,1579,3291,28,20,48,1834,1677,3511,53,71,124,644,623,1267,7,12,19,704,706,1410
ILOC10100801,4,40,113,153,5,7,12,9,20,29,0,0,0,14,27,41,46,40,86,312,153,465,5,3,8,363,196,559,418,397,815,1257,1392,2649,35,41,76,1710,1830,3540,133,121,254,191,216,407,0,6,6,324,343,667,246,245,491,894,991,1885,17,27,44,1157,1263,2420,213,207,420,462,539,1001,12,12,24,687,758,1445
ILOC10100802,7,105,132,237,3,3,6,12,21,33,0,0,0,15,24,39,24,16,40,338,153,491,3,0,3,365,169,534,149,142,291,1502,1436,2938,25,20,45,1676,1598,3274,22,20,42,155,160,315,5,0,5,182,180,362,100,97,197,1106,1020,2126,17,17,34,1223,1134,2357,52,53,105,461,476,937,3,4,7,516,533,1049
ILOC10200101,6,505,838,1343,9,22,31,93,167,260,0,4,4,102,193,295,57,54,111,1738,830,2568,7,5,12,1802,889,2691,482,575,1057,8086,8591,16677,85,96,181,8653,9262,17915,169,205,374,1995,2337,4332,28,30,58,2192,2572,4764,260,322,582,5111,5473,10584,53,59,112,5424,5854,11278,293,357,650,4425,4952,9377,44,42,86,4762,5351,10113
ILOC10200201,3,153,266,419,4,4,8,26,57,83,0,0,0,30,61,91,10,17,27,760,384,1144,4,4,8,774,405,1179,154,169,323,3172,3296,6468,34,41,75,3360,3506,6866,52,50,102,518,579,1097,7,6,13,577,635,1212,90,118,208,2254,2328,4582,23,34,57,2367,2480,4847,89,77,166,1232,1342,2574,13,10,23,1334,1429,2763
ILOC10200301,0,88,191,279,3,12,15,33,57,90,0,0,0,36,69,105,53,44,97,686,330,1016,4,4,8,743,378,1121,419,425,844,2508,2629,5137,27,37,64,2954,3091,6045,94,102,196,502,531,1033,7,6,13,603,639,1242,240,232,472,1716,1776,3492,22,27,49,1978,2035,4013,203,223,426,1088,1191,2279,5,15,20,1296,1429,2725
ILOC10200302,0,94,130,224,0,3,3,14,44,58,0,0,0,14,47,61,15,10,25,363,166,529,3,3,6,381,179,560,112,93,205,1680,1556,3236,24,28,52,1816,1677,3493,15,20,35,202,179,381,7,0,7,224,199,423,75,57,132,1218,1081,2299,13,11,24,1306,1149,2455,43,46,89,554,525,1079,11,13,24,608,584,1192
ILOC10200401,4,63,116,179,0,3,3,12,29,41,3,0,3,15,32,47,15,7,22,331,171,502,0,0,0,346,178,524,94,97,191,1606,1617,3223,22,17,39,1722,1731,3453,33,23,56,206,210,416,3,8,11,242,241,483,61,62,123,1186,1150,2336,16,20,36,1263,1232,2495,54,51,105,512,563,1075,5,6,11,571,620,1191
ILOC10200402,0,3,10,13,0,0,0,0,4,4,0,0,0,0,4,4,4,3,7,24,6,30,0,0,0,28,9,37,75,80,155,154,143,297,4,0,4,233,223,456,9,13,22,11,16,27,0,0,0,20,29,49,55,55,110,115,110,225,3,0,3,173,165,338,21,21,42,39,39,78,0,0,0,60,60,120
ILOC10200501,6,69,152,221,0,3,3,15,39,54,0,0,0,15,42,57,6,8,14,367,223,590,4,3,7,377,234,611,79,59,138,1974,1967,3941,34,25,59,2087,2051,4138,20,22,42,244,258,502,4,9,13,268,289,557,48,37,85,1477,1458,2935,27,21,48,1552,1516,3068,38,36,74,614,636,1250,7,9,16,659,681,1340
ILOC10200502,3,248,414,662,7,10,17,52,101,153,0,3,3,59,114,173,37,29,66,1419,721,2140,11,3,14,1467,753,2220,374,353,727,5848,6111,11959,80,81,161,6302,6545,12847,140,128,268,1007,1144,2151,22,22,44,1169,1294,2463,216,204,420,3998,4103,8101,48,64,112,4262,4371,8633,207,197,404,2429,2693,5122,42,28,70,2678,2918,5596
ILOC10200601,0,101,115,216,0,3,3,16,21,37,0,0,0,16,24,40,6,3,9,296,158,454,3,0,3,305,161,466,54,58,112,1408,1282,2690,23,16,39,1485,1356,2841,11,12,23,135,144,279,3,0,3,149,156,305,33,33,66,1049,926,1975,15,15,30,1097,974,2071,19,20,39,430,434,864,8,3,11,457,457,914
ILOC10200602,0,31,51,82,4,0,4,9,20,29,0,0,0,13,20,33,4,9,13,224,118,342,0,0,0,228,127,355,112,132,244,860,921,1781,12,7,19,984,1060,2044,28,37,65,152,170,322,3,0,3,183,207,390,60,69,129,590,625,1215,13,4,17,663,698,1361,69,85,154,361,420,781,0,5,5,430,510,940
ILOC10200603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,4,5,9,42,37,79,3,0,3,0,0,0,45,37,82,3,3,6,0,0,0,0,0,0,3,3,6,36,31,67,4,0,4,0,0,0,40,31,71,6,4,10,0,0,0,0,0,0,6,4,10
ILOC10200604,0,12,16,28,0,6,6,5,5,10,0,0,0,5,11,16,8,9,17,106,47,153,0,0,0,114,56,170,95,91,186,479,457,936,9,5,14,583,553,1136,25,25,50,84,91,175,0,3,3,109,119,228,71,62,133,365,343,708,5,4,9,441,409,850,39,43,82,174,177,351,3,5,8,216,225,441
ILOC10200701,3,38,77,115,0,0,0,5,22,27,0,0,0,5,22,27,12,12,24,267,111,378,3,3,6,282,126,408,123,122,245,844,867,1711,8,15,23,975,1004,1979,35,49,84,177,177,354,3,0,3,215,226,441,63,73,136,546,539,1085,7,10,17,616,622,1238,69,73,142,406,424,830,4,3,7,479,500,979
ILOC10200702,3,35,65,100,5,9,14,6,12,18,0,0,0,11,21,32,38,26,64,223,106,329,3,0,3,264,132,396,308,368,676,787,740,1527,16,15,31,1111,1123,2234,94,110,204,178,179,357,3,3,6,275,292,567,192,195,387,492,470,962,15,10,25,699,675,1374,159,211,370,389,376,765,3,4,7,551,591,1142
ILOC10200703,0,41,49,90,3,3,6,0,10,10,0,0,0,3,13,16,5,6,11,130,46,176,0,0,0,135,52,187,84,83,167,515,497,1012,3,6,9,602,586,1188,15,11,26,81,111,192,3,0,3,99,122,221,70,69,139,379,365,744,3,3,6,452,437,889,20,18,38,174,207,381,3,0,3,197,225,422
ILOC10200704,0,4,6,10,0,5,5,0,0,0,0,0,0,0,5,5,10,9,19,6,3,9,0,0,0,16,12,28,121,148,269,29,34,63,4,0,4,154,182,336,18,21,39,3,4,7,3,0,3,24,25,49,91,111,202,19,26,45,3,0,3,113,137,250,32,42,74,13,9,22,3,0,3,48,51,99
