region_id,F_IS_NS_25_34_PD_GD_GCL,F_IS_NS_25_34_BDL,F_IS_NS_25_34_ADip_DipL,F_IS_NS_25_34_CL_nfd,F_IS_NS_25_34_Crt_III_an_IV_L,F_IS_NS_25_34_Ct_I_II,F_IS_NS_25_34_LoE_NS,F_IS_NS_25_34_Tot,F_IS_NS_35_44_PD_GD_GCL,F_IS_NS_35_44_BDL,F_IS_NS_35_44_ADip_DipL,F_IS_NS_35_44_CL_nfd,F_IS_NS_35_44_Crt_III_an_IV_L,F_IS_NS_35_44_Ct_I_II,F_IS_NS_35_44_LoE_NS,F_IS_NS_35_44_Tot,F_IS_NS_45_54_PD_GD_GCL,F_IS_NS_45_54_BDL,F_IS_NS_45_54_ADip_DipL,F_IS_NS_45_54_CL_nfd,F_IS_NS_45_54_Crt_III_an_IV_L,F_IS_NS_45_54_Ct_I_II,F_IS_NS_45_54_Lev_of_ed_NS,F_IS_NS_45_54_Tot,F_IS_NS_55_64_PgDe_GdDp_GdC,F_IS_NS_55_64_BachelDegre_L,F_IS_NS_55_64_ADip_DipL,F_IS_NS_55_64_Certi_Level_nfd,F_IS_NS_55_64_Crt_III_and_IV,F_IS_NS_55_64_Crt_I_and_II,F_IS_NS_55_64_Lev_of_ed_NS,F_IS_NS_55_64_Tot,F_IS_NS_65ov_PtgDe_GdDp_GdCt,F_IS_NS_65ov_BDL,F_IS_NS_65ov_AdDip_and_DipL,F_IS_NS_65ov_CL_nfd,F_IS_NS_65ov_Ct_III_IV,F_IS_NS_65ov_Ct_I_II,F_IS_NS_65ov_Lev_of_ed_NS,F_IS_NS_65ov_Tot,F_IS_NS_Tot_PgDe_GdDp_GdCtL,F_IS_NS_Tot_BDL,F_IS_NS_Tot_ADip_DipL,F_IS_NS_Tot_CL_nfd,F_IS_NS_Tot_Ct_III_and_IV_L,F_IS_NS_Tot_Ct_I_and_II_L,F_IS_NS_Tot_Lev_of_ed_NS,F_IS_NS_Tot_Tot,F_T_15_19_PD_GD_GCL,F_T_15_19_BDL,F_T_15_19_ADip_DipL,F_T_15_19_CL_nfd,F_T_15_19_Ct_III_IV,F_T_15_19_Ct_I_II,F_T_15_19_LoE_NS,F_T_15_19_Tot,F_T_20_24_PD_GD_GCL,F_T_20_24_BDL,F_T_20_24_ADip_DipL,F_T_20_24_CL_nfd,F_T_20_24_Ct_III_IV,F_T_20_24_Ct_I_II,F_T_20_24_LoE_NS,F_T_20_24_Tot,F_T_25_34_PD_GD_GCL,F_T_25_34_BDL,F_T_25_34_ADip_DipL,F_T_25_34_CL_nfd,F_T_25_34_Ct_III_IV,F_T_25_34_Ct_I_II,F_T_25_34_LoE_NS,F_T_25_34_Tot,F_T_35_44_PD_GD_GCL,F_T_35_44_BDL,F_T_35_44_ADip_DipL,F_T_35_44_CL_nfd,F_T_35_44_Ct_III_IV,F_T_35_44_Ct_I_II,F_T_35_44_LoE_NS,F_T_35_44_Tot,F_T_45_54_PD_GD_GCL,F_T_45_54_BDL,F_T_45_54_ADip_DipL,F_T_45_54_CL_nfd,F_T_45_54_Ct_III_IV,F_T_45_54_Ct_I_II,F_T_45_54_LoE_NS,F_T_45_54_Tot,F_T_55_64_PD_GD_GCL,F_T_55_64_BDL,F_T_55_64_ADip_DipL,F_T_55_64_CL_nfd,F_T_55_64_Ct_III_IV,F_T_55_64_Ct_I_II,F_T_55_64_LoE_NS,F_T_55_64_Tot,F_T_65ov_PtgdDe_GdDp_GdCt,F_T_65ov_BDL,F_T_65ov_ADip_DipL,F_T_65ov_CL_nfd,F_T_65ov_Ct_III_IV,F_T_65ov_Ct_I_II,F_T_65ov_LoE_NS,F_T_65ov_Tot,F_T_Tot_PD_GD_GCL,F_T_Tot_BDL,F_T_Tot_ADip_DipL,F_T_Tot_CL_nfd,F_T_Tot_Ct_III_IV,F_T_Tot_Ct_I_II,F_T_Tot_LoE_NS,F_T_Tot_Tot,P_Ind_15_19_PD_GD_GCL,P_Ind_15_19_BDL,P_Ind_15_19_ADip_DipL,P_Ind_15_19_CL_nfd,P_Ind_15_19_Ct_III_IV,P_Ind_15_19_Ct_I_II,P_Ind_15_19_LoE_NS,P_Ind_15_19_Tot,P_Ind_20_24_PD_GD_GCL,P_Ind_20_24_BDL,P_Ind_20_24_ADip_DipL,P_Ind_20_24_CL_nfd,P_Ind_20_24_Ct_III_IV,P_Ind_20_24_Ct_I_II,P_Ind_20_24_LoE_NS,P_Ind_20_24_Tot,P_Ind_25_34_PD_GD_GCL,P_Ind_25_34_BDL,P_Ind_25_34_ADip_DipL,P_Ind_25_34_CL_nfd,P_Ind_25_34_Ct_III_IV,P_Ind_25_34_Ct_I_II,P_Ind_25_34_LoE_NS,P_Ind_25_34_Tot,P_Ind_35_44_PD_GD_GCL,P_Ind_35_44_BDL,P_Ind_35_44_ADip_DipL,P_Ind_35_44_CL_nfd,P_Ind_35_44_Ct_III_IV,P_Ind_35_44_Ct_I_II,P_Ind_35_44_LoE_NS,P_Ind_35_44_Tot,P_Ind_45_54_PD_GD_GCL,P_Ind_45_54_BDL,P_Ind_45_54_ADip_DipL,P_Ind_45_54_CL_nfd,P_Ind_45_54_Ct_III_IV,P_Ind_45_54_Ct_I_II,P_Ind_45_54_LoE_NS,P_Ind_45_54_Tot,P_Ind_55_64_PD_GD_GCL,P_Ind_55_64_BDL,P_Ind_55_64_ADip_DipL,P_Ind_55_64_CL_nfd,P_Ind_55_64_Ct_III_IV,P_Ind_55_64_Ct_I_II,P_Ind_55_64_LoE_NS,P_Ind_55_64_Tot,P_Ind_65ov_PtgdDe_GdDp_GdCt,P_Ind_65ov_BDL,P_Ind_65ov_ADip_DipL,P_Ind_65ov_CL_nfd,P_Ind_65ov_Ct_III_IV,P_Ind_65ov_Ct_I_II,P_Ind_65ov_LoE_NS,P_Ind_65ov_Tot,P_Ind_Tot_PD_GD_GCL,P_Ind_Tot_BDL,P_Ind_Tot_ADip_DipL,P_Ind_Tot_CL_nfd,P_Ind_Tot_Ct_III_IV,P_Ind_Tot_Ct_I_II,P_Ind_Tot_LoE_NS,P_Ind_Tot_Tot,P_NonI_15_19_PtgdDe_GdDp_GdCt,P_NonI_15_19_BDL,P_NonI_15_19_ADip_DipL,P_NonI_15_19_CL_nfd,P_NonI_15_19_Ct_III_IV,P_NonI_15_19_Ct_I_II,P_NonI_15_19_LoE_NS,P_NonI_15_19_Tot,P_NonI_20_24_PtgdDe_GdDp_GdCt,P_NonI_20_24_BDL,P_NonI_20_24_ADip_DipL,P_NonI_20_24_CL_nfd,P_NonI_20_24_Ct_III_IV,P_NonI_20_24_Ct_I_II,P_NonI_20_24_LoE_NS,P_NonI_20_24_Tot,P_NonI_25_34_PtgdDe_GdDp_GdCt,P_NonI_25_34_BDL,P_NonI_25_34_ADip_DipL,P_NonI_25_34_CL_nfd,P_NonI_25_34_Ct_III_IV,P_NonI_25_34_Ct_I_II,P_NonI_25_34_LoE_NS,P_NonI_25_34_Tot
ILOC10100101,0,0,0,0,0,0,4,4,0,0,0,0,0,0,11,11,0,0,0,0,0,0,13,13,0,0,0,0,0,0,11,11,0,0,0,0,0,0,11,11,0,0,0,0,0,0,56,56,0,0,0,0,4,0,14,18,0,7,6,0,6,0,6,25,4,33,9,3,22,6,13,90,5,32,12,4,30,9,22,114,4,9,23,9,19,0,25,89,6,6,7,0,15,5,21,60,0,10,6,5,5,0,59,85,19,97,63,21,101,20,160,481,0,0,0,0,4,0,3,7,0,0,3,0,8,0,7,18,0,0,0,0,17,0,3,20,0,0,0,0,8,3,9,20,0,0,0,3,0,0,4,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,3,3,37,3,33,79,0,0,0,0,0,0,15,15,0,7,3,3,26,4,3,46,8,51,13,3,46,6,6,133
ILOC10100201,0,0,3,0,3,0,13,19,0,0,0,0,3,0,22,25,0,0,0,0,0,3,24,27,0,0,3,0,3,0,20,26,0,0,0,0,0,0,23,23,0,0,6,0,9,3,133,151,0,0,0,0,27,13,50,90,3,50,26,16,102,33,34,264,34,217,87,22,221,44,41,666,41,161,80,47,175,28,74,606,40,128,92,36,172,21,92,581,29,77,57,25,65,10,107,370,7,37,38,15,10,6,200,313,154,670,380,161,772,155,598,2890,0,0,0,0,15,0,23,38,0,3,4,0,31,9,16,63,3,19,11,4,66,11,13,127,3,14,13,8,37,3,17,95,6,11,8,5,34,3,14,81,3,3,3,0,10,0,15,34,0,0,0,0,3,0,16,19,15,50,39,17,196,26,114,457,0,0,0,3,42,19,47,111,3,55,34,20,188,30,33,363,43,273,106,27,471,56,54,1030
ILOC10100202,0,0,0,0,3,3,10,16,0,0,0,0,0,0,10,10,0,0,0,0,0,0,18,18,0,0,0,0,0,0,5,5,0,0,0,0,0,0,20,20,0,0,0,0,3,3,75,81,0,0,0,0,5,0,17,22,3,16,9,0,24,5,14,71,11,67,20,3,55,17,20,193,12,16,13,3,38,7,22,111,9,26,20,6,28,3,37,129,9,16,13,3,12,0,23,76,0,12,13,3,5,3,90,126,44,153,88,18,167,35,223,728,0,0,0,0,0,0,7,7,0,0,0,0,13,0,0,13,0,3,0,4,17,3,3,30,0,0,3,0,11,3,3,20,3,4,6,0,3,0,3,19,0,3,0,0,3,0,3,9,0,0,0,0,0,0,9,9,3,10,9,4,47,6,28,107,0,0,0,0,9,3,16,28,3,25,9,0,45,9,10,101,25,86,24,6,97,14,15,267
ILOC10100203,0,0,0,0,0,0,18,18,0,0,0,0,0,0,11,11,0,0,0,0,0,0,13,13,0,0,0,0,3,0,10,13,0,4,0,0,0,0,25,29,0,4,0,0,3,0,94,101,0,0,0,3,17,5,23,48,5,49,14,4,63,10,24,169,21,183,42,13,81,22,39,401,30,102,47,18,76,20,36,329,34,70,52,24,68,13,52,313,24,40,38,14,43,6,53,218,10,43,38,16,19,5,150,281,124,487,231,92,367,81,377,1759,0,0,0,0,4,0,9,13,0,3,0,0,19,3,7,32,0,5,7,3,18,4,10,47,5,3,6,3,12,5,9,43,0,3,6,3,12,0,14,38,0,0,3,0,3,0,3,9,0,0,3,0,0,0,12,15,5,14,25,9,68,12,64,197,0,0,0,3,27,8,25,63,5,57,17,8,132,13,18,250,40,246,58,17,232,24,27,644
ILOC10100204,0,0,0,0,3,0,16,19,0,0,0,0,3,0,27,30,0,0,3,0,3,0,26,32,0,0,0,0,3,0,15,18,0,0,0,0,0,0,25,25,0,0,3,0,12,0,129,144,0,0,0,3,9,5,31,48,0,9,18,7,37,7,13,91,11,76,24,6,64,15,28,224,18,104,65,16,101,12,48,364,35,74,60,19,99,19,72,378,32,49,58,10,40,12,70,271,8,24,30,8,13,3,78,164,104,336,255,69,363,73,340,1540,0,0,0,0,0,0,10,10,0,0,0,0,3,0,0,3,0,0,0,0,3,0,6,9,0,3,6,4,16,0,3,32,5,0,0,0,10,0,0,15,0,0,0,0,4,0,4,8,0,0,0,0,3,0,3,6,5,3,6,4,39,0,26,83,0,0,0,6,24,8,30,68,0,13,21,10,86,11,15,156,16,106,32,10,167,23,17,371
ILOC10100205,0,0,0,0,0,0,12,12,0,0,0,0,0,0,5,5,0,0,0,0,0,0,14,14,0,0,0,0,0,0,7,7,0,0,0,0,0,0,26,26,0,0,0,0,0,0,73,73,0,0,0,0,7,6,32,45,0,19,5,6,62,8,20,120,14,90,24,3,90,16,36,273,12,62,41,18,79,16,46,274,14,32,40,19,61,13,59,238,8,31,32,14,37,11,41,174,6,13,21,12,14,3,95,164,54,247,163,72,350,73,329,1288,0,0,0,0,6,0,22,28,0,3,0,5,20,0,14,42,0,5,6,0,26,0,13,50,3,3,3,4,19,6,23,61,3,7,3,6,18,0,15,52,0,3,3,0,7,0,9,22,0,3,0,0,3,0,4,10,6,24,15,15,99,6,100,265,0,0,0,0,8,6,35,49,0,16,9,6,102,17,14,164,21,117,37,8,196,24,30,433
ILOC10100301,0,0,0,0,0,0,7,7,0,0,0,0,0,0,8,8,0,0,0,0,0,0,14,14,0,0,0,0,0,0,11,11,0,0,0,0,0,0,34,34,0,0,0,0,0,0,80,80,0,3,0,0,3,3,15,24,0,8,4,7,18,0,9,46,8,42,7,3,29,10,15,114,8,36,29,8,46,7,23,157,6,31,26,12,45,3,45,168,9,21,23,8,20,6,43,130,5,12,23,4,13,4,104,165,36,153,112,42,174,33,254,804,0,0,0,0,3,3,3,9,0,0,0,0,8,0,3,11,0,3,0,3,8,0,4,18,0,3,3,3,11,3,6,29,0,6,0,0,6,0,3,15,0,3,3,0,0,3,8,17,0,0,0,0,3,0,7,10,0,15,6,6,39,9,34,109,0,3,0,0,9,3,20,35,0,11,4,7,43,0,9,74,8,47,19,0,83,14,13,184
ILOC10100401,0,0,0,0,0,0,10,10,0,0,0,0,0,0,8,8,0,3,0,0,0,0,3,6,0,0,0,0,3,0,6,9,0,0,0,0,0,0,11,11,0,3,0,0,3,0,46,52,0,0,0,3,4,3,18,28,3,11,0,3,15,3,4,39,4,32,18,3,43,4,19,123,7,31,21,6,39,4,19,127,4,17,16,12,34,6,28,117,3,14,23,13,24,3,27,107,0,15,11,3,4,0,91,124,21,120,89,43,163,23,206,665,0,0,0,3,3,5,14,25,0,0,0,3,10,3,0,16,0,0,0,3,18,0,10,31,0,6,3,3,16,4,8,40,0,4,4,3,17,0,5,33,0,0,0,0,0,0,14,14,0,0,0,0,0,0,4,4,0,10,7,15,64,12,55,163,0,0,0,0,8,3,9,20,3,11,0,0,37,0,4,55,4,53,28,3,85,4,7,184
ILOC10100402,0,0,0,0,0,0,10,10,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,3,0,0,0,0,0,3,0,3,0,0,0,0,31,34,0,0,0,0,3,0,14,17,0,0,0,0,10,0,0,10,0,30,10,0,12,0,18,70,5,43,19,6,17,6,9,105,9,15,20,5,19,3,11,82,8,19,12,7,10,6,24,86,0,6,10,5,3,3,20,47,22,113,71,23,74,18,96,417,0,0,0,0,3,0,3,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,3,3,3,6,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,12,6,9,36,0,0,0,0,0,0,8,8,0,4,0,0,21,0,0,25,7,40,10,0,37,0,5,99
ILOC10100403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,3,0,6,9,0,0,0,0,3,0,4,7,0,0,0,0,4,0,0,4,0,0,3,3,6,0,6,18,0,8,3,0,5,0,0,16,0,3,9,3,3,3,3,24,0,3,0,0,6,0,9,18,0,3,7,0,6,0,21,37,0,17,22,6,33,3,43,124,0,0,0,0,0,0,7,7,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,6,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,6,0,0,3,0,6,0,6,15,0,0,0,0,0,0,3,3,0,0,6,3,15,3,16,43,0,0,0,0,3,0,0,3,0,5,0,0,4,0,0,9,0,0,6,0,8,0,6,20
