region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
LGA10050,5011,10053,48,42,90,5191,5160,10351,44,50,94,1552,1562,3114,26,20,46,1622,1632,3254,43,54,97,1069,1146,2215,23,30,53,1135,1230,2365,0,0,0,85,89,174,8,4,12,93,93,186,421,443,864,16961,18174,35135,691,651,1342,18073,19268,37341,0,0,0,3,0,3,0,0,0,3,0,3,76,84,160,2892,3254,6146,231,186,417,3199,3524,6723,497,527,1024,19856,21428,41284,922,837,1759,21275,22792,44067,8,0,8,323,539,862,34,46,80,365,585,950
LGA10110,2025,4014,17,24,41,2114,2193,4307,81,90,171,584,593,1177,14,4,18,679,687,1366,60,44,104,383,397,780,6,8,14,449,449,898,4,3,7,37,36,73,0,0,0,41,39,80,540,625,1165,7809,8452,16261,327,438,765,8676,9515,18191,0,0,0,0,0,0,0,0,0,0,0,0,83,94,177,1039,1179,2218,141,162,303,1263,1435,2698,623,719,1342,8848,9631,18479,468,600,1068,9939,10950,20889,24,41,65,687,739,1426,51,45,96,762,825,1587
LGA10150,2089,4021,29,26,55,1980,2141,4121,5,8,13,578,642,1220,6,7,13,589,657,1246,6,6,12,855,1145,2000,12,15,27,873,1166,2039,0,0,0,202,326,528,7,11,18,209,337,546,33,48,81,8010,8477,16487,392,379,771,8435,8904,17339,0,0,0,0,0,0,0,0,0,0,0,0,63,57,120,9435,10055,19490,781,688,1469,10279,10800,21079,96,105,201,17445,18532,35977,1173,1067,2240,18714,19704,38418,14,4,18,561,711,1272,93,130,223,668,845,1513
LGA10200,3434,7057,57,47,104,3704,3509,7213,10,8,18,1192,1164,2356,21,17,38,1223,1189,2412,7,10,17,1837,2343,4180,42,32,74,1886,2385,4271,0,0,0,977,1335,2312,23,27,50,1000,1362,2362,65,80,145,18058,17814,35872,1104,935,2039,19227,18829,38056,0,0,0,0,0,0,0,0,0,0,0,0,39,42,81,15041,14208,29249,1538,1184,2722,16618,15434,32052,104,122,226,33099,32022,65121,2642,2119,4761,35845,34263,70108,147,60,207,1226,406,1632,41,18,59,1414,484,1898
LGA10250,5173,9715,25,42,67,4683,5347,10030,38,65,103,1368,1495,2863,17,19,36,1423,1579,3002,39,44,83,958,978,1936,11,18,29,1008,1040,2048,8,3,11,27,30,57,0,0,0,35,33,68,405,473,878,13057,13711,26768,412,395,807,13874,14579,28453,0,0,0,7,4,11,0,0,0,7,4,11,112,145,257,3403,4057,7460,160,193,353,3675,4395,8070,517,618,1135,16467,17772,34239,572,588,1160,17556,18978,36534,4,4,8,192,379,571,15,8,23,211,391,602
LGA10300,197,414,0,3,3,226,211,437,14,8,22,107,73,180,0,0,0,121,81,202,11,7,18,127,86,213,0,0,0,138,93,231,0,0,0,5,16,21,0,0,0,5,16,21,59,74,133,887,853,1740,76,48,124,1022,975,1997,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,36,36,72,8,5,13,50,41,91,65,74,139,923,889,1812,84,53,137,1072,1016,2088,0,0,0,19,19,38,0,0,0,19,19,38
LGA10350,15245,30312,188,154,342,15379,15580,30959,77,62,139,4219,4765,8984,49,42,91,4345,4869,9214,29,47,76,4852,5964,10816,70,95,165,4951,6106,11057,5,4,9,1549,2304,3853,27,40,67,1581,2348,3929,458,560,1018,59440,60831,120271,3089,2828,5917,62987,64219,127206,0,0,0,27,26,53,0,0,0,27,26,53,149,148,297,21567,22975,44542,1775,1745,3520,23491,24868,48359,607,708,1315,81034,83832,164866,4864,4573,9437,86505,89113,175618,7,0,7,946,1069,2015,142,131,273,1095,1200,2295
LGA10470,4198,8582,43,35,78,4544,4374,8918,77,84,161,1219,1230,2449,12,9,21,1308,1323,2631,40,41,81,767,683,1450,15,14,29,822,738,1560,3,0,3,46,39,85,0,5,5,49,44,93,554,617,1171,14177,14601,28778,585,576,1161,15316,15794,31110,0,0,0,3,4,7,0,0,0,3,4,7,59,99,158,1407,1571,2978,170,156,326,1636,1826,3462,613,716,1329,15587,16176,31763,755,732,1487,16955,17624,34579,188,17,205,1052,624,1676,25,30,55,1265,671,1936
LGA10550,3968,7910,35,37,72,4063,4083,8146,52,42,94,1221,1123,2344,9,21,30,1282,1186,2468,35,39,74,910,781,1691,13,15,28,958,835,1793,4,3,7,49,21,70,0,0,0,53,24,77,369,386,755,11676,12095,23771,440,454,894,12485,12935,25420,0,0,0,31,16,47,4,5,9,35,21,56,44,45,89,1603,1731,3334,77,85,162,1724,1861,3585,413,431,844,13310,13842,27152,521,544,1065,14244,14817,29061,3,5,8,127,234,361,18,42,60,148,281,429
LGA10600,1527,3040,11,13,24,1573,1567,3140,16,20,36,515,508,1023,5,3,8,536,531,1067,15,13,28,326,301,627,9,6,15,350,320,670,0,0,0,17,12,29,0,0,0,17,12,29,149,149,298,4912,5319,10231,135,126,261,5196,5594,10790,0,0,0,14,14,28,3,0,3,17,14,31,20,15,35,336,329,665,10,13,23,366,357,723,169,164,333,5262,5662,10924,148,139,287,5579,5965,11544,3,3,6,47,77,124,0,0,0,50,80,130
