region_id,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,InfPrim_Indig_M,InfPrim_Indig_F,InfPrim_Indig_P,InfPrim_NonInd_M,InfPrim_NonInd_F,InfPrim_NonInd_P,InfPrim_Indig_st_nsM,InfPrim_Indig_st_nsF,InfPrim_Indig_st_nsP,InfPrim_TotM,InfPrim_TotF,InfPrim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TFEI_FT_St_15_24_In_M,TFEI_FT_St_15_24_Id_F,TFEI_FT_St_15_24_Id_P,TFEI_FT_St_15_24_No_Id_M,TFEI_FT_St_15_24_No_Id_F,TFEI_FT_St_15_24_No_I_P,TFEI_FT_St_15_24_I_s_n_s_M,TFEI_FT_St_15_24_I_s_n_s_F,TFEI_FT_St_15_24_I_s_n_s_P,TFEI_FT_St_15_24_TotM,TFEI_FT_St_15_24_TotF,TFEI_FT_St_15_24_TotP,TFEI_FT_St_25over_Id_M,TFEI_FT_St_25over_Id_F,TFEI_FT_St_25over_Id_P,TFEI_FT_St_25ov_Non_Id_M,TFEI_FT_St_25ov_Non_Id_F,TFEI_FT_St_25ov_Non_Id_P,TFEI_FT_St_25ov_I_s_n_st_M,TFEI_FT_St_25ov_I_s_n_st_F,TFEI_FT_St_25ov_I_s_n_st_P,TFEI_FT_St_25ov_TotM,TFEI_FT_St_25ov_TotF,TFEI_FT_St_25ov_TotP,TFEI_PT_St_15_24_Id_M,TFEI_PT_St_15_24_Id_F,TFEI_PT_St_15_24_Id_P,TFEI_PT_St_15_24_Non_Id_M,TFEI_PT_St_15_24_No_Id_F,TFEI_PT_St_15_24_No_Id_P,TFEI_PT_St_15_24_I_s_n_s_M,TFEI_PT_St_15_24_I_s_n_s_F,TFEI_PT_St_15_24_I_s_n_s_P,TFEI_PT_St_15_24_TotM,TFEI_PT_St_15_24_TotF,TFEI_PT_St_15_24_TotP,TFEI_PT_St_25ov_Id_M,TFEI_PT_St_25ov_Id_F,TFEI_PT_St_25ov_Id_P,TFEI_PT_St_25ov_Non_Id_M,TFEI_PT_St_25ov_Non_Id_F,TFEI_PT_St_25ov_Non_Id_P,TFEI_PT_St_25ov_I_s_n_s_M,TFEI_PT_St_25ov_I_s_n_s_F,TFEI_PT_St_25ov_Id_s_n_s_P,TFEI_PT_St_25ov_TotM,TFEI_PT_St_25ov_TotF,TFEI_PT_St_25ov_TotP,TFEI_FT_PT_s_s_nt_st_Id_M,TFEI_FT_PT_s_s_nt_st_Id_F,TFEI_FT_PT_s_s_nt_st_Id_P,TFEI_FT_PT_s_s_nt_s_N_I_M,TFEI_FT_PT_s_s_n_st_N_I_F,TFEI_FT_PT_s_s_n_s_No_Id_P,TFEI_F_P_s_s_n_s_I_s_n_s_M,TFEI_F_P_s_s_n_s_I_s_n_s_F,TFEI_F_P_s_s_n_s_I_s_n_s_P,TFEI_FT_PT_s_s_nt_st_To_M,TFEI_FT_PT_s_s_nt_st_To_F,TFEI_FT_PT_s_s_nt_st_To_P,TFEI_Tot_Indig_M,TFEI_Tot_Indig_F,TFEI_Tot_Indig_P,TFEI_Tot_NonInd_M,TFEI_Tot_NonInd_F,TFEI_Tot_NonInd_P,TFEI_Tot_IndSt_nsM,TFEI_Tot_IndSt_nsF,TFEI_Tot_IndSt_nsP,TFEI_Tot_TotM,TFEI_Tot_TotF,TFEI_Tot_TotP,UT_FT_S_15_24_Ind_M,UT_FT_S_15_24_Ind_F,UT_FT_S_15_24_Ind_P,UT_FT_S_15_24_NonInd_M,UT_FT_S_15_24_NonInd_F,UT_FT_S_15_24_NonInd_P,UT_FT_S_15_24_In_st_nsM,UT_FT_S_15_24_In_st_nsF,UT_FT_S_15_24_In_st_nsP,UT_FT_S_15_24_TotM,UT_FT_S_15_24_TotF,UT_FT_S_15_24_TotP,UT_FT_S_25_over_Ind_M,UT_FT_S_25_over_Ind_F,UT_FT_S_25_over_Ind_P,UT_FT_S_25ov_NonInd_M,UT_FT_S_25ov_NonInd_F,UT_FT_S_25ov_NonInd_P,UT_FT_S_25ov_IndSt_nsM,UT_FT_S_25ov_IndSt_nsF,UT_FT_S_25ov_IndSt_nsP,UT_FT_S_25ov_TotM,UT_FT_S_25ov_TotF,UT_FT_S_25ov_TotP,UT_PT_S_15_24_Ind_M,UT_PT_S_15_24_Ind_F,UT_PT_S_15_24_Ind_P,UT_PT_S_15_24_No_Ind_M,UT_PT_S_15_24_NonInd_F,UT_PT_S_15_24_NonInd_P,UT_PT_S_15_24_In_st_nsM,UT_PT_S_15_24_In_st_nsF,UT_PT_S_15_24_In_st_nsP,UT_PT_S_15_24_TotM,UT_PT_S_15_24_TotF,UT_PT_S_15_24_TotP,UT_PT_S_25over_In_M,UT_PT_S_25over_In_F,UT_PT_S_25over_In_P,UT_PT_S_25over_Non_In_M,UT_PT_S_25over_Non_In_F,UT_PT_S_25over_Non_In_P,UT_PT_S_25ov_In_s_nsM,UT_PT_S_25ov_In_s_nsF,UT_PT_S_25ov_In_s_nsP,UT_PT_S_25over_TotM,UT_PT_S_25over_TotF,UT_PT_S_25over_TotP,UT_FT_PT_stud_st_ns_Ind_M,UT_FT_PT_stud_st_ns_Ind_F,UT_FT_PT_stud_st_ns_Ind_P,UT_FT_PT_stu_st_ns_NonInd_M,UT_FT_PT_stu_st_ns_NonInd_F,UT_FT_PT_stu_st_ns_NonInd_P,UT_FT_PT_st_st_ns_In_st_nsM,UT_FT_PT_st_st_ns_In_st_nsF,UT_FT_PT_st_st_ns_In_st_nsP,UT_FT_PT_stu_st_ns_TotM,UT_FT_PT_stu_st_ns_TotF,UT_FT_PT_stu_st_ns_TotP,UT_Tot_Indig_M,UT_Tot_Indig_F,UT_Tot_Indig_P,UT_Tot_NonInd_M,UT_Tot_NonInd_F,UT_Tot_NonInd_P,UT_Tot_IndigStat_nsM,UT_Tot_IndigStat_nsF,UT_Tot_IndigStat_nsP,UT_Tot_TotM,UT_Tot_TotF,UT_Tot_TotP,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF
LGA10050,21,11,32,412,386,798,7,7,14,440,404,844,96,77,173,1794,1816,3610,30,29,59,1920,1922,3842,48,43,91,1553,1587,3140,21,16,37,1622,1646,3268,5,8,13,117,135,252,0,0,0,122,143,265,0,6,6,80,108,188,0,0,0,80,114,194,5,7,12,257,181,438,3,0,3,265,188,453,3,8,11,282,442,724,3,3,6,288,453,741,0,0,0,9,12,21,0,0,0,9,12,21,13,29,42,745,878,1623,6,3,9,764,910,1674,0,4,4,248,657,905,0,3,3,248,664,912,3,7,10,88,147,235,0,0,0,91,154,245,0,0,0,46,74,120,0,0,0,46,74,120,0,6,6,145,295,440,0,0,0,145,301,446,0,0,0,3,8,11,0,0,0,3,8,11,3,17,20,530,1181,1711,0,3,3,533,1201,1734,4,3,7,100,146,246,3,3,6,107,152,259,61,60,121,651,781,1432,841,715
LGA10110,33,31,64,192,174,366,5,4,9,230,209,439,106,99,205,896,835,1731,20,10,30,1022,944,1966,64,93,157,851,820,1671,15,8,23,930,921,1851,3,13,16,53,56,109,0,0,0,56,69,125,5,11,16,37,51,88,0,0,0,42,62,104,5,3,8,89,67,156,3,0,3,97,70,167,7,14,21,100,149,249,0,0,0,107,163,270,0,0,0,5,7,12,0,0,0,5,7,12,20,41,61,284,330,614,3,0,3,307,371,678,12,40,52,685,990,1675,3,6,9,700,1036,1736,3,5,8,261,224,485,0,0,0,264,229,493,3,0,3,59,63,122,0,0,0,62,63,125,6,9,15,169,261,430,0,3,3,175,273,448,0,0,0,7,7,14,0,0,0,7,7,14,24,54,78,1181,1545,2726,3,9,12,1208,1608,2816,3,4,7,34,60,94,0,0,0,37,64,101,57,57,114,260,308,568,501,576
LGA10150,3,3,6,275,244,519,3,4,7,281,251,532,12,12,24,1238,1148,2386,20,13,33,1270,1173,2443,10,9,19,1006,962,1968,15,7,22,1031,978,2009,0,0,0,93,96,189,0,0,0,93,96,189,0,0,0,93,150,243,3,4,7,96,154,250,4,0,4,83,56,139,0,0,0,87,56,143,3,6,9,167,236,403,3,3,6,173,245,418,0,0,0,3,3,6,0,0,0,3,3,6,7,6,13,439,541,980,6,7,13,452,554,1006,7,3,10,770,820,1590,8,9,17,785,832,1617,3,5,8,347,333,680,0,4,4,350,342,692,0,0,0,72,80,152,0,0,0,72,80,152,0,3,3,289,433,722,3,3,6,292,439,731,0,0,0,11,14,25,0,0,0,11,14,25,10,11,21,1489,1680,3169,11,16,27,1510,1707,3217,0,0,0,223,301,524,7,3,10,230,304,534,5,3,8,485,524,1009,1075,963
LGA10200,0,3,3,478,462,940,16,13,29,494,478,972,17,13,30,2554,2365,4919,57,70,127,2628,2448,5076,10,12,22,2321,2223,4544,49,43,92,2380,2278,4658,3,0,3,370,294,664,8,7,15,381,301,682,0,3,3,257,309,566,3,6,9,260,318,578,0,0,0,199,106,305,9,0,9,208,106,314,3,0,3,360,434,794,3,10,13,366,444,810,0,0,0,25,19,44,4,0,4,29,19,48,6,3,9,1211,1162,2373,27,23,50,1244,1188,2432,0,3,3,1138,1219,2357,16,12,28,1154,1234,2388,0,3,3,597,445,1042,10,0,10,607,448,1055,0,0,0,144,125,269,0,3,3,144,128,272,0,3,3,327,326,653,0,3,3,327,332,659,0,0,0,22,11,33,3,0,3,25,11,36,0,9,9,2228,2126,4354,29,18,47,2257,2153,4410,0,3,3,625,647,1272,14,8,22,639,658,1297,155,60,215,2546,1475,4021,2166,1629
LGA10250,16,17,33,334,300,634,3,6,9,353,323,676,73,94,167,1491,1425,2916,13,21,34,1577,1540,3117,66,75,141,1269,1250,2519,15,16,31,1350,1341,2691,3,6,9,29,37,66,0,0,0,32,43,75,3,6,9,34,78,112,0,0,0,37,84,121,3,3,6,124,73,197,0,5,5,127,81,208,3,12,15,168,297,465,0,3,3,171,312,483,5,3,8,5,3,8,0,0,0,10,6,16,17,30,47,360,488,848,0,8,8,377,526,903,5,6,11,127,200,327,0,3,3,132,209,341,0,8,8,96,122,218,0,0,0,96,130,226,0,0,0,15,40,55,3,0,3,18,40,58,4,3,7,116,256,372,0,0,0,120,259,379,0,0,0,0,0,0,0,0,0,0,0,0,9,17,26,354,618,972,3,3,6,366,638,1004,3,0,3,61,123,184,3,3,6,67,126,193,47,55,102,504,614,1118,558,488
LGA10300,0,5,5,28,20,48,0,0,0,28,25,53,9,6,15,87,78,165,3,3,6,99,87,186,0,7,7,75,49,124,0,0,0,75,56,131,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,3,3,0,0,0,0,3,3,3,0,3,5,5,10,0,0,0,8,5,13,0,0,0,0,15,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,23,32,0,0,0,12,23,35,0,0,0,8,4,12,0,0,0,8,4,12,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,13,21,0,0,0,8,17,25,0,0,0,0,14,14,0,0,0,0,14,14,9,10,19,42,48,90,87,47
LGA10350,28,13,41,1615,1475,3090,43,27,70,1686,1515,3201,85,92,177,7767,7337,15104,182,135,317,8034,7564,15598,85,84,169,6367,6216,12583,117,117,234,6569,6417,12986,0,11,11,574,508,1082,5,8,13,579,527,1106,5,3,8,280,565,845,4,3,7,289,571,860,9,4,13,810,318,1128,13,4,17,832,326,1158,5,9,14,617,895,1512,5,9,14,627,913,1540,0,0,0,37,22,59,7,5,12,44,27,71,19,27,46,2318,2308,4626,34,29,63,2371,2364,4735,3,11,14,2052,2532,4584,20,26,46,2075,2569,4644,3,5,8,424,538,962,8,0,8,435,543,978,0,4,4,263,299,562,3,0,3,266,303,569,8,0,8,500,644,1144,5,5,10,513,649,1162,0,3,3,30,38,68,3,3,6,33,44,77,14,23,37,3269,4051,7320,39,34,73,3322,4108,7430,5,6,11,519,824,1343,6,12,18,530,842,1372,45,37,82,3736,3604,7340,3863,3564
LGA10470,29,32,61,369,303,672,5,0,5,403,335,738,121,107,228,1594,1493,3087,24,14,38,1739,1614,3353,112,85,197,1353,1237,2590,28,14,42,1493,1336,2829,8,6,14,46,80,126,0,0,0,54,86,140,0,10,10,25,58,83,0,0,0,25,68,93,10,7,17,224,102,326,0,0,0,234,109,343,4,9,13,182,234,416,5,3,8,191,246,437,0,3,3,3,3,6,0,0,0,3,6,9,22,35,57,480,477,957,5,3,8,507,515,1022,11,21,32,544,791,1335,0,0,0,555,812,1367,0,8,8,66,110,176,0,0,0,66,118,184,0,5,5,49,85,134,0,0,0,49,90,139,4,3,7,152,301,453,0,0,0,156,304,460,0,0,0,3,5,8,0,3,3,3,8,11,15,37,52,814,1292,2106,0,3,3,829,1332,2161,3,5,8,47,100,147,4,3,7,54,108,162,199,67,266,1013,555,1568,735,691
LGA10550,11,13,24,243,226,469,0,3,3,254,242,496,84,78,162,1110,1087,2197,13,31,44,1207,1196,2403,62,59,121,1059,1044,2103,10,10,20,1131,1113,2244,6,3,9,35,46,81,0,0,0,41,49,90,0,3,3,11,28,39,0,0,0,11,31,42,6,6,12,129,72,201,3,0,3,138,78,216,0,4,4,99,233,332,4,0,4,103,237,340,5,0,5,7,0,7,0,0,0,12,0,12,17,16,33,281,379,660,7,0,7,305,395,700,0,6,6,34,59,93,0,0,0,34,65,99,0,3,3,24,60,84,0,0,0,24,63,87,0,0,0,6,11,17,0,0,0,6,11,17,0,4,4,56,170,226,0,0,0,56,174,230,0,0,0,3,3,6,0,0,0,3,3,6,0,13,13,123,303,426,0,0,0,123,316,439,5,0,5,38,84,122,0,4,4,43,88,131,40,52,92,425,530,955,498,482
LGA10600,8,10,18,117,105,222,6,0,6,131,115,246,38,26,64,515,499,1014,7,12,19,560,537,1097,27,25,52,446,464,910,5,6,11,478,495,973,3,3,6,15,17,32,0,0,0,18,20,38,0,0,0,17,34,51,0,0,0,17,34,51,3,3,6,48,29,77,0,0,0,51,32,83,3,0,3,66,113,179,0,0,0,69,113,182,0,0,0,3,0,3,0,0,0,3,0,3,9,6,15,149,193,342,0,0,0,158,199,357,0,0,0,18,32,50,0,0,0,18,32,50,0,3,3,20,42,62,0,0,0,20,45,65,0,3,3,0,10,10,0,0,0,0,13,13,0,3,3,33,97,130,0,0,0,33,100,133,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,71,181,252,0,0,0,71,190,261,0,0,0,12,42,54,0,0,0,12,42,54,6,8,14,182,197,379,138,99
