region_id,M_0_4_Has_need_for_assist,M_0_4_Does_not_need_assist,M_0_4_Need_for_assistance_ns,M_0_4_Tot,M_5_14_Has_need_for_assist,M_5_14_Does_not_need_assist,M_5_14_Need_for_assistance_ns,M_5_14_Tot,M_15_19_Has_need_for_assist,M_15_19_Does_not_need_assist,M_15_19_Need_for_assist_ns,M_15_19_Tot,M_20_24_Has_need_for_assist,M_20_24_Does_not_need_assist,M_20_24_Need_for_assist_ns,M_20_24_Tot,M_25_34_Has_need_for_assist,M_25_34_Does_not_need_assist,M_25_34_Need_for_assist_ns,M_25_34_Tot,M_35_44_Has_need_for_assist,M_35_44_Does_not_need_assist,M_35_44_Need_for_assist_ns,M_35_44_Tot,M_45_54_Has_need_for_assist,M_45_54_Does_not_need_assist,M_45_54_Need_for_assist_ns,M_45_54_Tot,M_55_64_Has_need_for_assist,M_55_64_Does_not_need_assist,M_55_64_Need_for_assist_ns,M_55_64_Tot,M_65_over_Has_need_for_assist,M_65ov_Does_not_need_assist,M_65_over_Need_for_assist_ns,M_65_over_Tot,M_Tot_Has_need_for_assist,M_Tot_Does_not_need_assist,M_Tot_Need_for_assist_ns,M_Tot_Tot,F_0_4_Has_need_for_assist,F_0_4_Does_not_need_assist,F_0_4_Need_for_assistance_ns,F_0_4_Tot,F_5_14_Has_need_for_assist,F_5_14_Does_not_need_assist,F_5_14_Need_for_assistance_ns,F_5_14_Tot,F_15_19_Has_need_for_assist,F_15_19_Does_not_need_assist,F_15_19_Need_for_assist_ns,F_15_19_Tot,F_20_24_Has_need_for_assist,F_20_24_Does_not_need_assist,F_20_24_Need_for_assist_ns,F_20_24_Tot,F_25_34_Has_need_for_assist,F_25_34_Does_not_need_assist,F_25_34_Need_for_assist_ns,F_25_34_Tot,F_35_44_Has_need_for_assist,F_35_44_Does_not_need_assist,F_35_44_Need_for_assist_ns,F_35_44_Tot,F_45_54_Has_need_for_assist,F_45_54_Does_not_need_assist,F_45_54_Need_for_assist_ns,F_45_54_Tot,F_55_64_Has_need_for_assist,F_55_64_Does_not_need_assist,F_55_64_Need_for_assist_ns,F_55_64_Tot,F_65ov_Has_need_for_assist,F_65ov_Does_not_need_assist,F_65_over_Need_for_assist_ns,F_65_over_Tot,F_Tot_Has_need_for_assist,F_Tot_Does_not_need_assist,F_Tot_Need_for_assist_ns,F_Tot_Tot,P_0_4_Has_need_for_assist,P_0_4_Does_not_need_assist,P_0_4_Need_for_assistance_ns,P_0_4_Tot,P_5_14_Has_need_for_assist,P_5_14_Does_not_need_assist,P_5_14_Need_for_assistance_ns,P_5_14_Tot,P_15_19_Has_need_for_assist,P_15_19_Does_not_need_assist,P_15_19_Need_for_assist_ns,P_15_19_Tot,P_20_24_Has_need_for_assist,P_20_24_Does_not_need_assist,P_20_24_Need_for_assist_ns,P_20_24_Tot,P_25_34_Has_need_for_assist,P_25_34_Does_not_need_assist,P_25_34_Need_for_assist_ns,P_25_34_Tot,P_35_44_Has_need_for_assist,P_35_44_Does_not_need_assist,P_35_44_Need_for_assist_ns,P_35_44_Tot,P_45_54_Has_need_for_assist,P_45_54_Does_not_need_assist,P_45_54_Need_for_assist_ns,P_45_54_Tot,P_55_64_Has_need_for_assist,P_55_64_Does_not_need_assist,P_55_64_Need_for_assist_ns,P_55_64_Tot,P_65_over_Has_need_for_assist,P_65_ov_Does_not_need_assist,P_65_over_Need_for_assist_ns,P_65_over_Tot,P_Tot_Has_need_for_assist,P_Tot_Does_not_need_assist,P_Tot_Need_for_assist_ns,P_Tot_Tot
LGA10050,0,64,16,80,10,132,15,157,3,61,4,68,3,43,3,49,7,50,3,60,0,40,3,43,3,36,4,43,3,26,3,32,5,6,3,14,34,458,54,546,0,67,15,82,7,106,15,128,0,54,3,57,3,50,3,56,0,79,3,82,3,54,5,62,10,37,0,47,3,27,0,30,3,13,3,19,29,487,47,563,0,131,31,162,17,238,30,285,3,115,7,125,6,93,6,105,7,129,6,142,3,94,8,105,13,73,4,90,6,53,3,62,8,19,6,33,63,945,101,1109
LGA10110,3,93,8,104,3,164,10,177,0,80,3,83,5,53,0,58,7,62,0,69,6,56,5,67,3,66,3,72,3,38,0,41,6,18,3,27,36,630,32,698,3,88,8,99,9,163,3,175,4,104,0,108,0,81,5,86,0,101,3,104,4,89,5,98,3,58,3,64,9,43,3,55,6,17,3,26,38,744,33,815,6,181,16,203,12,327,13,352,4,184,3,191,5,134,5,144,7,163,3,173,10,145,10,165,6,124,6,136,12,81,3,96,12,35,6,53,74,1374,65,1513
LGA10150,0,11,0,11,0,20,0,20,0,8,0,8,0,13,4,17,0,17,3,20,0,8,0,8,0,15,0,15,0,7,0,7,4,6,0,10,4,105,7,116,0,13,0,13,0,18,0,18,0,12,0,12,0,11,0,11,0,18,0,18,0,19,0,19,4,14,0,18,0,4,0,4,0,4,0,4,4,113,0,117,0,24,0,24,0,38,0,38,0,20,0,20,0,24,4,28,0,35,3,38,0,27,0,27,4,29,0,33,0,11,0,11,4,10,0,14,8,218,7,233
LGA10200,0,10,3,13,0,18,0,18,0,12,4,16,0,13,25,38,0,14,54,68,0,8,45,53,0,16,13,29,0,8,4,12,6,3,0,9,6,102,148,256,0,16,0,16,0,23,4,27,0,8,0,8,0,13,9,22,0,17,31,48,0,13,15,28,0,13,3,16,5,10,0,15,0,11,0,11,5,124,62,191,0,26,3,29,0,41,4,45,0,20,4,24,0,26,34,60,0,31,85,116,0,21,60,81,0,29,16,45,5,18,4,27,6,14,0,20,11,226,210,447
LGA10250,4,63,4,71,12,117,3,132,3,64,5,72,3,38,3,44,4,52,3,59,7,59,3,69,3,46,3,52,6,27,0,33,6,16,0,22,48,482,24,554,0,66,6,72,6,146,4,156,4,60,0,64,0,48,3,51,0,57,4,61,4,102,3,109,8,62,6,76,6,35,3,44,9,25,3,37,37,601,32,670,4,129,10,143,18,263,7,288,7,124,5,136,3,86,6,95,4,109,7,120,11,161,6,178,11,108,9,128,12,62,3,77,15,41,3,59,85,1083,56,1224
LGA10300,0,8,0,8,0,10,5,15,3,7,0,10,0,5,0,5,0,5,0,5,0,6,0,6,0,5,0,5,0,10,0,10,0,4,0,4,3,60,5,68,0,15,0,15,0,17,0,17,3,4,0,7,0,6,3,9,0,10,0,10,0,10,0,10,0,8,0,8,0,4,0,4,0,3,3,6,3,77,6,86,0,23,0,23,0,27,5,32,6,11,0,17,0,11,3,14,0,15,0,15,0,16,0,16,0,13,0,13,0,14,0,14,0,7,3,10,6,137,11,154
LGA10350,0,69,4,73,7,124,8,139,4,78,5,87,0,45,5,50,7,52,0,59,8,66,3,77,0,55,6,61,8,45,0,53,9,31,0,40,43,565,31,639,3,61,4,68,7,135,7,149,3,76,3,82,0,56,0,56,7,76,6,89,7,89,6,102,11,80,0,91,4,58,0,62,9,33,6,48,51,664,32,747,3,130,8,141,14,259,15,288,7,154,8,169,0,101,5,106,14,128,6,148,15,155,9,179,11,135,6,152,12,103,0,115,18,64,6,88,94,1229,63,1386
LGA10470,5,85,5,95,10,179,10,199,6,93,13,112,3,65,38,106,3,72,67,142,3,64,36,103,4,31,7,42,4,22,3,29,3,21,3,27,41,632,182,855,0,104,10,114,8,174,6,188,0,79,7,86,3,81,0,84,0,87,4,91,7,90,3,100,10,39,3,52,9,32,3,44,9,10,3,22,46,696,39,781,5,189,15,209,18,353,16,387,6,172,20,198,6,146,38,190,3,159,71,233,10,154,39,203,14,70,10,94,13,54,6,73,12,31,6,49,87,1328,221,1636
LGA10550,0,38,6,44,5,119,8,132,4,55,0,59,0,20,0,20,6,35,3,44,4,43,3,50,5,31,3,39,6,27,0,33,0,19,3,22,30,387,26,443,3,50,0,53,3,126,7,136,0,46,4,50,0,18,5,23,0,50,3,53,0,43,3,46,11,38,3,52,0,25,3,28,7,14,0,21,24,410,28,462,3,88,6,97,8,245,15,268,4,101,4,109,0,38,5,43,6,85,6,97,4,86,6,96,16,69,6,91,6,52,3,61,7,33,3,43,54,797,54,905
LGA10600,0,17,0,17,3,43,3,49,0,21,0,21,0,17,0,17,0,13,3,16,0,20,0,20,5,20,0,25,4,13,0,17,5,6,0,11,17,170,6,193,0,22,4,26,3,45,0,48,0,20,0,20,0,12,0,12,0,14,0,14,0,18,0,18,0,24,4,28,4,7,0,11,0,9,0,9,7,171,8,186,0,39,4,43,6,88,3,97,0,41,0,41,0,29,0,29,0,27,3,30,0,38,0,38,5,44,4,53,8,20,0,28,5,15,0,20,24,341,14,379
