region_id,H_w_In_ps_OO_DS_SH,H_w_In_ps_OO_DS_SDRTHT,H_w_In_ps_OO_DS_FUA,H_w_In_ps_OO_DS_OD_CCH,H_w_In_ps_OO_DS_OD_IH_t_SO,H_w_In_ps_OO_OD_HF_a_SO,H_w_In_ps_OO_DS_OD_Tot,H_w_In_ps_OO_DS_NS,H_w_In_ps_OO_Tot,H_w_In_ps_M_DS_SH,H_w_In_ps_M_DS_SDRTHT,H_w_In_ps_M_DS_FUA,H_w_In_ps_M_DS_OD_CCH,H_w_In_ps_M_DS_OD_IH_t_SO,H_w_In_ps_M_OD_HF_a_SO,H_w_In_ps_M_DS_OD_Tot,H_w_In_ps_M_DS_NS,H_w_In_ps_M_Tot,H_w_In_ps_RREA_DS_SH,H_w_In_ps_RREA_DS_SDRTHT,H_w_In_ps_RREA_DS_FUA,H_w_In_ps_RREA_DS_OD_CCH,H_w_In_ps_RREA_DS_OD_IH_t_SO,H_w_In_ps_RREA_OD_HF_a_SO,H_w_In_ps_RREA_DS_OD_Tot,H_w_In_ps_RREA_DS_NS,H_w_In_ps_RREA_Tot,H_w_In_ps_RHA_DS_SH,H_w_In_ps_RHA_DS_SDRTHT,H_w_In_ps_RHA_DS_FUA,H_w_In_ps_RHA_DS_OD_CCH,H_w_In_ps_RHA_DS_OD_IH_t_SO,H_w_In_ps_RHA_OD_HF_a_SO,H_w_In_ps_RHA_DS_OD_Tot,H_w_In_ps_RHA_DS_NS,H_w_In_ps_RHA_Tot,H_w_In_ps_R_PSH_DS_SH,H_w_In_ps_R_PSH_DS_SDRTHT,H_w_In_ps_R_PSH_DS_FUA,H_w_In_ps_R_PSH_DS_OD_CCH,H_w_In_ps_R_PSH_DS_OD_IH_t_SO,H_w_In_ps_R_PSH_OD_HF_a_SO,H_w_In_ps_R_PSH_DS_OD_Tot,H_w_In_ps_R_PSH_DS_NS,H_w_In_ps_R_PSH_Tot,H_w_In_ps_R_HCC_DS_SH,H_w_In_ps_R_HCC_DS_SDRTHT,H_w_In_ps_R_HCC_DS_FUA,H_w_In_ps_R_HCC_DS_OD_CCH,H_w_In_ps_R_HCC_DS_OD_IH_t_SO,H_w_In_ps_R_HCC_OD_HF_a_SO,H_w_In_ps_R_HCC_DS_OD_Tot,H_w_In_ps_R_HCC_DS_NS,H_w_In_ps_R_HCC_Tot,H_w_In_ps_R_OLT_DS_SH,H_w_In_ps_R_OLT_DS_SDRTHT,H_w_In_ps_R_OLT_DS_FUA,H_w_In_ps_R_OLT_DS_OD_CCH,H_w_In_ps_R_OLT_DS_OD_IH_t_SO,H_w_In_ps_R_OLT_OD_HF_a_SO,H_w_In_ps_R_OLT_DS_OD_Tot,H_w_In_ps_R_OLT_DS_NS,H_w_In_ps_R_OLT_Tot,H_w_In_ps_R_LNS_DS_SH,H_w_In_ps_R_LNS_DS_SDRTHT,H_w_In_ps_R_LNS_DS_FUA,H_w_In_ps_R_LNS_DS_OD_CCH,H_w_In_ps_R_LNS_DS_OD_IH_t_SO,H_w_In_ps_R_LNS_OD_HF_a_SO,H_w_In_ps_R_LNS_DS_OD_Tot,H_w_In_ps_R_LNS_DS_NS,H_w_In_ps_R_LNS_Tot,H_w_In_ps_R_Tot_DS_SH,H_w_In_ps_R_Tot_DS_SDRTHT,H_w_In_ps_R_Tot_DS_FUA,H_w_In_ps_R_Tot_DS_OD_CCH,H_w_In_ps_R_Tot_DS_OD_IH_t_SO,H_w_In_ps_R_Tot_OD_HF_a_SO,H_w_In_ps_R_Tot_DS_OD_Tot,H_w_In_ps_R_Tot_DS_NS,H_w_In_ps_R_Tot_Tot,H_w_In_ps_OTT_DS_SH,H_w_In_ps_OTT_DS_SDRTHT,H_w_In_ps_OTT_DS_FUA,H_w_In_ps_OTT_DS_OD_CCH,H_w_In_ps_OTT_DS_OD_IH_t_SO,H_w_In_ps_OTT_OD_HF_a_SO,H_w_In_ps_OTT_DS_OD_Tot,H_w_In_ps_OTT_DS_NS,H_w_In_ps_OTT_Tot,H_w_In_ps_T_NS_DS_SH,H_w_In_ps_T_NS_DS_SDRTHT,H_w_In_ps_T_NS_DS_FUA,H_w_In_ps_T_NS_DS_OD_CCH,H_w_In_ps_T_NS_DS_OD_IH_t_SO,H_w_In_ps_T_NS_OD_HF_a_SO,H_w_In_ps_T_NS_DS_OD_Tot,H_w_In_ps_T_NS_DS_NS,H_w_In_ps_T_NS_Tot,H_w_In_ps_Tot_DS_SH,H_w_In_ps_Tot_DS_SDRTHT,H_w_In_ps_Tot_DS_FUA,H_w_In_ps_Tot_DS_OD_CCH,H_w_In_ps_Tot_DS_OD_IH_t_SO,H_w_In_ps_Tot_OD_HF_a_SO,H_w_In_ps_Tot_DS_OD_Tot,H_w_In_ps_Tot_DS_NS,H_w_In_ps_Tot_Tot,OH_OO_DS_SH,OH_OO_DS_SDRTHT,OH_OO_DS_FUA,OH_OO_DS_OD_CCH,OH_OO_DS_OD_IH_t_SO,OH_OO_OD_HF_a_SO,OH_OO_DS_OD_Tot,OH_OO_DS_NS,OH_OO_DS_Tot,OH_M_DS_SH,OH_M_DS_SDRTHT,OH_M_DS_FUA,OH_M_DS_OD_CCH,OH_M_DS_OD_IH_t_SO,OH_M_OD_HF_a_SO,OH_M_DS_OD_Tot,OH_M_DS_NS,OH_M_DS_Tot,OH_RREA_DS_SH,OH_RREA_DS_SDRTHT,OH_RREA_DS_FUA,OH_RREA_DS_OD_CCH,OH_RREA_DS_OD_IH_t_SO,OH_RREA_OD_HF_a_SO,OH_RREA_DS_OD_Tot,OH_RREA_DS_NS,OH_RREA_DS_Tot,OH_RHA_DS_SH,OH_RHA_DS_SDRTHT,OH_RHA_DS_FUA,OH_RHA_DS_OD_CCH,OH_RHA_DS_OD_IH_t_SO,OH_RHA_OD_HF_a_SO,OH_RHA_DS_OD_Tot,OH_RHA_DS_NS,OH_RHA_DS_Tot,OH_R_PSH_DS_SH,OH_R_PSH_DS_SDRTHT,OH_R_PSH_DS_FUA,OH_R_PSH_DS_OD_CCH,OH_R_PSH_DS_OD_IH_t_SO,OH_R_PSH_OD_HF_a_SO,OH_R_PSH_DS_OD_Tot,OH_R_PSH_DS_NS,OH_R_PSH_DS_Tot,OH_R_HCC_DS_SH,OH_R_HCC_DS_SDRTHT,OH_R_HCC_DS_FUA,OH_R_HCC_DS_OD_CCH,OH_R_HCC_DS_OD_IH_t_SO,OH_R_HCC_OD_HF_a_SO,OH_R_HCC_DS_OD_Tot,OH_R_HCC_DS_NS,OH_R_HCC_DS_Tot,OH_R_OLT_DS_SH,OH_R_OLT_DS_SDRTHT,OH_R_OLT_DS_FUA,OH_R_OLT_DS_OD_CCH,OH_R_OLT_DS_OD_IH_t_SO,OH_R_OLT_OD_HF_a_SO,OH_R_OLT_DS_OD_Tot,OH_R_OLT_DS_NS,OH_R_OLT_DS_Tot,OH_R_LNS_DS_SH,OH_R_LNS_DS_SDRTHT,OH_R_LNS_DS_FUA,OH_R_LNS_DS_OD_CCH,OH_R_LNS_DS_OD_IH_t_SO,OH_R_LNS_OD_HF_a_SO,OH_R_LNS_DS_OD_Tot,OH_R_LNS_DS_NS,OH_R_LNS_DS_Tot,OH_R_Tot_DS_SH,OH_R_Tot_DS_SDRTHT,OH_R_Tot_DS_FUA,OH_R_Tot_DS_OD_CCH,OH_R_Tot_DS_OD_IH_t_SO,OH_R_Tot_OD_HF_a_SO,OH_R_Tot_DS_OD_Tot,OH_R_Tot_DS_NS,OH_R_Tot_DS_Tot,OH_OTT_DS_SH,OH_OTT_DS_SDRTHT,OH_OTT_DS_FUA,OH_OTT_DS_OD_CCH,OH_OTT_DS_OD_IH_t_SO,OH_OTT_OD_HF_a_SO,OH_OTT_DS_OD_Tot,OH_OTT_DS_NS,OH_OTT_DS_Tot,OH_T_NS_DS_SH,OH_T_NS_DS_SDRTHT
LGA10050,31,5,0,0,0,0,0,0,36,86,0,7,0,0,0,0,0,93,86,14,54,0,0,0,0,0,154,110,3,24,0,0,0,0,0,137,23,0,4,0,0,0,0,0,27,9,0,3,0,0,0,0,0,12,6,3,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,5,239,20,85,0,0,0,0,0,344,3,0,0,0,0,0,0,0,3,17,0,9,0,0,0,0,0,26,376,25,101,0,0,0,0,0,502,4798,231,335,35,0,3,38,0,5402,5817,161,330,0,0,5,5,0,6313,1628,415,1572,0,0,9,9,6,3630,474,11,207,0,0,0,0,0,692,663,97,268,0,0,5,5,4,1037,35,40,55,0,0,0,0,0,130,97,12,26,23,0,3,26,3,164,62,0,18,0,0,0,0,0,80,2959,575,2146,23,0,17,40,13,5733,122,20,4,0,0,0,0,0,146,337,44
LGA10110,33,0,0,0,0,0,0,0,33,84,0,0,0,0,0,0,0,84,105,10,34,0,0,0,0,0,149,133,23,23,0,0,0,0,0,179,23,0,0,0,0,0,0,0,23,33,0,9,0,0,0,0,0,42,3,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,297,33,66,3,0,0,3,0,399,0,0,0,0,0,0,0,0,0,25,4,5,3,0,0,3,0,37,439,37,71,6,0,0,6,0,553,2702,75,65,7,0,6,13,4,2859,2146,35,50,4,0,0,4,5,2240,915,194,543,0,0,0,0,0,1652,149,41,82,0,0,0,0,0,272,379,36,80,0,0,0,0,0,495,9,36,17,0,0,0,0,0,62,80,7,12,12,0,8,20,0,119,61,5,7,0,0,0,0,0,73,1593,319,741,12,0,8,20,0,2673,49,13,5,0,0,0,0,0,67,151,13
LGA10150,6,3,0,0,0,0,0,0,9,7,3,14,0,0,0,0,0,24,16,7,38,0,0,0,0,3,64,3,5,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,7,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,12,47,0,0,0,0,3,89,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,40,18,64,0,0,0,0,3,125,2874,476,1040,0,0,5,5,3,4398,1845,632,1728,0,0,7,7,3,4215,575,460,3462,0,0,44,44,17,4558,26,36,156,0,0,0,0,0,218,235,128,583,0,0,18,18,5,969,28,11,110,0,0,3,3,0,152,22,12,50,0,0,7,7,0,91,30,3,28,0,0,3,3,0,64,916,650,4389,0,0,75,75,22,6052,27,13,81,0,0,0,0,0,121,157,47
LGA10200,20,0,0,0,0,0,0,0,20,18,3,7,0,0,0,0,0,28,22,3,22,0,0,0,0,0,47,13,3,3,0,0,0,0,0,19,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,25,0,0,0,0,0,72,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,76,12,40,0,0,0,0,0,128,4108,546,820,0,0,9,9,3,5486,3845,957,2263,0,0,8,8,3,7076,1372,589,3793,0,0,14,14,9,5777,231,244,336,0,0,0,0,8,819,672,159,573,0,0,18,18,3,1425,39,33,57,0,0,0,0,0,129,127,14,89,0,0,5,5,0,235,62,16,50,0,0,0,0,0,128,2503,1055,4898,0,0,37,37,20,8513,74,18,39,0,0,0,0,0,131,389,83
LGA10250,46,4,0,6,0,0,6,0,56,90,6,3,0,0,0,0,0,99,72,34,36,0,0,0,0,0,142,71,11,17,0,0,0,0,0,99,29,8,6,3,0,0,3,0,46,40,5,3,0,0,0,0,0,48,7,3,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,3,222,61,62,3,0,0,3,0,348,3,0,0,0,0,0,0,0,3,18,6,5,0,0,0,0,0,29,379,77,70,9,0,0,9,0,535,4875,564,450,319,3,5,327,3,6219,3484,340,224,18,0,3,21,0,4069,1086,598,569,5,3,7,15,4,2272,154,102,246,0,0,0,0,0,502,631,199,165,11,3,9,23,0,1018,11,23,53,0,0,0,0,0,87,133,7,12,76,0,4,80,0,232,64,16,11,0,0,0,0,0,91,2079,945,1056,92,6,20,118,4,4202,64,17,110,6,0,0,6,0,197,216,54
LGA10300,12,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,6,7,0,3,0,0,0,0,0,10,11,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,16,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,41,3,6,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,60,3,6,0,0,0,0,0,69,314,0,0,3,0,0,3,0,317,208,3,0,0,0,5,5,0,216,26,3,10,0,0,0,0,0,39,9,0,0,0,0,0,0,0,9,72,4,0,0,0,0,0,0,76,0,5,0,0,0,0,0,0,5,33,0,5,0,0,0,0,0,38,17,4,0,0,0,0,0,0,21,157,16,15,0,0,0,0,0,188,10,0,0,0,0,0,0,0,10,19,0
LGA10350,111,10,3,0,0,0,0,0,124,129,21,9,0,0,0,0,0,159,93,16,15,0,0,3,3,3,130,106,28,38,0,0,0,0,0,172,28,6,4,0,0,0,0,0,38,4,5,7,0,0,0,0,0,16,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,238,55,64,0,0,3,3,3,363,0,0,4,0,0,0,0,0,4,18,0,3,0,0,0,0,0,21,496,86,83,0,0,3,3,3,671,16383,2045,864,8,8,23,39,13,19344,13299,3615,1850,0,6,25,31,30,18825,3361,1449,2185,0,3,78,81,31,7107,2292,1049,1776,0,0,0,0,5,5122,1774,483,396,0,3,34,37,7,2697,111,163,178,0,0,3,3,0,455,305,95,72,25,0,5,30,0,502,197,50,51,4,0,0,4,0,302,8040,3289,4658,29,6,120,155,43,16185,237,58,87,0,4,3,7,3,392,1166,281
LGA10470,66,8,0,0,0,0,0,0,74,136,0,0,0,0,0,0,0,136,127,26,23,0,0,0,0,0,176,101,17,12,0,0,0,0,0,130,45,4,6,0,0,0,0,0,55,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,279,47,41,0,0,0,0,0,367,5,0,0,0,0,0,0,0,5,17,11,3,0,0,0,0,0,31,503,66,44,0,0,0,0,0,613,4070,173,123,19,0,6,25,6,4397,4326,133,83,0,3,3,6,6,4554,1347,405,449,0,0,3,3,5,2209,287,53,81,0,0,5,5,0,426,617,92,64,3,0,3,6,5,784,38,28,4,0,0,0,0,0,70,86,6,7,4,0,0,4,4,107,82,7,5,0,3,0,3,0,97,2457,591,610,7,3,11,21,14,3693,52,7,5,0,0,0,0,3,67,253,36
LGA10550,51,3,3,0,0,0,0,0,57,75,0,5,0,0,0,0,0,80,48,4,17,0,0,0,0,0,69,81,3,6,0,0,0,0,0,90,22,4,5,0,0,0,0,0,31,19,3,0,0,0,0,0,0,22,3,0,3,3,0,0,3,0,9,3,0,0,0,0,0,0,0,3,176,14,31,3,0,0,3,0,224,3,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,15,320,17,39,3,0,0,3,0,379,4832,306,271,113,13,8,134,9,5552,3246,111,121,15,9,5,29,0,3507,823,186,375,0,0,5,5,5,1394,165,54,35,0,0,0,0,0,254,614,62,118,9,3,16,28,0,822,20,39,22,0,0,0,0,0,81,96,8,12,21,0,3,24,0,140,84,12,8,5,0,0,5,0,109,1802,361,570,35,3,24,62,5,2800,65,30,11,5,0,0,5,0,111,239,41
LGA10600,31,0,0,3,0,0,3,0,34,44,0,0,0,0,0,0,0,44,37,3,3,0,0,0,0,0,43,8,0,3,0,0,0,0,0,11,25,3,3,0,0,0,0,0,31,3,0,0,0,0,0,0,0,3,3,0,0,4,0,0,4,0,7,0,0,0,4,0,0,4,0,4,76,6,9,8,0,0,8,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,155,6,9,11,0,0,11,0,181,2043,13,43,88,8,5,101,0,2200,1241,7,6,6,4,3,13,4,1271,408,45,71,0,0,3,3,0,527,54,10,25,0,0,0,0,0,89,360,11,35,13,4,6,23,0,429,16,5,3,6,0,0,6,0,30,44,0,0,17,0,3,20,0,64,41,0,3,3,3,0,6,0,50,923,71,137,39,7,12,58,0,1189,39,0,9,4,0,0,4,0,52,91,9
