region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
LGA10050,132,7,0,0,7,0,520,14033,1031,2947,65,0,25,90,13,18114,4829,236,335,35,0,3,38,0,5438,5903,161,337,0,0,5,5,0,6406,1714,429,1626,0,0,9,9,6,3784,584,14,231,0,0,0,0,0,829,686,97,272,0,0,5,5,4,1064,44,40,58,0,0,0,0,0,142,103,15,26,23,0,3,26,3,173,67,0,18,0,0,0,0,0,85,3198,595,2231,23,0,17,40,13,6077,125,20,4,0,0,0,0,0,149,354,44,141,7,0,0,7,0,546,14409,1056,3048,65,0,25,90,13,18616
LGA10110,27,4,0,0,4,0,195,6641,455,888,27,0,14,41,9,8034,2735,75,65,7,0,6,13,4,2892,2230,35,50,4,0,0,4,5,2324,1020,204,577,0,0,0,0,0,1801,282,64,105,0,0,0,0,0,451,402,36,80,0,0,0,0,0,518,42,36,26,0,0,0,0,0,104,83,7,12,15,0,8,23,0,125,61,5,7,0,0,0,0,0,73,1890,352,807,15,0,8,23,0,3072,49,13,5,0,0,0,0,0,67,176,17,32,7,0,0,7,0,232,7080,492,959,33,0,14,47,9,8587
LGA10150,175,0,0,3,3,3,385,5819,1818,7413,0,0,90,90,31,15171,2880,479,1040,0,0,5,5,3,4407,1852,635,1742,0,0,7,7,3,4239,591,467,3500,0,0,44,44,20,4622,29,41,162,0,0,0,0,0,232,235,128,583,0,0,18,18,5,969,32,11,113,0,0,3,3,0,159,26,12,50,0,0,7,7,0,95,30,3,28,0,0,3,3,0,64,943,662,4436,0,0,75,75,25,6141,27,13,81,0,0,0,0,0,121,157,47,178,0,0,3,3,3,388,5859,1836,7477,0,0,90,90,34,15296
LGA10200,273,0,0,0,0,0,745,10919,2659,8293,0,0,54,54,26,21951,4128,546,820,0,0,9,9,3,5506,3863,960,2270,0,0,8,8,3,7104,1394,592,3815,0,0,14,14,9,5824,244,247,339,0,0,0,0,8,838,675,162,573,0,0,18,18,3,1431,39,33,57,0,0,0,0,0,129,127,14,89,0,0,5,5,0,235,62,16,50,0,0,0,0,0,128,2541,1064,4923,0,0,37,37,20,8585,74,18,42,0,0,0,0,0,134,389,83,278,0,0,0,0,0,750,10995,2671,8333,0,0,54,54,26,22079
LGA10250,85,21,0,0,21,0,376,10718,1920,1925,456,9,28,493,7,15063,4921,568,450,325,3,5,333,3,6275,3574,346,227,18,0,3,21,0,4168,1158,632,605,5,3,7,15,4,2414,225,113,263,0,0,0,0,0,601,660,207,171,14,3,9,26,0,1064,51,28,56,0,0,0,0,0,135,140,10,12,76,0,4,80,0,242,67,16,11,0,0,0,0,0,94,2301,1006,1118,95,6,20,121,4,4550,67,17,110,6,0,0,6,0,200,234,60,90,21,0,0,21,0,405,11097,1997,1995,465,9,28,502,7,15598
LGA10300,3,0,0,5,5,0,27,708,19,18,3,0,10,13,0,758,326,0,0,3,0,0,3,0,329,212,3,0,0,0,5,5,0,220,29,6,10,0,0,0,0,0,45,16,0,3,0,0,0,0,0,19,83,4,0,0,0,0,0,0,87,16,5,0,0,0,0,0,0,21,37,0,8,0,0,0,0,0,45,17,4,0,0,0,0,0,0,21,198,19,21,0,0,0,0,0,238,10,0,0,0,0,0,0,0,10,22,0,3,0,0,5,5,0,30,768,22,24,3,0,10,13,0,827
LGA10350,364,3,0,6,9,0,1820,39125,9288,7823,40,24,177,241,89,56566,16494,2055,867,8,8,23,39,13,19468,13428,3636,1859,0,6,25,31,30,18984,3454,1465,2200,0,3,81,84,34,7237,2398,1077,1814,0,0,0,0,5,5294,1802,489,400,0,3,34,37,7,2735,115,168,185,0,0,3,3,0,471,308,95,72,25,0,5,30,0,505,201,50,51,4,0,0,4,0,306,8278,3344,4722,29,6,123,158,46,16548,237,58,91,0,4,3,7,3,396,1184,281,367,3,0,6,9,0,1841,39621,9374,7906,40,24,180,244,92,57237
LGA10470,35,4,0,3,7,0,331,11158,940,856,30,6,23,59,29,13042,4136,181,123,19,0,6,25,6,4471,4462,133,83,0,3,3,6,6,4690,1474,431,472,0,0,3,3,5,2385,388,70,93,0,0,5,5,0,556,662,96,70,3,0,3,6,5,839,41,28,4,0,0,0,0,0,73,86,6,7,4,0,0,4,4,107,85,7,5,0,3,0,3,0,100,2736,638,651,7,3,11,21,14,4060,57,7,5,0,0,0,0,3,72,270,47,38,4,0,3,7,0,362,11661,1006,900,30,6,23,59,29,13655
LGA10550,37,7,0,3,10,0,327,10184,849,1010,175,25,40,240,14,12297,4883,309,274,113,13,8,134,9,5609,3321,111,126,15,9,5,29,0,3587,871,190,392,0,0,5,5,5,1463,246,57,41,0,0,0,0,0,344,636,66,123,9,3,16,28,0,853,39,42,22,0,0,0,0,0,103,99,8,15,24,0,3,27,0,149,87,12,8,5,0,0,5,0,112,1978,375,601,38,3,24,65,5,3024,68,30,11,5,0,0,5,0,114,254,41,37,7,0,3,10,0,342,10504,866,1049,178,25,40,243,14,12676
LGA10600,11,6,0,0,6,0,117,4337,100,206,143,19,20,182,4,4829,2074,13,43,91,8,5,104,0,2234,1285,7,6,6,4,3,13,4,1315,445,48,74,0,0,3,3,0,570,62,10,28,0,0,0,0,0,100,385,14,38,13,4,6,23,0,460,19,5,3,6,0,0,6,0,33,47,0,0,21,0,3,24,0,71,41,0,3,7,3,0,10,0,54,999,77,146,47,7,12,66,0,1288,39,0,9,4,0,0,4,0,52,95,9,11,6,0,0,6,0,121,4492,106,215,154,19,20,193,4,5010
