region_id,HH_IN_P_1_f_hh_C_f_n_c_N_u_1,HH_IN_P_1_f_hh_C_f_n_c_N_u_2,HH_IN_P_1_f_hh_C_f_n_c_N_u_3,HH_IN_P_1_f_hh_C_f_n_c_N_u_4,HH_IN_P_1_f_hh_C_f_n_c_N_u_5,HH_IN_P_1_f_h_C_f_n_c_N_u_6ov,HH_IN_P_1_f_hh_C_f_no_ch_Tot,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_1,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_2,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_3,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_4,HH_IN_P_1_f_hh_C_f_ch_Nu_ur_5,HH_I_P_1_f_h_C_f_ch_Nu_ur_6ov,HH_IN_PE_1_fa_hh_Co_fa_ch_Tot,HH_IN_P_1_f_h_1_pa_f_Nu_ur_1,HH_IN_P_1_f_h_1_pa_f_Nu_ur_2,HH_IN_P_1_f_h_1_pa_f_Nu_ur_3,HH_IN_P_1_f_h_1_pa_f_Nu_ur_4,HH_IN_P_1_f_h_1_pa_f_Nu_ur_5,HH_IN_P_1_f_h_1_pa_f_N_ur_6ov,HH_IN_P_1_f_h_1_pa_f_Tot,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_1,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_2,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_3,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_4,HH_IN_P_1_fa_hh_Ot_fa_Nu_ur_5,HH_IN_P_1_fa_hh_Ot_f_N_ur_6ov,HH_IN_PE_1_fa_hh_Other_fa_Tot,HH_IN_PE_1_fa_hh_Tot_Nu_ur_1,HH_IN_PE_1_fa_hh_Tot_Nu_ur_2,HH_IN_PE_1_fa_hh_Tot_Nu_ur_3,HH_IN_PE_1_fa_hh_Tot_Nu_ur_4,HH_IN_PE_1_fa_hh_Tot_Nu_ur_5,HH_IN_PE_1_fa_hh_Tot_N_ur_6ov,HH_IN_PE_1_fa_hh_Tot_Tot,HHD_IN_PE_Mu_fa_hhd_Nu_ur_1,HHD_IN_PE_Mu_fa_hhd_Nu_ur_2,HHD_IN_PE_Mu_fa_hhd_Nu_ur_3,HHD_IN_PE_Mu_fa_hhd_Nu_ur_4,HHD_IN_PE_Mu_fa_hhd_Nu_ur_5,HHD_IN_PE_Mu_fa_hhd_N_ur_6ov,HHD_IN_PE_Mu_fa_hhd_Tot,HHD_IN_PE_TotFa_hhd_Nu_ur_1,HHD_IN_PE_TotFa_hhd_Nu_ur_2,HHD_IN_PE_TotFa_hhd_Nu_ur_3,HHD_IN_PE_TotFa_hhd_Nu_ur_4,HHD_IN_PE_TotFa_hhd_Nu_ur_5,HHD_IN_PE_TotFa_hhd_N_ur_6ov,HHD_IN_PE_TotFa_hhd_Tot,HHD_IN_PE_Lo_per_hhd_Nu_ur_1,HHD_IN_PE_Lo_per_hhd_Nu_ur_2,HHD_IN_PE_Lo_per_hhd_Nu_ur_3,HHD_IN_PE_Lo_per_hhd_Nu_ur_4,HHD_IN_PE_Lo_per_hhd_Nu_ur_5,HHD_IN_PE_Lo_per_hhd_N_ur_6ov,HHD_IN_PE_Lo_per_hhd_Tot,HHD_IN_PE_Gr_hh_Nu_ur_1,HHD_IN_PE_Gr_hh_Nu_ur_2,HHD_IN_PE_Gr_hh_Nu_ur_3,HHD_IN_PE_Gr_hh_Nu_ur_4,HHD_IN_PE_Gr_hh_Nu_ur_5,HHD_IN_PE_Gr_hh_N_ur_6ov,HHD_IN_PE_Gr_hh_Tot,HHD_IN_PE_Tot_Nu_ur_1,HHD_IN_PE_Tot_Nu_ur_2,HHD_IN_PE_Tot_Nu_ur_3,HHD_IN_PE_Tot_Nu_ur_4,HHD_IN_PE_Tot_Nu_ur_5,HHD_IN_PE_Tot_Nu_ur_6_more,HHD_IN_PE_Tot_Tot,OT_HH_1_f_hh_C_f_no_c_Nu_ur_1,OT_HH_1_f_hh_C_f_no_c_Nu_ur_2,OT_HH_1_f_hh_C_f_no_c_Nu_ur_3,OT_HH_1_f_hh_C_f_no_c_Nu_ur_4,OT_HH_1_f_hh_C_f_no_c_Nu_ur_5,OT_HH_1_f_hh_C_f_n_c_N_ur_6ov,OT_HH_1_f_hh_C_f_no_c_Tot,OT_HH_1_f_hh_C_f_ch_Nu_ur_1,OT_HH_1_f_hh_C_f_ch_Nu_ur_2,OT_HH_1_f_hh_C_f_ch_Nu_ur_3,OT_HH_1_f_hh_C_f_ch_Nu_ur_4,OT_HH_1_f_hh_C_f_ch_Nu_ur_5,OT_HH_1_f_hh_C_f_ch_N_ur_6ov,OT_HH_1_f_hh_C_f_with_ch_Tot,OT_HH_1_f_hh_1_pa_f_Nu_ur_1,OT_HH_1_f_hh_1_pa_f_Nu_ur_2,OT_HH_1_f_hh_1_pa_f_Nu_ur_3,OT_HH_1_f_hh_1_pa_f_Nu_ur_4,OT_HH_1_f_hh_1_pa_f_Nu_ur_5,OT_HH_1_f_hh_1_pa_f_N_ur_6ov,OT_HH_1_f_hh_1_parent_f_Tot,OT_HH_One_fa_hh_Ot_fa_Nu_ur_1,OT_HH_One_fa_hh_Ot_fa_Nu_ur_2,OT_HH_One_fa_hh_Ot_fa_Nu_ur_3,OT_HH_One_fa_hh_Ot_fa_Nu_ur_4,OT_HH_One_fa_hh_Ot_fa_Nu_ur_5,OT_HH_1_fa_hh_Ot_fa_N_ur_6ov,OT_HH_One_fa_hhd_Other_fa_Tot,OT_HH_One_fa_hhd_Tot_Nu_ur_1,OT_HH_One_fa_hhd_Tot_Nu_ur_2,OT_HH_One_fa_hhd_Tot_Nu_ur_3,OT_HH_One_fa_hhd_Tot_Nu_ur_4,OT_HH_One_fa_hhd_Tot_Nu_ur_5,OT_HH_One_fa_hhd_Tot_N_ur_6ov,OT_HH_One_fa_hhd_Tot_Tot,OT_HH_Multiple_fa_hhd_Nu_ur_1,OT_HH_Multiple_fa_hhd_Nu_ur_2,OT_HH_Multiple_fa_hhd_Nu_ur_3,OT_HH_Multiple_fa_hhd_Nu_ur_4,OT_HH_Multiple_fa_hhd_Nu_ur_5,OT_HH_Multiple_fa_hh_Nu_u_6ov,OT_HH_Multiple_fa_hhd_Tot,OT_HH_TotFa_hhd_Nu_ur_1,OT_HH_TotFa_hhd_Nu_ur_2,OT_HH_TotFa_hhd_Nu_ur_3,OT_HH_TotFa_hhd_Nu_ur_4,OT_HH_TotFa_hhd_Nu_ur_5,OT_HH_TotFa_hhd_Nu_ur_6_more,OT_HH_TotFa_hhd_Tot,OT_HH_Lo_per_hhd_Nu_ur_1,OT_HH_Lo_per_hhd_Nu_ur_2,OT_HH_Lo_per_hhd_Nu_ur_3,OT_HH_Lo_per_hhd_Nu_ur_4,OT_HH_Lo_per_hhd_Nu_ur_5,OT_HH_Lo_per_hh_Nu_ur_6ov,OT_HH_Lo_per_hhd_Tot,OT_HH_Gr_hh_Nu_ur_1,OT_HH_Gr_hh_Nu_ur_2,OT_HH_Gr_hh_Nu_ur_3,OT_HH_Gr_hh_Nu_ur_4,OT_HH_Gr_hh_Nu_ur_5,OT_HH_Gr_hh_Nu_u_6ov,OT_HH_Gr_hh_Tot,OT_HH_Tot_Nu_ur_1,OT_HH_Tot_Nu_ur_2,OT_HH_Tot_Nu_ur_3,OT_HH_Tot_Nu_ur_4,OT_HH_Tot_Nu_ur_5,OT_HH_Tot_Nu_ur_6_more,OT_HH_Tot_Tot
LGA10050,0,63,3,0,0,0,66,0,0,30,43,27,17,117,0,49,54,30,20,20,173,0,3,3,0,0,3,9,0,115,90,73,47,40,365,0,0,0,4,3,3,10,0,115,90,77,50,43,375,90,0,0,0,0,0,90,0,30,3,3,0,0,36,90,145,93,80,50,43,501,0,4641,115,19,3,3,4781,0,0,1643,2022,850,315,4830,0,964,650,239,73,23,1949,0,128,28,9,0,3,168,0,5733,2436,2289,926,344,11728,0,0,0,38,39,24,101,0,5733,2436,2327,965,368,11829,5493,0,0,0,0,0,5493,0,607,131,42,8,4,792,5493,6340,2567,2369,973,372,18114
LGA10110,0,51,7,0,0,0,58,0,0,37,43,33,25,138,0,44,60,34,26,18,182,0,13,4,3,0,0,20,0,108,108,80,59,43,398,0,0,0,8,5,13,26,0,108,108,88,64,56,424,99,0,0,0,0,0,99,0,26,7,0,0,0,33,99,134,115,88,64,56,556,0,2148,73,9,0,0,2230,0,0,692,869,413,150,2124,0,426,245,95,37,7,810,0,42,17,3,0,4,66,0,2616,1027,976,450,161,5230,0,0,0,13,10,12,35,0,2616,1027,989,460,173,5265,2369,0,0,0,0,0,2369,0,284,76,27,9,3,399,2369,2900,1103,1016,469,176,8033
LGA10150,0,20,0,0,3,0,23,0,0,9,12,4,3,28,0,14,5,7,3,0,29,0,0,5,0,0,0,5,0,34,19,19,10,3,85,0,0,0,0,0,0,0,0,34,19,19,10,3,85,26,0,0,0,0,0,26,0,13,3,0,0,0,16,26,47,22,19,10,3,127,0,3161,261,120,20,18,3580,0,0,1734,1882,613,176,4405,0,798,423,126,30,13,1390,0,227,64,18,5,3,317,0,4186,2482,2146,668,210,9692,0,0,0,104,95,120,319,0,4186,2482,2250,763,330,10011,4153,0,0,0,0,0,4153,0,680,210,75,26,14,1005,4153,4866,2692,2325,789,344,15169
LGA10200,0,19,4,0,0,0,23,0,0,6,15,4,7,32,0,10,12,5,0,0,27,0,6,0,0,0,0,6,0,35,22,20,4,7,88,0,0,0,0,0,3,3,0,35,22,20,4,10,91,27,0,0,0,0,0,27,0,9,3,0,0,0,12,27,44,25,20,4,10,130,0,3665,438,177,40,24,4344,0,0,2768,3351,1645,1070,8834,0,1018,779,364,135,85,2381,0,310,119,54,20,6,509,0,4993,4104,3946,1840,1185,16068,0,0,0,235,252,547,1034,0,4993,4104,4181,2092,1732,17102,3732,0,0,0,0,0,3732,0,644,246,119,62,43,1114,3732,5637,4350,4300,2154,1775,21948
LGA10250,0,74,6,3,3,0,86,0,0,27,49,23,22,121,0,60,67,33,18,13,191,0,8,3,0,0,0,11,0,142,103,85,44,35,409,0,0,0,8,10,5,23,0,142,103,93,54,40,432,75,0,0,0,0,0,75,0,21,5,3,0,0,29,75,163,108,96,54,40,536,0,4547,124,14,3,0,4688,0,0,1318,1579,644,253,3794,0,852,525,163,51,12,1603,0,92,15,4,0,0,111,0,5491,1982,1760,698,265,10196,0,0,0,62,41,48,151,0,5491,1982,1822,739,313,10347,4187,0,0,0,0,0,4187,0,436,73,14,0,5,528,4187,5927,2055,1836,739,318,15062
LGA10300,0,15,0,0,0,0,15,0,0,7,9,0,4,20,0,4,6,0,0,3,13,0,0,0,0,0,0,0,0,19,13,9,0,7,48,0,0,0,0,6,0,6,0,19,13,9,6,7,54,10,0,0,0,0,0,10,0,5,0,0,0,0,5,10,24,13,9,6,7,69,0,233,3,0,0,0,236,0,0,81,82,49,22,234,0,31,16,10,0,0,57,0,10,0,0,0,0,10,0,274,100,92,49,22,537,0,0,0,0,0,0,0,0,274,100,92,49,22,537,214,0,0,0,0,0,214,0,5,3,0,0,0,8,214,279,103,92,49,22,759
LGA10350,0,82,11,0,0,0,93,0,0,47,73,45,19,184,0,56,71,46,14,10,197,0,7,3,0,3,0,13,0,145,132,119,62,29,487,0,0,0,11,15,19,45,0,145,132,130,77,48,532,105,0,0,0,0,0,105,0,26,5,0,3,0,34,105,171,137,130,80,48,671,0,9843,620,111,22,11,10607,0,0,6411,8684,4831,2875,22801,0,3237,2437,1211,496,262,7643,0,584,154,33,13,6,790,0,13664,9622,10039,5362,3154,41841,0,0,0,396,568,1282,2246,0,13664,9622,10435,5930,4436,44087,11350,0,0,0,0,0,11350,0,878,162,56,20,14,1130,11350,14542,9784,10491,5950,4450,56567
LGA10470,0,73,8,3,3,0,87,0,0,59,65,38,36,198,0,46,48,45,26,8,173,0,9,4,3,0,0,16,0,128,119,116,67,44,474,0,0,0,5,7,8,20,0,128,119,121,74,52,494,84,0,0,0,0,0,84,0,24,5,3,0,0,32,84,152,124,124,74,52,610,0,3468,118,7,0,0,3593,0,0,1240,1539,745,330,3854,0,665,431,193,58,20,1367,0,101,19,6,0,0,126,0,4234,1808,1745,803,350,8940,0,0,0,46,30,42,118,0,4234,1808,1791,833,392,9058,3465,0,0,0,0,0,3465,0,371,96,42,10,3,522,3465,4605,1904,1833,843,395,13045
LGA10550,0,52,4,3,0,0,59,0,0,26,35,24,20,105,0,39,37,28,11,7,122,0,4,3,3,0,0,10,0,95,70,69,35,27,296,0,0,0,0,0,8,8,0,95,70,69,35,35,304,52,0,0,0,0,0,52,0,18,4,0,0,0,22,52,113,74,69,35,35,378,0,4287,90,5,3,0,4385,0,0,1066,1122,528,184,2900,0,573,371,135,46,13,1138,0,53,8,0,0,0,61,0,4913,1535,1262,577,197,8484,0,0,0,36,17,34,87,0,4913,1535,1298,594,231,8571,3413,0,0,0,0,0,3413,0,283,27,5,0,0,315,3413,5196,1562,1303,594,231,12299
LGA10600,0,28,0,0,0,0,28,0,0,14,27,13,8,62,0,15,23,6,5,0,49,0,0,0,3,0,0,3,0,43,37,36,18,8,142,0,0,0,0,0,0,0,0,43,37,36,18,8,142,25,0,0,0,0,0,25,0,10,0,0,0,0,10,25,53,37,36,18,8,177,0,1467,38,0,0,0,1505,0,0,393,450,205,80,1128,0,289,191,86,30,7,603,0,17,3,3,0,0,23,0,1773,625,539,235,87,3259,0,0,0,26,13,21,60,0,1773,625,565,248,108,3319,1356,0,0,0,0,0,1356,0,137,17,3,0,0,157,1356,1910,642,568,248,108,4832
LGA10650,0,13,0,0,0,0,13,0,0,13,6,6,5,30,0,5,6,3,0,0,14,0,3,0,0,0,0,3,0,21,19,9,6,5,60,0,0,0,0,0,4,4,0,21,19,9,6,9,64,13,0,0,0,0,0,13,0,4,0,0,0,0,4,13,25,19,9,6,9,81,0,1105,10,3,0,0,1118,0,0,232,254,140,77,703,0,120,73,39,10,0,242,0,22,0,3,0,0,25,0,1247,315,299,150,77,2088,0,0,0,8,4,3,15,0,1247,315,307,154,80,2103,1013,0,0,0,0,0,1013,0,50,0,0,0,0,50,1013,1297,315,307,154,80,3166
LGA10750,0,295,38,10,0,0,343,0,0,247,317,201,192,957,0,327,382,269,149,112,1239,0,49,12,3,3,0,67,0,671,679,599,353,304,2606,0,0,0,44,58,105,207,0,671,679,643,411,409,2813,381,0,0,0,0,0,381,0,78,12,7,3,0,100,381,749,691,650,414,409,3294,0,16113,1098,190,21,15,17437,0,0,11908,16144,7437,3755,39244,0,4934,4093,1994,778,450,12249,0,861,185,52,22,7,1127,0,21908,17284,18380,8258,4227,70057,0,0,0,707,930,1965,3602,0,21908,17284,19087,9188,6192,73659,14717,0,0,0,0,0,14717,0,1552,269,99,41,28,1989,14717,23460,17553,19186,9229,6220,90365
