region_id,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,CDEP_participants_Ind_M,CDEP_participants_Ind_F,CDEP_participants_Ind_P,CDEP_participants_NonInd_M,CDEP_participants_NonInd_F,CDEP_participants_NonInd_P,CDEP_participants_IndSt_nsM,CDEP_participants_IndSt_nsF,CDEP_participants_IndSt_nsP,CDEP_participants_TotM,CDEP_participants_TotF,CDEP_participants_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,NsQ_PgDL_Ind_M,NsQ_PgDL_Ind_F,NsQ_PgDL_Ind_P,NsQ_PgDL_No_Ind_M,NsQ_PgDL_No_Ind_F,NsQ_PgDL_No_Ind_P,NsQ_PgDL_IndSt_nsM,NsQ_PgDL_IndSt_nsF,NsQ_PgDL_IndSt_nsP,NsQ_PgDL_TotM,NsQ_PgDL_TotF,NsQ_PgDL_TotP,NsQ_GD_GCL_Ind_M,NsQ_GD_GCL_Ind_F,NsQ_GD_GCL_Ind_P,NsQ_GD_GCL_No_In_M,NsQ_GD_GCL_No_In_F,NsQ_GD_GCL_No_In_P,NsQ_GD_GCL_In_st_nsM,NsQ_GD_GCL_In_st_nsF,NsQ_GD_GCL_In_st_nsP,NsQ_GD_GCL_TotM,NsQ_GD_GCL_TotF,NsQ_GD_GCL_TotP,NsQ_BDL_Ind_M,NsQ_BDL_Ind_F,NsQ_BDL_Ind_P,NsQ_BDL_No_Ind_M,NsQ_BDL_No_Ind_F,NsQ_BDL_No_Ind_P,NsQ_BDL_IndSt_nsM,NsQ_BDL_IndSt_nsF,NsQ_BDL_IndSt_nsP,NsQ_BDL_TotM,NsQ_BDL_TotF,NsQ_BDL_TotP,NsQ_AD_DL_Ind_M,NsQ_AD_DL_Ind_F,NsQ_AD_DL_Ind_P,NsQ_AD_DL_No_In_M,NsQ_AD_DL_No_In_F,NsQ_AD_DL_No_In_P,NsQ_AD_DL_In_st_nsM,NsQ_AD_DL_In_st_nsF
LGA10050,309,352,661,17132,19044,36176,888,784,1672,18329,20180,38509,131,123,254,11344,10694,22038,85,56,141,11560,10873,22433,33,33,66,676,621,1297,10,3,13,719,657,1376,164,156,320,12020,11315,23335,95,59,154,12279,11530,23809,126,175,301,4869,7415,12284,87,150,237,5082,7740,12822,18,23,41,243,314,557,705,576,1281,966,913,1879,20.1,21.2,20.6,5.6,5.5,5.6,10.5,5.1,8.4,5.9,5.7,5.8,53.2,44.1,48.3,70.2,59.4,64.5,10.7,7.5,9.2,67.0,57.1,61.8,42.5,34.7,38.4,66.2,56.2,60.9,9.6,7.1,8.4,63.1,53.9,58.3,20,33,53,1302,2145,3447,5,10,15,1327,2188,3515,104,84,188,9936,8448,18384,74,46,120,10114,8578,18692,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,713,415,1128,7,3,10,723,423,1146,0,4,4,393,357,750,0,0,0,393,361,754,0,0,0,250,446,696,0,3,3,250,449,699,5,13,18,1564,2449,4013,10,11,21,1579,2473,4052,13,20,33,1066,1660,2726,9,3
LGA10110,422,538,960,8260,9241,17501,497,546,1043,9179,10325,19504,151,157,308,5055,4963,10018,24,28,52,5230,5148,10378,43,45,88,401,331,732,6,0,6,450,376,826,194,202,396,5456,5294,10750,30,28,58,5680,5524,11204,205,319,524,2691,3801,6492,35,47,82,2931,4167,7098,22,18,40,113,146,259,433,470,903,568,634,1202,22.2,22.3,22.2,7.3,6.3,6.8,20.0,0,10.3,7.9,6.8,7.4,46.1,37.5,41.3,66.1,57.3,61.4,6.0,5.1,5.6,61.9,53.5,57.4,35.9,29.1,32.1,61.2,53.7,57.2,4.8,5.1,5.0,57.0,49.9,53.2,35,49,84,1058,1284,2342,4,9,13,1097,1342,2439,114,104,218,3951,3650,7601,20,15,35,4085,3769,7854,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,451,234,685,3,0,3,458,237,695,3,3,6,711,557,1268,0,0,0,714,560,1274,3,3,6,139,308,447,0,3,3,142,314,456,10,16,26,1072,1557,2629,8,8,16,1090,1581,2671,12,42,54,480,792,1272,6,3
LGA10150,85,88,173,15622,16983,32605,1141,1080,2221,16848,18151,34999,52,55,107,10479,9898,20377,83,55,138,10614,10008,20622,3,4,7,705,620,1325,7,8,15,715,632,1347,55,59,114,11184,10518,21702,90,63,153,11329,10640,21969,25,29,54,4170,6112,10282,107,175,282,4302,6316,10618,6,0,6,269,353,622,943,842,1785,1218,1195,2413,5.5,6.8,6.1,6.3,5.9,6.1,7.8,12.7,9.8,6.3,5.9,6.1,64.0,67.0,65.5,71.6,61.9,66.6,7.9,5.8,6.9,67.2,58.6,62.8,60.5,62.5,61.5,67.1,58.3,62.5,7.3,5.1,6.2,63.0,55.1,58.9,16,15,31,1409,1994,3403,4,3,7,1429,2012,3441,36,40,76,8941,7809,16750,75,48,123,9052,7897,16949,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,692,396,1088,3,3,6,695,402,1097,3,3,6,1681,1665,3346,7,10,17,1691,1678,3369,0,3,3,284,496,780,4,0,4,288,499,787,9,9,18,3488,4184,7672,21,20,41,3518,4213,7731,4,15,19,1397,1743,3140,10,10
LGA10200,229,147,376,28289,26688,54977,2227,1662,3889,30745,28497,59242,51,35,86,16729,11763,28492,205,127,332,16985,11925,28910,3,12,15,1459,1204,2663,28,15,43,1490,1231,2721,54,47,101,18188,12967,31155,233,142,375,18475,13156,31631,170,98,268,9452,13192,22644,166,189,355,9788,13479,23267,6,0,6,648,529,1177,1829,1334,3163,2483,1863,4346,5.6,25.5,14.9,8.0,9.3,8.5,12.0,10.6,11.5,8.1,9.4,8.6,23.5,32.4,26.9,64.3,48.6,56.7,10.5,8.5,9.6,60.1,46.2,53.4,22.2,24.1,22.9,59.1,44.1,51.8,9.2,7.6,8.5,55.2,41.8,48.8,6,12,18,1388,1538,2926,11,14,25,1405,1564,2969,39,24,63,14895,9985,24880,158,101,259,15092,10110,25202,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1117,394,1511,3,6,9,1128,400,1528,3,3,6,1768,1276,3044,13,8,21,1784,1287,3071,0,3,3,249,274,523,3,0,3,252,277,529,5,5,10,4374,4573,8947,40,26,66,4419,4604,9023,8,9,17,2368,2379,4747,25,32
LGA10250,353,439,792,14281,16035,30316,574,552,1126,15208,17026,32234,135,168,303,8192,7980,16172,58,60,118,8385,8208,16593,42,41,83,567,457,1024,3,5,8,612,503,1115,177,209,386,8759,8437,17196,61,65,126,8997,8711,17708,154,214,368,5288,7291,12579,52,71,123,5494,7576,13070,21,16,37,234,307,541,462,415,877,717,738,1455,23.7,19.6,21.5,6.5,5.4,6.0,4.9,7.7,6.3,6.8,5.8,6.3,50.3,47.6,48.8,61.3,52.6,56.7,10.6,11.8,11.2,59.2,51.2,54.9,38.4,38.3,38.3,57.4,49.8,53.3,10.1,10.9,10.5,55.1,48.2,51.5,29,49,78,1069,1340,2409,4,5,9,1102,1394,2496,105,119,224,7050,6584,13634,47,52,99,7202,6755,13957,0,3,3,0,0,0,0,0,0,0,3,3,6,3,9,1054,555,1609,3,7,10,1063,565,1628,0,3,3,357,351,708,4,0,4,361,354,715,0,6,6,214,332,546,0,0,0,214,338,552,17,29,46,1651,2230,3881,10,11,21,1678,2270,3948,14,25,39,1000,1662,2662,0,16
LGA10300,46,54,100,797,796,1593,76,47,123,919,897,1816,24,19,43,557,426,983,4,0,4,585,445,1030,7,3,10,19,17,36,0,0,0,26,20,46,31,22,53,576,443,1019,4,0,4,611,465,1076,15,32,47,204,337,541,3,4,7,222,373,595,0,0,0,17,17,34,70,42,112,87,59,146,22.6,13.6,18.9,3.3,3.8,3.5,0,0,0,4.3,4.3,4.3,67.4,40.7,53.0,72.3,55.6,63.9,5.2,0,3.3,66.4,51.8,59.2,52.2,35.2,43.0,69.9,53.5,61.7,5.2,0,3.3,63.6,49.6,56.7,3,4,7,50,77,127,0,0,0,53,81,134,19,16,35,495,343,838,4,0,4,518,359,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,17,80,0,0,0,63,17,80,0,0,0,3,5,8,0,0,0,3,5,8,0,0,0,3,10,13,0,0,0,3,10,13,0,3,3,33,54,87,0,0,0,33,57,90,0,3,3,25,46,71,0,0
LGA10350,426,529,955,65200,69090,134290,3874,3683,7557,69500,73302,142802,219,236,455,38464,30291,68755,399,258,657,39082,30785,69867,30,26,56,3182,2434,5616,42,26,68,3254,2486,5740,249,262,511,41646,32725,74371,441,284,725,42336,33271,75607,154,245,399,22232,34814,57046,371,521,892,22757,35580,58337,26,22,48,1324,1549,2873,3059,2881,5940,4409,4452,8861,12.0,9.9,11.0,7.6,7.4,7.6,9.5,9.2,9.4,7.7,7.5,7.6,58.0,49.5,53.3,63.9,47.4,55.4,11.4,7.7,9.6,60.9,45.4,52.9,51.0,44.6,47.5,59.0,43.8,51.2,10.3,7.0,8.7,56.2,42.0,48.9,32,51,83,3931,4734,8665,20,36,56,3983,4821,8804,178,183,361,33735,25084,58819,341,202,543,34254,25469,59723,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,3064,1001,4065,32,7,39,3104,1008,4112,0,7,7,1822,1519,3341,9,5,14,1831,1531,3362,5,3,8,422,580,1002,4,7,11,431,590,1021,16,22,38,6639,7816,14455,44,47,91,6699,7885,14584,22,32,54,4620,5996,10616,26,38
LGA10470,560,479,1039,13910,14182,28092,719,674,1393,15189,15335,30524,190,184,374,8957,8089,17046,64,45,109,9211,8318,17529,46,40,86,459,436,895,11,0,11,516,476,992,236,224,460,9416,8525,17941,75,45,120,9727,8794,18521,306,242,548,4316,5475,9791,44,62,106,4666,5779,10445,20,13,33,178,181,359,600,566,1166,798,760,1558,19.5,17.9,18.7,4.9,5.1,5.0,14.7,0,9.2,5.3,5.4,5.4,42.0,46.8,44.2,67.7,60.1,63.9,10.4,6.7,8.6,64.0,57.4,60.7,33.8,38.4,35.9,64.4,57.0,60.7,8.9,6.7,7.8,60.6,54.2,57.4,38,43,81,1552,1896,3448,5,0,5,1595,1939,3534,146,136,282,7314,6129,13443,56,41,97,7516,6306,13822,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,634,343,977,5,4,9,645,350,995,3,3,6,361,320,681,0,0,0,364,323,687,3,0,3,152,312,464,0,0,0,155,312,467,11,22,33,1197,1890,3087,4,9,13,1212,1921,3133,10,20,30,838,1225,2063,5,0
LGA10550,265,279,544,12011,12693,24704,557,553,1110,12833,13525,26358,103,84,187,6607,6144,12751,48,56,104,6758,6284,13042,31,24,55,447,320,767,4,0,4,482,344,826,134,108,242,7054,6464,13518,52,56,108,7240,6628,13868,116,145,261,4760,5989,10749,73,85,158,4949,6219,11168,16,25,41,197,241,438,431,412,843,644,678,1322,23.1,22.2,22.7,6.3,5.0,5.7,7.7,0,3.7,6.7,5.2,6.0,50.4,38.8,44.5,58.7,50.9,54.7,9.4,10.1,9.7,56.4,49.0,52.6,38.7,30.2,34.4,55.0,48.4,51.6,8.6,10.1,9.4,52.7,46.5,49.5,18,12,30,766,929,1695,3,11,14,787,952,1739,86,71,157,5758,5161,10919,45,42,87,5889,5274,11163,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,862,452,1314,3,6,9,878,458,1336,0,3,3,219,200,419,3,3,6,222,206,428,0,4,4,175,335,510,0,4,4,175,343,518,10,6,16,991,1449,2440,9,9,18,1010,1464,2474,5,9,14,731,1181,1912,5,10
LGA10600,125,112,237,4538,5030,9568,145,121,266,4808,5263,10071,57,42,99,2339,2314,4653,12,14,26,2408,2370,4778,14,8,22,216,176,392,0,0,0,230,184,414,71,50,121,2555,2490,5045,12,14,26,2638,2554,5192,51,60,111,1915,2460,4375,28,31,59,1994,2551,4545,3,3,6,68,80,148,106,76,182,177,159,336,19.7,16.0,18.2,8.5,7.1,7.8,0,0,0,8.7,7.2,8.0,56.8,44.2,50.8,56.3,49.5,52.7,8.2,11.6,9.7,54.9,48.5,51.5,45.6,37.2,41.6,51.5,46.0,48.6,8.2,11.6,9.7,50.1,45.0,47.4,9,8,17,317,465,782,3,3,6,329,476,805,44,37,81,1998,1825,3823,8,9,17,2050,1871,3921,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,424,248,672,0,0,0,430,252,682,3,0,3,104,132,236,0,0,0,107,132,239,0,0,0,63,148,211,0,3,3,63,151,214,0,9,9,411,699,1110,5,0,5,416,708,1124,0,6,6,311,505,816,5,4
