Jurisdiction,ML code,Medicare Local,Peer group,Quarter,Number of checks,Indigenous population,Usage
NSW,ML101,Eastern Sydney,Metro 1,2011Q3,56,"4,326",5.2%
NSW,ML101,Eastern Sydney,Metro 1,2011Q4,81,"4,326",7.5%
NSW,ML101,Eastern Sydney,Metro 1,2012Q1,76,"4,326",7.0%
NSW,ML101,Eastern Sydney,Metro 1,2012Q2,76,"4,326",7.0%
NSW,ML101,Eastern Sydney,Metro 1,2012Q3,57,"4,326",5.3%
NSW,ML101,Eastern Sydney,Metro 1,2012Q4,50,"4,326",4.6%
NSW,ML101,Eastern Sydney,Metro 1,2013Q1,104,"4,326",9.6%
NSW,ML101,Eastern Sydney,Metro 1,2013Q2,86,"4,326",8.0%
NSW,ML102,Inner West Sydney,Metro 1,2011Q3,131,"6,279",8.3%
NSW,ML102,Inner West Sydney,Metro 1,2011Q4,88,"6,279",5.6%
NSW,ML102,Inner West Sydney,Metro 1,2012Q1,154,"6,279",9.8%
NSW,ML102,Inner West Sydney,Metro 1,2012Q2,124,"6,279",7.9%
NSW,ML102,Inner West Sydney,Metro 1,2012Q3,162,"6,279",10.3%
NSW,ML102,Inner West Sydney,Metro 1,2012Q4,120,"6,279",7.6%
NSW,ML102,Inner West Sydney,Metro 1,2013Q1,160,"6,279",10.2%
NSW,ML102,Inner West Sydney,Metro 1,2013Q2,149,"6,279",9.5%
NSW,ML103,South Eastern Sydney,Metro 2,2011Q3,44,"3,652",4.8%
NSW,ML103,South Eastern Sydney,Metro 2,2011Q4,61,"3,652",6.7%
NSW,ML103,South Eastern Sydney,Metro 2,2012Q1,33,"3,652",3.6%
NSW,ML103,South Eastern Sydney,Metro 2,2012Q2,50,"3,652",5.5%
NSW,ML103,South Eastern Sydney,Metro 2,2012Q3,57,"3,652",6.2%
NSW,ML103,South Eastern Sydney,Metro 2,2012Q4,71,"3,652",7.8%
NSW,ML103,South Eastern Sydney,Metro 2,2013Q1,63,"3,652",6.9%
NSW,ML103,South Eastern Sydney,Metro 2,2013Q2,45,"3,652",4.9%
NSW,ML104,South Western Sydney,Metro 3,2011Q3,350,"15,918",8.8%
NSW,ML104,South Western Sydney,Metro 3,2011Q4,273,"15,918",6.9%
NSW,ML104,South Western Sydney,Metro 3,2012Q1,281,"15,918",7.1%
NSW,ML104,South Western Sydney,Metro 3,2012Q2,376,"15,918",9.4%
NSW,ML104,South Western Sydney,Metro 3,2012Q3,506,"15,918",12.7%
NSW,ML104,South Western Sydney,Metro 3,2012Q4,479,"15,918",12.0%
NSW,ML104,South Western Sydney,Metro 3,2013Q1,395,"15,918",9.9%
NSW,ML104,South Western Sydney,Metro 3,2013Q2,511,"15,918",12.8%
NSW,ML105,Western Sydney,Metro 3,2011Q3,205,"14,062",5.8%
NSW,ML105,Western Sydney,Metro 3,2011Q4,209,"14,062",5.9%
NSW,ML105,Western Sydney,Metro 3,2012Q1,216,"14,062",6.1%
NSW,ML105,Western Sydney,Metro 3,2012Q2,207,"14,062",5.9%
NSW,ML105,Western Sydney,Metro 3,2012Q3,214,"14,062",6.1%
NSW,ML105,Western Sydney,Metro 3,2012Q4,189,"14,062",5.4%
NSW,ML105,Western Sydney,Metro 3,2013Q1,259,"14,062",7.4%
NSW,ML105,Western Sydney,Metro 3,2013Q2,350,"14,062",10.0%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2011Q3,187,"11,196",6.7%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2011Q4,225,"11,196",8.0%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2012Q1,240,"11,196",8.6%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2012Q2,317,"11,196",11.3%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2012Q3,365,"11,196",13.0%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2012Q4,353,"11,196",12.6%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2013Q1,281,"11,196",10.0%
NSW,ML106,Nepean - Blue Mountains,Regional 1,2013Q2,387,"11,196",13.8%
NSW,ML107,Northern Sydney,Metro 1,2011Q3,24,"1,328",7.2%
NSW,ML107,Northern Sydney,Metro 1,2011Q4,35,"1,328",10.5%
NSW,ML107,Northern Sydney,Metro 1,2012Q1,34,"1,328",10.2%
NSW,ML107,Northern Sydney,Metro 1,2012Q2,10,"1,328",3.0%
NSW,ML107,Northern Sydney,Metro 1,2012Q3,,"1,328",
NSW,ML107,Northern Sydney,Metro 1,2012Q4,6,"1,328",1.8%
NSW,ML107,Northern Sydney,Metro 1,2013Q1,7,"1,328",2.1%
