agegrp,indig_status,legal_status,sex,state,quarter,quart,year,Average_nightly_pop
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2009,Jun,2009,86
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2009,Sep,2009,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2009,Dec,2009,91
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2010,Mar,2010,87
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2010,Jun,2010,82
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2010,Sep,2010,78
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2010,Dec,2010,65
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2011,Mar,2011,79
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2011,Jun,2011,81
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2011,Sep,2011,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2011,Dec,2011,67
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2012,Mar,2012,79
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2012,Jun,2012,92
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2012,Sep,2012,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2012,Dec,2012,68
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2013,Mar,2013,76
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2013,Jun,2013,68
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2009,Jun,2009,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2009,Sep,2009,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2009,Dec,2009,8
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2010,Jun,2010,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2010,Sep,2010,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2010,Dec,2010,8
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2011,Mar,2011,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2011,Jun,2011,4
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2011,Sep,2011,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2011,Dec,2011,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2012,Mar,2012,7
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2012,Jun,2012,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2012,Sep,2012,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2012,Dec,2012,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2013,Mar,2013,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2013,Jun,2013,4
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2009,Jun,2009,41
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2009,Sep,2009,37
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2009,Dec,2009,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2010,Mar,2010,53
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2010,Jun,2010,51
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2010,Sep,2010,43
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2010,Dec,2010,44
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2011,Mar,2011,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2011,Jun,2011,37
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2011,Sep,2011,38
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2011,Dec,2011,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2012,Mar,2012,55
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2012,Jun,2012,68
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2012,Sep,2012,60
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2012,Dec,2012,66
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2013,Mar,2013,75
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2013,Jun,2013,71
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2009,Jun,2009,46
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2009,Sep,2009,46
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2009,Dec,2009,51
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2010,Mar,2010,58
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2010,Jun,2010,48
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2010,Sep,2010,48
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2010,Dec,2010,50
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2011,Mar,2011,57
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2011,Jun,2011,51
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2011,Sep,2011,40
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2011,Dec,2011,51
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2012,Mar,2012,48
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2012,Jun,2012,51
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2012,Sep,2012,37
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2012,Dec,2012,52
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2013,Mar,2013,59
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2013,Jun,2013,48
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2009,Jun,2009,9
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2009,Sep,2009,10
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2009,Dec,2009,10
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2010,Mar,2010,13
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2010,Jun,2010,10
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2010,Sep,2010,11
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2010,Dec,2010,7
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2011,Mar,2011,11
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2011,Jun,2011,10
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2011,Sep,2011,12
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2011,Dec,2011,13
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2012,Mar,2012,17
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2012,Jun,2012,15
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2012,Sep,2012,13
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2012,Dec,2012,9
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2013,Mar,2013,14
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2013,Jun,2013,9
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2009,Jun,2009,5
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2009,Sep,2009,6
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2009,Dec,2009,3
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2010,Mar,2010,5
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2010,Jun,2010,4
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2010,Sep,2010,3
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2010,Dec,2010,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2011,Mar,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2011,Jun,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2011,Sep,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2011,Dec,2011,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2012,Mar,2012,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2012,Jun,2012,1
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2012,Sep,2012,1
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2012,Dec,2012,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2013,Mar,2013,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2013,Jun,2013,0
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2009,Sep,2009,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2009,Dec,2009,2
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2010,Mar,2010,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2010,Jun,2010,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2010,Sep,2010,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2010,Dec,2010,5
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2011,Mar,2011,8
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2011,Jun,2011,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2011,Sep,2011,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2011,Dec,2011,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2012,Mar,2012,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2012,Jun,2012,5
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2012,Sep,2012,0
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2012,Dec,2012,2
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2013,Mar,2013,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2013,Jun,2013,1
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2009,Jun,2009,15
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2009,Sep,2009,11
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2009,Dec,2009,7
10 to 17,Indigenous,Unsentenced,Male,NT,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2010,Jun,2010,15
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2010,Sep,2010,18
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2010,Dec,2010,23
