,Married in a ,Married in a ,,
,registered marriage,de facto marriage(b),Not married,Total
,MALES,,,
,,,,
15-24 years,0,0,32,32
25-34 years,4,3,7,14
35-44 years,0,0,11,11
45-54 years,6,4,3,13
55-64 years,0,0,6,6
65 years and over,3,3,0,6
,,,,
Total,13,10,59,82
,,,,
,FEMALES,,,
,,,,
15-24 years,0,0,34,34
25-34 years,0,10,28,38
35-44 years,7,0,19,26
45-54 years,6,0,14,20
55-64 years,0,0,9,9
65 years and over,0,0,4,4
,,,,
Total,13,10,108,131
,,,,
,PERSONS,,,
,,,,
15-24 years,0,0,66,66
25-34 years,4,13,35,52
35-44 years,7,0,30,37
45-54 years,12,4,17,33
55-64 years,0,0,15,15
65 years and over,3,3,4,10
,,,,
Total,26,20,167,213
