State,Region Type,ASGS 2011,Frequency,Selected Medians and Averages,Time,Value,Flags
"New South Wales","Statistical Area Level 3","Goulburn - Yass","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Goulburn - Yass","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Goulburn - Yass","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Queanbeyan","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Queanbeyan","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Queanbeyan","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Snowy Mountains","Annual","Median age of persons","2001",32,
"New South Wales","Statistical Area Level 3","Snowy Mountains","Annual","Median age of persons","2006",35,
"New South Wales","Statistical Area Level 3","Snowy Mountains","Annual","Median age of persons","2011",38,
"New South Wales","Statistical Area Level 3","South Coast","Annual","Median age of persons","2001",43,
"New South Wales","Statistical Area Level 3","South Coast","Annual","Median age of persons","2006",46,
"New South Wales","Statistical Area Level 3","South Coast","Annual","Median age of persons","2011",49,
"New South Wales","Statistical Area Level 3","Gosford","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Gosford","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Gosford","Annual","Median age of persons","2011",41,
"New South Wales","Statistical Area Level 3","Wyong","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Wyong","Annual","Median age of persons","2006",39,
"New South Wales","Statistical Area Level 3","Wyong","Annual","Median age of persons","2011",40,
"New South Wales","Statistical Area Level 3","Bathurst","Annual","Median age of persons","2001",33,
"New South Wales","Statistical Area Level 3","Bathurst","Annual","Median age of persons","2006",34,
"New South Wales","Statistical Area Level 3","Bathurst","Annual","Median age of persons","2011",35,
"New South Wales","Statistical Area Level 3","Lachlan Valley","Annual","Median age of persons","2001",38,
"New South Wales","Statistical Area Level 3","Lachlan Valley","Annual","Median age of persons","2006",40,
"New South Wales","Statistical Area Level 3","Lachlan Valley","Annual","Median age of persons","2011",42,
"New South Wales","Statistical Area Level 3","Lithgow - Mudgee","Annual","Median age of persons","2001",37,
"New South Wales","Statistical Area Level 3","Lithgow - Mudgee","Annual","Median age of persons","2006",41,
"New South Wales","Statistical Area Level 3","Lithgow - Mudgee","Annual","Median age of persons","2011",42,
"New South Wales","Statistical Area Level 3","Orange","Annual","Median age of persons","2001",34,
"New South Wales","Statistical Area Level 3","Orange","Annual","Median age of persons","2006",36,
"New South Wales","Statistical Area Level 3","Orange","Annual","Median age of persons","2011",37,
"New South Wales","Statistical Area Level 3","Clarence Valley","Annual","Median age of persons","2001",41,
"New South Wales","Statistical Area Level 3","Clarence Valley","Annual","Median age of persons","2006",44,
"New South Wales","Statistical Area Level 3","Clarence Valley","Annual","Median age of persons","2011",46,
"New South Wales","Statistical Area Level 3","Coffs Harbour","Annual","Median age of persons","2001",39,
"New South Wales","Statistical Area Level 3","Coffs Harbour","Annual","Median age of persons","2006",42,
"New South Wales","Statistical Area Level 3","Coffs Harbour","Annual","Median age of persons","2011",43,
