Measure,Region Type,Frequency,Region,Time,Value,Flags
"Estimated Resident Population","Australia","Annual","Australia","2003",19720737,
"Estimated Resident Population","Australia","Annual","Australia","2004",19932722,
"Estimated Resident Population","Australia","Annual","Australia","2005",20176844,
"Estimated Resident Population","Australia","Annual","Australia","2006",20450966,
"Estimated Resident Population","Australia","Annual","Australia","2007",20827622,
"Estimated Resident Population","Australia","Annual","Australia","2008",21249199,
"Estimated Resident Population","Australia","Annual","Australia","2009",21691653,
"Estimated Resident Population","Australia","Annual","Australia","2010",22031750,
"Estimated Resident Population","Australia","Annual","Australia","2011",22340024,
"Estimated Resident Population","Australia","Annual","Australia","2012",22728254,
"Estimated Resident Population","Australia","Annual","Australia","2013",23135281,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2003",6620715,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2004",6650735,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2005",6693206,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2006",6742690,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2007",6834156,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2008",6943461,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2009",7053755,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2010",7144292,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2011",7218529,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2012",7307183,
"Estimated Resident Population","States and Territories","Annual","New South Wales","2013",7410399,
"Estimated Resident Population","States and Territories","Annual","Victoria","2003",4873809,
"Estimated Resident Population","States and Territories","Annual","Victoria","2004",4927149,
"Estimated Resident Population","States and Territories","Annual","Victoria","2005",4989246,
"Estimated Resident Population","States and Territories","Annual","Victoria","2006",5061266,
"Estimated Resident Population","States and Territories","Annual","Victoria","2007",5153522,
"Estimated Resident Population","States and Territories","Annual","Victoria","2008",5256375,
"Estimated Resident Population","States and Territories","Annual","Victoria","2009",5371934,
"Estimated Resident Population","States and Territories","Annual","Victoria","2010",5461101,
