jurisd,mlcode,peergrp,quarter,nchecks,popn,usage
NSW,ML101,Metro 1,2011Q3,56,4326,0.052
NSW,ML101,Metro 1,2011Q4,81,4326,0.075
NSW,ML101,Metro 1,2012Q1,76,4326,0.07
NSW,ML101,Metro 1,2012Q2,76,4326,0.07
NSW,ML101,Metro 1,2012Q3,57,4326,0.053
NSW,ML101,Metro 1,2012Q4,50,4326,0.046
NSW,ML101,Metro 1,2013Q1,104,4326,0.096
NSW,ML101,Metro 1,2013Q2,86,4326,0.08
NSW,ML102,Metro 1,2011Q3,131,6279,0.083
NSW,ML102,Metro 1,2011Q4,88,6279,0.056
NSW,ML102,Metro 1,2012Q1,154,6279,0.098
NSW,ML102,Metro 1,2012Q2,124,6279,0.079
NSW,ML102,Metro 1,2012Q3,162,6279,0.103
NSW,ML102,Metro 1,2012Q4,120,6279,0.076
NSW,ML102,Metro 1,2013Q1,160,6279,0.102
NSW,ML102,Metro 1,2013Q2,149,6279,0.095
NSW,ML103,Metro 2,2011Q3,44,3652,0.048
NSW,ML103,Metro 2,2011Q4,61,3652,0.067
NSW,ML103,Metro 2,2012Q1,33,3652,0.036
NSW,ML103,Metro 2,2012Q2,50,3652,0.055
NSW,ML103,Metro 2,2012Q3,57,3652,0.062
NSW,ML103,Metro 2,2012Q4,71,3652,0.078
NSW,ML103,Metro 2,2013Q1,63,3652,0.069
NSW,ML103,Metro 2,2013Q2,45,3652,0.049
NSW,ML104,Metro 3,2011Q3,350,15918,0.088
NSW,ML104,Metro 3,2011Q4,273,15918,0.069
NSW,ML104,Metro 3,2012Q1,281,15918,0.071
NSW,ML104,Metro 3,2012Q2,376,15918,0.094
NSW,ML104,Metro 3,2012Q3,506,15918,0.127
NSW,ML104,Metro 3,2012Q4,479,15918,0.12
NSW,ML104,Metro 3,2013Q1,395,15918,0.099
NSW,ML104,Metro 3,2013Q2,511,15918,0.128
NSW,ML105,Metro 3,2011Q3,205,14062,0.058
NSW,ML105,Metro 3,2011Q4,209,14062,0.059
NSW,ML105,Metro 3,2012Q1,216,14062,0.061
NSW,ML105,Metro 3,2012Q2,207,14062,0.059
NSW,ML105,Metro 3,2012Q3,214,14062,0.061
NSW,ML105,Metro 3,2012Q4,189,14062,0.054
NSW,ML105,Metro 3,2013Q1,259,14062,0.074
NSW,ML105,Metro 3,2013Q2,350,14062,0.1
NSW,ML106,Regional 1,2011Q3,187,11196,0.067
NSW,ML106,Regional 1,2011Q4,225,11196,0.08
NSW,ML106,Regional 1,2012Q1,240,11196,0.086
NSW,ML106,Regional 1,2012Q2,317,11196,0.113
NSW,ML106,Regional 1,2012Q3,365,11196,0.13
NSW,ML106,Regional 1,2012Q4,353,11196,0.126
NSW,ML106,Regional 1,2013Q1,281,11196,0.1
NSW,ML106,Regional 1,2013Q2,387,11196,0.138
NSW,ML107,Metro 1,2011Q3,24,1328,0.072
NSW,ML107,Metro 1,2011Q4,35,1328,0.105
NSW,ML107,Metro 1,2012Q1,34,1328,0.102
NSW,ML107,Metro 1,2012Q2,10,1328,0.03
NSW,ML107,Metro 1,2012Q3,NA,1328,NA
NSW,ML107,Metro 1,2012Q4,6,1328,0.018
NSW,ML107,Metro 1,2013Q1,7,1328,0.021
NSW,ML107,Metro 1,2013Q2,34,1328,0.102
NSW,ML108,Metro 1,2011Q3,9,1653,0.022
NSW,ML108,Metro 1,2011Q4,9,1653,0.022
NSW,ML108,Metro 1,2012Q1,13,1653,0.031
NSW,ML108,Metro 1,2012Q2,5,1653,0.012
NSW,ML108,Metro 1,2012Q3,4,1653,0.01
NSW,ML108,Metro 1,2012Q4,NA,1653,NA
NSW,ML108,Metro 1,2013Q1,13,1653,0.031
NSW,ML108,Metro 1,2013Q2,13,1653,0.031
NSW,ML109,Regional 1,2011Q3,91,10935,0.033
NSW,ML109,Regional 1,2011Q4,95,10935,0.035
NSW,ML109,Regional 1,2012Q1,100,10935,0.037
