Medicare Local,Jurisdiction,Peer group,Usage rate,Number of checks,Indigenous population
Australian Capital Territory,ACT,Metro 1,16.00%,246,"6,151"
Barwon,Vic,Regional 1,7.40%,50,"2,700"
Bayside,Vic,Metro 1,4.20%,17,"1,627"
Bentley - Armadale,WA,Metro 2,16.80%,407,"9,705"
Central Adelaide and Hills,SA,Metro 2,17.30%,262,"6,060"
Central and North West Queensland,Qld,Rural 2,20.30%,513,"10,119"
Central Coast NSW,NSW,Regional 1,8.70%,239,"10,935"
Central Queensland,Qld,Rural 1,36.40%,"1,157","12,699"
Country North SA,SA,Rural 1,23.00%,750,"13,034"
Country South SA,SA,Regional 2,10.60%,115,"4,330"
Darling Downs - South West Queensland,Qld,Regional 2,21.00%,885,"16,841"
Eastern Melbourne,Vic,Metro 2,3.60%,21,"2,365"
Eastern Sydney,NSW,Metro 1,8.00%,86,"4,326"
Far North Queensland,Qld,Rural 2,29.00%,"3,367","46,519"
Far West NSW,NSW,Rural 1,32.90%,661,"8,033"
Frankston - Mornington Peninsula,Vic,Regional 1,5.10%,32,"2,507"
Fremantle,WA,Metro 2,6.30%,53,"3,354"
Gippsland,Vic,Regional 2,10.50%,122,"4,637"
Gold Coast,Qld,Metro 2,28.60%,557,"7,802"
Goldfields - Midwest,WA,Rural 2,23.00%,852,"14,810"
Goulburn Valley,Vic,Regional 2,32.60%,313,"3,837"
Grampians,Vic,Regional 2,16.50%,117,"2,843"
Great South Coast,Vic,Regional 2,25.70%,110,"1,714"
Greater Metro South Brisbane,Qld,Metro 2,27.10%,"1,414","20,862"
Hume,Vic,Regional 2,13.80%,132,"3,818"
Hunter,NSW,Regional 1,16.40%,"1,144","27,872"
Illawarra - Shoalhaven,NSW,Regional 1,15.40%,498,"12,898"
Inner East Melbourne,Vic,Metro 1,11.50%,38,"1,318"
Inner North West Melbourne,Vic,Metro 1,14.00%,74,"2,116"
Inner West Sydney,NSW,Metro 1,10.80%,169,"6,279"
Kimberley - Pilbara,WA,Rural 2,22.50%,"1,513","26,948"
Loddon - Mallee - Murray,Vic,Regional 2,10.60%,127,"4,814"
Lower Murray,Vic,Rural 1,33.40%,310,"3,709"
Macedon Ranges and North Western Melbourne,Vic,Metro 3,16.60%,130,"3,131"
Metro North Brisbane,Qld,Metro 2,34.20%,"1,508","17,629"
Murrumbidgee,NSW,Regional 2,22.40%,560,"10,021"
Nepean - Blue Mountains,NSW,Regional 1,15.40%,432,"11,196"
New England,NSW,Regional 2,17.40%,828,"19,082"
North Coast NSW,NSW,Regional 2,25.10%,"1,621","25,797"
Northern Adelaide,SA,Metro 3,9.20%,209,"9,086"
Northern Melbourne,Vic,Metro 3,5.10%,64,"4,983"
Northern Sydney,NSW,Metro 1,1.20%,4,"1,328"
Northern Territory,NT,Rural 2,25.30%,"4,351","68,846"
Perth Central and East Metro,WA,Metro 2,30.50%,691,"9,054"
Perth North Metro,WA,Metro 2,18.10%,316,"6,965"
Perth South Coastal,WA,Regional 1,17.80%,262,"5,872"
South Eastern Melbourne,Vic,Metro 3,6.20%,45,"2,920"
South Eastern Sydney,NSW,Metro 2,6.20%,57,"3,652"
South West WA,WA,Regional 2,19.40%,533,"10,986"
South Western Melbourne,Vic,Metro 2,19.20%,94,"1,960"
South Western Sydney,NSW,Metro 3,16.00%,636,"15,918"
Southern Adelaide - Fleurieu - Kangaroo Island,SA,Metro 2,2.90%,36,"4,888"
Southern NSW,NSW,Regional 2,21.50%,368,"6,857"
Sunshine Coast,Qld,Regional 1,9.70%,171,"7,051"
Sydney North Shore and Beaches,NSW,Metro 1,.,.,"1,653"
Tasmania,Tas,Regional 2,5.60%,340,"24,165"
Townsville - Mackay,Qld,Rural 1,35.30%,"2,436","27,635"
West Moreton - Oxley,Qld,Metro 3,31.70%,"1,024","12,920"
Western NSW,NSW,Regional 2,35.70%,"2,195","24,625"
Western Sydney,NSW,Metro 3,8.80%,309,"14,062"
Wide Bay,Qld,Regional 2,15.40%,325,"8,425"
,,,36.40%,"35,896","668,287"
